"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-0.458804620505087,-0.458804620505087,-1,-1,-1,-1,-0.458804620505087,-1,-1,-1,-0.458804620505087,-0.902893098706634,1,0.458804620505087,0.458804620505087,0.458804620505087,0.458804620505087,0.00630828352271583,0.442189113351481,1,0.00791930696753821
"FOXC2",-0.458804620505087,1,1,0.458804620505087,0.458804620505087,0.458804620505087,0.458804620505087,1,0.458804620505087,0.458804620505087,0.458804620505087,1,0.555912461867627,-0.458804620505087,-1,-1,-1,-1,-0.171889492496319,-0.0952042823142957,-0.458804620505087,-0.00610956682602435
"GSC",-0.458804620505087,1,1,0.458804620505087,0.458804620505087,0.458804620505087,0.458804620505087,1,0.458804620505087,0.458804620505087,0.458804620505087,1,0.555912461867627,-0.458804620505087,-1,-1,-1,-1,-0.171889492496319,-0.0952042823142957,-0.458804620505087,-0.00610956682602435
"KLF8",-1,0.458804620505087,0.458804620505087,1,1,1,1,0.458804620505087,1,1,1,0.458804620505087,0.902893098706634,-1,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.00630828352271583,-0.442189113351481,-1,-0.00791930696753821
"SNAI1",-1,0.458804620505087,0.458804620505087,1,1,1,1,0.458804620505087,1,1,1,0.458804620505087,0.902893098706634,-1,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.00630828352271583,-0.442189113351481,-1,-0.00791930696753821
"SNAI2",-1,0.458804620505087,0.458804620505087,1,1,1,1,0.458804620505087,1,1,1,0.458804620505087,0.902893098706634,-1,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.00630828352271583,-0.442189113351481,-1,-0.00791930696753821
"TCF3",-1,0.458804620505087,0.458804620505087,1,1,1,1,0.458804620505087,1,1,1,0.458804620505087,0.902893098706634,-1,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.00630828352271583,-0.442189113351481,-1,-0.00791930696753821
"TGFbeta",-0.458804620505087,1,1,0.458804620505087,0.458804620505087,0.458804620505087,0.458804620505087,1,0.458804620505087,0.458804620505087,0.458804620505087,1,0.555912461867627,-0.458804620505087,-1,-1,-1,-1,-0.171889492496319,-0.0952042823142957,-0.458804620505087,-0.00610956682602435
"TWIST1",-1,0.458804620505087,0.458804620505087,1,1,1,1,0.458804620505087,1,1,1,0.458804620505087,0.902893098706634,-1,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.00630828352271583,-0.442189113351481,-1,-0.00791930696753821
"TWIST2",-1,0.458804620505087,0.458804620505087,1,1,1,1,0.458804620505087,1,1,1,0.458804620505087,0.902893098706634,-1,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.458804620505087,-0.00630828352271583,-0.442189113351481,-1,-0.00791930696753821
