"","KLF8","SNAI1","ZEB2","TWIST1","OVOL2","miR200b","CDH1","miR200a","NP63","miR205","GSC","TGFbeta","miR200c","GRHL2","miR141","CLDN7","ZEB1","miR34a","FOXC2","TCF3","TWIST2","SNAI2","miR101"
"ZEB2",-0.131300464761185,-0.0968130636469068,-0.0857329573424802,-0.0844162853562233,-0.0203268567012547,-0.0164435904904544,-0.00911194490923536,-0.00877658466340196,0,0,0.00348125670540457,0.00348187251066231,0.00491849986395558,0.00499531580600832,0.00553954796871452,0.00553954796871452,0.0055633610580578,0.017282210698799,0.0376815512776674,0.0845185796715821,0.0919888526814029,0.0930085913317986,0.131327312534311
"NP63",0.0408555643691339,0.103658727637888,-0.085125434231233,0.151421017086013,-0.130615617318352,0.101105884362019,-0.0681163870911579,0.0273974970836853,-0.193682862375492,-0.0936828623754921,-0.117427184332966,-0.117189264335705,-0.0272298513320109,-0.0530724682822247,-0.000120777784707339,-0.000120777784707339,-0.000193723679210611,-0.0261550488581253,-0.0955621754258628,-0.151611749723733,-0.00383116591227068,-0.0148914398205991,-0.0407815471532778
"miR34a",0.103443160351069,0.147975618202791,-0.072591006256771,0.16049568228615,0.12168361588839,0.120888906176478,0.114743830381431,0.150563272801732,0,0,-0.00890315145980281,-0.00876678425792505,0.0930733048299204,-0.136233107530108,-0.136428751622014,-0.136428751622014,-0.136481104777362,0.00726660195405865,-0.201889149067393,-0.160690150568924,-0.186888125899744,-0.074822196301322,-0.103394182170368
"GSC",-0.0464198959150031,-0.0821833075585156,-0.061407050197636,-0.151974854851483,0.0579684458603289,0.0798192304460865,-0.0356395634106382,0.0478567017384864,0,0,-0.0278955271452429,-0.0278771909698024,-0.0195528410296728,-0.0324699313917098,-0.0354457825270058,-0.0354457825270058,-0.0354689499478203,0.0564758230567228,0.0163086866679062,0.15205471684995,-0.0829337338509307,-0.0967940933114597,0.046210409594947
"SNAI1",0.0192831409566212,-0.0876161922644307,-0.0485527597193925,-0.0106668668646158,0.0594781286135425,0.00491974827450114,0.132866908327674,0.0472261777188997,0,0,-0.00683364588012641,-0.00693415035403915,-0.0115016627344203,-0.0463191835190328,-0.0469228577940853,-0.0469228577940853,-0.0469258690166803,-0.0398271536511822,-0.0928220712304853,0.0109054742558247,0.0719385523913533,0.0808534134677926,-0.019438816241064
"GRHL2",-0.0190277864847408,-0.0937800851350676,-0.0323554238950336,-0.0586194026002093,0.120764363621303,-0.0506346572492363,0.0146324855161798,-0.000633735426741761,0.186385612021517,0.186387347620385,0.105455172623028,0.105367033685019,-0.0161945508509038,-0.0895525227707471,0.0113660734976622,0.0113660734976622,0.0114531976790988,0.00194550263746675,0.0419835999022054,0.0587032224741904,0.0170184629108007,0.00200639248889955,0.0191571935889267
"CDH1",0.0448639164469193,0.0853888607025046,-0.0171667551640309,0.136905144032817,0.034405119050123,0.0231692111310948,0.0230399262851112,0.0273771986848479,0,0,-0.00455786943337903,-0.00383155644362926,0.00950512190163501,-0.0382752465651164,-0.0376421088997997,-0.0376421088997997,-0.0377560169070513,-0.00989975970196401,-0.0959993345094207,-0.137377919597226,-0.0193224028788034,-0.0186392251007111,-0.0448477409754044
"miR200a",0.0477722974901207,0.0684049318440346,-0.00384372971312679,0.0659616852123018,-0.080545299712664,-0.0164716952970516,-0.0905393069496333,-0.00646812818568344,0,0,-0.103501116819804,-0.10366246578808,-0.0110925047752384,0.0133680479797205,0.0157890411301398,0.0157890411301398,0.0158749707660436,-0.109789854027594,-0.0169948758094932,-0.0657501999349307,0.050861648185666,-0.0366202653775877,-0.0477110605029805
"FOXC2",0.0429089543893878,0.0872900463020522,-0.00234815893729522,0.0892777945976943,0.081132919423095,0.0133239351052481,0.139505569369922,0.0146041746971494,0,0,0.00846942424516094,0.00862031275049631,0.0125775085815121,-0.0162378627917755,-0.0203649989560773,-0.0203649989560773,-0.0204691492385584,0.0126198119074325,-0.110617199055175,-0.0894017242957565,-0.100807600344992,-0.028811559379925,-0.0430989480562655
"TGFbeta",-0.0605254176583947,-0.122638536842037,-0.00175329339596088,-0.125146580497536,-0.00173551633273187,-0.0657689451248704,-0.0474125591477532,-1.18335867022498e-05,0,0,0.188222166887452,0.0879185218437297,-0.00141588021758602,0.00193919107891356,0.00140341647408616,0.00140341647408616,0.00146088369632649,0.111098336974448,0.0748953388717875,0.125300869971818,-0.00576028516613272,-0.00302294030322068,0.0605538088474316
