"","miR101","TWIST1","ZEB2","CDH1","SNAI1","miR200b","TGFbeta","ZEB1","miR141","OVOL2","miR34a","miR200c","miR205","NP63","CLDN7","GRHL2","GSC","miR200a","TCF3","FOXC2","KLF8","TWIST2","SNAI2"
"SNAI1",-0.0104949294130496,0.0170282872666029,-0.104694672028684,0.155437528921271,-0.0856175907619806,0.0853476114391194,0.0658300454072558,0.0788231775781311,0.0788231003672953,0.0664065156101533,-0.015202665840376,-0.0149080580228585,-0.0731411912679042,-0.0730015196187986,-0.0788231003672953,-0.0820397704876413,-0.0658829322275089,-0.0890124449599979,-0.0171085043124697,-0.101021710409944,0.0105994408765533,-0.00898229918798318,-0.083293475431465
"TGFbeta",0.0437049797815886,0.0892587724727086,-0.0959684765311599,0.139926088968228,0.0203921206513145,0.165557383346345,0.162629080730849,0.102067244346508,0.101949393654928,0.0796171841616536,-0.00605009046339061,0.00309515686838578,-0.0908510475750113,-0.0915814918377532,-0.101949393654928,-0.106838600417389,-0.262108236085036,-0.0992736406444726,-0.0883262287384495,-0.121762696721537,-0.0441502367218494,-0.0903156951559014,-0.0995167027199095
"NP63",0.00688302576624973,-0.109749885401383,-0.0930250659362665,-0.0633022763790842,-0.0491273043843261,-0.0664144756578971,0.0122827467276431,-0.0261584877880565,-0.0261812197644831,0.0717971413491467,-0.00539974717863131,-0.0462573512497126,0.13547321790849,0.0354624698431417,0.0261812197644831,0.147115420482347,-0.0122913050009259,-0.0147355620092867,0.109904715424945,0.0666137860462225,-0.00695430160374082,0.00893084640163789,0.010878151607868
"ZEB2",-0.0965926738961079,-0.080644396331561,-0.0726325453724472,-0.0627933689525964,-0.0588672076212681,-0.0449738361705636,-0.0236471268918057,-0.0179018208733151,-0.0176703183655759,-0.0149774742163854,0.00091268740644676,0.00618893226910576,0.0149114508578217,0.0169179584500126,0.0176703183655759,0.0179017974974304,0.022275728582807,0.0231748206677687,0.0789476096720387,0.0975094915333331,0.097705364937901,0.126994206432587,0.132206501981816
"miR200b",-0.00247554311588506,0.0801487376460281,-0.0259356919970931,0.0214602876747085,0.0630864201477517,0.0441400019996209,0.134404404703697,0.0116298428870911,0.0116751512405677,-0.0105683552356167,-0.0810456860336736,-0.00488220428555114,0.00321126045491913,0.0037479585178301,-0.0116751512405677,-0.00544863174879257,-0.134712331255828,-0.0176055347770259,-0.0805820606269352,-0.118004112248069,0.00288258897158191,0.0107077640785688,-0.0773114200292916
"TWIST1",0.0252350840140028,-0.0725295781351732,-0.0160813186131863,0.130198137293844,-0.012092488662579,0.0247365333043486,0.0273931257003624,0.073341507996402,0.0734549134040753,0.0534255855570467,0.0565065999398799,0.0172851124949871,-0.0628576540235102,-0.0619699173592004,-0.0734549134040753,-0.0780882282716861,-0.0280533602763489,-0.0506147086622124,-0.0283143278505955,0.00122797596155493,-0.0246176463801831,0.0226599213040835,0.0351461144503726
"CDH1",0.00362777740612608,0.120247675944309,-0.0158732686146349,0.0500009418575288,0.0442550798866573,0.0307050055768227,0.020008581958767,0.04238626997023,0.0421761016751601,0.0246645382200767,0.00843700701200715,0.0128873991553977,-0.0316440479182374,-0.0330821578309236,-0.0421761016751601,-0.044987563846369,-0.0187871485647371,-0.0291296988015766,-0.119009960140856,-0.0828689347122304,-0.00443978607617881,-0.0361386671745502,-0.0377903438191673
"miR205",0.0807712965219225,0.0574810725320492,-0.0135897336441996,0.120417106726049,-0.043634678949305,0.0339637546721939,0.0135788411123337,0.0205469789550068,0.0207333120440367,0.0263705807934756,0.00607452459961235,0.00546588036921969,-0.0249002507731108,-0.0233245892925836,-0.0207333120440367,-0.0229077570613662,-0.0147310391761331,-0.0187215732615519,-0.0588689890099538,0.0318287500532665,-0.0795809842370486,-0.162432579795053,-0.0970713510017716
"TWIST2",0.0563575386432704,-0.101198306346359,-0.0091530644629871,0.0510523010080137,0.0104883033091387,-0.00173364951151196,-0.0165245905535265,-0.12009644182138,-0.120027243478266,-0.0719381719917573,-0.0521218562170542,-0.0629448093075225,0.0931213437349437,0.0935852021468705,0.120027243478266,0.128260435613168,0.0162394243794196,0.0550490311726463,0.100602720520732,0.0319147029918425,-0.0560255754546858,-0.0808855942211771,-0.0892502226424876
"ZEB1",0.0754248268664893,0.048461497624195,-0.00433386307017623,0.137453706981126,-0.0454850989901036,0.0274335332549241,0.00493444741896181,-0.0807340477870084,0.0192062381316477,0.0285623022364284,0.00744123058580072,0.0107136491188826,-0.0250444764717723,-0.0255847684593571,-0.0192062381316477,-0.0223807158836138,-0.00454225289047568,-0.014092369509128,-0.0480726918648219,0.0431312820814085,-0.0756908175347725,-0.145200220390352,-0.0880192189895292
