"","miR200c","SNAI2","ZEB1","KLF8","NP63","miR205","SNAI1","TWIST1","FOXC2","TCF3","OVOL2","miR34a","ZEB2","miR101","miR141","CLDN7","GRHL2","GSC","TGFbeta","miR200a","CDH1","TWIST2","miR200b"
"miR200a",0.101183038337933,0.125330737102985,0.00544886785598635,0.0108051067492023,-0.00855130551163087,-0.0100760966969872,0.121647583875217,0.106206020748302,0.0181663524990798,-0.104728581642751,0.0163996141529201,0.0991123278884664,-0.195704671110824,-0.0110230383799072,-0.0053227633253742,-0.0053227633253742,7.53687548995589e-05,-0.131886987216215,-0.132397168108861,-0.0946139530253792,-0.106015358407351,-0.0199224259123476,-0.102432846937403
"SNAI1",0.00318871555314351,-0.148885836546618,-0.148453278163688,-0.20399315759347,-0.124825942522734,-0.125039125566106,0.0373887015489072,0.215255564095067,-0.0417216451488046,-0.214693022900804,0.101834497740199,0.213572301671007,-0.18072994050377,0.204202492494996,0.148404866969661,0.148404866969661,0.156501139360651,0.0779069450865627,0.0779005049940596,-0.16066522742172,0.0510471855068424,0.16821078954179,0.0484326049175992
"GSC",0.0334182405982243,-0.140597549266352,-0.0767057630102236,-0.220668907633499,-0.067225843396979,-0.0684461732883562,0.181950950293586,0.137274950615355,-0.201354597393223,-0.135831045683078,0.0597223939545316,0.114375966899991,-0.149959269097767,0.220975829451256,0.0767089002651256,0.0767089002651256,0.0799411702077181,0.0364434407595301,0.0360400448998386,-0.108231105961047,0.00577436223642409,0.131124867669651,0.006495447247305
"SNAI2",0.100890784928396,0.0942734131086365,0.095038075245461,0.11263496719117,0.0779754606853766,0.0756233812518289,0.214880637025126,0.0238547381111417,-0.113398971933255,-0.0221295839580768,-0.0627853819854769,0.0263585405672772,-0.112253917428594,-0.112743877738844,-0.0947575023076378,-0.0947575023076378,-0.100753078883431,-0.257631623387241,-0.258733422374637,-0.00554900356548333,-0.0706235872591851,-0.201184469816791,-0.267467223789385
"TCF3",0.100422966347756,0.193756600243261,0.0949708792789683,0.108408888928719,0.0791672949652341,0.0718840579710145,0.212973176958553,0.0262464498279307,-0.113011914578363,-0.0231486763526161,-0.0614239478973528,0.0275305408258272,-0.11196918262052,-0.112178818894447,-0.0932702612048726,-0.0932702612048726,-0.0990086776433741,-0.255201620101072,-0.25871802394374,-0.00680754437047124,-0.171353400938086,-0.200574417392962,-0.266933660086292
"KLF8",0.100422966347756,0.193756600243261,0.0949708792789683,0.108408888928719,0.0791672949652341,0.0718840579710145,0.212973176958553,0.0262464498279307,-0.113011914578363,-0.0231486763526161,-0.0614239478973528,0.0275305408258272,-0.11196918262052,-0.112178818894447,-0.0932702612048726,-0.0932702612048726,-0.0990086776433741,-0.255201620101072,-0.25871802394374,-0.00680754437047124,-0.171353400938086,-0.200574417392962,-0.266933660086292
"CLDN7",0.100422966347756,0.193756600243261,0.0949708792789683,0.108408888928719,0.0791672949652341,0.0718840579710145,0.212973176958553,0.0262464498279307,-0.113011914578363,-0.0231486763526161,-0.0614239478973528,0.0275305408258272,-0.11196918262052,-0.112178818894447,-0.0932702612048726,-0.0932702612048726,-0.0990086776433741,-0.255201620101072,-0.25871802394374,-0.00680754437047124,-0.171353400938086,-0.200574417392962,-0.266933660086292
"TWIST1",0.0349373863879388,0.224629194109769,-0.0312008209307032,0.187109555234824,-0.0348908842870077,-0.0350205095521503,-0.11410501692833,-0.185157141672322,0.12280529972592,0.0848556883240653,0.0354841431610869,-0.0531180988873809,-0.086115741258586,-0.187658278035202,0.0312848569292076,0.0312848569292076,0.0366007895972057,-0.023312930596245,-0.0233458326515267,-0.0537853133375914,-0.149988388574537,-0.192553520948046,-0.0998171464435805
"GRHL2",0.126044222397922,-0.0729804335082519,0.111800461736455,-0.0784755178104839,0.0154401693810481,0.0175419796106678,-0.00380464109551057,0.0347229918053777,0.0586002284578538,-0.0360670001295583,-0.100776852831358,-0.112244333069238,-0.059964494164025,0.0789130370674935,-0.112159221210391,-0.112159221210391,-0.0453322445009107,-0.166884417229866,-0.166031298829893,0.0909661025653428,0.0329105215965928,0.00963831018801798,-0.0766624075516376
"ZEB1",0.0383016924707975,0.0052273971926197,-0.0710428159435856,0.00828912466186841,0.0334593770201443,0.0314792643635171,-0.0382864255605317,-0.0487720892437724,0.0992389642475235,0.0505694895935173,-0.0346318853757777,-0.021826849444989,-0.0571468295330226,-0.00862344994935142,-0.028847662796111,-0.028847662796111,-0.0312338068958264,-0.0290041453569941,-0.0296268542205905,-0.00103196071089394,0.0799707633302788,-0.0860087561193505,-0.044447900172512
