"","miR101","KLF8","ZEB2","TCF3","miR34a","NP63","miR205","ZEB1","miR141","miR200c","CDH1","FOXC2","GSC","TGFbeta","miR200a","miR200b","CLDN7","GRHL2","OVOL2","SNAI1","TWIST1","SNAI2","TWIST2"
"TWIST2",0.0529632109344679,0.0530379461025786,-0.111496202638044,0.0240187484685219,-0.00859182156242538,-0.0956942381863989,-0.0957336062434997,-0.122832156674449,-0.122858307836777,-0.00323191308924521,-0.0897453690646481,0.0367619650514033,0.0479271648291593,0.0479378073945087,0.118044104563029,0.0083347660874076,0.122858307836777,0.131171170419427,0.073782734520242,-0.109676913848742,-0.0238776886677154,-0.0242325800628548,-0.0454864162691274
"ZEB2",-0.0926265326325552,-0.0926016735833642,-0.0920842435866161,-0.0287161503364426,-0.0260582084007449,-0.0114586079754088,-0.00997890546533748,-0.00971945990331951,-0.00944376815762366,-0.00877056991539919,-0.00705429479173857,-0.00511825230152077,-0.00143592837749345,-0.000921730987276136,-0.000796250373017801,0.00212709755614817,0.00944376815762366,0.0100470165275026,0.0112617474986474,0.0172473589480162,0.0284742161620227,0.0773659152992126,0.0963874536914536
"SNAI2",-0.136329874645464,-0.136348604484873,-0.0551152401421051,-0.0532631879067018,0.0166618465733441,-0.0430174795537815,-0.0433565913521592,-0.0572135775237192,-0.0572672240292407,0.000215990243924683,0.112331425394824,0.0679688843674522,-0.175194455807747,-0.175325878839095,0.0563150709385347,-0.190883181668343,0.0572672240292407,0.0615941133032203,0.0315879129272364,-0.120395162073966,0.0532518531225161,0.0732889363806408,0.165649088871459
"TCF3",-0.136397130899418,-0.136203419082997,-0.055088368557894,-0.0523299759336839,0.0165995588857483,-0.0430227444081428,-0.0433695652173913,-0.0571854027845952,-0.0575255263994143,0.000115293606652084,0.0124556937460991,0.0684491481443109,-0.17541749610671,-0.175290615555686,0.0565141416186071,-0.190913693657478,0.0575255263994143,0.0618251758745719,0.0317483249725907,-0.120526186583889,0.0530560165919608,0.173336897507142,0.165857735825112
"KLF8",-0.136397130899418,-0.136203419082997,-0.055088368557894,-0.0523299759336839,0.0165995588857483,-0.0430227444081428,-0.0433695652173913,-0.0571854027845952,-0.0575255263994143,0.000115293606652084,0.0124556937460991,0.0684491481443109,-0.17541749610671,-0.175290615555686,0.0565141416186071,-0.190913693657478,0.0575255263994143,0.0618251758745719,0.0317483249725907,-0.120526186583889,0.0530560165919608,0.173336897507142,0.165857735825112
"NP63",0.155462269319764,0.155549993427445,-0.0464284720574524,0.0729176636772143,-0.0150086294211903,0.0282827125551166,0.126348060792434,0.0102045728662221,0.009797772273155,0.0177018134046054,-0.104639167595041,-0.0512497820221472,0.100577108395169,0.0999266796256778,0.00605013787118475,0.102038500978698,-0.009797772273155,-0.131437207245741,0.0756529173873885,0.0958038437019164,-0.0725204910080793,-0.17515571677287,-0.178603821748548
"TWIST1",-0.123136602217272,-0.123147556755936,-0.031137850205862,-0.276062755649573,-0.106660198143153,-0.0823115944752627,-0.0838828098103244,-0.104224088293812,-0.104545300781487,-0.0290675101503481,-0.0983059731708147,-0.264898230524576,0.0187690266587094,0.0181927706619181,0.0750703950534301,-0.0271073188203086,0.104545300781487,0.108932059289034,0.0668519710041372,0.11964760833364,0.176485117115829,0.133443398575883,0.161440026799906
"miR205",0.0232028903306832,0.0232892536825825,-0.0138890921749205,0.0383054566657844,0.0112848634839309,-0.017387247456623,-0.0208259552160126,-0.00937615894306422,-0.0100345358576367,2.01040946008049e-05,0.0107304959119633,0.127534408177115,-0.00510804572215176,-0.00632213872326269,0.010981364543908,-0.003756890900903,0.0100345358576367,0.0132693179801128,0.0242193967510976,-0.155874917380809,-0.0373046741609453,0.0211488566405312,0.0932052997377388
"OVOL2",-0.110180305290081,-0.110077215898418,-0.0129608551831185,0.0472822671102528,0.00471751819441396,-0.0341958941030238,-0.037448954313268,-0.0274918757372039,-0.028151242674293,-0.0130021098934957,-0.0258136548279703,0.0800012314333983,-0.0110226378287827,-0.0120973732785181,0.0233344101695354,-0.0655739120861391,0.028151242674293,0.0336014185282552,-0.0616310968543181,-0.19477500842796,-0.0462571610027786,0.167691532243053,0.154879346858261
"miR200c",0.0221122874594746,0.0222203527308986,-0.00800489358462643,0.15638936743971,0.0284437788831166,-0.0156034961582355,-0.0181234890496518,-0.00582338935293342,-0.00629633714119387,4.63722873309292e-05,0.0554852635364251,0.138751916397948,0.0885724818207252,0.0877191503054085,0.00648315174165433,-0.0425624468558884,0.00629633714119387,0.0111166215463844,0.0219010336833155,-0.254095550911747,-0.155488706363353,0.146049803795459,0.1008939531886
