"","FOXC2","miR101","TWIST2","ZEB2","TCF3","miR141","CLDN7","GRHL2","OVOL2","SNAI2","miR200c","GSC","CDH1","NP63","miR205","TGFbeta","miR200b","miR200a","ZEB1","TWIST1","miR34a","KLF8","SNAI1"
"SNAI1",-0.488788607514787,-0.315328802974668,-0.168537614801499,-0.134146898455765,-0.44519805877781,-0.157016533627505,-0.157016533627505,-0.154985591857995,-0.140470390258275,-0.100143078456878,-0.148023590081791,0.0705813006836042,0.173014822841807,0,0,-0.0707821144771115,0.132371257324113,0.148023590081791,0.157173966521637,0.446804954378135,0.332149691762392,0.314438739675039,0.399800456653876
"ZEB2",-0.149340174600994,-0.126884314449533,-0.0986557009412264,-0.0933225526599559,-0.0621421812612897,-0.056509181397448,-0.056509181397448,-0.0540721064370359,-0.048791360587675,-0.0395011344580063,-0.021640109667724,-0.00323437465287635,-0.00279574722523771,0,0,0.00319188409009193,0.0062691976576255,0.021640109667724,0.0566365937002228,0.0632804084845673,0.102576977724753,0.126195221605956,0.176633737534425
"TWIST2",0.300931086135348,0.106588283196937,-0.0401451744411352,-0.058080439379635,0.307808537089946,-0.0958442364704684,-0.0958442364704684,-0.0991067475445592,-0.0940356433703826,-0.043627852705894,-0.0748426951087887,0.0355321664809321,-0.106327449618071,0,0,-0.035335961237695,0.061047532060242,0.0748426951087887,0.0957489945829787,-0.309143618234953,-0.0767862510260201,-0.106046018721344,-0.306117016410855
"NP63",0.17959489287618,0.0786690492902967,0.0735720446871608,-0.0559368181652472,0.206165528688609,0.150613944869798,0.150613944869798,0.232788303161344,0.173286157914656,0.0308203171295346,0.0811349987411628,-0.00845842866208139,-0.100272252589192,0.0215802590359401,-0.12148890048048,0.00858851441597969,-0.141714772112536,-0.0811349987411628,-0.150784604334612,-0.207680170223446,-0.186375410168622,-0.0778192219971337,-0.191650156198274
"TGFbeta",-0.293595533522453,-0.15523488611447,-0.056206498495894,-0.0321710464501685,-0.171476483233114,-0.167945248490179,-0.167945248490179,-0.166817598292364,-0.150375612663542,-0.000387853706036007,-0.102313865292887,-0.16143141802281,0.0353454553849936,0,0,0.0611755568915476,0.00339740971857773,0.102313865292887,0.168114905453748,0.173393756847345,0.288223361430845,0.154406001888199,0.352854447666217
"TCF3",-0.125634032974784,-0.0565529357272803,-0.00598167743284366,-0.0300413744893167,-0.160613839617316,0.0168266078171024,0.0168266078171024,0.0173102917925057,0.0227795028347672,-0.010944923269665,-0.00636842464300557,0.00925214977317354,0.0187154531289963,0,0,-0.00963279142624586,0.0104875670092932,0.00636842464300557,-0.0167863781422313,0.163033975144905,0.0385105406281145,0.0564486293645921,0.129067382640689
"CLDN7",-0.125634032974784,-0.0565529357272803,-0.00598167743284366,-0.0300413744893167,-0.160613839617316,0.0168266078171024,0.0168266078171024,0.0173102917925057,0.0227795028347672,-0.010944923269665,-0.00636842464300557,0.00925214977317354,0.0187154531289963,0,0,-0.00963279142624586,0.0104875670092932,0.00636842464300557,-0.0167863781422313,0.163033975144905,0.0385105406281145,0.0564486293645921,0.129067382640689
"miR34a",-0.299711747292063,-0.102509795363598,-0.0461200110474649,-0.0130274117911028,-0.2067063126784,0.106093430916073,0.106093430916073,0.108705918374446,0.102063319833706,0.0574505465759026,0.0986925558593088,-0.0262955719652532,0.0556189139150191,0,0,0.0261296384231453,-0.0825906662976631,-0.0986925558593088,-0.105989914449815,0.207940044658591,0.0699514465078886,0.101874999727458,0.306070967644664
"GSC",0.253189515786059,0.150295135753451,0.089870658376896,-0.0117984101338228,0.112782103712311,0.21659377111646,0.21659377111646,0.215069401883402,0.17783073871975,0.00541677823018572,0.105262053247049,-0.0135803356464573,-0.0184640273565783,0,0,0.0138070930160718,-0.0828802730442323,-0.105262053247049,-0.216691508673021,-0.113916144090538,-0.21416140853749,-0.149727086801857,-0.241311817147627
"TWIST1",-0.456944051440644,-0.193507626894903,-0.137066109850635,-0.0115529256826133,-0.400489504711103,0.0385608126892528,0.0385608126892528,0.0412871488808009,0.0610398007095664,-0.11858207043886,0.018833236928249,0.00218758744891719,-0.0166198298900149,0,0,-0.00241539501262967,0.0275704276852023,-0.018833236928249,-0.0384501221009144,0.301934683499898,0.113730316694676,0.19285732564509,0.360441629660035
