"","CDH1","miR200c","TWIST2","SNAI2","miR101","TGFbeta","FOXC2","NP63","miR205","OVOL2","TWIST1","ZEB1","CLDN7","miR141","TCF3","GRHL2","miR34a","SNAI1","GSC","KLF8","ZEB2","miR200b","miR200a"
"miR200c",0.0976579488905067,0.100747139595061,-0.010459328631886,0.0786021280234834,0.0713487073652577,-0.0919309062652784,-0.0728619467180968,-0.0451270982158822,-0.0456495791115637,-0.0576313115122178,0.0264261921258447,0.00965993258603286,0.00965613829042152,-0.00965613829042152,-0.0263271046182653,0.000131554057183369,0.0808969531669285,0.0587124769823714,0.0922036087468709,-0.071492794393823,-0.213337668841761,-0.0689870040013823,-0.11111343901443
"miR200b",0.0976579488905067,0.100747139595061,-0.010459328631886,0.0786021280234834,0.0713487073652577,-0.0919309062652784,-0.0728619467180968,-0.0451270982158822,-0.0456495791115637,-0.0576313115122178,0.0264261921258447,0.00965993258603286,0.00965613829042152,-0.00965613829042152,-0.0263271046182653,0.000131554057183369,0.0808969531669285,0.0587124769823714,0.0922036087468709,-0.071492794393823,-0.213337668841761,-0.0689870040013823,-0.11111343901443
"miR200a",0.0976579488905067,0.100747139595061,-0.010459328631886,0.0786021280234834,0.0713487073652577,-0.0919309062652784,-0.0728619467180968,-0.0451270982158822,-0.0456495791115637,-0.0576313115122178,0.0264261921258447,0.00965993258603286,0.00965613829042152,-0.00965613829042152,-0.0263271046182653,0.000131554057183369,0.0808969531669285,0.0587124769823714,0.0922036087468709,-0.071492794393823,-0.213337668841761,-0.0689870040013823,-0.11111343901443
"NP63",0.154814580916165,0.110855610990075,0.0743518336508636,0.107462220858594,0.0351943575772986,-0.0131081807974398,0.1412571834753,0.175247536003091,0.276085885100253,0.051740325218767,0.183869438137622,-0.0614355982846167,-0.0614087949094271,0.0614087949094271,-0.183449826334638,-0.0915129781889923,0.00978265988247713,-0.13951446953111,0.0127076536078056,-0.034892805957144,-0.20169094207065,0.0348184276798191,-0.037197197898563
"miR141",0.0318822669994723,0.0929277169685946,0.0828106286457189,0.103082165653117,0.0959827372280325,-0.0743556006862725,-0.0740157596918808,0.0648406675045212,0.0649295247997052,0.0777924100879355,0.0330946412915614,0.0081043926088427,0.00829477697098813,-0.00829477697098813,-0.0328831560141903,-0.0172853576423713,-0.0181843801597785,0.0848578870919086,0.0741817528542572,-0.096215077561594,-0.194712623212176,-0.0253597536046109,-0.101777660659396
"SNAI1",-0.134441333268432,0.0188518381567826,-0.152129815196985,-0.175710910011568,0.0728407090146706,0.0799526141896371,-0.265668961672585,0.125277328508075,0.125261401039317,0.119123471626915,-0.289258508402479,0.127140077893274,0.127135985718978,-0.127135985718978,0.289028075996836,-0.134310755970149,0.0934920663305973,0.147176234963658,-0.0799430516280415,-0.0728179348748624,-0.187204825909709,-0.0698142713943444,-0.150361501215521
"miR205",0.0527057951486884,0.0903915144978765,0.118795680610351,0.0434571198022186,0.0400381644907161,0.029600152449979,-0.0544232292045085,0.0605122835875268,0.0609780451572424,0.0724606935496915,0.0113477543564992,0.00522757822403812,0.00541453242336484,-0.00541453242336484,-0.0111788980490984,-0.0147133665297777,-0.0111822336758664,0.0506020794113891,-0.0299572386267763,-0.040137044270427,-0.185157880679569,-0.0861045230108094,-0.0967323965566858
"miR101",0.0661376488763326,0.0954961201500687,0.0653253081393077,0.131211489533019,-0.0893339545899841,-0.0375338881352744,0.243476940882529,-0.11117469595171,-0.111271798618097,-0.10547268939234,0.246642138672783,-0.107906448521838,-0.107863272621242,0.107863272621242,-0.246414079792127,0.118838045323724,-0.035428800657928,-0.2302965397516,0.0375531722744891,-0.0107404798412571,-0.0779248134694049,-0.0676252158321012,0.0137162330041369
"TCF3",0.258232606034733,0.0763673855622717,0.115216509070241,0.123369072879525,0.0210842540047444,-0.0324958518985646,0.142493077622875,-0.0884790986009885,-0.088768115942029,-0.0903889414062715,0.202579510983203,-0.0805260609701871,-0.0802737111914503,0.0802737111914503,-0.200643402561131,0.0868784202969095,-0.000782149963756956,-0.139285781739168,0.0325321034845715,-0.0217845967256504,-0.0707225010256977,-0.0123850287540499,0.00569277640990048
"KLF8",0.258232606034733,0.0763673855622717,0.115216509070241,0.123369072879525,0.0210842540047444,-0.0324958518985646,0.142493077622875,-0.0884790986009885,-0.088768115942029,-0.0903889414062715,0.202579510983203,-0.0805260609701871,-0.0802737111914503,0.0802737111914503,-0.200643402561131,0.0868784202969095,-0.000782149963756956,-0.139285781739168,0.0325321034845715,-0.0217845967256504,-0.0707225010256977,-0.0123850287540499,0.00569277640990048
