"","TWIST2","ZEB2","miR101","OVOL2","SNAI1","NP63","FOXC2","TCF3","TWIST1","miR200c","ZEB1","miR141","miR200a","TGFbeta","GRHL2","GSC","CLDN7","miR200b","miR34a","miR205","CDH1","KLF8","SNAI2"
"ZEB2",-0.0941396811443385,-0.0907261526006509,-0.0636703596866849,-0.0539184286832576,-0.0366864302614558,-0.0351022384601458,-0.0102900051800794,-0.00708423761129206,-0.00704689206758965,-0.00599575816254061,-0.00464141476205002,-0.0044477186023403,-0.00443258406024226,-0.00119324654152882,0.000836807053791247,0.00133057111400602,0.0044477186023403,0.00583423701456708,0.0254250304844096,0.0351254798608276,0.0427000178117374,0.063840395583152,0.0641623773664238
"NP63",-0.167536894096129,-0.0587513845469607,-0.151667755792333,0.0883542273488727,0.0214220463431874,-0.0124276260058208,-0.0420942554777735,-0.118504663114964,-0.118322906130784,0.0610093903788323,-0.0626410197942213,-0.0625090386176549,-0.0273265906708435,-0.119398445539228,-0.113488050835051,0.11946691172549,0.0625090386176549,0.149069847096806,0.0761907802005638,-0.0880506629021758,0.135846180464932,0.15181304884568,0.12395083085314
"CLDN7",0.15876834116327,-0.0425650150979799,0.18851678317688,-0.0330089247623754,-0.0377016936596196,-0.0325906844265728,0.0309374684513224,0.131940309593844,0.131988712304396,0.0378267089220042,-0.0343561499210342,-0.0341403725739984,0.00491023802871459,0.186954235189289,-0.0325752120660494,-0.186899857810278,0.0341403725739984,-0.16034978108262,0.00475354897008828,0.0313768115942029,-0.0561047068541894,-0.188859504082855,-0.157245098935312
"CDH1",0.158656044700608,-0.0425138027001264,0.188448846196517,-0.0331137734307973,-0.0377427664817332,-0.0325393233582626,0.0308598055084943,0.131988712304396,0.131717795969734,0.0379816884349864,-0.0342197811799583,-0.0343561499210342,0.00481470271249269,0.186792604974668,-0.0326304014956504,-0.186954235189289,0.0343561499210342,-0.160170805532751,0.00483831718200881,0.0325906844265728,-0.15593510130553,-0.18851678317688,-0.157415849294097
"SNAI1",-0.00837712034080071,-0.0358024098422704,-0.0172128614175865,-0.0795043835960896,-0.0824513235966547,-0.0744077754091587,0.0309593534371888,-0.0164909984417902,-0.0164393938454045,0.0583481778161807,-0.0722107191604535,-0.0722557330777066,-0.0081488150854559,-0.00399579063180697,-0.0678111580791609,0.00398505714430173,0.0722557330777066,0.0112519679538236,0.0952174594883662,0.0745976798443462,-0.0879394349279843,0.0172362595064306,-0.087029861249981
"OVOL2",0.049112868250476,-0.0331351886637409,0.0611866350489621,0.12809350307623,0.101540654811327,0.152562903299448,-0.00628404216883727,0.0233983144491381,0.0233551520867181,0.129578124289695,-0.127583543925174,-0.12767090698731,-0.105456510700909,-0.238973146739611,-0.146385912184229,0.238921476766066,0.12767090698731,0.035755620444729,0.154136945599955,-0.152298207267727,-0.114996618451448,-0.0611460573096905,-0.0741083713859532
"TWIST1",0.13180303839404,-0.0317799713337667,0.118590910617842,-0.0816560130144682,-0.0331442865879585,-0.0737413928070861,0.0790873209337216,0.232435262147165,0.13248182811153,0.0542928657964982,-0.0685870647776048,-0.0686037238962511,-0.00789517681254406,0.00244972693775394,-0.0623636634714181,-0.00242810558714024,0.0686037238962511,-0.00928679332854907,-0.00665450491128928,0.0740006433373712,0.102739285966885,-0.118578960212026,-0.144675379333336
"miR34a",0.0327015459411961,-0.0210577664483646,0.129663102160426,-0.0815180011179214,-0.110384927005082,-0.0729369660187412,-0.0943220322742822,0.0508819832279332,0.0508890691167792,0.0888112931740217,-0.0668883498863597,-0.0669169061529134,-0.0714913002273419,0.00697612263273449,-0.0603271951995734,-0.0069688818963516,0.0669169061529134,-0.02164156640134,-0.0230791187843132,0.0731659288737755,0.0466902211243947,-0.129667903942848,-0.142376931685235
"miR101",0.00796591744197976,-0.0206195509382743,0.0379439753653548,-0.0516954941888014,-0.0316898212804637,-0.0330603789183804,-0.0486821223533926,0.026545717958484,0.0266908463370836,0.0104011603126862,-0.00295036277223488,-0.00297837766956852,0.00686796276019873,-0.00821952371796071,0.000964963327631554,0.00827905301727571,0.00297837766956852,0.0377767889804281,-0.0369434879292622,0.0334671603586491,0.08147757842634,-0.137957267228076,0.0593081546736619
"FOXC2",-0.0379460822903828,-0.0138963518597762,0.0541105039251291,-0.0715057270006503,-0.0783619460140272,-0.0478081462853082,-0.0910144247231889,0.0106822811102153,0.0107667786316214,0.00609673795007513,-0.00219471535017085,-0.00225210428133389,0.00287715663955907,-0.00267949220540545,0.00887275103092669,0.00275439369366546,0.00225210428133389,-0.00566254264364575,-0.00341466354318767,0.0485536057594204,0.126608794797048,-0.0541430253636037,-0.0479999857912144
