"","SNAI2","miR101","KLF8","ZEB2","ZEB1","TWIST1","NP63","miR200b","SNAI1","miR200c","GSC","TGFbeta","FOXC2","CDH1","miR200a","GRHL2","miR205","OVOL2","TCF3","miR141","CLDN7","miR34a","TWIST2"
"miR101",0.120149344421737,0.121532992225069,0.221580842930867,-0.169588662856761,-0.268628924635177,-0.019565088456597,-0.207053031947417,0.214214468459749,0.0241263632043319,0.218869020515469,0.0810650324016202,0.0813031495988802,-0.0950954977235044,-0.117699617513239,0.0612714666028799,0.239356873345521,0.20655177223715,0.192024918172695,0.0192300928759198,0.268452595575489,0.268452595575489,0.145142890021444,-0.0124485270649059
"SNAI2",0.273359366061468,0.31067945104124,0.310467873225695,-0.156937447925518,-0.0938048388524444,0.152639127544884,-0.0753140523021652,0.34085547577867,0.0112286257798478,0.123979568177673,0.232353835839905,0.232606771313351,0.0585389145244797,-0.287297482180466,-0.0266938963679841,0.0843375072309389,0.0747633347415999,0.070423792572783,-0.15287262409911,0.0935852823873549,0.0935852823873549,0.0562405075931484,-0.334806211239767
"CLDN7",0.373081206650426,0.310134658512486,0.308897883069184,-0.156229896672302,-0.0930606638187454,0.153101043753824,-0.0734793080338443,0.339511095247144,0.0109986635318096,0.122387148260533,0.230671523276642,0.231668441891832,0.0582419664707633,-0.38642525566359,-0.0267940457333925,0.0834261667633732,0.0713405797101449,0.0695920647561191,-0.153730278990997,0.0921280668103703,0.0921280668103703,0.0552119411504616,-0.334787298814625
"SNAI1",0.184292076126252,0.153702181642185,0.153716844444528,-0.118303332952928,-0.165821756332488,0.0256579313137761,-0.147470244813481,0.160545210877659,-0.0868284295587469,0.1474402286919,0.0629404359491039,0.0631275889403317,-0.0708633118921342,-0.194801611240638,0.0301508108108761,0.151541363443653,0.14711371455129,0.14460655760065,-0.0257871982730392,0.165690111857502,0.165690111857502,0.0396965956764618,-0.118445062588823
"GRHL2",-0.0298441478568675,-0.0192237790815278,-0.0190521165963832,-0.111944147172722,-0.244233859891076,-0.0653581143120143,-0.256355779109145,0.180439932868658,0.0100747072799646,0.262801896616055,0.176556814752025,0.176702604316153,0.0251307660960265,-0.0608250144531185,0.194954552138096,0.0600896032096505,0.256058991702651,0.153464783144946,0.0651702421806772,0.244149792698461,0.244149792698461,0.231350160807121,0.0825444924308611
"TWIST1",-0.142301400650896,-0.0516884674662896,-0.0516267237029076,-0.109970169068441,-0.157425506149316,-0.126140271140059,-0.1371675762355,0.0434180133618585,0.0127178772417042,0.13817295784768,0.0253705610627921,0.0254084767645929,-0.0126117964238927,0.0421663725603502,0.0298226265854413,0.142628090845726,0.137089015468747,0.134578879857298,0.026034885010181,0.15740440459903,0.15740440459903,0.0646620381306683,0.141670302551304
"ZEB2",-0.152544978876341,-0.139153458089075,-0.138876031100103,-0.0796044075052575,-0.0418314363356572,-0.0396354125141252,-0.0379895529078781,-0.0231145195060114,-0.0128785370518447,0.00748067997780688,0.00975596677844747,0.00984279531978956,0.0107356110361571,0.0301867523777144,0.030375985854951,0.0366394970250228,0.0378733459044694,0.0389147867994741,0.0396532734263307,0.0418302088568251,0.0418302088568251,0.0474097647740028,0.152408978033947
"miR200b",-0.16008793516114,-0.11093009747917,-0.110753590869178,-0.0313914517715515,-0.245883891447394,-0.121343188654765,-0.173500645170533,0.0818801993534781,-0.0130539606111451,0.140203670324272,0.160348421400869,0.160417733281608,0.0365621577296824,-0.0798997165176326,0.11246970110296,0.219633155422687,0.173362027790046,0.160892075017478,0.121113956361111,0.245852421113206,0.245852421113206,0.22025346905198,0.174002666319568
"miR200a",-0.16008793516114,-0.11093009747917,-0.110753590869178,-0.0313914517715515,-0.245883891447394,-0.121343188654765,-0.173500645170533,0.0818801993534781,-0.0130539606111451,0.140203670324272,0.160348421400869,0.160417733281608,0.0365621577296824,-0.0798997165176326,0.11246970110296,0.219633155422687,0.173362027790046,0.160892075017478,0.121113956361111,0.245852421113206,0.245852421113206,0.22025346905198,0.174002666319568
"miR141",-0.16008793516114,-0.11093009747917,-0.110753590869178,-0.0313914517715515,-0.245883891447394,-0.121343188654765,-0.173500645170533,0.0818801993534781,-0.0130539606111451,0.140203670324272,0.160348421400869,0.160417733281608,0.0365621577296824,-0.0798997165176326,0.11246970110296,0.219633155422687,0.173362027790046,0.160892075017478,0.121113956361111,0.245852421113206,0.245852421113206,0.22025346905198,0.174002666319568
