"","miR200b","miR200c","CDH1","KLF8","miR101","GSC","miR141","GRHL2","SNAI1","NP63","FOXC2","TWIST1","TCF3","miR205","CLDN7","ZEB1","miR34a","OVOL2","TGFbeta","ZEB2","SNAI2","TWIST2","miR200a"
"TWIST1",0.0451785248266528,0.101990155773863,-0.010857016054446,0.00398575115264232,0.00404052384596503,0.0319305403143604,-0.0060690400173433,-0.0040660677752622,-0.00162727680562236,-0.016703511408412,0.132967991133996,0.00382607173082609,-0.103831790358029,0.0167113674850873,0.0060690400173433,0.00607730787622699,0.00399060863263349,0.0684569617130768,-0.031980990132459,-0.213367969489322,0.0612430285176444,0.0958797488036702,-0.089053937214498
"GSC",0.144876578811785,0.14538383989241,0.0623912793544255,0.125463510975954,0.125468382750839,-0.00417928793553498,0.111212853865888,0.107151214690881,-0.1040373262044,0.0284713138705196,0.165817908759037,-0.011405652007227,0.0113880823675643,-0.0284847240891061,-0.111212853865888,-0.111220576339493,-0.00775059301840985,-0.153447763397547,0.0041695086419667,-0.189735458016842,-0.0361934499671523,-0.02668759794132,-0.0318928966970565
"miR141",0.0712682929872297,0.0949880323513072,0.0564920042304495,-0.0540063699453948,-0.0539361275189692,0.104065976952879,0.00466635133919144,-0.00125410605033507,0.0646094784749417,0.0533102657301173,0.0557605523763712,0.0712742842397582,-0.0711101243391414,-0.0533600258154203,-0.00466635133919144,-0.00462193576115283,-0.0982616398945438,-0.140004054136235,-0.104070521994238,-0.182705083625889,0.0489382831050582,-0.0389013641666324,-0.0898481206036323
"miR101",0.161303197723782,0.139111274837066,0.0787065898071402,0.23289015677501,0.13293933666708,-0.0132127351034043,0.103620890833839,0.0988216404680758,-0.0270525549936146,0.0422626565831113,0.0267751837402593,-0.0409728185973549,0.0410677521983937,-0.0423072713217214,-0.103620890833839,-0.103594523871643,-0.0299926087544193,-0.165879342245602,0.0131993200500375,-0.168606667199862,-0.135960679504974,-0.06825220204902,-0.034884575510274
"TWIST2",0.0122777119469985,0.0229256763224854,-0.100036280003111,-0.0341640905672091,-0.034213624341422,0.0378654712512539,-0.112685620400285,-0.111601988182995,0.0184618651276455,-0.0300338969174641,0.0765337235828367,0.143372851640135,-0.143569480453381,0.0300818232478476,0.112685620400285,0.112643972252875,0.0392401602100495,0.152222171632653,-0.0378542829133224,-0.159264113398844,-0.00831786244368776,-0.0309150816856421,-0.132521386620938
"miR34a",-0.0286874804209545,-0.0280051138618096,0.00727742334874097,0.00447969255630652,0.00451522574622662,0.0406463178609852,-0.0707578864120207,-0.0679224688623559,-0.0225319428797588,-0.0268919538176104,0.0946575986092274,0.0880560983760048,-0.0880285421416036,0.0269449369576184,0.0707578864120207,0.0707647875097711,0.0498910316305833,0.124906583171583,-0.0406547653867653,-0.134969186100023,0.0394102021977722,0.198268779606572,-0.13686304602208
"NP63",0.114697005358704,0.0546332723624182,-0.0170149937821911,0.0178236446186903,0.0178181618619602,0.0178775120960213,0.035594953491192,-0.0872487891258058,-0.0498525530651147,-0.0111680506637033,0.00253224716271549,-0.106919435219694,0.106683824314275,-0.0887513388461849,-0.035594953491192,-0.035631935363289,-0.0127265614533319,0.122872923850469,-0.0178860703693041,-0.0999922931696734,-0.00381960751028001,-0.00703824464527138,-0.0119333606113308
"ZEB1",0.00968231965301116,0.0254134815949013,0.0127706055005345,-0.0449957095130565,-0.0449810138960243,0.0398001143386342,0.00364085075316341,0.011923087733102,-0.0544721205226768,-0.0520137339517497,0.0951913810124796,0.034542464561428,-0.0345250374099259,0.0519734994420359,-0.00364085075316341,-0.10363367052116,-0.00491578507390269,0.129845595135783,-0.039814064114866,-0.0685019581182056,0.0741786271581871,0.133171783591727,-0.0204834448709964
"GRHL2",-0.0923420300582553,-0.0879778054088291,-0.0787036180287928,0.0102010725246633,0.0102125166903396,-0.0964522314193072,-0.0996870433311464,-0.0345694024698752,-0.0793969249707966,0.00792825887424115,0.0182004046270076,-0.0218193317746432,0.0217499636030725,-0.00786404171611074,0.0996870433311464,0.0996811477098462,0.108309427867585,-0.093642492730878,0.0964483510887031,-0.0364273222573494,0.00136153737436243,0.0375528269287791,-0.111655886373578
"TCF3",-0.0137706030604537,-0.00232861305181796,-0.101123036224338,-0.0399743617318415,-0.0398104517333316,0.0136967234810014,-0.0361665030251549,-0.0359778398886174,0.0488528204332518,-0.00973171651168635,0.00968813277717775,0.116103525857822,-0.116442344831684,0.00967391304347826,0.0361665030251549,0.0361774747546652,0.00295449200070067,0.0493184462610111,-0.0139504845830496,-0.0320907243857737,0.0303615936399729,0.00673251036095613,-0.0328932052380982
