"","OVOL2","ZEB2","miR101","SNAI1","FOXC2","CDH1","GRHL2","CLDN7","miR200c","miR200a","TCF3","GSC","TGFbeta","miR200b","TWIST1","SNAI2","miR141","ZEB1","NP63","miR205","KLF8","miR34a","TWIST2"
"ZEB2",-0.111544839270636,-0.0858222045319958,-0.0718408396377829,-0.0707676897434465,-0.0707438589110447,-0.0292511622820225,-0.0158984752598064,-0.0150106646445744,-0.0122121087976702,-0.0122121087976702,-0.00572764946826596,-0.00441483458575203,-0.00431568993925504,0.00514567005345723,0.00530385873320824,0.0124937352381781,0.0150106646445744,0.0156845505234124,0.0311217523316889,0.0315478446775209,0.072018830429991,0.0734766345667366,0.0737051568488891
"GSC",-0.0534063205561344,-0.0592170244017448,0.072530167709715,0.140518656686037,0.0709872734488779,-0.101972893196144,-0.0101483263334369,-0.0103143891925629,0.0336634030247938,0.0336634030247938,0.208814923793762,-0.0354750251603746,-0.0355123087171036,-0.0654091979481889,-0.20860408811781,0.086288780449877,0.0103143891925629,0.0101025038230304,0.00798447260147962,0.00773350993935966,-0.072519449804968,-0.0677200732742661,0.0185931599559955
"TWIST2",-0.15367739854066,-0.057840127479814,0.0660796870629527,-0.101317462622883,-0.122429686943195,-0.0439952564073597,-0.117982242401807,-0.113800187745822,-0.0257156487973349,-0.0257156487973349,-0.156371930417487,-0.0169619403523395,-0.0167231648477045,0.0168408698090569,0.156510140525347,-0.199357936931576,0.113800187745822,0.114254658356973,0.0284702781169076,0.0286790999850075,-0.0662308954263395,0.104474226890924,-0.133241547322592
"SNAI1",0.113233441273788,-0.0334440647729127,0.033460604078106,-0.0361020284366756,0.158015661412176,-0.115963247976163,0.0854462060753939,0.0850316059270384,0.0650739668936013,0.0650739668936013,0.0477474830956541,-0.0149510424230085,-0.014353675054762,-0.0200986975148093,-0.0475507725054713,0.0939629677767228,-0.0850316059270384,-0.0839481062686963,-0.0143900289891997,-0.0138129645442107,-0.0337529242013983,-0.123790154640229,-0.0123038282077015
"miR34a",0.0675139546116638,-0.0197068249725857,-0.081732766397681,-0.151416835691853,-0.203899299485353,0.0140950338649418,0.00439837952874214,0.00364206377546649,0.0503803793621506,0.0503803793621506,-0.159803085634465,-0.00510754456087571,-0.00484024070940735,-0.020627175319558,0.159800723671516,0.0388395872258645,-0.00364206377546649,-0.00310591987092057,-0.0156911839358062,-0.0153543625457556,0.0816386514622169,0.0733314602894924,0.178628615950857
"CLDN7",-0.0681774356613679,-0.0195963474117079,-0.181691163459792,-0.115719269204514,-0.127578191283269,-0.0813288831455096,-0.0607479336959122,-0.0589235201480348,-0.019600386998315,-0.019600386998315,-0.205303205870993,-0.204382841209167,-0.205597269340397,-0.190089634110331,0.204286748949405,0.0976790666540867,0.0589235201480348,0.0575081670412067,0.0124629303845187,0.0121739130434783,0.182242497091143,0.0775906134873675,0.143966986069466
"SNAI2",-0.0680082624790946,-0.0192739140890611,-0.181882105276309,-0.115367199459068,-0.12805401228431,-0.181335281533595,-0.0602656233625118,-0.0583937616891347,-0.0190342211000336,-0.0190342211000336,-0.204855142043695,-0.205141022025709,-0.205391372128047,-0.190020023689271,0.20469192115142,-0.0023617994992094,0.0583937616891347,0.0578893474215638,0.012307053910417,0.012052041838037,0.182121431002091,0.077419062940768,0.143989607417619
"CDH1",-0.0677370712539958,-0.0188771472157648,-0.182121431002091,-0.115029245793005,-0.128516120669732,-0.181301405151593,-0.0595240269335838,-0.0575081670412067,-0.0182183094236382,-0.0182183094236382,-0.204286748949405,-0.205597269340397,-0.205141022025709,-0.189875159277843,0.204855142043695,0.0976696387201661,0.0575081670412067,0.0583937616891347,0.012052041838037,0.0124629303845187,0.181691163459792,0.0769760439509436,0.14417052340804
"GRHL2",0.197397821688268,-0.0153484957644051,-0.128665947221229,-0.0372525700602539,-0.0659781381825834,0.07260014114222,-0.0229018598636985,-0.00217859902933405,0.00400736499234819,0.00400736499234819,-0.026698344866444,0.11623566828257,0.116003402779264,-0.00983263750382526,0.0261462898343612,0.119761147026831,0.00217859902933405,0.00202465780649485,-0.0543483347115678,-0.0542563479715431,0.128952051363136,0.00960897724929804,0.0709799370150673
"miR200a",0.174077676268615,-0.00866842686405785,-0.0403068550924286,0.0704020719349499,0.0805791623226478,0.0067195886896313,0.0203432338877076,0.0188380436721194,0.0140974322652709,0.0140974322652709,-0.0281260949133002,-0.097945392099882,-0.0977079136888284,-0.0378706677654308,0.0277223502928645,0.146909438795144,-0.0188380436721194,-0.0181860944085475,-0.0590049393685409,-0.0586139672697315,0.0405283888988477,-0.117444299700501,0.0277901462066288
