"","miR200a","GSC","TGFbeta","miR200b","SNAI1","miR141","CLDN7","TCF3","NP63","FOXC2","miR101","KLF8","TWIST2","SNAI2","OVOL2","miR205","GRHL2","TWIST1","ZEB1","miR34a","ZEB2","CDH1","miR200c"
"miR200a",0.0790683533203799,0.18812703322733,0.188188391285688,0.215668003970148,0.185230522757339,-0.145794461438761,-0.145794461438761,0.152770171457436,-0.107313400759776,0.0898922858063741,-0.135972516535705,0.136242679714265,0.02428805661052,0.110115373117704,0.103264757725163,0.108539631433314,0.138378450982875,-0.152733198506847,0.145493372922308,0.0386184580187466,-0.31197289193926,-0.0748830278790205,-0.0790683533203799
"miR200c",0.00736535350763619,-0.050548523157456,-0.0497463233574378,0.182682553870385,-0.0242644424294514,-0.241308122375224,-0.241308122375224,-0.00815145079153252,-0.174992266878667,0.0146262631815242,0.0575854843212614,-0.0577745985462533,-0.111129922164555,-0.0741657504493333,0.165229835963286,0.17623982330305,0.21553310750272,0.0074992479431364,0.240848566218533,0.211824382841219,-0.272757711233472,0.0195560750018372,-0.00736535350763619
"SNAI1",0.243981544117025,0.107280927061062,0.106912670862473,0.00454562894680133,0.149969101085319,0.241453780278343,0.241453780278343,0.200347160030704,0.209278987491737,0.247127763498336,-0.197770859008545,0.198035725374261,0.135456297627167,0.0590432569383203,-0.2026886468947,-0.209015571662284,-0.217858278824679,-0.199947096674565,-0.241294185480809,-0.314149834454735,-0.248489484806408,-0.224215586855147,-0.243981544117025
"miR200b",0.248722395674416,0.203864881300982,0.203013822306345,-0.015112649404295,0.0645258592937555,0.288519724898221,0.288519724898221,0.051652222940422,0.208728354942132,-0.0049845041219375,-0.0612028365057468,0.0616765226121551,0.112023728237436,0.0586296148471722,-0.196921107026882,-0.208994926827684,-0.253487525626122,-0.0510591768129688,-0.288148107122169,-0.259764500641751,-0.194123161456519,-0.182317587483044,-0.248722395674416
"miR205",0.216650382273405,0.0874484987724521,0.0867771767600732,-0.0423161517129102,-0.108049786271476,0.253579977423293,0.253579977423293,-0.0831874328785932,0.181227779369295,-0.133471893157311,0.0628653575160989,-0.0625261623224072,0.0896237924503991,-0.0502517248868826,-0.173336580614756,-0.181584532912056,-0.219588027259163,0.0835333823864389,-0.253173150178911,-0.233554351210673,-0.163955452953796,-0.152847355003205,-0.216650382273405
"FOXC2",-0.170141596420345,-0.00833529927905438,-0.00746361964031838,0.263151276272114,0.156764614884608,-0.229119930423588,-0.229119930423588,0.120266792143738,-0.161703275497708,0.155964456739317,-0.0791527307760586,0.0789593137998677,-0.0888453531483502,0.0495788340469548,0.158098495727138,0.163126425402831,0.19223915419276,-0.12079630994455,0.228479299910531,0.198029285917245,-0.138214925972714,0.108471368878992,0.170141596420345
"ZEB1",-0.169746505633526,-0.00746361964031838,-0.00718576753996231,0.262862474891887,0.156733454000017,-0.228479299910531,-0.228479299910531,0.12079630994455,-0.160993423790615,0.155901621873398,-0.0790645570738653,0.0791527307760586,-0.0886990427157802,0.0495348607280955,0.157658616553694,0.161703275497708,0.191828576626839,-0.120816140841086,0.12817763927738,0.19755842430164,-0.138146019465971,0.108307640439742,0.169746505633526
"miR34a",-0.0248057463511898,0.041526003281982,0.0414885928106704,0.134635540036111,0.280982978289622,-0.0625885434584731,-0.0625885434584731,0.171554832828154,-0.0695958531410473,0.270314529012335,-0.191442807258818,0.191512913282174,0.0492114041580915,0.1364984652392,0.0741758589414136,0.07068011525621,0.064067584222023,-0.171612307259905,0.0623998341303306,-0.09461555557535,-0.129415895757506,-0.0571583781350967,0.0248057463511898
"KLF8",0.0871857154795583,0.0358107091635428,0.0343968973092742,-0.017133496460892,-0.0143434936991317,0.10063484273151,0.10063484273151,-0.0619747749353775,0.097530158331239,-0.0433580481001723,0.0183877649794953,-0.0170913859003715,-0.00741578277788245,-0.0219703559307275,-0.10316330062849,-0.0979347826086956,-0.0912160874899414,0.0636688698046902,-0.100375178466433,-0.0581607534863724,-0.0692846206247603,-0.0226564076382364,-0.0871857154795583
"CDH1",0.0868566493903495,0.0343968973092742,0.0341820723404749,-0.0169929784671931,-0.0149554787486244,0.100375178466433,0.100375178466433,-0.0636688698046902,0.0981721716851168,-0.0440092220054236,0.0180804310207104,-0.0183877649794953,-0.00691044869590603,-0.0221892935073295,-0.103077091723343,-0.097530158331239,-0.0910310405789262,0.0631217250503741,-0.100108858336803,-0.057938236930081,-0.0686010464447153,-0.122556918349916,-0.0868566493903495
