"","miR101","miR34a","ZEB2","GRHL2","miR141","CLDN7","SNAI1","NP63","TCF3","TGFbeta","CDH1","GSC","FOXC2","TWIST1","miR200c","miR200a","OVOL2","miR200b","miR205","ZEB1","KLF8","SNAI2","TWIST2"
"miR101",0.150610485733542,-0.0479019815845125,-0.116392580122824,-0.0673903906633094,-0.0584146080078892,-0.0584146080078892,-0.0689793430126359,-0.0461849225107474,-0.0406370900291254,-0.033228966466225,0.0543058700505439,0.0329640191622315,0.166196095832385,0.0408324131852857,0.0822941963251864,-0.0311586979749128,0.0379677580116146,0.0551739211701841,0.0469984853912849,0.0584680011063368,-0.250360598714375,-0.141099405087151,-0.00958926056678539
"ZEB2",-0.116503038042326,-0.110302004781336,-0.094970603153051,-0.0839544851369664,-0.074297297946138,-0.074297297946138,-0.0734382325796536,-0.0569879317486359,-0.0179896438727166,-0.00383349001232627,0.0017606345722569,0.00346092783139036,0.00821258301500334,0.0182705473101303,0.0244392363665912,0.0331109088388722,0.0449138817079374,0.0525289966176057,0.0576464381012854,0.0740927999727055,0.116591536257447,0.172406266454728,0.184820844688612
"TGFbeta",-0.0186330286889879,-0.0572106063473442,-0.0601607933342135,0.0153667759622199,0.0145525402637262,0.0145525402637262,-0.0336899758241868,0.010680245724197,-0.0247149996231608,-0.119422545688907,0.120077066715403,0.0194420936530951,0.0143320514095347,0.0243360828260287,0.0244815006579207,-0.0409215341824025,-0.00704574354000918,0.109829530477492,-0.00989529069557884,-0.0144515008789515,0.0186821939187834,0.0801704793830554,0.109041957076661
"FOXC2",-0.0142202637464599,-0.147962473072251,-0.0418397531915476,-0.155077467731954,-0.124977189102646,-0.124977189102646,-0.0958836699201945,-0.0674782577610209,0.0188961140449301,-0.0120544017440773,-0.0730628139190286,0.0118188419911436,0.0986969353295473,-0.0187440185063992,0.162966914824464,0.13617852537273,0.0396801567651913,0.188965875038627,0.0680746253403107,0.125000569778305,0.0140953129565313,0.051121097969038,0.146827710093475
"ZEB1",-0.014267289720963,-0.147908660316182,-0.0417817000906286,-0.155031764065462,-0.125000569778305,-0.125000569778305,-0.0959011389009503,-0.0674725099739189,0.0187440185063992,-0.0120742973265719,-0.073115141745792,0.0120544017440773,0.0985408616303303,-0.0189032666149524,0.16298718856947,0.136185448114927,0.0396969827445033,0.188962284257701,0.0674782577610209,0.0250508314023277,0.0142202637464599,0.0510313540567067,0.146804650297037
"CDH1",0.242154209176035,-0.0329178684303851,-0.0323230894257161,-0.0355481789183724,-0.0326024204895524,-0.0326024204895524,-0.0382411870699521,-0.0264295012219391,-0.176194820989067,0.192479190770718,-0.194155423344596,-0.192387122926947,0.0670313351662233,0.176911952463171,0.0310721731413215,0.000104171264505357,0.0208618247833845,-0.193937183362743,0.0256590851972857,0.0324323606477401,-0.241885696348886,-0.245423324821847,-0.232754252957823
"TCF3",0.241885696348886,-0.032732437966809,-0.032075933940423,-0.0354864966147007,-0.0325475618420009,-0.0325475618420009,-0.0383110108675453,-0.0256590851972857,-0.176146418278516,0.192387122926947,-0.094135525486932,-0.192423374512954,0.0668222426278399,0.176194820989067,0.0310190979656427,9.35562293695911e-05,0.021106471676369,-0.193932745952416,0.0255434782608696,0.0326024204895524,-0.241125749992158,-0.245432752755768,-0.232838475304819
"miR200a",-0.00470168380929507,-0.145691377811682,-0.026289620509111,-0.152160223276193,-0.135108089094597,-0.135108089094597,-0.0717262328034308,-0.0640650366053608,-0.0341373735191801,0.0730671232686471,0.0371449835207762,-0.0733989112879181,0.0227165065343908,0.03450562410705,0.075106287439643,0.0510689618169675,0.036789143638709,0.115106036358449,0.064544865999354,0.135119025593712,0.00463864573429777,0.093704265449113,0.103191042341496
"miR205",0.0128838621367598,-0.133957402631029,-0.0255991751954894,-0.145731186650902,-0.12404710056476,-0.12404710056476,-0.0764556364766944,-0.0624030337001395,0.0211163120613579,-0.0137106194378224,-0.00560698334623972,0.0132138728896554,0.0969130332237661,-0.0208156654652539,0.0666804141441366,0.044631747778267,0.0372820513336821,0.0762531837396983,0.0634237452252609,0.124098652719391,-0.0128175250693589,-0.000970310265635609,0.098889802629605
"miR141",0.0183412441985496,-0.0614043491300574,-0.0212267769100706,-0.159839352465202,-0.143110058466313,-0.143110058466313,0.0320823076335605,-0.0686878544881992,0.0623992428381541,-0.106922029273769,-0.0397549647495365,0.106542518320219,0.0120724263914201,-0.0623356493631404,0.0768648639130687,0.0586205842018468,0.0400611322641778,0.0500537977112923,0.0696723933188372,0.143173222328549,-0.0181827484671278,-0.0954564015678703,-0.00827005532290677
