"","KLF8","ZEB2","TWIST2","miR141","CLDN7","GRHL2","CDH1","miR205","miR200c","OVOL2","TCF3","FOXC2","SNAI1","TGFbeta","GSC","miR200b","TWIST1","miR200a","NP63","ZEB1","miR34a","SNAI2","miR101"
"SNAI1",0.0366918639950195,-0.0929517854150614,-0.0317213659299816,-0.0745193175661377,-0.0745193175661377,-0.0705653030478156,0.0980955552140313,-0.0679861373902443,0.0123984653950959,-0.0655964120452901,-0.0149135709368348,0.098225593552378,-0.0838638395803756,0.00418401658570742,0.00432160038009283,-0.0187711364796396,0.0144511733157556,-0.0123984653950959,0.0676087788996782,0.074418711847131,-0.0186249421296235,0.0389370798917732,-0.0359428131774903
"ZEB2",-0.102383665387859,-0.0848136649081591,-0.0837067797952079,-0.0363124418824523,-0.0363124418824523,-0.0331705952940476,-0.0272614146550188,-0.0242171319343268,-0.0241571048737314,-0.0207454541964389,-0.0165712882274784,-0.0134514817971296,-0.01277782241434,-0.00563847709811963,-0.00562924001925345,0.0095923871124463,0.0166638402270887,0.0241571048737314,0.0243255918041749,0.0363308540649342,0.0425754263370872,0.0945598027430705,0.102362783786539
"TGFbeta",0.0234846301219979,-0.0754505934253193,0.0504546512716293,-0.107718161647136,-0.107718161647136,-0.101125788251715,0.051359678139369,-0.0909039015358237,-0.0150009922124113,-0.0834713678311913,0.0678094150985176,0.0531978489507913,0.031237920431651,-0.0980927848130636,0.00165048525726563,0.0867349606506578,-0.0669086368442576,0.0150009922124113,0.0915580307263388,0.107936194003755,-0.00497286285527247,-0.0276852473698583,-0.024949199995484
"miR141",0.111094394491278,-0.0206640876382455,0.0130329233074809,0.224274406878701,0.224274406878701,0.207387215084388,0.150432087384895,0.109123472342117,0.122968351799776,0.0786130546428172,0.0595594406783835,0.0520467999933544,0.0228167045045559,0.135147403102795,0.135233758888633,-0.0690150204939337,-0.0598862815615934,-0.122968351799776,-0.109297632640677,-0.22437551369705,-0.206314653487141,-0.154978991434123,-0.110530653992016
"GRHL2",-0.00677302885158287,-0.0142895526976949,0.0206529134027811,-0.131898638091203,-0.131898638091203,-0.0825517192075987,-0.0298618343880747,-0.0361775334160993,-0.117769599228569,-0.0901624280455113,0.00120040360557073,0.0756288620172189,0.0722330812449553,0.0545708553290327,0.0545314976900476,0.103574719835277,-0.0011252547530359,0.117769599228569,0.0361792690149677,0.131950825257528,0.118700482315982,0.0226640180420211,0.00655030778111322
"GSC",-0.0994330463548916,-0.0132193004991188,0.00977031569426505,-0.186508903172397,-0.186508903172397,-0.170346915099408,-0.10535806679748,-0.135257684657586,-0.0880149460082602,-0.111666932027671,0.107254201847174,0.0509540680373202,-0.0052234706159007,-0.0217414509769298,-0.0215910943383175,0.0488113266298634,-0.107530524361868,0.0880149460082602,0.135102509271084,0.186475600004977,0.129186835294659,0.072064132649693,0.100036172085658
"TWIST1",0.0599810100857969,-0.0112484665916443,0.121998851478516,0.148309228556534,0.148309228556534,0.137530922907928,0.159629628173429,0.105895698405412,0.0933885244587145,0.0875355354180496,0.0174511937041116,-0.0110567162449922,-0.010932656978625,0.0124499863186208,0.0124427792017496,-0.0116872371102638,-0.117519000283801,-0.0933885244587145,-0.105899626443749,-0.148342423392948,-0.0581915051774944,-0.153823857906039,-0.0599282291267768
"CLDN7",0.0315743823440233,-0.00715855233575947,0.0604904308149212,0.031694207444099,0.031694207444099,0.0288033147194074,0.110530755446442,0.0228985507246377,0.0190728377696657,0.0216706958213402,0.0710972457438274,-0.0325447117201888,0.000287174155319406,0.00234250601283594,0.00319441828399781,-0.00242176022185924,-0.073517381271417,-0.0190728377696657,-0.0248638686437128,-0.032253765649124,-0.0205960738419881,-0.0503723352824406,-0.0276852451066518
"CDH1",0.0276852451066518,-0.00659076270738335,0.0631925644477117,0.032253765649124,0.032253765649124,0.0290792618674124,0.011753999934262,0.0248638686437128,0.0198986875032283,0.0223254175063748,0.073517381271417,-0.0331003004650362,0.000410392621660228,0.00279875332752383,0.00234250601283594,-0.00188483357225195,-0.0723540346578712,-0.0198986875032283,-0.0240420915507493,-0.031995467210145,-0.020898060596955,-0.0485276028786318,-0.02999186734469
"miR205",-0.0358187109317789,-3.02318331082274e-05,0.0721967017544032,-0.234075421297888,-0.234075421297888,-0.21241709772397,-0.0766080134246554,-0.113035829915821,-0.120170423297427,-0.0818247948420968,-0.00537467095793512,0.0903142527654138,0.0882855929666213,-0.0407864427084862,-0.0406578916848392,0.0996411884765456,0.00531289426010554,0.120170423297427,0.112857453144441,0.23410585570243,0.22070562259974,0.0682061124520166,0.0360577747029786
"OVOL2",0.053543886836634,0.00482242980148298,0.0814342134309509,-0.10378385435506,-0.10378385435506,-0.0643769279334752,-0.112338026171215,-0.0215341366172907,-0.103906288396038,-0.0782028248683444,0.00488771517746923,-0.0710607018732567,-0.0535132275831734,-0.0372582093929411,-0.0374828015446166,0.0627456728122464,-0.00427804680828715,0.103906288396038,0.0218960679259695,0.103935347067785,0.124632241367967,-0.0499866425495501,-0.0547085776232938
"SNAI2",-0.02999186734469,0.0068814396373402,-0.0617850230284596,-0.031995467210145,-0.031995467210145,-0.0289409256104778,-0.0111275948343266,-0.0240420915507493,-0.0195107797805077,-0.0219786153449102,-0.0723540346578712,0.0328647906818325,-0.000351172809293528,-0.0025871837918134,-0.00279875332752383,0.002184564169616,0.0730522573637108,0.0195107797805077,0.0245385512235742,0.03216291972099,0.0207469265144888,-0.0504611720938316,0.028811887461925
"TCF3",-0.0315743823440233,0.00715855233575947,-0.0604904308149212,-0.031694207444099,-0.031694207444099,-0.0288033147194074,-0.110530755446442,-0.0228985507246377,-0.0190728377696657,-0.0216706958213402,-0.0710972457438274,0.0325447117201888,-0.000287174155319406,-0.00234250601283594,-0.00319441828399781,0.00242176022185924,0.073517381271417,0.0190728377696657,0.0248638686437128,0.032253765649124,0.0205960738419881,0.0503723352824406,0.0276852451066518
