"","miR200a","TGFbeta","GSC","miR200b","CDH1","miR101","SNAI1","TWIST2","OVOL2","miR141","NP63","miR205","TWIST1","TCF3","FOXC2","ZEB1","CLDN7","GRHL2","miR34a","SNAI2","KLF8","ZEB2","miR200c"
"miR200a",0.131865115647282,0.184664459547589,0.184696274837108,0.0876980665240403,0.0443132322697411,0.118848051647993,0.174813856663198,-0.0134491227604556,0.0633209490721288,-0.00290653886517701,0,0,0.0231405162943369,0.0248752871359892,-0.0282474508887368,0.00272954613460102,0.00290653886517701,0.00232421032537446,-0.116846222930423,-0.0921667692374911,-0.120416799171497,-0.278250365643943,-0.134960826801664
"miR141",0.131865115647282,0.184664459547589,0.184696274837108,0.0876980665240403,0.0443132322697411,0.118848051647993,0.174813856663198,-0.0134491227604556,0.0633209490721288,-0.00290653886517701,0,0,0.0231405162943369,0.0248752871359892,-0.0282474508887368,0.00272954613460102,0.00290653886517701,0.00232421032537446,-0.116846222930423,-0.0921667692374911,-0.120416799171497,-0.278250365643943,-0.134960826801664
"miR205",0.124482265214803,0.0737729404075649,0.0737316771160239,0.111220661348219,0.103398492479881,0.0373171484753003,-0.0512839333873729,0.115444242221277,-0.0539372995152035,0.0129739727900629,0,0,-0.0867734890358718,-0.0867899628219597,0.0884121498276277,-0.0130031649740109,-0.0129739727900629,-0.010773492025519,-0.0201850507072449,-0.052682622763923,-0.0371081241308482,-0.241285776562838,-0.109869912228946
"GSC",0.100595316945447,0.079162079183686,0.0789750501941926,0.115227187862678,-0.0185266797559132,0.0762913056607363,0.130722567677317,-0.0744388270353212,0.0661043482240101,0.0494740970448707,0,0,0.0396195453879076,0.0390237748793463,0.0488070170926724,-0.0493959069996218,-0.0494740970448707,-0.0493869817063471,-0.072923299123667,0.0764136635005368,-0.0757446925186364,-0.171025641072491,-0.0584727100596581
"NP63",0.00874671290113356,0.0991795030275667,0.0995731835985747,0.0974458122862546,-0.0279014230745505,-0.0548332813678872,-0.0718034071849808,-0.00438968631659511,0.0274796779954317,-0.0764943127754277,0.0215802590359401,0.12148890048048,0.00660513298987438,0.0111670089014642,0.0490136930083342,0.0759694416182344,0.0764943127754277,-0.0756788742997094,0.101425291344262,0.0453866025615479,0.0503895070381542,-0.169148858268575,-0.114166229592761
"SNAI1",0.013875928782893,0.014494221813598,0.0147196250512081,0.0270022371303004,-0.0362843495686448,0.0321173700117303,-0.088591017011068,-0.0427123207617625,-0.0950947511374695,-0.0925784266362022,0,0,0.0162751790650982,0.0182203146932181,-0.105953368173386,0.092355518953338,0.0925784266362022,0.0931355609678599,-0.0146210649526922,0.0532551132838296,-0.0339196468017621,-0.1224599411928,-0.105249169971899
"TGFbeta",0.0528143980056926,-0.0560940912143049,0.0434954015377444,-0.0389349793467143,-0.00131692170442215,0.0765057746790446,0.126564511311725,0.0169160529841872,-0.00829738050700922,-0.0112611815081455,0,0,0.00933805528288448,0.0065789964486776,-0.0256352233355793,0.0115639565745759,0.0112611815081455,0.0111916684423477,-0.10554353808588,-0.0227357993416209,-0.0738598543544156,-0.122061641516165,-0.0655308451798924
"TWIST1",0.0868304489427568,0.0448415003801765,0.0449358196053174,0.0149516505212466,0.109247830581573,0.0563147211765556,0.0352824237890538,0.1093914227473,0.0821349351538141,0.0694532007545044,0,0,-0.094115438640136,0.00679872476555159,-0.016309296147705,-0.0695508108496835,-0.0694532007545044,-0.0692693414539859,-0.0118439759093828,-0.125931378262721,-0.0571731586609952,-0.112283905434041,-0.023561514412743
"TCF3",0.0226975557297503,0.0162063361108844,0.0147743984636124,0.0184663223955816,-0.0901103484370115,-0.0352068715222923,-0.0574683851737454,-0.0451815696214605,-0.00417431169387517,0.0171312365423432,0,0,0.0280186958687293,0.0165956561785067,0.0390037558005807,-0.0158548586759788,-0.0171312365423432,-0.0175989143920799,0.006959017441494,0.0317198928835066,0.0460100305149909,-0.0316229856260954,-0.00612861498476469
"CLDN7",0.0226975557297503,0.0162063361108844,0.0147743984636124,0.0184663223955816,-0.0901103484370115,-0.0352068715222923,-0.0574683851737454,-0.0451815696214605,-0.00417431169387517,0.0171312365423432,0,0,0.0280186958687293,0.0165956561785067,0.0390037558005807,-0.0158548586759788,-0.0171312365423432,-0.0175989143920799,0.006959017441494,0.0317198928835066,0.0460100305149909,-0.0316229856260954,-0.00612861498476469
