"","miR200c","miR200a","miR141","GRHL2","miR34a","SNAI2","miR101","miR200b","TWIST1","SNAI1","TGFbeta","GSC","FOXC2","miR205","NP63","TCF3","KLF8","ZEB2","TWIST2","CDH1","CLDN7","ZEB1","OVOL2"
"miR200c",0.31804158865865,0.31804158865865,0.307566173166368,0.28571689463466,0.159775688544349,0.199490557500767,0.192924381828771,-0.0615546090411952,-0.0863922755958832,-0.181767335641248,0.147361433385907,0.146644453111386,0.192176434848294,-0.0905424282971835,-0.0922129454466415,0.0860092358277776,-0.191348429953839,-0.334153663706903,-0.190222113834251,-0.056714275135758,-0.307566173166368,-0.308801551178648,-0.339077194815584
"miR101",0.255880301625691,0.255880301625691,0.203432113217748,0.185734484869914,0.0296670351294627,0.159626773303312,0.256652243059975,-0.00625001204363766,-0.202523195150904,-0.253437717262388,0.0215451785893656,0.0208534649001421,0.255928678773646,-0.0619486352126236,-0.0635311462350885,0.202179470043695,-0.355146275013613,-0.310674783432967,-0.0891930647740355,-0.0244949039778082,-0.203432113217748,-0.204415600907672,-0.266665352864562
"miR205",0.34055084120055,0.34055084120055,0.373661963386325,0.335080108145131,0.340541824742584,0.144147390782931,0.0951716508356655,-0.0756678968570459,0.126180865276817,0.0802724939873927,0.0602097526269213,0.0594225759882925,-0.0971548747835122,-0.111024867000918,-0.113175298078116,-0.127395807000799,-0.0926345709182739,-0.295504508875181,-0.273141678428746,-0.0951312710338118,-0.373661963386325,-0.375007909399418,-0.40672642324416
"TGFbeta",0.045257790295734,0.045257790295734,-0.118762014453975,-0.117258691194933,-0.241323656349134,0.101670136141066,0.185504279252075,0.0123478335621174,-0.215272272676488,-0.289653298730209,0.0578802913452312,0.15745414572593,0.292529991800294,0.0227529462050538,0.0221124447060078,0.215971113236468,-0.18540941113261,-0.22878647787392,-0.0263855325229019,0.12604769137778,0.118762014453975,0.118403659148721,0.151354230136293
"miR141",0.288417795497368,0.288417795497368,0.35169382226247,0.323097387996906,0.338953445584971,-0.00215661170000366,-0.0752755081348145,-0.0514084054713294,0.20247919657392,0.217640457641948,-0.0508583843430863,-0.0512685743258152,-0.226004466513908,-0.102896402339178,-0.104311010478506,-0.203841280073632,0.0773503613461541,-0.204224804673813,-0.139152583735904,-0.136524233239239,-0.35169382226247,-0.352393088624254,-0.388352913105139
"GSC",0.0127141346688745,0.0127141346688745,-0.154998144974297,-0.150422832664889,-0.142614956356034,0.043428891010093,0.120929004982124,0.151673386534241,-0.225994641153209,-0.126211954519123,-0.0501549248305245,-0.0503376753790818,0.251924722256076,0.037049439495163,0.0369210845458344,0.226377978745849,-0.121120952912594,-0.204016160449882,0.0520970281950579,0.0357305970698925,0.154998144974297,0.155064992636439,0.196073751572217
"GRHL2",0.346237686637355,0.346237686637355,0.338978194302327,0.227737190463594,0.293410461580909,0.105357355416202,0.0978389551030472,-0.208847280553767,-0.00436970445874676,-0.0600383845629955,0.206438674257278,0.20590928629628,0.0863759152137058,-0.112872842231696,-0.114457443998536,0.00332918188518759,-0.0958186197009609,-0.15650411764802,-0.157535019047377,0.0364093444970184,-0.338978194302327,-0.340255360561031,-0.470699272126201
"CLDN7",0.0360202986184304,0.0360202986184304,-0.0567675912614611,-0.0564332119821749,-0.093096878389492,0.0338300078343239,0.0812788997328246,0.049839704896338,-0.0407038933657957,-0.158293985593327,-0.0201189317114891,-0.0203908186065407,0.116263442516003,0.0133333333333333,0.01373795761079,0.0423495855245566,-0.0829329006268792,-0.130084945266354,-0.00483766435042815,-0.00884040341192618,0.0567675912614611,0.0556009306901997,0.0675420222083494
"SNAI2",0.0369483380941966,0.0369483380941966,-0.0551789897619297,-0.0550312653791929,-0.0915675089901669,-0.0659034994654844,0.0813353809268218,0.0489652671140157,-0.0396584234500289,-0.157708779434242,-0.0195673797567729,-0.0198590957968462,0.11478035013106,0.0132500274618429,0.0129570348680446,0.0402523661413601,-0.0815344721827616,-0.130074142996362,-0.00612481200548196,0.0911049162695007,0.0551789897619297,0.0548826485221641,0.0655531337975815
"NP63",0.198231944913187,0.198231944913187,0.263784483611008,0.316934681097409,0.252925766585606,0.0462224400042346,-0.00314784649287946,-0.0282306530450418,0.0362336064092684,0.121151671892164,0.065946277156893,0.0652958483874015,-0.0685752900386982,0.0237876813411959,-0.0777439179709279,-0.0372186843852585,0.00489410451141118,-0.102842917310345,-0.10294171246867,-0.114890667421714,-0.263784483611008,-0.264905814686977,-0.409067688519303
"miR34a",-0.181534917325028,-0.181534917325028,-0.210598252444742,-0.197941023570187,-0.0857178734465043,0.0331499082950527,-0.0275659050742711,0.0550268568529661,0.0900209622618284,0.0638665788252712,-0.0322842474409144,-0.032004272300776,-0.123681828423528,0.0521073142518249,0.0529134148819458,-0.0895005430921371,0.0265815396778359,0.0400147486401335,-0.130957879429317,0.0310330101223996,0.210598252444742,0.21104944145629,0.257031011588145
"TWIST1",-0.150142642331921,-0.150142642331921,-0.181418299095238,-0.171937651265697,-0.190809145918343,-0.0536151374267736,0.0711872277016788,0.0414260442600817,-0.219541380977658,-0.220019544824098,-0.0270359628470443,-0.0269767391475372,0.137715570388835,0.0466183235107661,0.047038623612895,0.120127131792563,-0.0719620123454073,0.105848280710375,0.144300382501485,-0.0629385551947091,0.181418299095238,0.181639803672794,0.227020646826422
"CDH1",-0.0367739661130698,-0.0367739661130698,0.0556009306901997,0.0553521484494021,0.0920266797139953,-0.033812199514696,-0.0815344721827616,-0.0491785307575654,0.0402523661413601,0.157739502494793,0.0198590957968462,0.0201189317114891,-0.115194083533985,-0.01373795761079,-0.0132500274618429,-0.0407038933657957,0.0812788997328246,0.129915721690838,0.00583429545654831,-0.0910127314481729,-0.0556009306901997,-0.0551789897619297,-0.0662628684536021
"TCF3",-0.0360202986184304,-0.0360202986184304,0.0567675912614611,0.0564332119821749,0.093096878389492,-0.0338300078343239,-0.0812788997328246,-0.049839704896338,0.0407038933657957,0.158293985593327,0.0201189317114891,0.0203908186065407,-0.116263442516003,-0.0133333333333333,-0.01373795761079,-0.0423495855245566,0.0829329006268792,0.130084945266354,0.00483766435042815,0.00884040341192618,-0.0567675912614611,-0.0556009306901997,-0.0675420222083494
