"","miR200a","CDH1","TGFbeta","GSC","miR101","KLF8","TWIST2","FOXC2","SNAI1","OVOL2","miR141","ZEB1","NP63","miR205","TCF3","miR34a","TWIST1","CLDN7","GRHL2","SNAI2","miR200b","ZEB2","miR200c"
"miR200a",0.0528930532147153,0.0324178601667678,0.10597862628613,0.106395633830899,0.0381233262870606,0.0391697583320157,-0.049945797428517,0.0633050608637027,0.0174692406328313,-0.181500234074132,-0.15159688498842,-0.150699868867127,-0.0539226626043473,-0.0531407184067287,-0.0603375093018909,-0.151476679649158,0.0606436453327707,0.15159688498842,0.162404819856383,-0.0477485786169126,-0.014553558214287,-0.258628790451153,-0.197213597771666
"miR141",0.0528930532147153,0.0324178601667678,0.10597862628613,0.106395633830899,0.0381233262870606,0.0391697583320157,-0.049945797428517,0.0633050608637027,0.0174692406328313,-0.181500234074132,-0.15159688498842,-0.150699868867127,-0.0539226626043473,-0.0531407184067287,-0.0603375093018909,-0.151476679649158,0.0606436453327707,0.15159688498842,0.162404819856383,-0.0477485786169126,-0.014553558214287,-0.258628790451153,-0.197213597771666
"miR101",0.0481864162607665,0.0384085715928045,0.021969264621638,0.0222400810114795,0.00367268758007882,0.104649639490119,-0.0995182539834835,0.0427085312561929,0.0194711656000858,-0.179762785723489,-0.142973678301118,-0.141922625270565,-0.03917223183838,-0.0381723368142356,-0.0268277362634403,-0.0959497681490511,0.0278021696626088,0.142973678301118,0.152755643705138,0.104668753529652,-0.0560001492526761,-0.235400922715806,-0.181217090903181
"miR205",0.0665741223000542,0.042957882927889,0.0210692396474301,0.0210327375049131,-0.0457055267272551,-0.0442598793150266,-0.128300914650703,-0.0765498753520751,-0.0815397083966075,-0.150759462056144,-0.1099128306864,-0.108399806003477,-0.0471997222711696,-0.0458321670239196,-0.0953546739345079,-0.124662903716012,0.0963060350810834,0.1099128306864,0.130293538292627,0.0377307322548069,-0.054418588867509,-0.2320139073935,-0.160459050078277
"miR200b",0.0454542583682419,0.0280451311411467,-0.0804115767803612,-0.0808808523007685,-0.083797700343504,-0.0827638759135483,-0.0799390658741353,-0.0710090834049389,-0.0600930115249661,-0.14189714856845,-0.114142551127181,-0.112864766281598,-0.045802724852282,-0.0446226999722393,-0.0121959248265292,-0.0436410902252398,0.0132563090494317,0.114142551127181,0.128319606926345,0.0962514313708865,-0.066751494914865,-0.190379093019695,-0.147066247506037
"TWIST2",0.0321232568120632,-0.0441691663371594,0.00066543968272155,0.000773229767671052,0.0228484114378737,0.0231082464990957,0.0943728662309577,-0.0491910771208556,-0.0350576452304024,-0.153025508388927,-0.110888275486527,-0.110494070928476,-0.0283516879814628,-0.028023050287404,0.0782442998315395,-0.0353154173400862,-0.0779450820722531,0.110888275486527,0.115136782762949,-0.101326935614372,0.0110611677872411,-0.178717206259433,-0.139731038524089
"miR34a",-0.0849263939575819,-0.0249915746965113,-0.0647405398856265,-0.0639470758570014,0.0411650747815933,0.0417499318805484,0.133528815981977,0.0175668746131089,0.0161394312489005,-0.211867960698996,-0.172685467161386,-0.171968704870888,-0.038768461014826,-0.0381326633347306,0.0616160320346994,-0.105552657602932,-0.0607586394843305,0.172685467161386,0.178971385481298,-0.0578394951114631,0.0729999185009814,-0.146764686739338,-0.203291185945343
"SNAI1",0.0214265445801584,-0.0712376340797623,0.019203955069771,0.0191417008422405,0.0118358730860537,0.0123883799572925,-0.103838844075666,0.0531658218512986,-0.0698120464586301,-0.126691392568662,-0.0930156195529913,-0.0924905086589284,-0.0156100434839218,-0.015143246130332,-0.0146761985670086,-0.10547197569027,0.0148708654108,0.0930156195529913,0.0972584275980674,0.102479055135718,-0.0481596828318052,-0.145165964158924,-0.114626289037093
"TGFbeta",0.014642280879159,0.00601079371873121,-0.0865123286305729,0.0142326660045969,0.0122847926866798,0.0125970957660851,0.0108947766290635,0.069127180369132,0.00844401045006426,-0.136772110706682,-0.102963584523392,-0.102523917387267,-0.016536333657763,-0.01602665799682,-0.0460369241852114,-0.103113709282944,0.0469876196223271,0.102963584523392,0.107038559333106,-0.0155485046534605,0.0615848497957295,-0.136925985344359,-0.117327930866475
"CDH1",0.0247157588465313,0.0394888512543333,0.0038306417664048,0.00506435087293753,0.0326887240317653,0.0315984972516547,0.0573572272845861,-0.0383197563481446,-0.00134821092131104,-0.128588528269402,-0.0833807233124202,-0.083812290269472,-0.0239352323891493,-0.0242690793331658,0.086195304771693,-0.0466649777390148,-0.0851381998580144,0.0833807233124202,0.0877036200883502,-0.0550092285905625,-0.00156070202385858,-0.132707197281409,-0.104611942078741
