"","ZEB2","TWIST2","SNAI2","miR101","OVOL2","miR205","miR200b","miR200c","TCF3","TWIST1","GRHL2","FOXC2","ZEB1","CDH1","miR141","CLDN7","GSC","TGFbeta","miR200a","NP63","miR34a","KLF8","SNAI1"
"SNAI1",-0.137209614105599,0.015590661451162,-0.152546980432849,0.117335765705739,0.136662636496324,0.138460881728824,0.0391583875502946,-0.0158555840150849,0.28595130579649,0.286176628836154,-0.141133727582745,-0.335233797835506,-0.153106892400497,-0.129043428990657,-0.153051223387908,-0.153051223387908,-0.00593909801240305,-0.00598534958583474,0.0158555840150849,-0.138560122111083,0.276005204501829,-0.117385369654088,0.228757751009033
"TWIST1",-0.136912007646839,-0.078674964109132,-0.163101877532092,0.0157390079043095,0.129948092471112,0.132219477622151,0.0458151464859104,-0.0151022052529748,0.270774467938872,0.171062850139236,-0.137761056825297,-0.395402794125977,-0.151570871957066,0.0752035877726738,-0.151502137667541,-0.151502137667541,-0.00871820277114132,-0.00874985141479325,0.0151022052529748,-0.132356958963969,0.190859819994916,-0.0158366028851391,0.30643246181891
"miR34a",-0.104157045148113,-0.00716059192145384,-0.145932884618669,-0.00918628706547092,-0.0354603593493653,-0.0190834685945947,0.102699030794531,0.0779943233713473,0.102253804120409,0.102601012673864,-0.00748502634740413,-0.195201610085049,-0.00659453604350118,-0.0093266455590247,-0.00653480585262634,-0.00653480585262634,-0.0589816104586998,-0.0588705858341622,-0.0779943233713473,0.0189112733895688,0.0808943153528777,0.00907104428735168,0.153902566039077
"ZEB2",-0.0842779556923439,-0.0634344808143872,-0.0336536774712958,-0.0297745020957229,-0.0188129585320762,-0.0127232455645423,-0.0110888603105559,-0.00767142149948671,-0.00128202215366015,-0.000861478857185245,0.00103204565086115,0.00155895292175665,0.00316756779308686,0.00318795131630592,0.00319432683162724,0.00319432683162724,0.00515411827859042,0.00548357409148415,0.00767142149948671,0.0125605557597701,0.0136466223782644,0.0296283308864793,0.0777072263422402
"TWIST2",-0.0772662162650394,-0.0782619788071025,-0.0594479541480263,-0.0687595347749248,0.077666529816854,0.0705449528234969,0.0200167895432637,0.00533957029363371,-0.0132371671321895,-0.0133483051570673,-0.0599228580283401,0.0253468437118233,-0.0652063685523091,-0.0804456428268262,-0.0652019562162785,-0.0652019562162785,-0.00849441154556753,-0.00860547626600917,-0.00533957029363371,-0.0704781982918912,-0.0183492467475295,0.0685909461398844,-0.0866597190543688
"TCF3",-0.0271829738441878,-0.0315707714221989,-0.0485129566819463,0.00591062816543785,-0.0118895885732825,-0.00728260869565217,0.0256978581384029,0.012222917381987,-0.0104363133969159,-0.00830659413263715,-0.00210946917922489,-0.0634283547568664,-0.00187680669424624,0.180381820179075,-0.00175611766963299,-0.00175611766963299,-0.0158220535642839,-0.0145351222610394,-0.012222917381987,0.00653116360894697,0.0336232300842354,-0.0051208799907992,0.0864491952857835
"CDH1",-0.0271629342102451,-0.0319918831571792,-0.0480467977269804,0.00498862628908316,-0.0117987197273168,-0.00653116360894697,0.0259241660650969,0.0121528581500909,-0.00830659413263715,-0.00836502706756411,-0.00213219423847236,-0.063840565761108,-0.0019746713201948,0.0807049234868572,-0.00187680669424624,-0.00187680669424624,-0.0145351222610394,-0.0148522448340287,-0.0121528581500909,0.00647980254063675,0.0334483956471493,-0.00591062816543785,0.0868927817646105
"OVOL2",-0.02567034190721,-0.0654550776322088,-0.0644275873118047,-0.0698380626633216,-0.0507238318011292,0.00543493790597525,-0.00460828926111997,0.0015674696016529,0.00383136476035952,0.00360296392588718,0.027255856625384,-0.0206487813682274,-0.0121171548381274,-0.0749670789363019,-0.0121281601383344,-0.0121281601383344,0.00404251113620429,0.0038372091079856,-0.0015674696016529,-0.00537335556390154,0.0215818176726364,0.0697952915327381,-0.0452698833081979
"miR200b",-0.0235117665951759,0.000577492107431128,-0.073125652935754,-0.0684198950465895,0.0718734206480293,0.051801523443122,0.032234515592314,0.00472602598676071,0.0245840459921001,0.0247866577613298,0.000477660403442617,-0.0294080870561219,-0.00957826846532914,-0.0486465509298555,-0.00955527949780161,-0.00955527949780161,-0.110452462697208,-0.11038087829579,-0.00472602598676071,-0.0518406206530029,0.0160844597120958,0.068380271113734,-0.0599413197113536
"miR205",-0.02157323750995,0.085139375761509,-0.00136477182923147,0.0181082909292601,0.0732192457364733,0.0535500601951276,0.00217847669636039,0.00105843153400764,0.097023789312245,0.0970526184378988,-0.00292469147436075,-0.107583378747843,-0.0138934479817769,-0.0643121506418447,-0.0138779202243577,-0.0138779202243577,-0.000562001340262188,-0.000635005625296309,-0.00105843153400764,-0.0535203307332309,0.0186377301858253,-0.0181721247110987,0.096894933448573
