"","KLF8","miR200c","miR200a","GSC","TWIST2","miR200b","TCF3","TWIST1","miR34a","NP63","miR141","FOXC2","GRHL2","CLDN7","ZEB1","miR205","OVOL2","ZEB2","SNAI1","CDH1","TGFbeta","miR101","SNAI2"
"TWIST1",-0.00772697789702291,0.0902973481443391,0.0787911000795918,0.0564639290193514,-0.0207346132707337,0.0576665265515042,0.0876219718514699,-0.0126370002661377,-0.000846380409278807,-0.0281771350051728,-0.00739266022565455,0.0207053807578135,0.00499298206437611,0.00739266022565455,0.00729085450059418,0.0279532368199266,0.04307184830874,-0.186858949313628,-0.0158458810466394,-0.172279381772018,-0.0564172394361421,0.00801976283951158,0.0115387696246013
"miR200c",0.123567446208851,0.0867092598512109,0.0807989024502113,0.148985802655325,0.10587809356087,0.0387567312453837,0.0589257424031228,0.0586077750280544,0.00491695329397274,-0.0378590492411975,0.00581401838532028,0.00903508528419984,-0.011343621658863,-0.00581401838532028,-0.00591155410191765,0.0379194722019226,0.0568859539104564,-0.162822506052927,-0.079686897360509,-0.0117568721781798,-0.148734689120192,-0.12330448738172,-0.145171346269104
"NP63",0.205505196000625,0.0591267441442317,0.054149915256531,0.0143032106146234,0.236755020826661,-0.100187857192151,-0.205355294619074,-0.205182513288433,-0.019108032368586,-0.160548006141004,0.00418245243554331,-0.117678309380887,0.0549606467092207,-0.00418245243554331,-0.00415497049389324,0.0606608608271605,0.0632512893777872,-0.158071865827927,0.0886471632908071,0.114955911893947,-0.01430492226928,-0.205691609729448,-0.243993953879031
"TWIST2",0.062448260093638,0.125744059270408,0.0177665680680463,-0.00713662712283537,0.134647959976346,-0.0433143706845262,-0.200697888546259,-0.200491285807704,0.0348489369398514,0.102061040448835,0.111309423280075,-0.0873501861290717,-0.105388445908515,-0.111309423280075,-0.111302212877293,-0.102107255124562,-0.101618205041261,-0.145225850392127,0.0319961089701494,0.127977547881071,0.0070703157541196,-0.062524733288914,-0.160017276295184
"SNAI1",0.0282541794856802,0.0879420335615605,0.0257013080276304,-0.00202492419198822,0.128654462997303,-0.0383506063529371,-0.0614158579890392,-0.061262066073078,-0.0266255149990413,0.0709112550424928,0.0685839923560643,-0.117012770291964,-0.0646529116632858,-0.0685839923560643,-0.0685431478239427,-0.0707581063044384,-0.0756720864361486,-0.116229500391632,-0.071113805992571,-0.0509326665231955,0.00204502508677077,-0.0284291971902341,-0.168102057733456
"miR101",-0.100655214314667,0.0562008015571456,0.0432476613857768,0.0345345800846457,-0.0947580930257391,0.0598569016274272,0.0582146814961258,0.0583750865461569,0.0161722486656318,0.0383335898508672,0.0110216487381239,0.115725840872794,-0.00555289245703734,-0.0110216487381239,-0.0109461733088368,-0.0381000185722612,-0.0559377072079259,-0.0993009214642276,-0.0321487304715242,-0.054537726666212,-0.0345429644929999,0.000410644040588941,0.116700325106882
"TGFbeta",-0.0598276830540238,0.0543900255891486,0.040284164622706,0.0232101514674201,-0.042908647037596,0.113348477789121,-0.0553525314356812,-0.0557722895642406,-0.0797487989665161,0.0113852167003398,0.0126020521500254,-0.0177042451660367,-0.0122180243224856,-0.0126020521500254,-0.0126101147155337,-0.0113061760898192,-0.0105310142761748,-0.0938936964033683,0.0697354245315763,-0.0951227070366857,-0.123172358736656,0.0600028774644219,0.0560433484342057
"TCF3",0.205458191624584,0.0347910505782306,0.0377465442422373,-0.18284611501979,0.279420232314518,-0.199593428100453,-0.240101019104495,-0.241165878736635,-0.0437312858149969,-0.00984041216386026,-0.00261687480068137,-0.134997639792279,0.00158901557406364,0.00261687480068137,0.00243766988534655,0.00978260869565217,0.0149387845970497,-0.0736903343107019,0.106561094523918,0.125434085381455,0.183099876121838,-0.204936659811143,-0.276475359085011
"CLDN7",0.205458191624584,0.0347910505782306,0.0377465442422373,-0.18284611501979,0.279420232314518,-0.199593428100453,-0.240101019104495,-0.241165878736635,-0.0437312858149969,-0.00984041216386026,-0.00261687480068137,-0.134997639792279,0.00158901557406364,0.00261687480068137,0.00243766988534655,0.00978260869565217,0.0149387845970497,-0.0736903343107019,0.106561094523918,0.125434085381455,0.183099876121838,-0.204936659811143,-0.276475359085011
"FOXC2",-0.0231098983052775,0.00597706462886954,0.013808156252513,-0.00253085192208724,-0.108649287225496,0.0288535007902652,0.0760870985672871,0.0763743901400676,-0.00769802739673452,0.0368362090650595,-0.00524447037477536,0.100258666304905,0.0124731565286117,0.00524447037477536,0.00538517953192326,-0.0366057943185157,-0.0571636671889076,-0.0303463233717041,-0.0637923955109327,-0.0304245021068232,0.00233437120650664,0.0227555857913703,0.0504684270358347
"GRHL2",-0.0105392557971522,0.081521827125218,-0.0818335405492951,0.0461164898454264,-0.0518310544433014,-0.0774823117669811,0.0510494882426714,0.0512171279906337,0.0854506822874053,-0.11540819036341,0.0750671948851923,0.0424079349278349,-0.0922683575054746,-0.0750671948851923,-0.0750224318345795,0.115215538889019,0.0143908105329769,-0.00336276143752165,-0.0763248569690833,-0.0624477518250484,-0.046336560023977,0.010439779587812,0.028905589302137
"OVOL2",0.113241446120009,0.00105201356918683,0.00105270920672937,-0.0232860438132871,0.101030754789084,-0.0812488700897002,0.00055345021779639,0.000598411011983858,0.0542089588761885,0.00896416899305152,0.000391992716313941,-0.0110676150983809,0.00383217766823623,-0.000391992716313941,-0.000339140101739935,-0.00870379452919603,-0.0897533279309209,-0.00254016311707398,-0.0562857851301284,-0.0258633877532815,0.0233335801889484,-0.1133862099466,-0.110232399992664
"ZEB1",0.0227555857913703,-0.00588459657237996,-0.0138793616008259,0.00233437120650664,0.108643721067735,-0.0288348629273612,-0.0763743901400676,-0.076499985818134,0.00773594092941966,-0.0373448882235835,0.00538517953192326,-0.100376903955827,-0.0126238653131586,-0.00538517953192326,-0.105438713160403,0.0368362090650595,0.057112655092898,0.0303594484206076,0.0638041988763082,0.0302733932682073,-0.00254361784998466,-0.0225336819741838,-0.0504958654282564
"CDH1",-0.204936659811143,-0.0349927362458102,-0.0377401752211559,0.183099876121838,-0.279778177289252,0.199686613717327,0.241165878736635,0.240693103172226,0.043424001046785,0.00981473162970515,0.00243766988534655,0.135003613864804,-0.0014234472852606,-0.00243766988534655,-0.00250344774868903,-0.00984041216386026,-0.0148199561061716,0.0735968160189694,-0.106635025603722,-0.225527889567585,-0.183024175894737,0.205347516787624,0.276522498754614
