"","TGFbeta","KLF8","SNAI1","FOXC2","ZEB1","NP63","miR34a","OVOL2","miR205","miR141","CLDN7","GRHL2","ZEB2","TWIST1","TCF3","miR101","CDH1","TWIST2","miR200c","miR200a","SNAI2","GSC","miR200b"
"miR200c",-0.0756189752827089,-0.0142763283610933,-0.0225714412045063,-0.0208345056358563,-0.171374175974141,-0.0867670966699625,-0.0874972440499234,0.0519264772174847,0.0861664213545191,0.171421716266213,0.171421716266213,0.186710599655369,-0.219213172703182,0.0142213492642623,0.0144742442462934,0.0145843143846516,-0.149122179691988,0.0856563306897977,-0.0241858888820196,-0.0241858888820196,0.0841841503141219,0.0752655983169786,0.0104563524668287
"miR200b",0.0146562049235274,0.0336673355360488,-0.0528238634953715,-0.0135444950858327,0.221469341877142,0.118096674225606,0.206105211397487,-0.073227329786623,-0.118128662851872,-0.221135667057203,-0.221135667057203,-0.234095552432759,-0.202838130739189,0.0739148885993468,0.073789180567343,-0.0334800223989139,-0.00600872792572393,-0.0809690035655749,-0.213055500260774,-0.213055500260774,0.0242708591934854,-0.014853914222682,-0.164458067470301
"GSC",0.0983983750283058,-0.0498800960331644,0.043643480551879,-0.0344677338642612,0.112266228135126,0.0933229352256407,0.0326723791379502,-0.0759478446178859,-0.0933631658814004,-0.112089817878716,-0.112089817878716,-0.119318182728206,-0.182790818857126,0.0692830823413905,0.0691089831847332,0.0499366086218307,0.0320787760926065,-0.0260645390663327,-0.143217335785666,-0.143217335785666,-0.0217922968410887,-0.0984564395838674,-0.140319104742617
"TWIST1",0.000369214493060964,0.0809595547233443,0.0200816132432282,0.11117671480289,-0.169597624160638,-0.126739067034825,-0.0819256468516922,0.0937213578287809,0.127057238140175,0.169524941042989,0.169524941042989,0.178046519528222,-0.107161174868831,0.085695089006986,0.185628916320783,-0.0811258645376151,0.0914698668089036,-0.0864732456672267,0.0380530311392414,0.0380530311392414,-0.115102226187529,-0.000143287046793154,-0.0148649207290805
"NP63",0.0573636579053948,0.159890573754688,0.0856768914728804,0.0931088201876084,0.0834896797306167,0.0635203191559399,0.0637651295071084,0.0469218532078341,-0.164014730161959,-0.0834581263902037,-0.0834581263902037,-0.18311584727068,-0.102930914272604,0.0662011040474886,0.0664591540867571,-0.1597014186475,0.134970596649329,-0.204069743896827,-0.0913464868106498,-0.0913464868106498,-0.179207412989646,-0.0572849217911932,-0.187164186023479
"TWIST2",0.0863972997278164,0.111682043208818,0.00598311160918822,0.00794084347254902,0.168448839728835,0.127494664523066,0.0940552212446236,-0.0943435015765199,-0.126859640645483,-0.168324325758411,-0.168324325758411,-0.180797888951405,-0.061363125194284,-0.0144708316943372,-0.0147087810552935,-0.111913200821811,-0.0687141780195906,-0.180394583856529,-0.112839453226768,-0.112839453226768,-0.171571535932759,-0.0860908484230107,-0.131845158772217
"SNAI1",-0.00118104617648957,-0.125474117247941,-0.0936647295124055,0.0127766319241814,-0.0366530324762149,-0.0451122310574746,-0.0664120736791777,0.0485638814552114,0.0449211014323827,0.0366951123817089,0.0366951123817089,0.0399953392064836,-0.0599714949514726,-0.0485111341985455,-0.0482643518217707,0.125706538263792,0.0103287064508662,0.117939527784137,-0.0215777308036721,-0.0215777308036721,0.138119027503056,0.000977109913889917,0.0315063273328087
"FOXC2",-0.0713591517297285,-0.0533192606898282,0.0557404285816682,0.0489562209807672,-0.193504206426702,-0.102055059264721,-0.191973385084323,0.0593623273472113,0.101512906919912,0.193231715279476,0.193231715279476,0.21448763647734,-0.0216174872485591,-0.0781734517458639,-0.0778129289878648,0.0534339415518175,-0.143725410827435,0.164494700538566,0.188685229008585,0.188685229008585,0.0568095689949106,0.0712104342820238,0.20853605517315
"SNAI2",-0.130437102308861,-0.0984799116888137,-0.0889020292830723,-0.0759853052063793,0.189210320093314,0.141240005017141,0.148505940205277,-0.103132015987245,-0.141622523125711,-0.188869416261103,-0.188869416261103,-0.201902541402213,-0.0197651649050071,-0.0256001240325652,-0.0255139796727538,0.0987095256460126,-0.159013835006885,0.0720498410621788,-0.103583835286837,-0.103583835286837,-0.00428222264702475,0.130182443254676,0.0977915073423443
"CDH1",-0.130182443254676,-0.097557909812459,-0.088591681845331,-0.075260953494796,0.188869416261103,0.141622523125711,0.148125220760897,-0.102772107930144,-0.142649744491916,-0.188522879224957,-0.188522879224957,-0.201708585413108,-0.0196704927134173,-0.0255139796727538,-0.024881841558544,0.0984799116888137,-0.158837061886255,0.0715506330388174,-0.103333000725751,-0.103333000725751,0.09570714716369,0.129034664135663,0.0977847319467096
"TCF3",-0.129034664135663,-0.094920448927345,-0.0881234516732359,-0.074167698222677,0.188522879224957,0.142649744491916,0.148406015462883,-0.102746478255641,-0.146811594202899,-0.189067808457302,-0.189067808457302,-0.202659791464467,-0.0195524815357548,-0.024881841558544,-0.0226553168731616,0.097557909812459,-0.0581804325833428,0.0697047599338202,-0.103632344716579,-0.103632344716579,0.0951215677123958,0.127022701112281,0.0970910167988699
"CLDN7",-0.129034664135663,-0.094920448927345,-0.0881234516732359,-0.074167698222677,0.188522879224957,0.142649744491916,0.148406015462883,-0.102746478255641,-0.146811594202899,-0.189067808457302,-0.189067808457302,-0.202659791464467,-0.0195524815357548,-0.024881841558544,-0.0226553168731616,0.097557909812459,-0.0581804325833428,0.0697047599338202,-0.103632344716579,-0.103632344716579,0.0951215677123958,0.127022701112281,0.0970910167988699
"OVOL2",0.0185020034311145,-0.0751768700550384,-0.0994254692440216,-0.0760103699921108,0.119057645141362,0.0209578251813159,0.147057015668922,-0.104130603965502,-0.0210237290912544,-0.118925445670975,-0.118925445670975,-0.051173860697779,-0.00143445867295219,0.0353412094199017,0.0353915655093916,0.075308473533757,-0.0827501280087943,0.0624455880096971,-0.112465109313689,-0.112465109313689,0.0839353829828462,-0.0186094769760881,-0.00634867800611979
"GRHL2",0.0102684956650251,-0.033091044877381,0.0663279515188265,0.053144420131528,-0.217597097568087,-0.107678304308822,-0.219500280044461,-0.0288391937208552,0.107492595229905,0.217369788613512,0.217369788613512,0.171862637854534,0.0117950454930537,-0.0523020546228642,-0.0520477046604386,0.0331253773744099,-0.0488518030216155,0.0821089007766409,0.215477148379441,0.215477148379441,0.0332636871304081,-0.0101448794186352,0.17175049291974
"KLF8",0.129034664135663,0.094920448927345,0.0881234516732359,0.074167698222677,-0.188522879224957,-0.142649744491916,-0.148406015462883,0.102746478255641,0.146811594202899,0.189067808457302,0.189067808457302,0.202659791464467,0.0195524815357548,0.024881841558544,0.0226553168731616,-0.097557909812459,0.0581804325833428,-0.0697047599338202,0.103632344716579,0.103632344716579,-0.0951215677123958,-0.127022701112281,-0.0970910167988699
"ZEB1",0.0714943044797782,0.0534339415518175,-0.0557734780047197,-0.0489704094988778,0.093565192954224,0.102187258368066,0.192186190074233,-0.0594843824669829,-0.102055059264721,-0.193504206426702,-0.193504206426702,-0.21479018719519,0.0215846746263005,0.0782533762682698,0.0781734517458639,-0.0535346065284882,0.143802542696822,-0.164720527510576,-0.188864725824124,-0.188864725824124,-0.056957784241311,-0.0713591517297285,-0.20869764031484
"TGFbeta",0.0487540069999195,-0.00135272974565722,0.0399627011920246,0.0370448645333255,-0.110574841646284,-0.0986284057442773,-0.125350916336458,0.084906720703074,0.0985520906720505,0.11039523513379,0.11039523513379,0.116830214946868,0.0470213531408799,-0.0560649336931251,-0.0562214921302635,0.00119969431206837,0.0551583302167109,-0.0207386046225218,0.0763426572378801,0.0763426572378801,-0.0477565869981735,-0.148598057685619,-0.0325550729357738
"ZEB2",-0.207573875723159,-0.121815468245152,-0.102932679217601,-0.095020430382305,-0.0351435718088337,-0.0238796084146772,0.00362979287681748,0.0171021007178333,0.0234225275346029,0.0348580602324808,0.0348580602324808,0.0405987254096358,0.0660019234982731,0.0673283508561821,0.0676514709951724,0.122150568228248,0.139578479417507,0.163383841043948,0.195587908682152,0.195587908682152,0.198063700490655,0.207273978562637,0.237283931998411
"miR34a",-0.0707115353934052,0.05974844045632,-0.0107529594136645,-0.023701396487796,-0.183171612532874,-0.136386267096868,-0.0911103694288315,0.100496119750411,0.136770394861925,0.18297838179586,0.18297838179586,0.191680269795957,0.0829289098348342,0.0710322306411115,0.0710204208263682,-0.0599779656560741,0.0237187148043381,-0.169711559185087,0.182104963091052,0.182104963091052,-0.0967211833781091,0.0709927173229407,0.0517666425360908
"miR200a",-0.209699720187875,-0.0424185949198883,-0.055847352024518,-0.0569935865210088,-0.184632079930079,-0.0946066687456784,-0.0861464218619035,0.0573035275125967,0.0937216500856464,0.184365809655707,0.184365809655707,0.199052328328331,0.165150472812902,0.0419017815256261,0.042349893686769,0.0426401287263074,-0.0373876499079532,0.129610648179853,0.176558827417685,0.176558827417685,0.145454036679767,0.209363387127244,0.194660862789927
"miR205",-0.115422042291956,-0.0673448588907233,0.0396656529868016,0.0362552374019273,-0.203855028954468,-0.105974272628364,-0.192491747238447,0.063523177070651,0.105379683390429,0.203437642835041,0.203437642835041,0.219022864336829,0.175247601457558,-0.0647786831669035,-0.0643791938542722,0.0673686401035652,-0.0236815905053588,0.184815935918471,0.191959203062126,0.191959203062126,0.0886449059282756,0.115325232261802,0.217632454436757
"miR101",-0.0134925257397429,0.0181425421571762,-0.0380025822119273,-0.0420155213571715,0.167412475312225,0.113681836511096,0.116031496480227,-0.0776764016261153,-0.11317795240444,-0.1673989622441,-0.1673989622441,-0.182313250026506,0.189115774095952,0.0682804209305808,0.0681374749336143,-0.118389770803799,0.116697447146234,-0.110399497076216,0.0145613339043141,0.0145613339043141,-0.108518316396866,0.013740704227028,-0.0113720095958667
"miR141",0.0756189752827089,0.0142763283610933,0.0225714412045063,0.0208345056358563,0.171374175974141,0.0867670966699625,0.0874972440499234,-0.0519264772174847,-0.0861664213545191,-0.171421716266213,-0.171421716266213,-0.186710599655369,0.219213172703182,-0.0142213492642623,-0.0144742442462934,-0.0145843143846516,0.149122179691988,-0.0856563306897977,0.0241858888820196,0.0241858888820196,-0.0841841503141219,-0.0752655983169786,-0.0104563524668287
