"","miR101","ZEB2","CDH1","miR34a","NP63","miR205","FOXC2","CLDN7","TCF3","TGFbeta","TWIST1","miR200c","SNAI1","GSC","miR200b","miR200a","miR141","ZEB1","GRHL2","OVOL2","SNAI2","KLF8","TWIST2"
"GSC",0.0724385027721253,-0.127539897463458,0.0188018474595388,-0.0212603164373719,-0.0194894566884482,-0.0222883608820151,-0.169912554810459,-0.00878685298353359,0.0458344620787687,0.0132279323538142,0.0429498466941533,0.0597810401993842,0.0677354905576496,-0.0118435511080544,0.0683124308682201,-0.0634910626824219,0.00878685298353359,0.0080039872218443,0.00876370813790731,0.0305735368345679,0.00108320393746125,-0.07163660862605,0.0238717434335781
"miR101",0.00452165031453958,-0.101944285980467,0.00484780363625165,-0.0188557018884998,-0.0136171050406892,-0.0159843105834144,-0.0740037174212742,-0.00401140394410045,-0.089424537126086,0.00604360380276248,-0.0917258585581648,0.0528301795746392,0.0771152268832632,-0.00485972534314598,0.0898849030499534,-0.048155426588549,0.00401140394410045,0.0033947466157329,0.00608754906950566,0.0224460764947047,0.132539826225526,-0.103928833237154,0.109897143381794
"ZEB2",-0.106265442096793,-0.0837635324645409,-0.0601038857567875,-0.0368157239319129,-0.0244976229870151,-0.0214142638299032,-0.0175512104484546,-0.0139424413050908,-0.0107236194703367,-0.00793154581383479,-0.00686403871465772,-0.00508215506748377,-0.00458215765036324,0.00639018525369832,0.00913758379034297,0.0133794230512802,0.0139424413050908,0.0151068277252469,0.0164203961705068,0.0272621331771165,0.10282595229823,0.104910126734895,0.128291004402652
"SNAI1",0.0210316599281858,-0.0630952291292321,0.12722298911263,-0.053380052900481,0.0555617430046763,0.0583527256069796,-0.0468247227876922,0.0579540733457729,-0.0839994628101636,0.0101505256282968,-0.0808199043615715,0.0116824397615339,-0.0300636003462099,-0.0115292908869251,0.0477351666224931,-0.0601938406180393,-0.0579540733457729,-0.057069159957028,-0.0595407769611913,-0.0557450272852233,0.121353258039517,-0.022027170614873,0.106463229447852
"NP63",-0.247736870269173,-0.0520241051320504,-0.126624500011494,-0.0595951571557567,-0.0012207360383108,0.0986932794389033,0.019773641915656,-0.0443419935270727,-0.148918889847591,-0.12308443475046,-0.148467863257218,0.0474168587041179,0.00769290885749169,0.123050201657329,0.187470576248913,0.0189658186636899,0.0443419935270727,0.0447202943287989,-0.0989348407238956,0.101441897429841,0.268892675602077,0.247325663514417,0.268120070024544
"CDH1",0.211902571719326,-0.0447924033971471,0.0792766585649853,-0.00826927478464204,-0.0148579654769461,-0.0145754796012398,-0.0279846313478706,-0.0159127620505312,0.127009388834418,0.203648266009535,0.127078445939331,0.0299818688553886,-0.00113352237438272,-0.203756701469977,-0.18800968729366,-0.0148055001539689,0.0159127620505312,0.0157972497051493,0.017594667438112,0.0137854067083902,-0.221568121692098,-0.211834634738963,-0.221154121809974
"KLF8",0.211834634738963,-0.0447879501451598,0.179362882614863,-0.00811033438729105,-0.0145754796012398,-0.0156159420289855,-0.0279308646951434,-0.015645783299114,0.127009388834418,0.203756701469977,0.127009388834418,0.0298820875251124,-0.00124441899408946,-0.203394185609908,-0.188028916071745,-0.015015677849657,0.015645783299114,0.0159127620505312,0.017474549267804,0.0137178375665183,-0.221585930011725,-0.212356166552404,-0.22100673270273
"CLDN7",0.211834634738963,-0.0447879501451598,0.179362882614863,-0.00811033438729105,-0.0145754796012398,-0.0156159420289855,-0.0279308646951434,-0.015645783299114,0.127009388834418,0.203756701469977,0.127009388834418,0.0298820875251124,-0.00124441899408946,-0.203394185609908,-0.188028916071745,-0.015015677849657,0.015645783299114,0.0159127620505312,0.017474549267804,0.0137178375665183,-0.221585930011725,-0.212356166552404,-0.22100673270273
"miR200b",0.0683947423303254,-0.025897791384177,0.101867370037347,0.109650225306157,0.0216588859056126,0.0224159500605798,-0.0472161237523124,0.0169543949601674,0.132986341602268,-0.0808950518940568,0.133487694812259,0.0014563546942694,-0.0798901931785081,0.0804598641838486,-0.0493873357996088,-0.0209990283108364,-0.0169543949601674,-0.0167318706822553,-0.0216902183620737,-0.023844834298578,-0.192149224964043,-0.06852081848032,-0.172488045843863
"miR141",0.0353944464055497,-0.0240063298960562,-0.0170170479314265,-0.00302259919200323,-0.00739943715966794,-0.0094715892833573,-0.085822996730863,0.0049370262527143,0.0671914084270796,-0.0758602792700061,0.0655394569947475,0.0074138491083908,-0.0283296434247921,0.0768851860966582,-0.00113055888051901,-0.0128863539904485,-0.0049370262527143,-0.00535060447435027,0.000870890431440605,0.0149636921760992,-0.119702412465869,-0.0351224821391327,-0.0369682788264578
