"","miR200b","CDH1","miR141","TWIST2","NP63","miR205","OVOL2","miR34a","GSC","TGFbeta","SNAI1","FOXC2","TCF3","TWIST1","GRHL2","CLDN7","ZEB1","SNAI2","KLF8","miR101","miR200c","miR200a","ZEB2"
"miR200c",0.227372740253032,-0.00721258781290347,0.227800513721362,-0.0413054899362281,0.163753741975155,0.164269114287222,0.154600600384442,0.208038689868511,-0.207666451574895,-0.207314210869505,-0.0204986576637051,-0.0581233507657615,-0.0581090117493096,-0.05790639998008,-0.205260121848794,-0.227800513721362,-0.227677980292502,-0.082273091046585,-0.0136468565499114,-0.0133370694384961,-0.00803186505321153,-0.00803186505321153,-0.257027906420976
"miR200b",0.227372740253032,-0.00721258781290347,0.227800513721362,-0.0413054899362281,0.163753741975155,0.164269114287222,0.154600600384442,0.208038689868511,-0.207666451574895,-0.207314210869505,-0.0204986576637051,-0.0581233507657615,-0.0581090117493096,-0.05790639998008,-0.205260121848794,-0.227800513721362,-0.227677980292502,-0.082273091046585,-0.0136468565499114,-0.0133370694384961,-0.00803186505321153,-0.00803186505321153,-0.257027906420976
"miR205",0.00360972819389336,0.213201548151029,-0.211852384998774,0.162270671863107,-0.151426347343372,-0.152149764249526,-0.145440186509598,-0.212565706610093,0.141994261391094,0.141532429935769,-0.0663508984986665,0.119275063999506,0.00508975848213392,0.00487971770951335,0.187518661093716,0.211852384998774,0.211663567468557,-0.0483456025754573,-0.0290772963176323,-0.0294890867926308,-0.208682314101031,-0.208682314101031,-0.20409447350207
"GSC",0.127289654278417,-0.0361557796613061,0.131765392606555,-0.0852954210500545,0.120888263910575,0.120731172778561,0.123325896434195,0.0923444274991692,-0.0558019102756505,-0.0559461548557827,-0.00464386540844972,0.0128544070748406,0.130114376500221,0.130012153142183,-0.117679388611504,-0.131765392606555,-0.131706750072618,0.0826882717886114,0.0899655517250537,0.0901682175602708,-0.0237317739556124,-0.0237317739556124,-0.203966859846537
"TWIST1",-0.0238256694923557,-0.0531823605277321,-0.148970366414751,-0.0512059718932057,-0.133646237028587,-0.133807286600431,-0.133483708869576,-0.113047333456868,0.110735905684659,0.11065725410489,0.00192278112673984,-0.10166156842796,0.0936379881213593,-0.00639550669511359,0.135540744897614,0.148970366414751,0.148879666768788,0.0842756998561254,0.0111806948277415,0.0110014387405035,-0.162697813224653,-0.162697813224653,-0.184647049252575
"miR141",0.0216419277491651,0.207127062185295,-0.224920142792402,0.119605606028948,-0.163844446811401,-0.163997281359117,-0.156264345790856,-0.128903755423018,0.0333144802514307,0.0332406233293327,-0.0610100786159441,0.00792235896990768,-0.0474639810325493,-0.0474329237540542,0.201992437548746,0.224920142792402,0.224816357647739,-0.115813958531218,-0.0234323204878385,-0.0236502521185434,-0.206348803165401,-0.206348803165401,-0.182279420406429
"miR101",0.123302798378714,-0.000486527503509522,0.141841393616752,-0.0800747644286787,0.128169654474235,0.128088298186182,0.132005170449571,0.0967593687233248,-0.066193085280668,-0.0662987288259312,0.011062937841524,-0.010652945084463,0.0123959503948301,0.0122988344121582,-0.12369347289578,-0.141841393616752,-0.141742187921488,0.0747829276736925,0.179375281927664,0.079682323956534,-0.00349335203932926,-0.00349335203932926,-0.167626393204063
"TGFbeta",-0.0111582037870494,-0.0812974036871063,0.104609097132817,-0.0673352205596766,0.100791211404349,0.10109919723155,0.103446252761498,-0.00699126982068841,0.147663374130063,0.0479591999881103,0.0300326766514176,0.00825125724017766,0.0741345487863038,0.0742933761862993,-0.0971487601812192,-0.104609097132817,-0.104660388772966,0.0554344519719285,0.0158037277272516,0.0156049894039936,-0.00283101457361472,-0.00283101457361472,-0.113347993363397
"FOXC2",0.23920526428122,-0.213463599934441,0.247263433883366,-0.16021586593628,0.172201996887472,0.172839025892622,0.167724342704579,0.237721590374256,-0.195402577576219,-0.194995504270458,0.0656012224139935,-0.125899226949808,-0.00928421117853702,-0.00912084930381868,-0.206598223506481,-0.247263433883366,-0.24704790656411,0.0334030929924728,0.00966883424230055,0.0101703490566716,0.198801257212053,0.198801257212053,-0.0952486021117961
"NP63",-0.142194317772909,-0.0205058343807992,-0.151798074654272,0.00637301258773824,-0.0687419609228413,0.031360145697967,0.0391440525787792,-0.138703492273251,0.092928426956643,0.0929318502659561,-0.00350417801787589,-0.0113484715906768,0.0805516674356512,0.080598789616735,0.182290333676583,0.151798074654272,0.151837770792211,0.0461770766270188,0.0330128937588585,0.0334487729189002,-0.123496990307345,-0.123496990307345,-0.0818532848690587
"TWIST2",0.00786387943813882,0.00117741147817069,-0.125299851450811,0.100301804255889,-0.115822285366627,-0.116087591838393,-0.116406236608791,-0.0160775439591612,0.0685376633195292,0.0683551023908426,-0.0934689595790475,0.0794110781242818,-0.0241510468531184,-0.024229413409122,0.116897828587425,0.125299851450811,0.125272193637156,-0.0881447513394139,0.0056126166325702,0.0055144180977271,-0.0966105489293256,-0.0966105489293256,-0.0697168775940961
