"","TWIST2","miR101","ZEB2","SNAI1","miR34a","CDH1","TWIST1","TCF3","miR200a","TGFbeta","GRHL2","CLDN7","miR141","ZEB1","miR200b","GSC","miR205","miR200c","NP63","OVOL2","FOXC2","KLF8","SNAI2"
"TWIST2",0.188419422750304,0.0688527023396455,-0.207638891154484,0.271523501436951,0.142547695324281,0.183330978152898,0.361421517677948,0.360927095951889,0.13369327462699,0.077963996741155,0.0767509963024246,0.0704036878852672,-0.0704036878852672,-0.0703585959633935,0.0589562425703194,-0.0779211535934662,-0.0818980658757312,-0.13369327462699,-0.0817731150858026,-0.0839206964940231,-0.0494817067526846,-0.0684581701731077,-0.289957711473979
"NP63",0.303534055521659,0.292155001310964,-0.193630329461631,0.0350870003994168,0.00940012742378193,0.227440875678951,0.182432660570801,0.181335386925564,0.071468473619296,0.0371407772328798,-0.148952210419162,0.000677261022747134,-0.000677261022747134,-0.000676243173056391,0.121004625313701,-0.0366991703314882,0.31529432763921,-0.071468473619296,0.215315823769907,0.0816086011722564,0.0242983360657851,-0.291557380827385,-0.346872921497573
"TWIST1",0.15524914032185,0.0677238466740319,-0.168416952368323,0.254454834455367,0.117613880700565,0.142241950385432,0.239129797885928,0.338831612324645,0.110564564840354,0.0674710344109167,0.0767528517468533,0.0699899209050448,-0.0699899209050448,-0.0699263694524314,0.0549592992906798,-0.06755156610813,-0.0819296842284029,-0.110564564840354,-0.0817764907332344,-0.0838924172333985,-0.0152123131481673,-0.0673723055696152,-0.254098362369205
"CDH1",0.401644413871252,0.324414051546015,-0.158029898143806,0.0868363153473041,0.0144004877874863,0.319450476771165,0.231507246678923,0.229387724766573,0.0641856692778721,0.233525584155962,-0.0247202879907858,-0.0225141834401703,0.0225141834401703,0.0225623135840794,0.221843538075118,-0.232795179262044,0.0262758649576946,-0.0641856692778721,0.0263015454918497,0.0270020879644501,-0.00309611055991406,-0.323065017221664,-0.449053874309214
"CLDN7",0.399728355477091,0.323065017221664,-0.157230539412093,0.0855835942728391,0.0137753222245724,0.418246182623977,0.229387724766573,0.225273494369671,0.0632239470945717,0.232795179262044,-0.0247235344278211,-0.0224958972243198,0.0224958972243198,0.0225141834401703,0.221555106403841,-0.231055103133714,0.0264492753623188,-0.0632239470945717,0.0262758649576946,0.026976458289947,-0.00238519592941044,-0.321053394512679,-0.447634446480048
"SNAI1",0.0294336572686856,-0.0953955451659394,-0.122348195629064,0.189073993022443,0.148277718319681,-0.0426068678719935,0.265944171807553,0.265742351851392,0.0272952741033319,0.00756392130092596,-0.074106731263164,-0.0700912195802879,0.0700912195802879,0.0700736927205684,-0.00805350927189886,-0.0074310212101792,0.0762314541424925,-0.0272952741033319,0.0761763205967929,0.0778265671081094,-0.126959250566394,0.0954164474586401,-0.165330334525539
"ZEB2",-0.0866649819012126,-0.0802359109462568,-0.0728149204159513,-0.044216648459238,-0.0280255229176323,-0.0239346195154647,-0.0157170192266449,-0.0154588478593109,-0.0150380586967216,-0.00962152325885633,-0.00461273746500969,-0.0029649281104068,0.0029649281104068,0.00306975480267049,0.00351511231381344,0.00912333680534039,0.0147229055305449,0.0150380586967216,0.0150870208078923,0.0194813811139752,0.0344847475275587,0.080600841788382,0.0941663670398352
"TGFbeta",-0.177681957080638,-0.185399885057863,-0.0626414651255284,0.227294475242031,0.158472520820082,-0.134303592648508,0.0310205886143975,0.0312701745286761,0.0317685720244132,-0.0968664250410146,-0.00407673289841118,-0.00351276750877951,0.00351276750877951,0.00345735881390302,-0.134990803236443,-0.00303757273486151,0.00365885187536896,-0.0317685720244132,0.00349259403944637,0.00314651402879713,-0.158019115440054,0.185003100879372,0.138769778413187
"miR200a",-0.131187720904812,-0.145119407305289,-0.0246450928850773,0.162468206650397,0.120048881182669,-0.0462212486601954,-0.0237646966127346,-0.0231982710097058,0.0146635184565957,0.106297115140426,0.0134539768344354,0.00430475455073155,-0.00430475455073155,-0.00417106142889672,-0.0568563316412226,-0.106982280125427,-0.0607954268381061,-0.0146635184565957,-0.0604222261983336,-0.0731835526741095,-0.150185093552363,0.145317526969566,0.13723337715181
"miR200b",0.00240680511483828,-0.10505797486496,-0.0146170776823127,0.208388380449759,0.0217901189878237,0.0356165157941536,0.0696009863201511,0.0695462663532788,0.0052386513931276,0.0879572867843109,-0.0106025744767813,-0.00121880923427556,0.00121880923427556,0.00122796018251467,-0.0591173030114097,-0.0879777394704303,0.0556974309895055,-0.0052386513931276,0.0557294196157717,0.0674415805915743,-0.148160192748549,0.105110206412815,0.0526923092128172
"GRHL2",-0.0860768830844767,-0.0711471483630116,-0.0084006532916257,0.0214931705982455,0.0178096430612921,-0.0945328271139459,-0.0438472482267145,-0.0432691801302927,0.00854539647589098,0.104750752161574,0.0887906574899586,0.0132025268037328,-0.0132025268037328,-0.0131276305775855,0.0275971375167072,-0.105222489496452,-0.252377677178816,-0.00854539647589098,-0.252153784924794,-0.106212438204394,-0.0588384722492832,0.0710987307389965,0.0844496409356455
"miR205",-0.106075527804814,-0.0143604906803934,-0.0077524684237206,-0.0698844646513485,0.00724953043723713,-0.00530560631147262,-0.104905875327788,-0.104415780191674,0.00839642897791526,0.0112461061759878,0.0153964511194343,0.00604430195381138,-0.00604430195381138,-0.00590020436496155,-0.0199762619082841,-0.0119507562315345,-0.0632377357698725,-0.00839642897791526,-0.0628116134826859,-0.0750991293998069,0.0581823017809438,0.0146621365906506,0.037066400519679
"FOXC2",-0.130404085293864,-0.0390637672803892,-0.00418524995885334,-0.0752253106101672,0.000163916693647449,-0.0825662756735543,-0.113062809982015,-0.112471327332172,0.00435666540621365,0.0142498338009005,0.0174692522218486,0.00537880515293612,-0.00537880515293612,-0.00526020136186583,-0.029419519534798,-0.0148848681578875,-0.0625510597501366,-0.00435666540621365,-0.0622257683432513,-0.0727900049649381,0.0550377608097197,0.0392024113075702,0.0796402530221798
"miR141",-0.152041465130898,-0.161594226180943,0.0040123835498262,0.14759103064096,0.108741475420102,-0.12301430555932,-0.0300726846797188,-0.0295890784860102,-0.00167680900896879,0.0922459613898646,0.00745428522705904,-0.00196391316299901,0.00196391316299901,0.00201502455682234,-0.0218206790301764,-0.0925868394918553,-0.0536882450174289,0.00167680900896879,-0.0535851705550156,-0.0660034173520529,-0.137205102576484,0.16150417178809,0.169348039505843
"miR101",0.0484888007239343,0.129088990369547,0.00404962806873055,-0.240945107059829,-0.0842949377494591,0.0589355148435168,-0.202575256929025,-0.202705108636193,-0.00732894727621773,-0.0115683800520563,-0.0136038793070812,-0.00943027835965977,0.00943027835965977,0.00940127470124377,-0.0359634214962928,0.0117075612307364,0.0441696547078848,0.00732894727621773,0.0440830496270534,0.0575816619415349,0.115494512124254,-0.229087661183275,0.076552516915374
"ZEB1",0.130824727787503,0.0394223403359753,0.00446466205762438,0.0754269120907814,-3.73344151664366e-05,0.082862074760809,0.113240086178328,0.113062809982015,-0.00387207345241801,-0.0143927618360631,-0.0173276086273497,-0.00526020136186583,0.00526020136186583,-0.0946711774335457,0.0293697615705314,0.0142498338009005,0.0622257683432513,0.00387207345241801,0.0623838324885554,0.0727400611850754,-0.054897902559772,-0.0390637672803892,-0.0796935721690255
"OVOL2",-0.0791884004198196,-0.0476743137254895,0.00482343207427182,-0.136452616524892,0.0008717974682228,0.0410300893362627,-0.0474828528849071,-0.0474001250236022,0.00688158564008433,-4.05231928922469e-06,-0.0251823619910125,0.0137222052341006,-0.0137222052341006,-0.0136943523138238,0.00873999797247703,-0.00010479909164552,0.0227744000280736,-0.00688158564008433,0.0228424647219446,-0.0787814259119793,0.0976221514278686,0.0477137947691051,0.0750485491514613
