"","TWIST2","ZEB2","miR101","CDH1","OVOL2","TCF3","miR200a","GRHL2","miR34a","miR141","CLDN7","GSC","TGFbeta","miR200b","ZEB1","miR200c","NP63","miR205","TWIST1","FOXC2","SNAI1","KLF8","SNAI2"
"miR34a",-0.0608261335205279,-0.102669928663681,-0.151604776483877,-0.0316756031239775,0.0568954542883846,-0.0567042019900132,0.0954111175937969,0.0266650587725121,-0.0475574610421125,0.024325371841396,0.024325371841396,0.0560867846584862,0.0562871116984128,-0.123522775081466,-0.0244448322231457,-0.0954111175937969,-0.0465346477215057,-0.046370021536481,0.0565380772626231,-0.131136724969849,-0.114147034494064,0.151397339483262,0.174545677704962
"ZEB2",-0.093173483416076,-0.0898144675457306,-0.0792134329915375,-0.0195613426681348,-0.0191781602295034,-0.0168319857739986,-0.00710484185945196,-0.0059929698780141,-0.00585861347156146,-0.00438551506475829,-0.00438551506475829,-0.00176674973850819,-0.00167006831304218,0.000355027934424754,0.00433715239877247,0.00710484185945196,0.0151247543222081,0.0153726625961467,0.0165965464767443,0.0183068797994518,0.0208204147898449,0.0791985175620228,0.0798288861364063
"TWIST1",0.0951292743105167,-0.0891769993918139,0.0386641768454348,-0.0606728718480741,-0.0791312694163145,-0.113118510254131,0.0155472739719677,-0.0731186157745737,-0.0492958290802509,-0.0665202136143862,-0.0665202136143862,-0.0233895257432807,-0.0234437357962686,0.0282900923918309,0.0665689569615363,-0.0155472739719677,0.0775158510550231,0.0775158510550231,0.0135228988920355,-0.178622955299257,-1.57016635552447e-05,-0.0385267471785524,-0.124777833735047
"SNAI2",-0.390211013434907,-0.0572054351926306,-0.361648882703026,-0.273113036251335,0.0334584216993924,-0.201077457057517,0.0447810098845228,0.034929284839668,0.0043601329274152,0.0327958204660448,0.0327958204660448,0.241004799785376,0.241328402069121,-0.306498962854293,-0.0328340414587966,-0.0447810098845228,-0.0342405141575654,-0.0340533244448609,0.201952502396653,-0.107178951739101,-0.0444758007833433,0.360658976005374,0.333666769865875
"TCF3",-0.387350524200633,-0.0568354607848554,-0.358934670741876,-0.37198791040916,0.0332804715247883,-0.197329827376177,0.0443244603927394,0.0343946033871847,0.00421717642050502,0.0324265964470228,0.0324265964470228,0.238869917948529,0.240356232974811,-0.305002288124922,-0.0325984868760174,-0.0443244603927394,-0.0337708385691547,-0.0322101449275362,0.200572808983147,-0.105516870352262,-0.0438177362911399,0.355045533504504,0.431800649073439
"KLF8",-0.387350524200633,-0.0568354607848554,-0.358934670741876,-0.37198791040916,0.0332804715247883,-0.197329827376177,0.0443244603927394,0.0343946033871847,0.00421717642050502,0.0324265964470228,0.0324265964470228,0.238869917948529,0.240356232974811,-0.305002288124922,-0.0325984868760174,-0.0443244603927394,-0.0337708385691547,-0.0322101449275362,0.200572808983147,-0.105516870352262,-0.0438177362911399,0.355045533504504,0.431800649073439
"CLDN7",-0.387350524200633,-0.0568354607848554,-0.358934670741876,-0.37198791040916,0.0332804715247883,-0.197329827376177,0.0443244603927394,0.0343946033871847,0.00421717642050502,0.0324265964470228,0.0324265964470228,0.238869917948529,0.240356232974811,-0.305002288124922,-0.0325984868760174,-0.0443244603927394,-0.0337708385691547,-0.0322101449275362,0.200572808983147,-0.105516870352262,-0.0438177362911399,0.355045533504504,0.431800649073439
"TWIST2",0.131188773182199,-0.0550546845812533,0.0767802807690109,0.141689451040506,-0.0814215975183725,0.0965626910087896,-0.00704594490049201,-0.0764544717662412,-0.0437873330505353,-0.0703404322223742,-0.0703404322223742,-0.0344875955953378,-0.0345626393253659,0.0583088295926586,0.0703747623490513,0.00704594490049201,0.0801742233682689,0.0801451252391075,-0.0962278520876834,0.0581394185420905,-0.00726877585796861,-0.0765247907757023,-0.168873311651384
"NP63",0.278366150696377,-0.0470939439727252,0.249199515527046,0.225952259115596,0.209237594791896,0.162265655848401,0.0672135134034248,-0.0576459226425454,0.0831350056723066,0.0807784420176223,0.0807784420176223,0.0333748294405256,0.0332841117437281,0.0958676822220298,-0.0806125325180311,-0.0672135134034248,-0.0766977625884014,0.0234527103264739,-0.161617164880152,0.030830450086212,-0.0142698945774846,-0.249347549958758,-0.274861169173062
"miR205",0.0563977843169435,-0.0150114079386934,-0.0488075798789263,0.0452017304706914,0.0728524645957088,-0.00363294090770875,0.00846656224631985,0.0144514094724406,-0.00415623590026891,0.00495689978933302,0.00495689978933302,0.0165534878276263,0.0168486790671121,-0.0207152742799739,-0.00514758065044034,-0.00846656224631985,-0.0617753157138099,-0.0614086523504168,0.00322933314855551,-0.123415207386536,-0.114731958803966,0.0486035621055988,0.0356322312979482
