"","miR200a","miR200b","miR101","TWIST2","TGFbeta","OVOL2","GRHL2","CLDN7","FOXC2","miR34a","TCF3","TWIST1","miR141","ZEB1","miR205","NP63","SNAI1","GSC","SNAI2","KLF8","ZEB2","miR200c","CDH1"
"miR200b",0.124564389577242,0.179789504558496,0.188124083060722,0.162752542504315,0.125035802269735,-0.165796310499361,-0.0261290706345704,-0.0115940930957831,-0.0244497568656868,0.150152757559237,-0.120518379476443,-0.120762400950333,0.0115940930957831,0.010524771314964,0.132832817591511,0.13105922597964,-0.232575387813386,-0.125318731094387,-0.166119888377156,-0.18689754223006,-0.27323643953941,-0.136500984880278,-0.0267219448305887
"miR200c",0.116077898902333,0.0808883781127633,-0.0797836826754555,-0.00521628617583697,-0.0994525469914169,-0.137953387993997,-0.0113320751451408,0.00314734506931106,-0.0401266841422072,-0.00188320030722779,0.0868063595184802,0.0873106705645189,-0.00314734506931106,-0.0035591377400711,0.109210270531983,0.108339469039181,0.0901977697074752,0.099265064035322,0.0742645172011432,0.0793694324683304,-0.232861944350605,-0.11208190781796,-0.036335020069516
"miR141",0.116077898902333,0.0808883781127633,-0.0797836826754555,-0.00521628617583697,-0.0994525469914169,-0.137953387993997,-0.0113320751451408,0.00314734506931106,-0.0401266841422072,-0.00188320030722779,0.0868063595184802,0.0873106705645189,-0.00314734506931106,-0.0035591377400711,0.109210270531983,0.108339469039181,0.0901977697074752,0.099265064035322,0.0742645172011432,0.0793694324683304,-0.232861944350605,-0.11208190781796,-0.036335020069516
"miR205",0.122645281293718,0.0978904077777896,-0.0243072478320741,-0.0919035695299175,0.0459508841917341,0.182430866759309,0.0377537267448041,0.0192078101191826,0.114210974295062,-0.0386746101273972,0.00522753081698355,0.00425557743779818,-0.0192078101191826,-0.0178600007751993,-0.148958574362928,-0.146798233465098,0.119831428805089,-0.0453128902225229,-0.00267061500954997,0.0246139003134559,-0.228705552246423,-0.101540166281946,-0.138115700844189
"miR200a",0.117823452678931,0.0137727839484619,-0.148011363806119,-0.130256843785524,-0.0724744161209892,0.18841691560961,0.044528402466553,0.0299106218240898,0.022128450481084,-0.157635527121008,0.107206755482881,0.106882872435719,-0.0299106218240898,-0.0286131959188713,-0.154089361686815,-0.152088295399273,0.20761664409286,0.0729789157119355,0.118250978159133,0.147411601549716,-0.202040674363106,-0.0850954593928896,-0.132900246752051
"miR34a",-0.0207041171795886,0.178981766040347,0.266340373009274,0.328222905098219,0.0462100032692159,-0.154743309363272,-0.105493516577757,-0.0951037959933579,-0.250942025809781,0.198249442152147,-0.110484387868522,-0.111444132146667,0.0951037959933579,0.0945971602309175,0.136757912604606,0.136176990319518,-0.401156268099319,-0.0460947548817882,-0.190127185782063,-0.264553149591942,-0.187728493111024,-0.172721456278712,0.0584521841902426
"TWIST2",0.0886842583754838,0.0698135605965695,0.119755088310483,0.111794819901775,0.0281526003511405,0.0823189335984813,0.0148834366418952,0.0109707976755178,-0.119206406286009,0.0737729232864931,-0.0178174842166115,-0.0189972570960837,-0.0109707976755178,-0.0100494803887386,-0.0597405539835786,-0.0580237643630524,-0.186843826506328,-0.0275492487617143,-0.0864954723080867,-0.118816553641186,-0.170523151334546,-0.0759354964971576,0.0897159271590562
"GSC",0.0807026323288934,0.0647765302435644,0.140529517487094,0.0387263996249303,0.021018226585166,0.0612522880101423,0.0172261072817515,0.0153256983228704,-0.209713219053937,0.0736657786227645,-0.0340384783396266,-0.0352028662772703,-0.0153256983228704,-0.0144221689111057,-0.0455392835386619,-0.0438630062153415,-0.17975295665336,-0.0204345250003093,-0.0213912379149005,-0.139598034129077,-0.168729959223762,-0.076446848648251,0.00136255725437383
"NP63",0.0468360102434468,-0.0788225408151824,-0.0904211775335308,-0.0599022687086537,-0.105574228342469,-0.138292086708976,-0.136379037065744,0.0203830080501905,0.0931522599713641,-0.0552593145461482,0.0170390863497824,0.0181722626091788,-0.0203830080501905,-0.0208746294508196,0.338571833973331,0.237303562262239,0.155349023847006,0.105189106044744,0.0637913921326603,0.0891820745125318,-0.103163650763171,-0.0227478794348399,0.0614626435418578
"TCF3",0.0231707931767437,0.0541062882990494,0.118390630486136,0.113887268614182,0.0174737168319753,0.0110346352317238,-0.0183706335823033,-0.017978769185095,-0.103151395332664,0.0683779659367698,-0.0157616543363936,-0.0161488760208079,0.017978769185095,0.0157441936081648,-0.000434782608695652,-0.0039029907011812,-0.171740255624081,-0.0181081195870958,-0.0917244232722879,-0.115961782326398,-0.0688632079755059,-0.0409175139046671,-0.103269063949326
