"","miR200a","miR200b","KLF8","TWIST2","SNAI2","TGFbeta","ZEB1","GRHL2","TCF3","NP63","miR205","FOXC2","miR34a","TWIST1","OVOL2","miR141","CLDN7","SNAI1","GSC","miR101","CDH1","miR200c","ZEB2"
"miR205",0.153778949959972,0.12751445796209,0.00560744492639146,0.120984597013604,0.0437700486891474,0.0211838381586623,0.00806341736375294,0.00698371531800436,-0.00742644501804128,0,0,0.111380425773403,-0.0210223032768044,0.00738937899934353,-0.0675117581679529,-0.00793484753232227,-0.00793484753232227,0.131208263614322,-0.0210140238434742,-0.00578392655853364,-0.0749896805789946,-0.143975943753743,-0.318373886724975
"miR200b",0.155853233436861,0.10740100153476,0.0616121898665008,0.0256134220077898,-0.034590552705992,0.116990860775969,0.0242887653745551,0.0215713120046061,0.0394067438144569,0,0,-0.027024218107704,-0.00517107989754594,-0.0396862593209124,-0.0815231653392904,-0.0241711422106036,-0.0241711422106036,-0.154384739953394,-0.116896551167751,-0.0618949606600602,-0.126013412966361,-0.127892043774888,-0.299275212741162
"miR200a",0.131332914644858,0.0970193744976981,-0.0294107906474588,0.00607594613737668,0.0720416814536378,-0.0682891974174883,-0.00274733732627436,-0.00288151524796538,-0.0279887406936736,0,0,0.0255879068063937,-0.00538480467569188,0.0279783882675086,0.0658206558597325,0.002720330869276,0.002720330869276,0.132742698532407,0.0682755622934087,0.0294342047896006,-0.0461807159846689,-0.134846770383706,-0.277920848628746
"GSC",0.0371438832997593,0.139497937288029,-0.140945271297652,-0.0297409592024952,-0.0736473668577438,0.0597122705965434,-0.09541740438115,-0.0958533389825436,-0.0375867720186552,0,0,-0.0113898001524319,-0.00882607205685837,0.0375548272192686,0.0967964242948537,0.0954183696903506,0.0954183696903506,0.125285854149453,-0.0597562774176007,0.140954040492445,-0.0346570889096779,-0.131699293388518,-0.183242505176794
"TWIST2",0.0807223831040526,0.029363879231218,-0.0390622118355033,0.111479439367752,0.0757798316885323,0.00740469347082173,0.000476273953385142,0.00045846783266386,-0.00173432879327791,0,0,0.115196024549835,-0.0583861100592535,0.00177707418746168,-0.0395347629791221,-0.000428814436568223,-0.000428814436568223,0.168742360643869,-0.00732801242304752,0.0390587357811725,-0.11602010147663,-0.0802824045955273,-0.16589073519302
"miR101",0.00341929212564583,0.124978695613383,-0.322667646707765,-0.0127499801178819,-0.0928394363898032,0.0575358555898754,-0.104161128088303,-0.103760208660874,-0.265971378999408,0,0,0.144114917592367,-0.0507973173643995,0.266181978827,0.101140435328472,0.104111690034185,0.104111690034185,0.282972321179755,-0.057588677362507,0.222884304070128,-0.000590364132528593,-0.108266007900734,-0.114012984313748
"TGFbeta",0.0783876946727148,0.035378193834775,0.151402838874254,-0.0664540371619171,0.0114050052425562,0.051877753288908,0.118139115049032,0.117206264954493,0.117870946452547,0,0,-0.097559696088262,0.124506929706946,-0.118220366732537,-0.112658760437915,-0.118055230058956,-0.118055230058956,-0.313810014735583,-0.151882531680154,-0.151713757017609,-0.129556153666629,0.0422553402601416,-0.0426949496063259
"miR34a",0.106013317164946,-0.00284381590597728,0.0915293808662281,-0.189924049454241,-0.0573988996322929,-0.031799434746959,0.0891398039579224,0.0870052319716086,0.0838304230069098,0,0,-0.182530592195173,0.0660396502456365,-0.0841083473138705,-0.0947219179726657,-0.0890398570249844,-0.0890398570249844,-0.273394175888312,0.031905632213908,-0.0917905978299651,-0.0507626121707783,0.0802009875961118,-0.0313951387959709
"CDH1",0.013683509491988,0.0209652019923139,-0.0148847382753049,-0.0339889563638657,-0.0307168811684108,0.00784712325664174,-0.000872308818537945,-0.00097245199775857,-0.0802459167466475,0,0,-0.0257162027657348,0.00349417911857461,0.0802406046616542,0.0136955671647413,0.00102472094091686,0.00102472094091686,-0.0103862964119774,-0.00770186065869178,0.014700337900034,-0.0178536331489648,-0.0148703071970059,-0.0296137677102036
"KLF8",0.0137620607519927,0.0208660998283368,-0.0146314228230623,-0.0340380860662801,-0.0307849718022822,0.00770186065869178,-0.00102472094091686,-0.000754940716389873,-0.0803427221677511,0,0,-0.0257819175635125,0.00324517249605806,0.0802459167466475,0.0135394591473131,0.000779685648520266,0.000779685648520266,-0.0104561202095705,-0.00851752134384676,0.0148847382753049,0.0821378391977507,-0.014664375515372,-0.0294779435245921
"FOXC2",0.00773450764698976,-0.00251427806341889,0.0278854209996924,-0.0952192931282698,-0.0218523936957675,0.0135827361845886,0.0084478992923614,0.00670928157754604,0.0211657165175781,0,0,-0.117141492089421,0.0190800150193465,-0.0213910432413276,0.0559484885608797,-0.00853759606625326,-0.00853759606625326,-0.166052365217031,-0.0137379668051854,-0.027890555963662,-0.00352073907771935,0.00290664188913835,-0.00611880320118455
