"","miR101","ZEB2","ZEB1","CLDN7","miR200b","miR200c","miR200a","OVOL2","CDH1","SNAI1","NP63","miR205","GSC","TWIST1","TCF3","TGFbeta","FOXC2","GRHL2","miR141","miR34a","SNAI2","KLF8","TWIST2"
"miR101",-0.176064293671823,-0.115912544742871,0.209301785500015,0.20930112632596,0.130928667215074,0.162002454802712,0.162002454802712,0.0974301345547504,0.0945382454028413,-0.142177910091703,0.0367957749994677,0.0367459114680799,0.0305832005495116,0.156559551877902,-0.156586831648315,-0.0306460836121683,0.0486929504230026,-0.204543344518234,-0.20930112632596,-0.0556870910827226,0.0926213056859523,0.0759699214464993,0.0136390967403589
"TWIST2",0.0632870419229791,-0.0959528409169187,0.168254133398786,0.168192253076406,0.0875526846188612,0.132407151064576,0.132407151064576,0.0959617498669122,0.161851310544681,0.115143174473814,0.0289926503766895,0.0289823804487502,0.0219792899878791,-0.203683737790236,0.203642417242525,-0.0220292281791342,0.0195812642293968,-0.162622382079432,-0.168192253076406,-0.149198690255478,0.0123587736936147,-0.0632105687277031,-0.00812230950197368
"ZEB2",-0.104051917562669,-0.0842532178730128,-0.04233604908905,-0.0423318756610208,-0.0375856985862997,-0.0288049047639408,-0.0288049047639408,-0.0230475979528117,-0.0201357294523387,-0.0186257299658329,-0.0106310356580131,-0.0105303229217255,-0.00183961612205738,-0.000581694586574008,0.000508627218460608,0.00172815537040549,0.0202816825774579,0.0404136975524555,0.0423318756610208,0.0477671208954433,0.0940113363552747,0.103947509556066,0.114295174228641
"miR34a",-0.0373087144552696,-0.0766481640150238,-0.0777937772427535,-0.0777449936207242,0.00995791992596833,-0.055994803457277,-0.055994803457277,-0.0569393203895894,-0.0350096961835814,-0.124384392207472,-0.0194826441387721,-0.0195091357087761,-0.0139209149484784,0.0270311420011068,-0.0269610704336295,0.0139860815759244,0.114254622037284,0.0750035800110048,0.0777449936207242,0.0955455625989448,-0.054444415242709,0.0372664587699592,0.0688875131860687
"TGFbeta",-0.00279137008452451,-0.058325429971812,0.0805696723203147,0.0806377752672682,0.141588625849383,0.0709567859641649,0.0709567859641649,0.0699441995172223,-0.0618071400975646,-0.0830641363089731,0.00798633949996749,0.00795090750214792,-0.184549311630084,0.115360225369445,-0.115348880555159,0.0846192499019566,0.0359963740435997,-0.0797237736401443,-0.0806377752672682,0.0568834410195558,-0.0836255225685973,0.00275051447103247,-0.0663167972781391
"GRHL2",-0.00164046540489818,-0.0409504684393599,0.094960265620857,0.0949246735367112,0.0973856737304569,0.107487927388907,0.107487927388907,0.0715112758327077,0.0308519158470746,0.10082317900336,-0.127808392293446,-0.127855253462893,0.0926939468009421,-0.0384514695281941,0.0384948246354258,-0.0927122397880761,-0.0911289162147199,-0.112472725029596,-0.0949246735367112,-0.110799703125346,0.0228062901907234,0.0016343031618417,-0.0169262344692339
"ZEB1",0.071140677702903,-0.0346049190124905,0.153722770476507,0.253700866224446,0.249203564047317,0.246314108093288,0.246314108093288,0.0861178669027113,0.157722740693877,0.119996656344585,0.0546249436872453,0.0545416007742668,0.0083008713062467,0.00906924879386519,-0.00905903287746744,-0.00825307617128833,-0.117748278617656,-0.235017908187878,-0.253700866224446,-0.259991337631536,-0.0556538139478464,-0.0710458909730452,-0.183811928283464
"miR200c",0.0464610200074035,-0.0237553023459238,0.231152894135053,0.231130351555245,0.0990933903930205,0.128245510224603,0.128245510224603,0.0794796867828854,0.140618420960918,0.138773932265394,0.0519216689486451,0.0519785376175628,0.117011356801851,-0.109726813239683,0.109583358191396,-0.117129527877207,-0.0876647695425327,-0.222745140197119,-0.231130351555245,-0.231165758228073,0.0499790858940889,-0.0464646221831177,-0.0708019270805413
"KLF8",-0.133367275907518,-0.0229252360131418,-0.0637384657370596,-0.063566575308065,-0.211145844035422,-0.0201315970537285,-0.0201315970537285,-0.0352530090388267,0.0997431387303115,0.156149659694955,-0.00973339197453297,-0.0102536231884058,0.198155257634234,-0.243949307116572,0.244578542353745,-0.198300263978261,-0.0365809990268697,0.062947740784988,0.063566575308065,-0.0255581529486625,0.194120213972973,0.132160302282127,0.197407055279075
"SNAI2",-0.133400703023502,-0.022892218858987,-0.0638815446788934,-0.0638443520536597,-0.211390692246879,-0.0202721077042778,-0.0202721077042778,-0.0353616437212479,0.199875112526293,0.156738355947544,-0.00958618296809145,-0.00955362823544719,0.198367780397027,-0.244841604810092,0.244453955190941,-0.198393203212927,-0.0371061099098059,0.0632728509505826,0.0638443520536597,-0.0255953288920834,0.0941176072485755,0.133519325339759,0.197809290890467
"miR205",0.0351382274812821,-0.00610221213922338,0.228031257658424,0.227995854371509,0.119117386789338,0.118895971896685,0.118895971896685,0.0773935498358207,0.0619642707324876,0.109252077062274,0.0511951504664191,0.0511456013632579,0.000722025254693555,0.00727335285293662,-0.00723628683423888,-0.00076328854623458,-0.10666156246808,-0.217052076098462,-0.227995854371509,-0.232776064158317,-0.0181067666341859,-0.0351494922663125,-0.142471389632202
"miR200b",0.0200839440466384,-0.0060383978099034,0.228965575523842,0.22889214474407,0.118296699725525,0.119307160290061,0.119307160290061,0.0800961433019674,0.0182676625370557,-0.0563162860719564,0.0531407327179258,0.0530412125473198,-0.107090973865389,0.120030378504266,-0.119881007783885,0.107067112398249,0.0311875359006068,-0.220049796133511,-0.22889214474407,-0.132302018999204,-0.108097281752182,-0.0200929494859237,-0.115997382530072
"miR200a",-0.0200839440466384,0.0060383978099034,-0.228965575523842,-0.22889214474407,-0.118296699725525,-0.119307160290061,-0.119307160290061,-0.0800961433019674,-0.0182676625370557,0.0563162860719564,-0.0531407327179258,-0.0530412125473198,0.107090973865389,-0.120030378504266,0.119881007783885,-0.107067112398249,-0.0311875359006068,0.220049796133511,0.22889214474407,0.132302018999204,0.108097281752182,0.0200929494859237,0.115997382530072
"OVOL2",0.0482728033848191,0.0191718628767764,-0.129025855786342,-0.128943655704549,-0.0600635777811965,-0.12457345442549,-0.12457345442549,-0.109094465382435,-0.126986847075162,0.0408449479374094,-0.0164161725719447,-0.0162876059279663,-0.00109620624707782,-0.0316805441369664,0.0315906225485915,0.00105831493314484,-0.0444208147613994,0.0548579432313909,0.128943655704549,0.1033996968833,-0.036586693627539,-0.0483726026895141,-0.027010976748185
"CDH1",0.133519325339759,0.0229141028831736,0.0638443520536597,0.0637384657370596,0.211327777858842,0.0202059022996788,0.0202059022996788,0.0353485378256111,-0.199869158495517,-0.156609675302627,0.00955362823544719,0.00973339197453297,-0.198300263978261,0.244453955190941,-0.243949307116572,0.198367780397027,0.0369215211608084,-0.063158759192286,-0.0637384657370596,0.0255422589089274,-0.194175734028284,-0.133367275907518,-0.197765000253808
