"","miR141","CLDN7","GRHL2","miR34a","ZEB2","miR205","NP63","OVOL2","miR200c","TGFbeta","TCF3","TWIST1","TWIST2","GSC","FOXC2","SNAI1","SNAI2","KLF8","miR200b","miR101","CDH1","miR200a","ZEB1"
"NP63",-0.191488467776228,-0.191488467776228,-0.21216839413943,-0.17607783841902,-0.111673386605015,0.00197515158570124,-0.0982666798846341,-0.00355683541134879,-0.0831687802879964,0.0330986626662397,0.0240947448858487,-0.0237514261379523,-0.0510420101085849,-0.0331619938885322,-0.00752658951418698,-0.0270275136964838,-0.00109399837068895,0.00701753559377015,0.0381521820070028,0.00604982903091035,0.0175542347450296,0.0831687802879964,0.191685591333002
"ZEB2",-0.130509267505328,-0.130509267505328,-0.117075749944871,-0.107851752139207,-0.0986656908328962,-0.0860955648863637,-0.0856307368727287,-0.0724065873519563,-0.0612675147930251,-0.0334408412039946,-0.00571485014896512,0.00710313014311973,0.0223194929038772,0.0333022850210019,0.0418357501454233,0.0428971871159065,0.0469017403019774,0.0494155602934561,0.0499040918465352,0.0501285178242565,0.0506602625182689,0.0612675147930251,0.130420152542115
"TWIST2",-0.0727429196245107,-0.0727429196245107,-0.0676324119448326,-0.051744118678746,-0.0824521765329563,-0.0580297201186467,-0.0584970018398866,-0.0546885672748222,0.00304216305621508,-0.00151328688103187,0.0649477647690792,-0.0658610913581393,0.0620771558009099,0.00148190495756556,0.0287467147429399,-0.0313576801039614,0.0814701335951068,0.0647214432266075,0.0256073231902016,0.0642617350413685,0.101475533424386,-0.00304216305621508,0.0728362243888651
"SNAI1",-0.0654258691451171,-0.0654258691451171,-0.0628585984780941,0.0383016253775953,-0.06620722793594,-0.0619326861649588,-0.0623394492132313,-0.0614748804355622,0.00745460400544869,-0.0177843849474769,0.0287671823979346,-0.0294431515169267,0.007526863513935,0.0176842707822007,0.126275233720166,-0.0598855535366825,-0.0709479779159771,-0.105171769444933,0.0661235835358553,-0.105166465878128,0.110815909169876,-0.00745460400544869,0.0654267184643106
"ZEB1",-0.313465039811935,-0.313465039811935,-0.26632258914328,-0.256514335220164,-0.0525289608190759,-0.150229473952649,-0.150252465101057,-0.109446405672542,-0.256190799959165,-0.115240451154528,-0.0219519403720971,0.0222974787208445,-0.238575709841598,0.115175733340206,0.164766846526918,0.176832666379858,-0.128590584284728,-0.14286428904641,0.293922115757523,-0.143065618999751,0.208198114719365,0.256190799959165,0.213505303644561
"OVOL2",-0.155552697926686,-0.155552697926686,-0.103171263465186,-0.158261426627199,-0.0323007528716205,-0.0505428827450682,-0.0504640141315352,-0.100068611785682,-0.122632010883358,-0.0360263628697735,0.015350532566842,-0.0153918964974944,0.0282174476016102,0.0360663209826483,-0.0464377229098745,-0.0455991781402622,0.0453810861408449,0.0555764136478878,0.0706412227988109,0.055086190689661,0.119769068985084,0.122632010883358,0.155623213368753
"miR205",-0.248395155510556,-0.248395155510556,-0.224122193053813,-0.214808111360621,-0.028105633762644,-0.11987951292247,-0.119899332563734,-0.0860781785433143,-0.116886016134734,-0.0630316022464722,-0.0146924071414443,0.0146882886949224,-0.211238224635404,0.0628538526829109,0.134536449611712,0.144239931812069,-0.109902890784781,-0.120587586807109,0.14786020603252,-0.120331000036974,0.140708318656227,0.116886016134734,0.24840012439293
"TGFbeta",-0.0254298466959855,-0.0254298466959855,-0.0236213939169527,-0.0645962275932751,-0.0169692461080378,-0.0170794173448447,-0.0178153126841742,-0.0131807308627612,-0.00711884405033547,-0.099618991919353,0.0328873066470404,-0.0336451402413044,-0.0899220730156681,-0.000617755646925449,-0.0336791600486766,0.00463917317576205,-0.0441332890644422,-0.0245603002100502,0.0952762661984583,-0.024641318969009,0.00742452411051789,0.00711884405033547,0.0254495742498889
"miR200a",-0.225133619672658,-0.225133619672658,-0.208132336182484,-0.116224408221422,-0.0149122967441307,-0.109355058664636,-0.109834888058629,-0.0789354939772143,-0.108064124042448,-0.14559890135533,-0.0306585439024779,0.0300980339715433,-0.0766387915225567,0.145372785547676,0.098305856006984,0.0931027898534645,0.00584466525306359,-0.0612602828542764,0.0994565080431516,-0.0612530785028482,0.12587744309869,0.108064124042448,0.225187855780514
"CLDN7",-0.00956578211077865,-0.00956578211077865,-0.00788098990410898,-0.0265107995411367,-0.0110282153426087,-0.00833333333333333,-0.0100674373795761,-0.012381993298083,-0.000532390158855334,0.00532049383331924,0.0462452090204118,-0.0469228469681369,0.0639230678787469,-0.00640804141352587,-0.0337740095193626,-0.0590941456164536,0.0618880427150449,0.0596848875366501,-0.0122530149933232,0.0618753211531007,-0.113282920133393,0.000532390158855334,0.00917445709157812
