"","miR200a","CDH1","miR200c","TWIST2","miR101","KLF8","NP63","miR205","TCF3","miR141","CLDN7","miR34a","SNAI1","FOXC2","ZEB1","GRHL2","TWIST1","TGFbeta","GSC","OVOL2","miR200b","SNAI2","ZEB2"
"miR205",0.164516670033454,0.0896420465153669,0.152411551207043,-0.111124162492904,-0.0512657049895708,-0.0519954127309814,-0.10554379540748,-0.106435679264383,-0.092288948262128,0.0100536117988035,0.0100536117988035,-0.00513533355788544,0.105129263475331,-0.124065429009794,-0.0101411883506476,0.00759587375360735,0.0917823793399254,-0.0580532190137827,-0.0582642966205117,0.134246518944668,-0.143239033531501,0.0338234818761213,-0.341258554566796
"miR200c",0.140393631477648,0.0941439445837483,0.13497676617846,0.0492880644295544,0.0340573259660947,0.0337241247125376,0.12185159441923,0.121748519956816,-0.00267777483882102,0.00546785042615609,0.00546785042615609,0.103326087517304,-0.0723086701794083,0.0838183044646042,-0.00540691850251517,-0.0198923438059434,0.00237163880794122,0.0910584077169168,0.0908947862279612,-0.153638389422206,-0.10674699048802,0.0344630810365099,-0.288483531504909
"miR141",0.140393631477648,0.0941439445837483,0.13497676617846,0.0492880644295544,0.0340573259660947,0.0337241247125376,0.12185159441923,0.121748519956816,-0.00267777483882102,0.00546785042615609,0.00546785042615609,0.103326087517304,-0.0723086701794083,0.0838183044646042,-0.00540691850251517,-0.0198923438059434,0.00237163880794122,0.0910584077169168,0.0908947862279612,-0.153638389422206,-0.10674699048802,0.0344630810365099,-0.288483531504909
"SNAI2",0.127970066362947,-0.0801790418092062,0.139358650057663,-0.319563449897859,-0.275526431822377,-0.276544086430264,-0.0261871107927288,-0.0268571957063231,-0.155022872183763,-0.0127571321661319,-0.0127571321661319,-0.00751937488717922,0.00304650441498445,-0.07063512577614,0.0126976582446752,0.0157601832318953,0.154283844254855,-0.245308337060491,-0.24541907712297,0.0313685616505768,-0.334746552673342,0.222393029255819,-0.281567200100834
"GSC",0.0904022553649089,0.0363486902122083,0.156807539512408,0.0152446640376251,-0.0139473099355664,-0.0142133088442888,-0.100663659418216,-0.100995083391855,-0.113414600471271,-0.0719599226076681,-0.0719599226076681,-0.0536296992737661,0.0391393039928901,0.0211505030958396,0.0719883992290859,0.0829616742130831,0.113194181355503,-0.0364706048592423,-0.0366411312908392,0.112541868525162,-0.120291226675664,-0.0989343222679776,-0.275687034465784
"miR200a",0.129530958317704,0.158346053521938,0.0946126776037012,0.198193895055268,0.128907414075347,0.128806553155351,0.142437699192226,0.142483904985721,0.118232857373762,0.0306008404124006,0.0306008404124006,0.0376707925044728,0.0133743523710414,-0.0250619428299113,-0.0304921450028287,-0.0451986415215189,-0.118287577340634,-0.0761528955111563,-0.076457413282268,-0.171803205374528,0.00677988972366377,-0.251341553228254,-0.22647304391905
"SNAI1",0.0724125958407058,0.112572160462135,0.0761163529220485,0.0403847125136057,0.0161911146473642,0.016096586368434,-0.03205332605379,-0.0321733946644246,0.0050626769693814,-0.020463571216109,-0.020463571216109,-0.0587385394785367,-0.0857538471288475,-0.0877785225006511,0.020437860007798,0.0194260600878956,-0.00510406283380949,-0.00301826786708551,-0.00310706308190162,0.0420464496239619,-0.00670989131206199,-0.135416166893452,-0.159970041043559
"TGFbeta",0.0254668581124224,-0.0918454990955564,0.0585730573847453,-0.174681381600309,-0.110214359389042,-0.110853507376384,-0.0366801329982241,-0.0372088874272238,-0.102821460849206,-0.0295618597872171,-0.0295618597872171,0.0424896017325811,-0.0206920443855103,0.0315817179918798,0.0294059263394068,0.0345175296987128,0.102399433757789,-0.128576045010105,-0.0285504154570579,0.037400118249417,-0.184138994419605,0.233071742973098,-0.0985369089110476
"TWIST1",0.105953215561483,-0.0742582185200056,-0.0224434221740354,0.154758483962402,0.0887800218460293,0.0888457490780166,0.156530450587485,0.156707212312679,0.0275745395911217,0.123434603116221,0.123434603116221,0.0977539106371187,-0.0202824766598967,0.0249624206931159,-0.123405110306173,-0.138613263970997,-0.12750346522446,0.0260877891601711,0.0260505001641851,-0.167969496806048,0.0490049898825621,-0.114566713794661,-0.0800980903096612
"ZEB1",0.013579393309617,-0.0646740370162495,0.023419065617089,-0.176685676486603,-0.11836397715806,-0.118629967826343,-0.127800526587608,-0.127912608436097,-0.111708567429497,-0.00681731180880008,-0.00681731180880008,-0.0203679698323155,0.098699219819661,-0.126103785882321,-0.0932007751047272,0.0290418267170532,0.111490427567592,-0.0507092957476087,-0.0507063228444773,0.15625986290314,-0.0479905037647486,0.126732495155629,-0.0486233452307866
