"","ZEB2","TWIST2","miR101","KLF8","SNAI2","miR34a","SNAI1","FOXC2","OVOL2","TCF3","miR205","GSC","TGFbeta","miR200b","ZEB1","CDH1","miR141","CLDN7","GRHL2","miR200c","miR200a","NP63","TWIST1"
"ZEB2",-0.0868576081455191,-0.0810440053052951,-0.0771111774491908,-0.0765533403853428,-0.0525052462276475,-0.0212491025733655,-0.0147447297995083,-0.0122578916943161,-0.00858097879573472,-0.00828159461253257,-0.00725627205552572,-0.00530798138205195,-0.0051127711153467,-0.00447236665207741,-0.00281913022889866,0.00187458212247192,0.00299613267649145,0.00299613267649145,0.00338144752223156,0.00779292708508819,0.00779292708508819,0.00791477840817524,0.00842285819088514
"miR34a",-0.0846535556109967,0.214889777434092,0.0522670520220271,0.0525465157589663,0.086294852682451,0.0122158949542749,0.000683462292149988,-0.0706522562860737,0.0319040839238623,-0.0988671103472105,0.0157648334417503,0.0475755059258254,0.0476762728404873,-0.0423316197292845,0.0175114079815076,-0.0411719843936679,-0.0173867122842231,-0.0173867122842231,-0.0170097158116629,-0.0840906643003905,-0.0840906643003905,-0.0156323755917304,0.0990348097165664
"TWIST2",-0.0761250738821039,0.0577858414166503,-0.0203729426604957,-0.0203668595654169,0.0883900165081873,-0.0942755770090427,-0.138214321326199,-0.0165616938111227,-0.0539359919516502,-0.239939015565597,-0.0212614031889572,-0.0124054296427654,-0.0123860547161036,0.022259626821793,-0.0729613041885806,-0.155204594897878,0.0729448386419298,0.0729448386419298,0.0741080543302792,-0.000340799609401746,-0.000340799609401746,0.0214120287987341,0.239884871399631
"NP63",-0.0645695319262089,0.0239429689094796,0.0171283971096822,0.0161552077900923,-0.010831353051324,0.110522237776462,0.0824384374473329,-0.022874386949123,0.117995942603683,0.113322838369443,-0.299016343795722,-0.0464132331799214,-0.0468069137509294,0.0510790297016248,0.0829458050579577,0.119405044472426,-0.0833980696038779,-0.0833980696038779,0.095369978426166,-0.0756463776195413,-0.0756463776195413,0.198290849384716,-0.113818743227516
"TGFbeta",-0.0451501177355817,-0.0716277894164953,-0.0223393744811157,-0.0224660961297436,-0.0866746840444985,0.0359161846143872,0.0400088150728769,0.0636811278135643,-0.0619539735862569,0.0887173078411315,-0.00717753617277065,-0.0161980910153081,-0.116228064560397,0.133853476394495,-0.0684091466755548,0.132660707135776,0.0684920024019491,0.0684920024019491,0.068004704462327,0.00617876498469065,0.00617876498469065,0.00641165991220919,-0.0885471356268507
"SNAI1",-0.0261208053661309,0.018657474293661,0.0379989730338332,0.0378457935455338,-0.0537847198381188,0.0366552058406706,-0.0747045489421732,-0.0399279621167768,-0.054450050887226,0.00940977082202432,-0.00647246779014123,-0.0196063779607951,-0.0196479458305882,0.0478618570936204,-0.0562103622080032,0.130197035500825,0.0561404864016325,0.0561404864016325,0.0554260077620482,0.00228464711233799,0.00228464711233799,0.00644183804253035,-0.0094991847266529
"GSC",-0.0254932905869277,-0.0418178730314634,-0.0716778127974582,-0.0716622231178261,-0.00866917406399876,-0.0590517029145407,-0.0476726726885974,0.155311677038574,-0.0579238040195339,0.0836890410732131,-0.0148726432296392,-0.0262681642884886,-0.026247383289656,0.0633972812663314,-0.0698515164183609,0.0350923663687188,0.0698044575948315,0.0698044575948315,0.0697978557946546,0.0161677462710197,0.0161677462710197,0.0151925727302044,-0.0838088340709131
"GRHL2",-0.0218223539237372,0.0288427675693413,0.00584292325001989,0.00656566632850045,0.00398348524961542,0.0363987339141076,0.00798551817173255,-0.0284558999457418,0.0975993093633895,-0.0178696914350252,-0.21624684635591,-0.0562624226476124,-0.0560301571443058,-0.0645114493751461,0.0382478205528406,0.027495556560011,-0.0379493274299736,-0.0379493274299736,0.0752089567056405,-0.0343170747681242,-0.0343170747681242,0.216755376824348,0.0182194226333604
"ZEB1",-0.0175427622649394,0.0966336506173815,0.036407354700906,0.0361443031560292,0.0155222965910845,0.0217005784945699,0.096066421354703,-0.0739917730237206,0.028718758825692,0.0163634850719857,0.0435392207882578,0.0479311686223999,0.0478769703114662,-0.0022869309769892,-0.0906572550559091,-0.0155927156840665,-0.00941591059931434,-0.00941591059931434,-0.014489071639335,-0.0122995445744264,-0.0122995445744264,-0.0438179884627032,-0.016475860152361
"TWIST1",-0.0170695162959385,0.0459952227734697,-0.0203521927589492,-0.0203930233121534,0.0575225641738578,-0.0225243061818083,-0.0432300222526359,-0.0624811379475795,-0.030759867789562,-0.204281581630828,-0.01708743436894,0.00100676018729262,0.00101835424486808,-0.00166424542449232,-0.0165781804466871,-0.158361380140181,0.0164973528710331,0.0164973528710331,0.0165940606857056,-0.0172449635445567,-0.0172449635445567,0.0174605980110171,0.104094500826626
"miR141",-0.0134679495624088,0.0961923966497824,0.0349757055120515,0.0353017024141804,0.112683511372297,0.0258326416931992,-0.0203170789864899,-0.0714937318439241,0.0267243238481465,-0.0775464949289111,0.0473545098016888,-0.0540940882657513,-0.0539850072731143,-0.0376973926240086,0.0125606545040963,-0.0170691526165408,-0.0123376838384653,-0.0123376838384653,-0.0137709889326815,-0.0117633519118906,-0.0117633519118906,-0.0475535501429008,0.0779443238772524
"CDH1",-0.00996350495802113,0.012682337668389,-0.0112679237270581,-0.0106629610923973,0.0232752427487119,-0.0263678460285453,-0.0607385854962674,0.0187677663450113,-0.012017945210998,-0.105597754995509,-0.00513864455055709,-0.00148592767795538,-0.00121790795497729,-0.000797721162462219,-0.00798017025170474,-0.11827070308816,0.00804273943878661,0.00804273943878661,0.00765896752900912,-5.85518680252218e-05,-5.85518680252218e-05,0.00667947659986372,0.105433080360714
"TCF3",-0.00995682508004023,0.0127384858997198,-0.0106629610923973,-0.0125851783476498,0.0229431699650621,-0.0259387069556976,-0.0605660796433902,0.0183077627605678,-0.0107481113378882,-0.105791365837716,-0.00797101449275362,-0.000724644371810734,-0.00148592767795538,-0.00140564637730684,-0.00804273943878661,-0.0191073606270795,0.00751975366546254,0.00751975366546254,0.0075128778624182,-0.000149841170192812,-0.000149841170192812,0.00513864455055709,0.105597754995509
"SNAI2",-0.00986835702677502,0.0127986944257139,-0.0111062921499362,-0.0112679237270581,-0.0768321900153408,-0.0263713071144033,-0.0605733933880866,0.0188072301465212,-0.0116812245077155,-0.105433080360714,-0.00667947659986372,-0.00121790795497729,-0.00125884299752819,-0.000923227300648027,-0.00794194925895301,-0.118524262674663,0.00798017025170474,0.00798017025170474,0.00777448543428443,-9.7715628492203e-05,-9.7715628492203e-05,0.00600125300310834,0.105605369080337
"OVOL2",-0.00337334810435545,0.076428156229863,0.0706571637611591,0.0704027303689698,0.0867555324915464,-0.0723319598635273,-0.102431509558558,-0.0192121054350549,-0.0561295691517537,-0.0851078521300569,-0.0558448540473074,-0.0249118825275979,-0.0249539074394145,-0.0134721484184356,-0.0066504425934569,0.0368373328138696,0.00665220887620616,0.00665220887620616,0.0156341957263067,0.00284214122586765,0.00284214122586765,0.0553986521652646,0.0851294333112669
"miR200c",-0.00111757857230076,0.000149674862953865,0.00430700329127709,0.00402603358557485,0.0990424098234913,-0.100234650429395,-0.0831654936260713,-0.0566824875216451,-0.0181235299321677,-0.0937074972201793,-0.0415783733605354,-0.113624482780613,-0.113652889289112,-0.000861726285635717,-0.00254619498852991,0.000312421531176141,0.00254909650870329,0.00254909650870329,0.00649046807389782,0.00162538936369759,0.00162538936369759,0.0409670351696699,0.0937089761382028
