"","miR101","TWIST2","ZEB2","OVOL2","NP63","SNAI1","miR34a","miR200b","TCF3","miR200c","miR141","FOXC2","CDH1","TGFbeta","GSC","ZEB1","CLDN7","GRHL2","miR200a","TWIST1","miR205","SNAI2","KLF8"
"SNAI1",0.274546058448541,0.149683067818291,-0.130081900229603,0.211076415882774,0.200501860229731,0.326081932687988,0.323392003199328,0.0461481603418734,-0.289982021515517,0.155423652817277,0.172704366004458,0.216224139502252,-0.0870638577600168,-0.00453313493118237,-0.0046012437882611,-0.172823965589064,-0.172704366004458,-0.186655860348053,-0.155423652817277,0.290206322681985,-0.199916219455411,-0.0763135948763444,-0.274153906479514
"TGFbeta",0.168069329978356,0.217046188957494,-0.123554013527493,0.040247914228402,0.0400324416196526,0.128287725668726,0.134143078123212,0.109988858585622,0.043766215064073,0.080816037502837,0.036264358796173,0.0353819533513635,0.0427373934613479,-0.100451767517824,-0.000386173237992651,-0.0362535515275129,-0.036264358796173,-0.0394639014037258,-0.080816037502837,-0.0437684840269301,-0.0397162791775703,-0.209258429954992,-0.167939838457627
"miR101",0.24114424610992,0.11438184193591,-0.114692985448388,0.210322154280603,0.1924031062787,0.362554489482773,0.203682373501109,0.0287520168639652,-0.252022480082101,0.129640946434249,0.140233391269305,0.19136528496426,-0.023484232942162,0.008835215474677,0.00884276144219581,-0.140331278616459,-0.140233391269305,-0.156679364634856,-0.129640946434249,0.252289821832153,-0.191605289776495,-0.0808503563524892,-0.340815937100696
"CDH1",0.217721827258907,0.264375728674111,-0.0998929434184405,0.152428055269977,0.136942241258131,-0.0443446795791174,0.0432107115166921,0.219174046396368,0.168399738251165,0.0997295945904368,0.0975799887024121,0.0386843962876486,0.220772912579167,-0.197115317827843,-0.196990514750731,-0.097716357443488,-0.0975799887024121,-0.108987258940068,-0.0997295945904368,-0.168798144625667,-0.136659755382424,-0.255690040439447,-0.217479195186182
"KLF8",0.217479195186182,0.264200265451202,-0.09971481333895,0.152793860624249,0.136659755382424,-0.0441105644930698,0.0437828969471557,0.219222857909969,0.167867308435095,0.100321913551013,0.0983150945796019,0.038893488826032,0.320554036144863,-0.196990514750731,-0.1973530306108,-0.0975799887024121,-0.0983150945796019,-0.109652778532316,-0.100321913551013,-0.168399738251165,-0.136775362318841,-0.255504624405674,-0.217732510638425
"ZEB2",-0.120389021544449,-0.120030720069379,-0.0759380864175121,-0.0402192256344463,-0.0312935452954234,-0.0297847910303312,-0.0277126557631568,-0.0178523178690393,-0.0177600388092334,-0.0150386459574453,-0.00878267766871961,-0.00851436150492075,-0.00844494710323694,0.00150423856815935,0.00154057107836632,0.00870976542609124,0.00878267766871961,0.0114970949701498,0.0150386459574453,0.0177389304584451,0.0313555223639081,0.11502592522972,0.120350241427711
"miR34a",-0.0149961871933415,-0.014950249334336,-0.0698812434359231,-0.0845621997771028,-0.0627739998532366,0.137709305139688,0.059501449985705,-0.102615417712475,-0.0577106514959858,-0.0225270131890088,-0.0171579896125207,0.106907860986381,-0.0349040206261039,0.0278506095514429,0.0277745818194225,0.0172434204432939,0.0171579896125207,0.0214991158693612,0.0225270131890088,0.0578295369644024,0.0626623568082198,0.145925532321911,0.0150374825221676
"OVOL2",0.21254507651384,0.193170791576768,-0.0567984323441966,0.111807972051501,0.221610350965778,0.0991892284397019,-0.0616828383512734,0.0547885049063394,0.0762245410881389,-0.0742517129647217,-0.0926857848019418,0.0102005638776635,0.238803877404804,0.196331370695569,0.196223897150596,0.0927560285082009,0.0926857848019418,-0.0426731975927916,0.0742517129647217,-0.0763342454259563,-0.221516356864718,-0.225961808540774,-0.212542883122528
"GSC",-0.192400381019976,-0.075006394413243,-0.0351412425943031,-0.216115209758671,-0.204674953021508,-0.368525409063506,-0.222820759551822,-0.105270664612163,0.370707924730581,-0.0679175428797918,-0.171009029282793,-0.212472921778682,0.0376114324486186,0.013622758637359,0.0136453732537357,0.171056812088223,0.171009029282793,0.189110490776368,0.0679175428797918,-0.370984247245276,0.20404467274794,-0.0201836286146701,0.192006741609266
"miR200c",0.116272846837665,0.109291025313088,-0.0326808101295705,0.151823533560013,0.123259813792647,0.138444668547417,0.117270688381656,0.0623582127673644,0.0171143544713555,0.022019860534642,0.0135022122418352,0.0289135670617315,-0.0243246122574801,0.105235764498823,0.105313030201941,-0.0135247548216437,-0.0135022122418352,-0.0279241618095778,-0.022019860534642,-0.0171247068975205,-0.122957698989022,-0.105478231122716,-0.116143168511956
"TWIST2",-0.163922421955232,-0.132261161780076,-0.0304247064857141,0.0414308724891656,0.0200359721166618,-0.302872898850752,-0.144431279780824,-0.0494989433843185,0.28274195644066,0.00492990354289153,-0.0228020641530848,-0.0838082647465092,0.0944579970062566,0.0191786277592324,0.0192618580779908,0.0228187449356395,0.0228020641530848,0.0202091140465058,-0.00492990354289153,-0.282974206415726,-0.0204074011771346,0.0940258350771135,0.163580899617238
"miR200a",0.139550353121426,0.0756335097922867,-0.0237555125988703,-0.131189893160827,-0.102227970924235,0.084097990198414,0.00594889413491136,0.01006504618144,0.0293213280446571,0.0153765449119128,0.00913289238349668,-0.00572137520505149,0.0471619555826003,0.076328955646013,0.07607216080918,-0.00904026693180811,-0.00913289238349668,0.00530145749691546,-0.0153765449119128,-0.0292961864382564,0.101989833373142,-0.166218362822866,-0.139541347682141
"FOXC2",0.00431320373287722,0.0635134618477293,-0.0133097349709334,0.156078199057102,0.127760731683365,0.0923472231551288,0.0172741100707484,0.000727335875182551,-0.00545066079461117,0.00941437602711186,0.0072431831837986,0.0974862583246084,-0.00269279605059828,0.0264624319134329,0.0266675968595364,-0.00740174667508611,-0.0072431831837986,-0.0294372934022356,-0.00941437602711186,0.00541122861795502,-0.127191471721316,0.0240405939123843,-0.00423617927333218
"miR205",0.0277616540003672,0.0948849064367503,-0.0133067659573479,0.15987773522594,0.128921285887085,0.10269047204071,0.0199630011216553,0.00852574125083024,0.00117686717593574,0.00947511801193004,0.0082991453177412,0.100612360375755,0.0499243941904561,0.0215939210980076,0.0216605771843431,-0.00845069623015223,-0.0082991453177412,-0.0261375453881531,-0.00947511801193004,-0.00120981474811152,-0.128465434138002,-0.0102294556078617,-0.0277328662164008
"GRHL2",-0.0420255415414216,-0.00115517967507219,-0.0101043872829739,-0.0766099001549904,-0.186910300334539,-0.00628757647298337,0.124745555075419,0.0950180643220511,-0.0144956866724681,0.123784135087761,0.130577107009245,0.0331817148853312,-0.0992479210152735,-0.130614293254107,-0.130517284989003,-0.13064894624657,-0.130577107009245,0.00936687495024717,-0.123784135087761,0.0145390417796997,0.186859967967356,0.0520051609228931,0.0421408635186213
"TWIST1",0.0800757127204341,-0.0366767565816214,-0.00285598772036073,0.141359762214491,0.124623060365966,0.314261585439475,0.143962704827979,0.0122238264384467,-0.338568912360223,0.0327224966755145,0.0865002936048959,0.0502994097635606,0.0732328599567712,0.00479046769917202,0.00481835610793462,-0.086519667542877,-0.0865002936048959,-0.0959844102621194,-0.0327224966755145,0.238791938821128,-0.124006358346954,0.0786678008594051,-0.0798635930172026
"ZEB1",-0.00435508624141905,-0.0634426921276275,0.0133718265484381,-0.156134018575772,-0.127642902047775,-0.0922674324051901,-0.0174355483389561,-0.000784275401302063,0.00541122861795502,-0.00950634960201593,-0.00740174667508611,-0.0975693625021135,0.00275382705021208,-0.0265230334003419,-0.0264624319134329,-0.0926154313483142,0.00740174667508611,0.029641637894566,0.00950634960201593,-0.0053853883588313,0.127760731683365,-0.0240265751704047,0.00431320373287722
