"","TWIST2","ZEB2","KLF8","SNAI1","miR34a","OVOL2","miR205","CDH1","miR200b","ZEB1","miR200c","miR200a","TWIST1","GRHL2","GSC","TGFbeta","TCF3","miR141","CLDN7","FOXC2","NP63","miR101","SNAI2"
"NP63",0.275565685366374,-0.112007690378565,0.252331817647488,0.129380504903063,-0.0550409064097424,0.0391991519999496,0.0219936386172936,0.208345919017703,0.237103358645154,-0.0836509710980304,0.095229869440535,0.095229869440535,-0.225431626889981,0.0115586401704725,0.0992224227595622,-0.0997393424658423,0.22485494115005,0.0837775237429128,0.0837775237429128,0.128249952992956,-0.121569090036038,-0.252575800321977,-0.327414041537013
"miR101",-0.0383464475623668,-0.105102026810847,-0.0998976137706652,0.00150604441045823,-0.0271349532933091,0.0969065742942032,0.0654932488434987,0.00979667181471087,0.0179490069752895,0.00970261855550992,0.0464199601722782,0.0464199601722782,0.00875978499614215,0.0016363858009638,0.00896582921971629,-0.00911758701092776,-0.00870413426449871,-0.00965219174030936,-0.00965219174030936,-0.0775438780212571,-0.0653462826457242,-8.37776215244919e-05,0.098845020142894
"ZEB2",-0.0934393328062663,-0.0812120878710952,-0.0546409680454471,-0.0527027227436525,-0.043725667777059,-0.0432821792178719,-0.0304026454838748,-0.0282688445386701,-0.0116691392653668,-0.0104537264404758,-0.00774551077323618,-0.00774551077323618,-0.00728866246426957,-0.00537658350707556,-0.0030991557922891,0.00298892665115269,0.00722208997332181,0.0103538096635406,0.0103538096635406,0.017525536490949,0.03060407095645,0.0546359962356089,0.0601906697457448
"TGFbeta",0.122489518947362,-0.0767095590136991,0.0853242430098488,0.0137611961693087,-0.0806776375667518,-0.107786903713567,-0.0938070708925489,0.0678573638753608,0.17321339197496,-0.0807003472334467,0.0788265138197522,0.0788265138197522,-0.111154376459586,-0.0757976735906514,0.0802729724546789,-0.180534046376392,0.111143031645301,0.0807914370692963,0.0807914370692963,0.0801692697413318,0.0940414671858169,-0.0856157720484954,-0.17154196651639
"miR34a",-0.0357903327099718,-0.0724079508763683,-0.0537558893237714,-0.0398749988269444,-0.0239298658648038,0.073978049476427,0.0496080108970737,-0.0419077990840285,-0.0670217634575045,0.0127621670771839,-0.0187789999150852,-0.0187789999150852,-0.00134378367661448,0.0071046100578273,-0.0442390178737841,0.0442347941108941,0.00170673864972747,-0.0127062443885162,-0.0127062443885162,-0.0728518479634484,-0.0495304284420621,0.0535388487583135,0.146266491839193
"TWIST2",0.214457820033895,-0.0393321711103277,0.121294812928978,0.0622398807791172,-0.00217134704821617,-0.117525387205302,-0.0954358973274237,0.183643897585204,0.131009349749698,-0.0675128393509488,0.0504233488171874,0.0504233488171874,-0.232150168908038,-0.0600485019321902,0.0893216791621132,-0.0894163707050942,0.231615851480741,0.0674610751160533,0.0674610751160533,0.0996281548915969,0.0954273390541409,-0.121240065073269,-0.2638880238857
"OVOL2",0.131125599808125,-0.0229617767230147,0.138882658568134,-0.0259426632651442,-0.111245964074842,0.0571971572097048,0.118678931207583,-0.0323900523374506,0.131816358406209,-0.0967071330918957,0.106238342431857,0.106238342431857,-0.0750601994335285,-0.116746121158616,-0.103843517441279,0.103663017000362,0.0747095052388662,0.0967213992217936,0.0967213992217936,0.0624606031076283,-0.118522274372484,-0.138813566741807,-0.159490377099698
"TWIST1",-0.056110022388646,-0.0215333510225249,-0.0394010703149432,-0.0398986878139497,0.0418444079173733,0.121608004964015,0.0972779876312124,0.0872458380988623,-0.0286313543701069,0.0662007299993791,-0.0108694771618729,-0.0108694771618729,-0.000269805818254174,0.0579200229409648,-0.0361379923864778,0.0362272979650996,-0.0997195738740837,-0.0662428096990707,-0.0662428096990707,-0.0526181222098239,-0.0973840446663291,0.0393552604259824,0.070698598870595
"CLDN7",0.408926267743841,-0.0117143626317241,0.301813857061987,0.122066098907403,0.0334943048604465,-0.0376525134270341,-0.0309420289855072,0.367853718903483,0.291167606577737,-0.0215816099328169,0.0159603446642789,0.0159603446642789,-0.260065958094818,-0.0190406712024755,0.243133295169858,-0.24340518206491,0.25740380901447,0.021512122312585,0.021512122312585,0.137773127693908,0.0302483873670101,-0.303289047048577,-0.443093633893403
"CDH1",0.409993084139124,-0.0116631502338706,0.303289047048577,0.121955202287696,0.0339340399597843,-0.0377806617995498,-0.0302483873670101,0.268298104391312,0.291660159124071,-0.0215447101558199,0.0159964357837405,0.0159964357837405,-0.261579902317926,-0.0191802679949957,0.24340518206491,-0.24406193268381,0.260065958094818,0.0215816099328169,0.0215816099328169,0.139320412477945,0.0304795121744061,-0.30371284440227,-0.444066806183657
