"","ZEB2","TWIST2","KLF8","miR101","miR34a","SNAI1","FOXC2","ZEB1","CLDN7","miR205","miR200c","TWIST1","TCF3","miR200a","miR200b","GSC","TGFbeta","CDH1","GRHL2","NP63","OVOL2","miR141","SNAI2"
"TWIST2",-0.121864031111319,-0.0885685439170596,-0.0830574542475761,-0.0830096585005285,-0.0063510991922211,0.0773953634393799,0.10428066106707,-0.106707722197034,-0.10670094226606,-0.101497909360297,0.0104097372831188,0.158449824659931,0.158418478037529,-0.113146180475909,-0.0366453685270138,0.0107967591529324,0.0107315393293806,-0.080922470965226,0.101307143323246,0.101280529218914,0.10255948741254,0.10670094226606,0.0858598500536804
"TWIST1",-0.110281413240718,0.141556969994329,0.0568041045041885,0.0568339805187281,0.000553310059365788,0.0393631485213611,0.235917192205582,-0.0790487972824088,-0.0789464979538329,-0.0818738393125047,0.0171458373411732,0.143658604359672,0.243492764170794,-0.0914130214117915,0.0442590116883136,0.031896629575845,0.0320059897405433,-0.0552986793415494,0.0707104383242127,0.0820466729993614,0.0898327538647812,0.0789464979538329,-0.163336155886657
"SNAI1",-0.0871750447846397,0.048364311458151,0.0255409670350119,0.0255818356968596,0.153534210377612,-0.0289450776856102,0.156347943230203,0.143733736815265,0.143740145314634,0.133853527524171,0.120613820909833,0.0593334083590099,0.0592184476244875,0.0314568367023619,-0.0172970332940278,-0.039648921132746,-0.0396022792506778,0.09097684981576,-0.133274604048137,-0.133766539040956,-0.133873238924161,-0.143740145314634,-0.193219716931813
"GSC",-0.0857424405182939,0.0585869317554162,0.0603478429554085,0.060446252808086,-0.18000862140613,-0.0794168182068608,-0.113360293471579,-0.238188318229302,-0.238032420793405,-0.201732254152195,-0.0862422511124253,0.085649572540688,0.0858188799774373,-0.173148052031239,0.059805634991444,0.0751878381877002,0.0754378213795393,0.0299665324649157,0.214322190591181,0.202326135261028,0.194933605404831,0.238032420793405,0.0240515974529708
"ZEB2",-0.0857366555143749,-0.0755004327590001,-0.0752794031468338,-0.0752465892019015,-0.0487184922148341,-0.0449877849176992,-0.0414495616157455,-0.0367475095428033,-0.036720750504263,-0.0340329435118647,-0.0230907795475642,-0.0162882244437041,-0.0162184045141735,-0.0095384769749196,0.00538942934960644,0.00965377650835024,0.00968641418701074,0.010379793358571,0.0326903599070867,0.0341646447823946,0.0356934128478694,0.036720750504263,0.0866004735334074
"CDH1",-0.0848494200389104,0.300326580062569,0.223593362527454,0.223771292714119,-0.0761732925616814,0.0944114867709472,0.118493283682885,-0.185923967004551,-0.185283836090559,-0.15685766943118,-0.0535345015193213,0.250154110373103,0.24956446893884,-0.135886931291036,0.26865927524096,0.26151124336885,0.262564908692008,0.148808366416564,0.168784577624151,0.15911755643683,0.155765856402065,0.185283836090559,-0.299467018053682
"GRHL2",-0.0529846267186855,0.152419830168698,0.118008683995417,0.118138091099603,-0.266122241204154,-0.00482228416588738,0.0273954461788278,-0.283968314878445,-0.283582915930486,-0.10135327399442,-0.236310776766004,0.0623670106711216,0.0622485067113551,-0.272713565478815,0.231122500004743,0.0109472521747022,0.0115376167594791,0.191315284184122,0.151780537879188,0.102625467964949,-0.0223305904411236,0.283582915930486,-0.121518120947535
"miR200b",-0.0235453114692323,0.137560616705803,0.109013927019322,0.108936480241468,-0.267328793492795,-0.147110451798338,-0.135008746772119,-0.28009988625727,-0.279769336151364,-0.199923166851673,-0.1363729420965,0.0347970936749281,0.0347689942324802,-0.155881109049834,0.122845473468734,0.196049258825878,0.196538987032405,0.109335848020819,0.247134844251495,0.200964574351228,0.189241211609116,0.279769336151364,-0.0897310733696305
"TGFbeta",-0.02268400428106,0.148374248819239,0.0841122935434554,0.0841074462672784,-0.215644881652023,-0.107888050380845,-0.096961050569278,-0.201713558042167,-0.201522629629172,-0.178863990179199,-0.0980666463758954,0.0564388555799549,0.0565818002399509,-0.11739063791707,0.158598948526655,0.265000078490352,0.165407110544669,0.0235389333180124,0.184688165547637,0.17992967565208,0.176674390566133,0.201522629629172,-0.07240822711252
"miR200c",-0.0167492073094286,-0.0134104446591563,-0.0945921239881534,-0.0944372304324458,-0.117860459032584,0.0358076068206508,0.0434580940147789,-0.201019774008434,-0.200960627635669,-0.146803431345388,-0.0926646994919961,-0.0264529818659946,-0.0263657257026037,-0.108151532694936,0.0565343931254062,-0.042270986915853,-0.0423391625362512,0.0336398876282556,0.182769554332255,0.14657240237791,0.140047850023464,0.200960627635669,0.124284169179689
