"","miR200b","miR200c","miR200a","SNAI2","CLDN7","GRHL2","SNAI1","TGFbeta","TCF3","ZEB2","FOXC2","TWIST1","GSC","OVOL2","miR205","NP63","miR101","KLF8","miR141","ZEB1","miR34a","TWIST2","CDH1"
"TWIST2",0.0507615848019188,0.163192963548895,0.163192963548895,-0.124701677077991,-0.141908460753216,-0.130871722224228,-0.0631277215611864,0.0220437814353132,0.0873363599653393,-0.180417531799722,0.0751924613784463,-0.0867222511355657,-0.0218819598647434,0.12448563995465,0.126301594239415,0.126364925461708,0.0290892080949424,0.0288528364004529,0.141908460753216,0.141949032721107,0.101944973004536,0.154670781180592,0.0634513665069614
"miR141",-0.0574588388219444,0.222650577465386,0.222650577465386,0.0807376444840361,-0.255246470311732,-0.227357760091524,-0.134315177392011,-0.0441530551063332,-0.0974186774620844,-0.178911978582637,-0.00714204913174492,0.0973757888394007,0.044198505519932,0.166353294579134,0.179542779421747,0.179738265471152,-0.0986291212004056,-0.0987732082289708,0.255246470311732,0.255327936070446,0.247145730671305,0.0527847529314834,-0.127386409711565
"miR205",-0.0130709793171237,0.20360551635451,0.20360551635451,-0.0264180161861664,-0.228382398123386,-0.201236907905528,-0.0935286462320132,0.0439941873352047,0.0261167856723041,-0.168527879605155,0.11506477991815,-0.0262485759610072,-0.0440052966829273,0.14656313095207,0.157296598798176,0.157375877363234,-9.88771515637732e-05,-0.000175227361213939,0.228382398123386,0.228430844726534,0.228538118352437,0.147019505339163,-0.137411081097181
"miR34a",0.109320827042301,-0.036868526587342,-0.036868526587342,-0.0893841584499709,0.0671936584742798,0.0606559065530913,-0.112499923076245,-0.0194077036904489,0.0243676422299145,-0.108512129003193,0.113279208978203,-0.0238110062950102,0.0195464844711209,-0.0793960563410451,-0.0718751138804622,-0.0718542990754591,-0.0107293849276179,-0.0108849626780789,-0.0671936584742798,-0.0671684337721574,0.0234228486842634,0.204183245265798,0.0835726164141349
"NP63",0.0547231740597457,0.10709888329828,0.10709888329828,-0.0283378573102431,-0.112050853197829,-0.008078196355483,-0.0782286318413279,0.0189132763781674,0.0350056336551093,-0.100060067156813,0.0753352776657413,-0.0344783140096476,-0.0187626507683905,0.00674491018527662,0.00629955891836943,-0.0935983344608223,-0.0030675717843982,-0.00330333032379181,0.112050853197829,0.112122441959411,0.130153623938566,0.0568196844630671,0.0650221371087641
"ZEB1",-0.205358772512495,0.253815358396501,0.253815358396501,-0.0633057635606688,-0.265796688369455,-0.22201415111057,-0.112981195808401,0.0410490726670645,0.0267761699021616,-0.0308815141092984,0.123984256529423,-0.0269246011580583,-0.0410470145033581,0.166103171350658,0.177128606592415,0.177275175163515,0.0165548139459482,0.0165482009182837,0.265796688369455,0.165835497977878,0.265914403560698,0.190345887731193,-0.131423585791116
"FOXC2",-0.205355181731569,0.253707561410861,0.253707561410861,-0.0632093098231164,-0.265695088706137,-0.221958626821527,-0.112870716308486,0.0410470145033581,0.026748004061693,-0.0308752039896333,0.123976824448508,-0.0267761699021616,-0.0409634287845752,0.166046817673914,0.17681686899415,0.177128606592415,0.0165482009182837,0.0163855937259109,0.265695088706137,0.265796688369455,0.265840411021103,0.190254443710837,-0.131396279586298
"OVOL2",-0.0442257353863051,0.133839527764784,0.133839527764784,-0.0795933498212116,-0.146144263579737,-0.0600512572768182,-0.129125081505948,0.0133520007955588,-0.0374921341580895,-0.013640971376132,0.0185060606331368,0.0385999681268687,-0.0130309580265994,0.0036530041575113,0.0707208119042304,0.0709012373625867,0.0544195645895139,0.0539940466749904,0.146144263579737,0.146217224644071,0.173392820394182,0.117326748805504,-0.0816840423071818
"ZEB2",-0.17151172069368,-0.102181916744256,-0.102181916744256,-0.0836756624776469,-0.0782288243677959,-0.070583956126848,-0.0594604203742269,-0.0465330425243524,-0.0260458906366841,-0.00919085021313685,0.00809181022355039,0.0257584923221047,0.0465213422244553,0.0566920232087924,0.0609099715980248,0.0609642015329489,0.0683081184437982,0.068386673039242,0.0782288243677959,0.0782722771184532,0.0806909759687896,0.115351214216412,0.157679584560074
"TCF3",-0.0211260195420291,0.0102729894028543,0.0102729894028543,0.0615006472497608,-0.0188437316135396,-0.0174189600974704,0.0711730135583747,0.0090588774779034,-0.0262798229194521,-0.00310956091498181,-0.0552173363856605,0.0317977319223563,-0.00780819776066577,0.0241230419034151,0.0216304347826087,0.021803845187233,-0.00752815501204414,-0.00900334499863332,0.0188437316135396,0.0188839612884107,-0.0108214421579824,-0.0801129071487849,-0.216309455158176
