"","TWIST2","ZEB2","KLF8","miR101","OVOL2","miR205","miR34a","miR200b","miR200c","miR200a","FOXC2","SNAI1","TGFbeta","TCF3","TWIST1","CDH1","GSC","ZEB1","miR141","CLDN7","GRHL2","NP63","SNAI2"
"miR34a",0.108435483930005,-0.1184448482885,0.0812777695418782,0.0809935040225174,-0.311762170658116,-0.302669028378208,-0.0513784984737476,-0.0783828039360435,-0.150474323196466,-0.150474323196466,-0.201901640218596,-0.242564689335312,-0.0680519472307648,0.101672073825145,0.101427216999466,0.084396263364243,0.0682420165608157,0.264585821144047,0.264875667249567,0.264875667249567,0.28838487202932,0.30234923728316,0.024001959582406
"TWIST2",-0.114436067774765,-0.117904016332169,-0.00483567231886276,-0.00498079758717071,-0.246305044009187,-0.239166105731815,-0.0721582373767369,-0.0612767119919484,-0.0447549015659549,-0.0447549015659549,-0.0242155559469656,-0.0792595195199258,-0.0378244227824789,0.0314941072946338,0.031341648722045,0.0184229683366605,0.0379764204465722,0.208429700725814,0.208617924523802,0.208617924523802,0.228620605955152,0.238733057103706,0.0971535468711246
"miR101",-0.0509921802961032,-0.112487147834661,0.211223290227886,0.111260507443507,-0.273501951800315,-0.266487142271179,-0.043468258410294,-0.0746256237683965,-0.0631905582909055,-0.0631905582909055,-0.271746907701326,-0.259773355091259,-0.0536490242204121,0.264307767125226,0.264415795016064,0.142877038472242,0.0538628266334448,0.231249212083694,0.23149442483212,0.23149442483212,0.256428096696421,0.266240449010629,0.113055247094686
"GSC",-0.0639233041258378,-0.0858647826665401,0.112894353529078,0.113056096455261,-0.217502269479575,-0.206432021367566,0.00272625026076098,-0.0651864325021687,-0.0476915360357373,-0.0476915360357373,-0.194948401755294,-0.281339101061661,-0.0373419995186314,0.377596205198041,0.377813429833871,0.0820153443750481,0.0374948009806358,0.17083044599219,0.170952316278767,0.170952316278767,0.189581273132133,0.206269182999015,0.121143478542624
"ZEB2",-0.0897078944125593,-0.0810421801817395,-0.0734926058900882,-0.0729665884092048,-0.0557533021996755,-0.0507303146238136,-0.0284747086887699,-0.0258309817401143,-0.0256160133306065,-0.0256160133306065,-0.0144918251101302,-0.00517835102149621,-0.00425177891312165,-0.00234096705028822,-0.00191068143806486,0.00217090277251457,0.00450856970560143,0.0340208113720837,0.034110417326829,0.034110417326829,0.0395184452206446,0.0504901534834356,0.0607877635080136
"KLF8",-0.0474221591864888,-0.0654882360199607,0.0079896139995549,0.00559056765772804,-0.181215134673377,-0.166086956521739,-0.0565232228340423,-0.0338906965349927,-0.0346433409468993,-0.0346433409468993,-0.02939499393745,-0.0594077094601801,-0.029027735094151,0.00503684226163948,0.00285872028680889,0.0723681939934622,0.0281758228229892,0.133947764195991,0.134704813532202,0.134704813532202,0.149108487714902,0.168861522995728,0.0320458915638497
"CLDN7",-0.0474221591864888,-0.0654882360199607,0.0079896139995549,0.00559056765772804,-0.181215134673377,-0.166086956521739,-0.0565232228340423,-0.0338906965349927,-0.0346433409468993,-0.0346433409468993,-0.02939499393745,-0.0594077094601801,-0.029027735094151,0.00503684226163948,0.00285872028680889,0.0723681939934622,0.0281758228229892,0.133947764195991,0.134704813532202,0.134704813532202,0.149108487714902,0.168861522995728,0.0320458915638497
"CDH1",-0.0471694921455006,-0.0651275226089923,0.00559056765772804,0.00583319973045296,-0.180704871153724,-0.168861522995728,-0.0560993817744397,-0.0333774360737979,-0.0341656643657898,-0.0341656643657898,-0.0287079755970473,-0.0583562452140718,-0.0287433477545025,0.00285872028680889,0.00274716650194833,-0.0279662795186991,0.029027735094151,0.133628500908061,0.133947764195991,0.133947764195991,0.148748133203978,0.168784481393262,0.0326775631365338
"OVOL2",0.188428706169449,-0.0527206043164662,0.21356045352676,0.213251185351771,0.314373960089631,0.409837052341727,0.213134284189317,0.170443353713555,0.197617075213238,0.197617075213238,-0.197490853559414,-0.243280096684361,0.228597215344967,-0.00877323042248835,-0.00848008604438605,0.0713589534917945,-0.228996107540734,-0.160891839589146,-0.16096724627575,-0.16096724627575,-0.19803901358284,-0.407934482089239,-0.162763916031228
"TGFbeta",0.0746590381358739,-0.0365102958827218,0.0802277234503379,0.0804513906225062,-0.0371022964655582,-0.036385438885789,0.100220687661036,0.0676465572347109,-0.00300818687734262,-0.00300818687734262,-0.146628298958194,-0.160117905617341,-0.0994693870423596,0.0172219142516805,0.017584948308813,0.0332026689572513,-0.000457199492133902,0.033246367785036,0.0333141276440955,0.0333141276440955,0.0362040021837532,0.0367288567108095,-0.00988251909405978
