"","TWIST2","ZEB2","KLF8","miR101","OVOL2","miR205","miR34a","miR200b","miR200c","miR200a","FOXC2","SNAI1","TGFbeta","TCF3","TWIST1","CDH1","GSC","ZEB1","miR141","CLDN7","GRHL2","NP63","SNAI2"
"NP63",0.0392931682743842,-0.0261462105236245,-0.0197634802959854,-0.0194756355676559,0.0438572694635056,-0.164163016329272,0.164410696363594,0.018008359283981,0.130953525355107,0.130953525355107,0.0153712990214151,0.0448155844085595,0.0226972259152943,0.0116081066554005,0.0119020593088281,0.0182994074863184,-0.0229334342578991,-0.200820522603474,-0.20123953739283,-0.20123953739283,-0.0233095071047328,0.0640340395450932,0.00928138803213612
"miR200a",0.124109976668869,-0.0170049178935705,0.131570147477821,0.131132483128554,0.236857380254338,0.233539596011919,0.230036349274208,0.103602856085413,0.105215543920775,0.105215543920775,-0.180581897192233,-0.21325353085865,0.139063796968501,0.00709750227314997,0.00722321030515376,-0.0843873301152407,-0.139521709885509,-0.197678504173414,-0.197902367614483,-0.197902367614483,-0.224818305390648,-0.232142759331628,-0.0892950133678746
"miR200c",0.0668860353869546,-0.0127472482059519,-0.0307092661397279,-0.0299492070640462,0.275610605274533,0.270810807121432,0.140575473734671,0.101818926137266,0.12577371555061,0.12577371555061,0.0537737538452763,0.0347952093687496,-0.0463171156422796,0.0152577203869234,0.0162145803481757,-0.0391687160007061,0.0462693927080009,-0.234714364527805,-0.234987330617962,-0.234987330617962,-0.261923292064334,-0.270146154553456,0.0278267046516559
"GRHL2",-0.0256552438551202,-0.00446491585809847,-0.102226285885163,-0.101778202782914,-0.0650120717643984,-0.175116965435277,0.134248901334483,0.0691767722753732,0.129499535186871,0.129499535186871,0.0253620154403404,0.0010914189086886,-0.080291057151256,0.0281332876510961,0.0284107603373786,-0.096682436149764,0.0803348494537888,-0.144519525439186,-0.144740283703427,-0.144740283703427,-0.00508342321611869,0.174584136582681,0.100653863062567
"TWIST1",-0.0406338378630944,0.0118916718165741,0.0529131948048597,0.0529012443990439,0.200901319552222,0.18971495063657,0.195173759114323,0.00113832866547349,0.065505962543695,0.065505962543695,-0.417822159415841,-0.318089115309237,0.0477995163753143,0.337164501461423,0.237688164323841,-0.101036747420307,-0.048065552993735,-0.151046616568902,-0.151283669657195,-0.151283669657195,-0.167842853963201,-0.188803645742234,0.113137272815357
"miR200b",-0.124109976668869,0.0170049178935705,-0.131570147477821,-0.131132483128554,-0.236857380254338,-0.233539596011919,-0.230036349274208,-0.103602856085413,-0.105215543920775,-0.105215543920775,0.180581897192233,0.21325353085865,-0.139063796968501,-0.00709750227314997,-0.00722321030515376,0.0843873301152407,0.139521709885509,0.197678504173414,0.197902367614483,0.197902367614483,0.224818305390648,0.232142759331628,0.0892950133678746
"miR141",-0.124109976668869,0.0170049178935705,-0.131570147477821,-0.131132483128554,-0.236857380254338,-0.233539596011919,-0.230036349274208,-0.103602856085413,-0.105215543920775,-0.105215543920775,0.180581897192233,0.21325353085865,-0.139063796968501,-0.00709750227314997,-0.00722321030515376,0.0843873301152407,0.139521709885509,0.197678504173414,0.197902367614483,0.197902367614483,0.224818305390648,0.232142759331628,0.0892950133678746
"miR205",-0.18668361714083,0.0337223521478762,-0.0946531428128465,-0.0953002421307011,-0.279629099858985,-0.27542894130997,-0.257688264871209,-0.137490031757876,-0.131750001243131,-0.131750001243131,0.157938797333049,0.183564839921371,-0.0493101353399876,-0.0152228981357112,-0.0163431155896876,0.0434779884138075,0.0495624762382577,0.229620484992252,0.229983213405564,0.229983213405564,0.264139533935457,0.273982107497662,0.061942080643702
"FOXC2",-0.187300345240741,0.0348327760934262,-0.103775075824125,-0.104081462007649,-0.285854687309372,-0.282226554034991,-0.267383640678665,-0.238477948725841,-0.232211271239008,-0.232211271239008,0.186402346978782,0.216988463888339,-0.075116889018212,-0.0214661446230528,-0.0224970143842065,0.123932973551917,0.0755999493410482,0.227276915852601,0.227750055707301,0.227750055707301,0.270270461247053,0.280261251785059,0.0585896724915864
"ZEB1",-0.187015676029545,0.034848172785409,-0.104081462007649,-0.104083666350204,-0.285079891023907,-0.280261251785059,-0.267202022626931,-0.238249335673524,-0.23200754482578,-0.23200754482578,0.186915160561923,0.217070143176738,-0.0748573317063567,-0.0224970143842065,-0.0230024017777657,0.12374726960122,0.075116889018212,0.127115769633084,0.227276915852601,0.227276915852601,0.269630987632422,0.278976621367769,0.0584026361135501
"SNAI2",0.0475020472648226,0.0652012622557081,-0.00583319973045296,-0.00505972673263811,0.180337906075895,0.168784481393262,0.0561651424057417,0.0335481115162151,0.0341311629577594,0.0341311629577594,0.0279097883858651,0.0583593620463016,0.0287093070349076,-0.00274716650194833,-0.00219176207684859,0.0281184152706008,-0.0287433477545025,-0.133476473909986,-0.133628500908061,-0.133628500908061,-0.148455773073343,-0.168336853819404,-0.132396880904556
"TCF3",0.0474221591864888,0.0654882360199607,-0.0079896139995549,-0.00559056765772804,0.181215134673377,0.166086956521739,0.0565232228340423,0.0338906965349927,0.0346433409468993,0.0346433409468993,0.02939499393745,0.0594077094601801,0.029027735094151,-0.00503684226163948,-0.00285872028680889,-0.0723681939934622,-0.0281758228229892,-0.133947764195991,-0.134704813532202,-0.134704813532202,-0.149108487714902,-0.168861522995728,-0.0320458915638497
"SNAI1",0.0012107438326456,0.121314712186992,-0.163614959884376,-0.163444933772109,0.196036413266918,0.185351684138519,-0.126164236812283,0.0542060341541138,0.0257061844938894,0.0257061844938894,0.389663746737189,0.287739561321408,0.0285701331644534,-0.320992564158515,-0.321058474979641,-0.190196025691027,-0.0285394939364839,-0.158486113859761,-0.158580233868563,-0.158580233868563,-0.171684104607691,-0.185665332754054,-0.114858241844321
