"","CDH1","SNAI2","miR141","CLDN7","KLF8","miR34a","miR200c","OVOL2","GSC","miR205","NP63","SNAI1","TCF3","TWIST1","FOXC2","ZEB2","miR200b","TGFbeta","miR101","ZEB1","GRHL2","TWIST2","miR200a"
"NP63",-0.0120055473326617,-0.229256750344255,0.0792471238535091,0.0792471238535091,-0.259158124891882,0.0277637118672777,0.0482146514382124,-0.0540207409093536,-0.0814159811702902,0.325959787436753,0.226309099560571,-0.131578161095073,-0.0489495187729108,-0.0489652261666054,0.0978221109099011,-0.253491048849055,-0.170036441767446,0.081621379729077,0.2590704007842,-0.0789400725301349,-0.218723930478785,0.212491532265234,-0.142419874480767
"miR200a",0.0417191065896241,-0.123726422077538,-0.145992846820789,-0.145992846820789,-0.0907898341370917,-0.146481897046259,0.175362243222504,-0.0426721957830434,-0.0874314123876803,-0.0418901176486268,-0.0420891579898389,-0.026147677813846,0.00999816990848067,0.0097689376148267,-0.0691506657009963,-0.214600164451831,-0.185313244817683,0.0873905070154414,0.0910581962277945,0.146188141447843,0.1567334751922,0.125326002321234,-0.0369538580197503
"miR101",0.0862626610962911,0.100487893876673,-0.0864354703996615,-0.0864354703996615,-0.0943693520071621,-0.0543444712542586,0.142817371774672,-0.0518591910205366,0.0273874352795182,-0.0295717855790946,-0.0294904292910408,0.0143950990355937,-0.0210806778924764,-0.021256359613939,0.0102484521733827,-0.201856337452648,-0.1143417575266,-0.0271761481889917,-0.00537278585603802,0.086453268099144,0.090744826696779,0.0231244956090053,-0.0587005960090939
"miR141",0.108005557951767,-0.0218999152689556,0.246572880373769,0.246572880373769,-0.0335508615001486,0.145398560755945,-0.0265537244682671,0.0863404472266746,-0.0764362080317661,0.0612667273172484,0.0609397324709715,-0.0588539214474262,0.0889081368974714,0.0887084829642889,-0.0569337249938318,-0.200106732215183,0.00460402502732782,0.0764827947057048,0.0339795204101302,-0.246520876204508,-0.246708461249445,-0.0722976905476722,-0.226427658887405
"TCF3",-0.101182805733219,-0.165964937856656,0.112776496396767,0.112776496396767,-0.226767039030212,0.0202231156771133,0.037309923143049,0.056143609273878,-0.168956862962347,0.0150724637681159,0.0162863366004859,-0.121900318912355,-0.0372657990908281,-0.0370721882486209,0.0864637134029427,-0.190220752855995,-0.214392806093522,0.16886623399733,0.225172641771979,-0.111785383497671,-0.112151445722652,0.181088657833892,-0.153199921215102
"KLF8",-0.101182805733219,-0.165964937856656,0.112776496396767,0.112776496396767,-0.226767039030212,0.0202231156771133,0.037309923143049,0.056143609273878,-0.168956862962347,0.0150724637681159,0.0162863366004859,-0.121900318912355,-0.0372657990908281,-0.0370721882486209,0.0864637134029427,-0.190220752855995,-0.214392806093522,0.16886623399733,0.225172641771979,-0.111785383497671,-0.112151445722652,0.181088657833892,-0.153199921215102
"CLDN7",-0.101182805733219,-0.165964937856656,0.112776496396767,0.112776496396767,-0.226767039030212,0.0202231156771133,0.037309923143049,0.056143609273878,-0.168956862962347,0.0150724637681159,0.0162863366004859,-0.121900318912355,-0.0372657990908281,-0.0370721882486209,0.0864637134029427,-0.190220752855995,-0.214392806093522,0.16886623399733,0.225172641771979,-0.111785383497671,-0.112151445722652,0.181088657833892,-0.153199921215102
"miR205",0.109746009416132,0.125456926718867,0.243129938908798,0.243129938908798,0.0903941463873948,0.238271727764122,-0.0359698280779727,0.0802839077910916,0.0328144652847679,0.0608325678074852,0.0604758142647243,-0.0623518634325117,0.102894634316792,0.102668119758083,0.0801600500402851,-0.174801135199209,0.0525326164037549,-0.0325573632374738,-0.0897845963529747,-0.243180248842836,-0.244756969276987,-0.227919574703868,-0.214771229249925
"TWIST1",-0.126194686589024,-0.210121261249703,-0.0737022857654648,-0.0737022857654648,-0.118470953021864,-0.0155544535267425,0.101007725131481,-0.0540777455313417,-0.0120064957727772,-0.0162876272987386,-0.0163897562955176,-0.0356826315376597,-0.00580084487776603,-0.10588008871186,-0.0763248346096268,-0.137183622972574,-0.138659180593387,0.0120368910047994,0.118593444681476,0.0739257647570822,0.0806401873567302,0.16911186311303,-0.0304240824786155
"GSC",0.0785367035535311,0.111166479639522,-0.104291891135036,-0.104291891135036,-0.0299908133707015,-0.0949894684752439,0.116204471367931,-0.0735489138615603,0.0149185420925908,-0.0184775775655458,-0.0185024822572066,-0.0632616401290014,-0.0204509964098482,-0.0205500252879469,0.145898910347282,-0.132128179123239,-0.0872210677757225,-0.0148482534200687,0.0301983509808036,0.104285375297932,0.105920897434101,-0.00943750591475429,-0.0110326586941456
