"","TWIST2","miR101","ZEB2","miR34a","OVOL2","ZEB1","CLDN7","NP63","miR200b","TWIST1","TCF3","FOXC2","miR200a","GSC","TGFbeta","miR200c","CDH1","GRHL2","miR205","miR141","SNAI1","SNAI2","KLF8"
"TGFbeta",0.133130425096369,0.100470628118309,-0.132464422006106,0.0934730148485916,-0.00652073409360623,-0.00875673917890347,-0.00875485219548663,-0.00715061416042603,0.147392667668604,0.0434355470427004,0.0433992436369871,0.0109139603490764,0.0689337465339758,-0.0148159545535114,-0.0851757918616092,-0.0689337465339758,-0.00950508609623283,0.00802480097828464,0.00712063323919409,0.00875485219548663,-0.0964309379542269,-0.10264698494083,-0.100465780842132
"miR34a",0.2053619280706,0.0769031848945041,-0.104929372488919,0.0652280209462045,0.0632820454664051,0.0438495755661771,0.0438336316506846,0.0544025236418593,0.0333329367978842,0.0315896223716556,0.0315116775943494,0.11255259866479,-0.0245513996085425,0.0140715138182727,-0.0140190184794968,0.0245513996085425,-0.00237187012506224,-0.0412887055750603,-0.0544649680568687,-0.0438336316506846,-0.102743492000458,-0.0595678154680919,-0.0768945416861452
"TWIST2",-0.131101008360628,-0.0399697098858918,-0.0985718068101705,-0.0856603624549738,-0.150258282491347,-0.187879378804366,-0.187863989437234,-0.159370476707784,0.046547784779877,0.012528795427448,0.0125316451203936,0.0148966987152415,0.139976153039651,-0.0453629655527759,0.0453283089938175,-0.139976153039651,0.0492279268708728,0.176321003791961,0.15933795526931,0.187863989437234,-0.0226575173963353,0.121185928862968,0.0399575436957342
"TCF3",0.132046341028293,0.14655229354043,-0.0976931282768574,-0.0497182242004412,-0.0484872582033291,-0.0602763335945912,-0.0601410155972976,-0.0507357376225182,0.228792341037682,0.123932316912365,0.123399887096295,0.0270361543705474,0.0775679401641709,0.175385586517214,-0.175403712310217,-0.0775679401641709,0.0812053204202758,0.056432019336051,0.0520652173913043,0.0601410155972976,0.037585961028918,-0.135097582978877,-0.14638838354192
"KLF8",0.132046341028293,0.14655229354043,-0.0976931282768574,-0.0497182242004412,-0.0484872582033291,-0.0602763335945912,-0.0601410155972976,-0.0507357376225182,0.228792341037682,0.123932316912365,0.123399887096295,0.0270361543705474,0.0775679401641709,0.175385586517214,-0.175403712310217,-0.0775679401641709,0.0812053204202758,0.056432019336051,0.0520652173913043,0.0601410155972976,0.037585961028918,-0.135097582978877,-0.14638838354192
"CLDN7",0.132046341028293,0.14655229354043,-0.0976931282768574,-0.0497182242004412,-0.0484872582033291,-0.0602763335945912,-0.0601410155972976,-0.0507357376225182,0.228792341037682,0.123932316912365,0.123399887096295,0.0270361543705474,0.0775679401641709,0.175385586517214,-0.175403712310217,-0.0775679401641709,0.0812053204202758,0.056432019336051,0.0520652173913043,0.0601410155972976,0.037585961028918,-0.135097582978877,-0.14638838354192
"FOXC2",-0.146478506633945,-0.045798451011076,-0.0886189616608666,-0.194065806885339,-0.118021377760216,-0.178835686758582,-0.178789350510458,-0.123046675164699,0.210497444410838,-0.00644518387593646,-0.0063888521949991,-0.106848940585283,0.216421342011415,-0.0385302567946926,0.0384770658827398,-0.216421342011415,0.10283718283245,0.157209374287986,0.122802706609535,0.178789350510458,0.0934800450984291,0.0301228563358217,0.045663230293208
"ZEB2",-0.133112861252367,-0.129435335901946,-0.0691682192117493,-0.0444358512688795,-0.0330446405042756,-0.0327798776152469,-0.0327025464488229,-0.031471758271927,-0.0299839693844161,-0.0209151436084308,-0.0208160967316548,-0.00909660993859331,-0.00350870741127205,-0.00286229196189456,0.00265353397951891,0.00350870741127205,0.0278682518918889,0.0292014634382579,0.0311541257959431,0.0327025464488229,0.0332037556182244,0.126877164448347,0.12944229643572
"miR205",-0.110075770129154,-0.0101651446281698,-0.0633433173364907,-0.184536353719605,-0.114977319351262,-0.175138081980235,-0.175064169854919,-0.122439930833345,0.118344241507487,0.00124287062573205,0.0013375948957374,-0.102347284647761,0.113146917720998,-0.0274246090191196,0.0272643170019795,-0.113146917720998,0.0194442530739161,0.159974594413706,0.122172365676275,0.175064169854919,0.0861706869171817,-0.00797641659643046,0.0100988075607688
"miR101",-0.038136051076272,-0.0246828883778668,-0.0379991476629375,-0.0675238281680613,-0.0911924245431794,-0.0892360354274799,-0.0891935187009383,-0.0867335067691757,0.0849396582585718,0.0193245194450123,0.0194107235195188,-0.058089220250069,0.0596566920958599,-0.012234557636722,0.0121280756506233,-0.0596566920958599,0.0460019193579901,0.0813955053021911,0.086573418589457,0.0891935187009383,0.0443848464691563,-0.0852621583303007,-0.0753516704652095
