"","miR101","ZEB2","OVOL2","NP63","miR34a","ZEB1","CLDN7","CDH1","miR200b","miR200a","GRHL2","TGFbeta","FOXC2","SNAI1","GSC","miR200c","miR141","TWIST1","TCF3","miR205","SNAI2","KLF8","TWIST2"
"TWIST1",-0.0403146812691278,-0.084320128250618,-0.0834477120651324,-0.0759195070094759,-0.0734468850392272,-0.0722659252217073,-0.0725474026263894,0.123318825475154,-0.105027108821342,0.0100903096215028,-0.0655132509100282,-0.0345493580455201,-0.0619618306805255,-0.0763410165374941,0.0344707064657514,-0.0100903096215028,0.0725474026263894,0.169323805780922,0.268272395322369,0.0763515912266179,0.157284876396404,0.0405327761752673,0.17295377801558
"ZEB2",-0.104577680858877,-0.0811504285658064,-0.0638926341279439,-0.0459835686116824,-0.0442104744295654,-0.0194998562526522,-0.0191235112427219,-0.0186978383222409,-0.0179679320668961,-0.0169364268813225,-0.0106946136586688,-0.00468847868157377,0.00298486200530837,0.00343093076841114,0.00437996024744338,0.0169364268813225,0.0191235112427219,0.0348560359019419,0.0355656012322876,0.0446820501735045,0.102769876691001,0.1039562046291,0.128422941265928
"GSC",0.0819898628741312,-0.073531182896518,0.107778784057433,0.105785589055479,0.0364135015663638,0.113421194322418,0.113203034443082,0.00166486417654238,0.0230455537808582,0.0963339095040581,0.102694493289831,0.00609919948371188,-0.0441210558960921,-0.0379123213745722,-0.00606252713283083,-0.0963339095040581,-0.113203034443082,-0.0843830952420489,-0.0847951831541368,-0.105444586354278,-0.0287571439360378,-0.0816186336278922,-0.0315731368824844
"CDH1",0.252592819641377,-0.0231522283119886,0.04386459235071,0.0445493614847234,0.0505540046124155,0.050655625088114,0.0505882428866412,0.226470149142614,0.247089001940208,0.0371412167476773,0.0462070998808327,0.214601775384044,0.0373900839677923,0.0553846605442902,-0.214280560906887,-0.0371412167476773,-0.0505882428866412,-0.18601645307958,-0.184959348165902,-0.0441641534723968,-0.315836597161687,-0.252130201156048,-0.305457376878232
"TCF3",0.252130201156048,-0.0230475768902879,0.0437690635639256,0.0441641534723968,0.0502996999766539,0.0505882428866412,0.0504748683483681,0.326238007469868,0.246768029259864,0.0370286973752382,0.0462038534437974,0.214280560906887,0.0372168358645603,0.0548794648322928,-0.21371866132378,-0.0370286973752382,-0.0504748683483681,-0.184959348165902,-0.182926434322726,-0.0432971014492754,-0.315349487242453,-0.251161642073944,-0.304460745772111
"CLDN7",0.252130201156048,-0.0230475768902879,0.0437690635639256,0.0441641534723968,0.0502996999766539,0.0505882428866412,0.0504748683483681,0.326238007469868,0.246768029259864,0.0370286973752382,0.0462038534437974,0.214280560906887,0.0372168358645603,0.0548794648322928,-0.21371866132378,-0.0370286973752382,-0.0504748683483681,-0.184959348165902,-0.182926434322726,-0.0432971014492754,-0.315349487242453,-0.251161642073944,-0.304460745772111
"miR200a",0.000141669192132254,-0.0208330952921127,0.0963975821226998,0.0730376642809085,0.0351469037274705,0.0330787339544624,0.0335530209058798,0.0295509577351515,-0.0209216553303118,0.0280997618665968,0.0160943722078162,-0.106293902826884,-0.0164019055539661,-0.0715003278207158,0.106159824106768,-0.0280997618665968,-0.0335530209058798,-0.0207265247364097,-0.0193112001878494,-0.0743634151250528,0.0856184115441327,-0.00046766609426114,0.00294477658896031
"ZEB1",0.0235599668999905,-0.0138173833392595,0.0788198653178243,0.0569775207040873,0.032765479718246,-0.0818044802987555,0.0180114694505272,0.00327962376674514,0.0262870437281336,0.0160067724722787,0.00189197377771031,0.0121580510381285,-0.0865340046344704,0.11541678383011,-0.0120658910410557,-0.0160067724722787,-0.0180114694505272,-0.117046697027802,-0.11725882752712,-0.056526319416583,-0.0741395468116679,-0.0233608412892039,-0.139820585978988
"FOXC2",0.0233608412892039,-0.0137568061904745,0.0790562302653032,0.056526319416583,0.0330626728938101,0.0180114694505272,0.0183009647255052,0.00310915036853691,0.0263354337758568,0.016211487848678,0.00208120961996089,0.0120658910410557,-0.0871170851644453,0.115041908945783,-0.0119757921493806,-0.016211487848678,-0.0183009647255052,-0.11725882752712,-0.115889967680343,-0.057136240804493,-0.0740145763169262,-0.0234823687698194,-0.139503314986621
"miR200c",-0.0239377442410959,-0.00670892776805291,-0.054926138168875,-0.0363939457676885,-0.103419293547763,0.00846270882790156,0.00863300574269284,0.0267378881917232,-0.0809003264784834,0.00748585643633434,0.0135376493828928,-0.119783769486446,0.011985101668827,-0.153662855902959,0.119555381158112,-0.00748585643633434,-0.00863300574269284,0.0784283807784399,0.0784061970080863,0.0357079674488685,0.164139851166387,0.0237396245768186,0.146630246108606
"miR34a",0.0373344657546147,-0.00499031220248534,0.0936298508391757,0.0867605881774372,0.115717795741456,0.0869019877009147,0.0871037853178943,0.0202933254597288,0.127803945874719,0.0940927288710251,0.0769673445910868,0.0412439026012634,-0.0683202969870607,0.171147094688026,-0.0411944242359803,-0.0940927288710251,-0.0871037853178943,-0.213551759371203,-0.212473916945625,-0.0872166216325056,-0.200983072565298,-0.0374458671067967,-0.314835000316868
