"","SNAI2","TWIST2","ZEB2","TWIST1","CDH1","OVOL2","miR200c","GRHL2","miR34a","miR141","CLDN7","ZEB1","miR200a","miR205","NP63","GSC","TGFbeta","FOXC2","miR200b","SNAI1","TCF3","miR101","KLF8"
"ZEB2",-0.116680291758624,-0.105131510433952,-0.0892725311408356,-0.0374468986855455,-0.0195001055219405,-0.00795672667924763,-0.0055245098157484,-0.00352885722842504,-0.00261428392842063,-0.00252735347662286,0.00252735347662286,0.00256638730348452,0.0055245098157484,0.00594589079988062,0.0060466035361682,0.00662835316149038,0.00667453855582128,0.0147214644562225,0.0204224668712329,0.0304168740903181,0.0373510992473524,0.0988816098594097,0.0989144238043419
"SNAI1",-0.128418579040615,-0.107727205060809,-0.0663932660339378,-0.0594330704249508,-0.129312792571049,-0.0507699909013309,0.0182240935925144,-0.0493532708302528,0.0460065015912194,-0.0482761431596924,0.0482761431596924,0.0482047231366064,-0.0182240935925144,0.0501791284430241,0.0501031666689491,0.0189807907594705,0.018982547148335,0.0282866441768449,0.0803441522460802,-0.0613888468250491,0.0595327030615369,-0.00156400758064941,-0.00164543292982689
"NP63",0.248836987984133,0.240446656552142,-0.0438213450539688,0.148651030899251,0.0864878657700393,0.0722565411884671,-0.00424669678288574,-0.146189666906245,-0.0195492165106045,-0.0250858000535668,0.0250858000535668,0.0249701044720523,0.00424669678288574,0.134324537176205,0.0349694210970997,-0.0142612537016703,-0.014374222909003,0.0415662871195905,-0.120699990970136,-0.00667593797963449,-0.148671226119716,-0.232911301628618,-0.233018215384855
"CDH1",-0.260185772817845,-0.256687593521333,-0.0430260416580439,-0.131928519668294,-0.111976526434146,0.0182411044997902,0.0346994739804608,0.027378744964577,0.0132470966034841,0.0257963128694773,-0.0257963128694773,-0.0256695701571833,-0.0346994739804608,-0.0212628801206333,-0.02164808813296,0.212281783722628,0.212341116333058,-0.0642794916599351,0.225419383561843,-0.00977282613515839,0.131912583413314,0.240299673852298,0.240432312718721
"TCF3",-0.260155393919657,-0.256736723223747,-0.0429681493822094,-0.131912583413314,-0.0119225179633435,0.0183040137008433,0.0346548908328906,0.0273495270312588,0.0131040502458682,0.0256756238448641,-0.0256756238448641,-0.0257963128694773,-0.0346548908328906,-0.0219565217391304,-0.0212628801206333,0.212299909515632,0.212281783722628,-0.0644407916181166,0.225515527452269,-0.00965371495102893,0.132009388834418,0.240432312718721,0.240268402720211
"KLF8",-0.260155393919657,-0.256736723223747,-0.0429681493822094,-0.131912583413314,-0.0119225179633435,0.0183040137008433,0.0346548908328906,0.0273495270312588,0.0131040502458682,0.0256756238448641,-0.0256756238448641,-0.0257963128694773,-0.0346548908328906,-0.0219565217391304,-0.0212628801206333,0.212299909515632,0.212281783722628,-0.0644407916181166,0.225515527452269,-0.00965371495102893,0.132009388834418,0.240432312718721,0.240268402720211
"miR34a",-0.176674803076748,-0.260991238583131,-0.0223187170693847,-0.100055613357605,-0.0193686186765871,0.0712213582881398,0.120381290285146,0.128189475078431,0.0419821805252884,0.118481321506874,-0.118481321506874,-0.118591739070882,-0.120381290285146,-0.0931611567575355,-0.0927883825224796,0.038067997210514,0.0380022271883694,-0.0992225681765265,0.0260984362181147,-0.0252339676751052,0.100143005986706,0.117308926738113,0.117181199325697
"GSC",0.122839681006546,0.0686801534165447,-0.0047170765661349,0.246091871487731,0.0394216719818026,0.0690164626312263,0.056313130234504,0.102740104378795,-0.0105508936976389,0.0954805067884083,-0.0954805067884083,-0.0954754389151051,-0.056313130234504,-0.0825713215714743,-0.08245446109522,0.00286522060914491,0.00285544131557663,-0.0819796233382118,-0.0583537001635911,-0.131888943274341,-0.246162150046382,0.0454041547105167,0.0454255905200108
"miR101",0.12354015639945,0.101560049832588,-0.00286571634780782,0.0533200914815994,0.0647456975213486,-0.0280275099861035,-0.00993597795438459,-0.0205781570960806,-0.0208080162527251,-0.0189481956966048,0.0189481956966048,0.0188618438954116,0.00993597795438459,0.0242071125259183,0.0240653951209214,-0.000498897634783549,-0.000491351667264747,-0.0249711482541234,0.00282651152769644,-0.0261361550363684,-0.053209881209129,-0.00701779888110926,0.0929051083151052
"miR205",0.00209621828043173,-0.0805693799682188,-0.00225683693814847,0.00616259518400798,-0.041511609169476,0.0234451024672508,0.0102404614466195,0.0189368543890403,0.0069333361529013,0.0165601633097683,-0.0165601633097683,-0.0164812823020789,-0.0102404614466195,-0.0207385830492707,-0.0203521000446131,-0.0122119584186742,-0.0121913267729037,-0.100077704337674,-0.00991062013156647,-0.0928234700736098,-0.00641793886837024,0.0163520098425472,0.0164583994789449
