"","miR200b","GRHL2","NP63","miR34a","miR205","OVOL2","miR101","CDH1","TWIST2","ZEB2","TWIST1","GSC","TGFbeta","FOXC2","miR200c","SNAI1","TCF3","KLF8","SNAI2","miR200a","ZEB1","miR141","CLDN7"
"miR141",0.0884275941554566,-0.140106683795342,-0.108285681345315,-0.18188020866301,-0.11022987896394,-0.103299155219324,0.175855567345035,0.176535929502021,0.174551209824727,-0.243220506854378,0.022079586942746,0.126207708809852,0.125614580912388,0.14817672881735,0.18821606688816,-0.17545327820486,-0.0218710595014221,-0.175455725840766,-0.175437053193368,-0.0489435083660663,0.147099337903729,0.147635226360366,0.147635226360366
"miR200a",-0.0687046318080623,-0.214988892498346,-0.17558587885686,-0.139245406914474,-0.175560998814209,-0.167201279240157,-0.119286696958569,0.102460368825188,-0.0239946445348798,-0.182496606374928,-0.0202126439708779,-0.0420714360415064,-0.0420873436862659,-0.0631408928048115,0.215906275139725,0.0598181807008769,0.020264406101703,0.119328121979282,0.148856353806614,0.0312638100119711,0.241126995375472,0.24118033870789,0.24118033870789
"TWIST2",0.19846504400954,0.267708210746915,0.244007255955782,0.164797638567403,0.243180526756665,0.22959176484418,0.110894460709864,-0.0871560534239707,0.0959775283477969,-0.144895121162058,0.0767399857447118,-0.0309914973383489,-0.031282121238276,-0.032671337644798,-0.0796085320896857,-0.0303044546269432,-0.0767699075206405,-0.11108129863014,-0.15198830559535,-0.232962601307313,-0.297980932493058,-0.29798104011101,-0.29798104011101
"GSC",0.174710768322926,0.189884217124505,0.182751511660343,0.110151551823893,0.182238091863029,0.177774703143804,0.0852913614343935,0.0135320780526735,-0.00838623601816529,-0.134902555346648,0.0761935783409681,-0.0123289604045107,-0.0125276023051164,0.0708470570359776,-0.0503092793521853,-0.0288821630157,-0.0761584390616428,-0.0854706427501625,-0.0382137505078637,-0.183262377126002,-0.214256722759995,-0.214291715218516,-0.214291715218516
"FOXC2",-0.213002222484653,-0.226106567860334,-0.193006207536704,-0.287590618693854,-0.194104066034942,-0.187620294082846,0.010988856543058,0.177829821886164,0.121897492003161,-0.134489044522187,-0.00685214593046716,0.053883439362254,0.0535740636498757,0.141312536406435,0.29760073882125,-0.149062170030282,0.00708310582231034,-0.0105934643173934,0.0387867160433811,0.202953266057412,0.275082439122426,0.27565675353725,0.27565675353725
"ZEB1",-0.212729152144674,-0.225718653269533,-0.192215886810184,-0.287201087720944,-0.193006207536704,-0.187238103981329,0.0112489689645283,0.177732672719221,0.121894311341583,-0.134304284218392,-0.00685154499420847,0.0535740636498757,0.0533680185943853,0.141264565702346,0.297171528805031,-0.148879453934269,0.00685214593046716,-0.010988856543058,0.0385908131105884,0.202714431451613,0.174742605103941,0.275082439122426,0.275082439122426
"miR101",0.24196516494629,0.259312834890061,0.228193497313805,0.162540494134815,0.227057133677441,0.213977573098482,0.168757464572534,0.0213519647866359,0.0555920247126719,-0.128223223946262,-0.00745849092986974,-0.0280889699680684,-0.0284872293648941,0.115496429405758,-0.0841746838872692,-0.0335525215225626,0.00760361930846931,-0.268834557376319,-0.186056026832217,-0.224922784025244,-0.293250200127475,-0.29313682219003,-0.29313682219003
"TGFbeta",0.282864682426162,0.188638649868337,0.181535144609169,0.0115742639442891,0.179526422886629,0.177378998532809,0.231115245273853,0.109733783227606,0.239938287204352,-0.124280292857768,0.0389666039012111,-0.029466909260561,-0.130115467272403,0.11339536668748,-0.0524590538422159,-0.138610689375075,-0.0386512180640772,-0.231150561143143,-0.30226088184349,-0.174656162385749,-0.211069849315582,-0.210729334580815,-0.210729334580815
"OVOL2",0.0796836615447708,-0.171966296583027,0.140099419678236,-0.219409052107225,0.137220175088299,0.122916799328671,0.27040484232458,-0.000311191578884021,0.266529876320255,-0.0939275326096813,0.0495229921885036,0.218183035109761,0.217353559801119,0.16775666300154,0.227863547418904,-0.21337355566125,-0.0492712117410538,-0.269623995017516,-0.260774726595243,0.153490508967041,0.181533701369043,0.182570509342859,0.182570509342859
"TCF3",0.386045444577496,0.263558349156251,0.234363114685432,0.158319167005805,0.22713768115942,0.225095388752966,0.353234736779565,0.200013396722836,0.327373303790117,-0.0532693044103562,0.103204451714798,-0.24165031177097,-0.244169796998449,0.00236528767899661,-0.122305281087748,-0.0741766700492712,-0.100929524318864,-0.353041024963145,-0.398617015224917,-0.182764341939556,-0.293653328407593,-0.292493982322672,-0.292493982322672
"CDH1",0.386058756808478,0.263775860437619,0.239370818845678,0.159304597469381,0.234363114685432,0.226388522330169,0.353593832247198,0.0994193035440106,0.325780097726108,-0.0519912210900115,0.103156642949858,-0.244169796998449,-0.245722674630054,0.000614884429101156,-0.123984579646226,-0.072147672636859,-0.103204451714798,-0.353234736779565,-0.399217260351199,-0.182431029836293,-0.294628765990818,-0.293653328407593,-0.293653328407593
"ZEB2",-0.275000691160927,-0.224991205886595,-0.199937047820132,-0.199687241235555,-0.199565185409224,-0.189343722066509,-0.17169340063387,-0.111167930488059,-0.10470207957053,-0.0356289254597242,-0.0221259816999726,-0.0132397829054749,-0.0130088559338204,-0.0112796276203344,-0.00908174999390755,0.013712030923504,0.0219522437357919,0.171982759966454,0.203628129998986,0.244716037721733,0.251448032975937,0.251703594068786,0.251703594068786
"TWIST1",0.0101835784396581,0.136540012244561,0.136887108221747,0.138085439556391,0.138568308630263,0.13717155415034,-0.154824321008867,0.0131718935204809,-0.196213232107421,-0.0280855679419669,0.0231970201654856,0.00545528484625644,0.00594568214640779,-0.261120306730478,-0.0603668321983481,0.100726232975482,-0.12333181637812,0.154537511269286,0.16564485957824,-0.0997426044559637,-0.149874451610837,-0.150486643370867,-0.150486643370867
"NP63",0.110382936272469,-0.12569391491507,-0.0225096886569466,-0.121359308636124,0.0746366999930964,0.0803117867606668,0.309696749601445,0.134761109245329,0.304911781261737,0.0272504879119586,0.0860847361384459,0.00264678742576779,0.00184230973718624,0.0611327612093469,0.0518842413492623,-0.137776805936436,-0.0861273704927598,-0.308841439551552,-0.29886220803727,0.0587410704327484,0.0793664682802774,0.0804491210679981,0.0804491210679981
"SNAI2",-0.386265567694281,-0.264086760478978,-0.240214529000042,-0.160575969674554,-0.239370818845678,-0.227247462567285,-0.353305947678505,-0.0988746123836932,-0.325930986166251,0.0514217607215036,-0.103446813425012,0.245722674630054,0.246032488267887,0.000985309070828828,0.125086759762226,0.0718115000177849,0.103156642949858,0.353593832247198,0.299095352435779,0.182462733832861,0.294440746129614,0.294628765990818,0.294628765990818
"KLF8",-0.386045444577496,-0.263558349156251,-0.234363114685432,-0.158319167005805,-0.22713768115942,-0.225095388752966,-0.353234736779565,-0.200013396722836,-0.327373303790117,0.0532693044103562,-0.103204451714798,0.24165031177097,0.244169796998449,-0.00236528767899661,0.122305281087748,0.0741766700492712,0.100929524318864,0.353041024963145,0.398617015224917,0.182764341939556,0.293653328407593,0.292493982322672,0.292493982322672
"CLDN7",-0.386045444577496,-0.263558349156251,-0.234363114685432,-0.158319167005805,-0.22713768115942,-0.225095388752966,-0.353234736779565,-0.200013396722836,-0.327373303790117,0.0532693044103562,-0.103204451714798,0.24165031177097,0.244169796998449,-0.00236528767899661,0.122305281087748,0.0741766700492712,0.100929524318864,0.353041024963145,0.398617015224917,0.182764341939556,0.293653328407593,0.292493982322672,0.292493982322672
"miR205",-0.230411983423033,-0.271183570382328,-0.228516946339379,-0.316402186371619,-0.22878451149645,-0.217763352146914,-0.0285621515847765,0.0563597245077981,0.0957382944485466,0.064390043928172,-0.0110412291661343,0.0291221979849103,0.0290952181404412,0.12604619954628,0.126998895776703,-0.131972843323176,0.0111977301339692,0.0288337580682861,0.0774690110196023,0.215049020627139,0.320890083476173,0.321319270691238,0.321319270691238
"SNAI1",-0.138001260955774,-0.117502731809733,-0.118161247987756,0.00692710934904966,-0.117581733162958,-0.119410236019154,-0.186234276670554,-0.100921239559814,-0.131655744336105,0.10148566392137,0.0111974050878215,0.0211281162478111,0.0212715546717448,-0.149673864346535,0.0168518375730107,-0.0236496684498571,-0.0110599631429924,0.185988752724949,0.180068806210134,0.11826348517833,0.131521203006169,0.1313921836996,0.1313921836996
"GRHL2",0.131753920422021,0.119582952795318,0.0763942316300598,0.263828097905684,0.0781280948995809,-0.047054500689669,-0.0569105255902348,-0.0548314807287623,-0.0927266809577545,0.121880892606732,-0.00323840670141053,-0.15756135346687,-0.157099594124974,-0.139426644772931,-0.27149679566968,0.149904254653704,0.00308521865585876,0.056249404942319,0.0323983062877597,-0.189171032948702,-0.242419649902876,-0.243243071677808,-0.243243071677808
"miR34a",0.0489740839715733,0.0718894733194487,0.085513304989677,0.0980895733368948,0.0858028200047204,0.0935631965009201,-0.0272774818503074,-0.0275267470531786,-0.0562936837976725,0.129369257105423,0.025831007198444,-0.0379934616341942,-0.0378751962732736,-0.129890567291615,-0.140743046764389,0.128613514771182,-0.0262049846653174,0.0273543103690535,-0.0717959984562625,-0.0363820960936551,-0.0810114676790485,-0.0810823824076569,-0.0810823824076569
"miR200c",0.0687046318080623,0.214988892498346,0.17558587885686,0.139245406914474,0.175560998814209,0.167201279240157,0.119286696958569,-0.102460368825188,0.0239946445348798,0.182496606374928,0.0202126439708779,0.0420714360415064,0.0420873436862659,0.0631408928048115,-0.215906275139725,-0.0598181807008769,-0.020264406101703,-0.119328121979282,-0.148856353806614,-0.0312638100119711,-0.241126995375472,-0.24118033870789,-0.24118033870789
"miR200b",-0.0884275941554566,0.140106683795342,0.108285681345315,0.18188020866301,0.11022987896394,0.103299155219324,-0.175855567345035,-0.176535929502021,-0.174551209824727,0.243220506854378,-0.022079586942746,-0.126207708809852,-0.125614580912388,-0.14817672881735,-0.18821606688816,0.17545327820486,0.0218710595014221,0.175455725840766,0.175437053193368,0.0489435083660663,-0.147099337903729,-0.147635226360366,-0.147635226360366
