"","OVOL2","FOXC2","SNAI1","KLF8","miR205","TWIST1","ZEB2","TCF3","miR200b","TWIST2","SNAI2","CLDN7","miR34a","GRHL2","GSC","miR200c","miR200a","TGFbeta","CDH1","miR141","ZEB1","NP63","miR101"
"NP63",0.188709022612676,-0.0268411707324571,0.0195382149242463,-0.269182471247072,0.130128253801966,-0.151639931593632,-0.190228041818584,-0.152427545191747,0.233312551679189,-0.291846742448363,-0.306589785471947,0.0363935206937877,0.0461868953928746,0.058676368409706,0.0400207990201665,0.041379272289191,0.041379272289191,-0.0399728726897829,0.126101227057896,-0.0363935206937877,-0.0366428938680198,-0.231745837636876,0.269089264382661
"KLF8",-0.0327219071832357,0.0472468292839852,0.0971005995312329,-0.279849493731955,-0.0356521739130435,-0.101595793662511,-0.158507350585249,-0.106097245743827,0.308542425246253,-0.346022895547337,-0.384291783703497,-0.0195300714391423,-0.0394838598428316,-0.019162813866008,0.272659532558984,0.0838374416814941,0.0838374416814941,-0.273475193244139,0.308766486942328,0.0195300714391423,0.0180635169279328,0.0290625785373209,0.278940538285673
"CLDN7",-0.0327219071832357,0.0472468292839852,0.0971005995312329,-0.279849493731955,-0.0356521739130435,-0.101595793662511,-0.158507350585249,-0.106097245743827,0.308542425246253,-0.346022895547337,-0.384291783703497,-0.0195300714391423,-0.0394838598428316,-0.019162813866008,0.272659532558984,0.0838374416814941,0.0838374416814941,-0.273475193244139,0.308766486942328,0.0195300714391423,0.0180635169279328,0.0290625785373209,0.278940538285673
"CDH1",-0.0310885979262633,0.0491645065645874,0.0977207991451483,-0.278940538285673,-0.0290625785373209,-0.101547984897571,-0.158224569084058,-0.101595793662511,0.309665090059068,-0.346205377299162,-0.384594525137172,-0.0180635169279328,-0.0387527340150171,-0.0186011802588918,0.273475193244139,0.0834744074798509,0.0834744074798509,-0.272928924037764,0.208651837381502,0.0180635169279328,0.0181629858920117,0.0271365384756877,0.278950243568582
"ZEB2",-0.126478860206726,-0.124602129502268,-0.112848109490046,-0.101463756062994,-0.0896459121660015,-0.0773322741600886,-0.0766650437666374,-0.0762589957084674,-0.0439241337815656,-0.0397310308494738,-0.035126856548677,-0.0316002245330183,-0.0216914476747533,-0.0171242661883706,-0.00266797954573817,-0.000259787935661274,-0.000259787935661274,0.00337184495534104,0.0264680116834105,0.0316002245330183,0.0320526732305405,0.0902269471830452,0.101540321934503
"miR34a",-0.181789508478252,-0.112860558776607,-0.0489233125042419,-0.165867172597622,-0.158700863602868,-0.12234853312524,-0.0632040447634706,-0.12218240839785,0.0527667035099547,-0.276396824271554,-0.236849077896221,-0.137617673162274,-0.0371727718681574,-0.12292549754063,0.0796172253184552,0.148768452743622,0.148768452743622,-0.0794784445377831,0.0817997569968603,0.137617673162274,0.13767264397539,0.158142648377784,0.166017948565661
"miR101",-0.168758308317078,-0.209930255333124,-0.199182114004943,-0.299915486286734,-0.14246490470951,-0.205771401776253,-0.0390535147399705,-0.205403670471079,-0.0108318950577518,-0.0366900877785548,-0.100409120458438,-0.112811932113929,0.0229730170911794,-0.0968734379855618,0.0490513323758701,0.0738870834942151,0.0738870834942151,-0.0488157305011164,0.00183731452326269,0.112811932113929,0.112922343768126,0.142302192133403,0.200076317825666
"miR200c",0.174848401273355,0.185518112972178,0.164836201561525,-0.0105821493583155,0.129680052004408,0.0955367482383839,-0.0327114649330416,0.0958990831541596,0.107265834457865,-0.115987967812051,-0.149669207002054,0.0346033033936175,0.0128564616956938,0.0127047145138485,0.104252548032443,-0.0049059074481346,-0.0049059074481346,-0.10399688945595,-0.00171343337769073,-0.0346033033936175,-0.0344298817647933,-0.129399262951626,0.0105299178104606
"miR200b",0.174848401273355,0.185518112972178,0.164836201561525,-0.0105821493583155,0.129680052004408,0.0955367482383839,-0.0327114649330416,0.0958990831541596,0.107265834457865,-0.115987967812051,-0.149669207002054,0.0346033033936175,0.0128564616956938,0.0127047145138485,0.104252548032443,-0.0049059074481346,-0.0049059074481346,-0.10399688945595,-0.00171343337769073,-0.0346033033936175,-0.0344298817647933,-0.129399262951626,0.0105299178104606
"miR200a",0.174848401273355,0.185518112972178,0.164836201561525,-0.0105821493583155,0.129680052004408,0.0955367482383839,-0.0327114649330416,0.0958990831541596,0.107265834457865,-0.115987967812051,-0.149669207002054,0.0346033033936175,0.0128564616956938,0.0127047145138485,0.104252548032443,-0.0049059074481346,-0.0049059074481346,-0.10399688945595,-0.00171343337769073,-0.0346033033936175,-0.0344298817647933,-0.129399262951626,0.0105299178104606
