"","TWIST2","ZEB2","miR101","miR34a","OVOL2","GRHL2","NP63","miR205","miR200a","miR200b","GSC","TGFbeta","FOXC2","CDH1","SNAI1","TCF3","TWIST1","miR200c","SNAI2","miR141","CLDN7","ZEB1","KLF8"
"GSC",-0.0387328112783945,-0.121124859805508,0.0787786886213667,-0.110963620306654,-0.132674874191659,-0.129446372428005,-0.130384041562721,-0.129430000297563,-0.0180317532763521,-0.0213576681981699,0.0303115974760518,0.0304967928480011,-0.0499737048024692,0.0170129062147107,0.0462484263891047,-0.0632958566163941,-0.0626936971479556,0.0180317532763521,-0.0447896846048133,0.146243294956743,0.146243294956743,0.14686181682703,-0.0790027902660779
"TWIST2",-0.0459606348400885,-0.0936834348230415,0.00075531894924795,0.101238102282034,0.163371362465456,0.174076923411119,0.166042494836981,0.164192196153243,0.151586277177733,0.112811694085962,-0.00601120532103854,-0.00644045545679947,0.0234628291520257,-0.111720010127736,0.0124300080811998,-0.0463601158347336,-0.0465054501749584,-0.151586277177733,0.0544449074357505,-0.194081867433344,-0.194081867433344,-0.195133187206098,-0.000480710657120344
"ZEB2",-0.0946163486201042,-0.0904855902322874,-0.0638637022226158,-0.0625898327503051,-0.0525139047033883,-0.0516684534722713,-0.0513224659633768,-0.0503075914669405,-0.0348906884981485,-0.0268551068827829,0.00545021363415619,0.00573409985797677,0.0120376326319524,0.013335110701405,0.0240462429720353,0.0297780588403808,0.0300557148392118,0.0348906884981485,0.0567401103086393,0.0601901396340603,0.0601901396340603,0.0608532236991756,0.0638746402042599
"NP63",0.0274211012297678,-0.0860731183978251,0.0136902831665862,0.0515537411552228,0.176823205528852,-0.030954496227644,0.0724495278992384,0.170799699868284,0.068858950186306,-0.0306556642245335,-0.104034533954673,-0.10445388934553,0.0423454106321182,-0.0751633079477188,0.00306011584418346,-0.0611610218399865,-0.061576145816201,-0.068858950186306,-0.0183473080013227,-0.0693124932880331,-0.0693124932880331,-0.0703089681352708,-0.0135148349512235
"ZEB1",-0.23285736505423,-0.0646718756793801,-0.0254485681474258,-0.397666410767675,-0.289758611924432,-0.356575198917951,-0.30245690715355,-0.297654631029857,-0.331725827111331,-0.271411081319076,0.0747784047529722,0.0759014760820658,0.0686223817134985,0.130191709861687,0.0997859755476584,0.127635371943181,0.128556607227754,0.331725827111331,0.0713635885804777,0.443952638670533,0.443952638670533,0.346776287628082,0.0250488473641494
"FOXC2",-0.230853548260337,-0.0643520788147524,-0.0250488473641494,-0.394599083671729,-0.286815668019042,-0.353626368138609,-0.297654631029857,-0.290538881504241,-0.329640598265253,-0.270176365649079,0.073151197058744,0.0747784047529722,0.0693365371250668,0.129386557583359,0.0993114802595619,0.12590035617031,0.127635371943181,0.329640598265253,0.070616761069715,0.439741141329554,0.439741141329554,0.443952638670533,0.0240235662248721
"miR141",-0.137978559862358,-0.0403939561445764,-0.08196224917582,-0.19560094812716,-0.213830135180849,-0.274191037119697,-0.224916827545049,-0.221956102469521,-0.148643587267974,-0.0651724989772094,0.151884700507834,0.152558502889435,-0.0309298396953821,0.121906166380611,-0.0162528600526929,-0.00610744421191111,-0.00517720477508309,0.148643587267974,0.113141517133715,0.31373236872187,0.31373236872187,0.315560103237238,0.0814543424001275
"SNAI1",-0.0777181451309834,-0.03661783225001,0.0789258205749725,-0.178191629782593,-0.165463238795175,-0.173260747039915,-0.167700974149208,-0.165844811443988,-0.0787185646266677,-0.0604594057308504,0.0249476430676019,0.025391228833046,0.0314158052051522,-0.0318457363478502,-0.0650608746265806,0.050262834225334,0.0503829043258353,0.0787185646266677,-0.0276546838123043,0.192000011395971,0.192000011395971,0.193075017862379,-0.0791438907629996
"TGFbeta",-0.0408201776967904,-0.0219226950525805,-0.0447849408110004,0.0727942035788782,0.0102303286697408,0.0123752862582447,0.0107704353149937,0.0106314328620092,0.01780886451152,0.098909999751294,0.196260130095359,0.0962805468579555,-0.0387794498905099,0.0722007565600986,-0.0294510825459614,-0.0444980351881759,-0.0449745173881623,-0.01780886451152,0.0579791406938015,-0.0141854399381332,-0.0141854399381332,-0.0143420595617314,0.0448756541223133
"CDH1",0.00435946951922929,-0.014758424455919,0.00131768773032887,0.0422845632306682,0.0538570135880167,0.057254133541173,0.0540758667131872,0.0526891178688113,0.0411374833254654,0.0251248776725885,-0.0054670023759138,-0.00584550351141721,0.0249440048780146,-0.0952026898026695,-0.00653015970791027,-0.0659598567991923,-0.066485753213535,-0.0411374833254654,-0.00455966815715683,-0.0638085880993409,-0.0638085880993409,-0.0646171745170142,-0.0012303401841479
