"","miR200c","miR200a","CDH1","miR101","GSC","TWIST2","miR34a","ZEB1","miR141","CLDN7","NP63","GRHL2","SNAI1","FOXC2","TWIST1","TCF3","miR205","OVOL2","TGFbeta","SNAI2","KLF8","ZEB2","miR200b"
"miR200c",0.181076223915759,0.181076223915759,0.0347077847702526,0.117755278856106,0.175863989331045,-0.032420712081133,0.17522035852012,0.0636278338412648,0.0662255871718752,0.0662255871718752,0.0946489761857275,0.0416489063182701,0.17446040817162,0.0258804010802789,-0.0191965059305194,-0.0181065433471454,-0.0988892463119048,-0.119685363409228,-0.173981205947716,-0.0920830014502005,-0.119057465376764,-0.301805384571994,-0.199444011218209
"miR141",0.181076223915759,0.181076223915759,0.0347077847702526,0.117755278856106,0.175863989331045,-0.032420712081133,0.17522035852012,0.0636278338412648,0.0662255871718752,0.0662255871718752,0.0946489761857275,0.0416489063182701,0.17446040817162,0.0258804010802789,-0.0191965059305194,-0.0181065433471454,-0.0988892463119048,-0.119685363409228,-0.173981205947716,-0.0920830014502005,-0.119057465376764,-0.301805384571994,-0.199444011218209
"TWIST1",0.111733022121971,0.111733022121971,0.094402286900366,0.0545625532083188,0.0140712780715701,-0.106677817572225,0.106986497269515,0.00526977448901927,0.00344356488275446,0.00344356488275446,-0.0221582676765657,0.0045715882421564,0.2237169617141,0.214079230788887,-0.11370579309034,-0.0142490626745963,0.025288914231676,0.0415837217061841,-0.0156809719571148,0.0726786766598271,-0.0534123266485418,-0.224319225922507,-0.0468702463212952
"GSC",0.0966979473694042,0.0966979473694042,0.0815626070787095,-0.0818467700114217,0.0337304252842401,0.0200077121321983,-0.0357037833023776,0.0268501178019264,0.0291543108637665,0.0291543108637665,0.0394887807650939,0.0237448247270172,-0.0660212202578925,-0.0514455352478296,0.178036490772125,0.178811152157251,-0.043308777316752,-0.0542621291948082,-0.031882750005683,-0.0116026692481324,0.0804709807838903,-0.187272518594188,-0.0996000098941316
"miR200b",0.0674199038915906,0.0674199038915906,0.101665813940074,-0.0845651925843155,-0.113617904405315,0.056127264128042,-0.149792146410363,-0.0376705426745854,-0.0398928839335327,-0.0398928839335327,-0.07574777249693,-0.0210265305474247,-0.159441937027159,-0.028782538894103,0.0153846084473183,0.0145371884198104,0.0794335731011596,0.100864006996991,0.111868063481763,0.0495106039959372,0.0857521094821218,-0.176767596214959,-0.0132585470486011
"miR200a",0.0674199038915906,0.0674199038915906,0.101665813940074,-0.0845651925843155,-0.113617904405315,0.056127264128042,-0.149792146410363,-0.0376705426745854,-0.0398928839335327,-0.0398928839335327,-0.07574777249693,-0.0210265305474247,-0.159441937027159,-0.028782538894103,0.0153846084473183,0.0145371884198104,0.0794335731011596,0.100864006996991,0.111868063481763,0.0495106039959372,0.0857521094821218,-0.176767596214959,-0.0132585470486011
"SNAI1",0.142534304556765,0.142534304556765,-0.108700836758049,0.128405180419084,0.0565271048554887,-0.134106668997621,0.253151306856306,0.155900346506199,0.155840199265135,0.155840199265135,0.140346865192082,0.143416947649235,0.160982921802942,0.120030618323477,-0.184143751235691,-0.184036965486735,-0.140225571391543,-0.138403413245361,-0.0566853750076115,0.0858788121015945,-0.128263232013429,-0.122764476694799,-0.0675213510098898
"GRHL2",0.164995480613599,0.164995480613599,0.00812292744119767,0.0524172021595074,0.158530697512656,-0.0259143722740906,0.161635410901885,0.144568200750173,0.14543311023055,0.14543311023055,0.215387530053841,0.00048546198578463,0.135533376454292,0.0406642196593484,-0.0109355553977655,-0.0104470878562891,-0.216680551210791,-0.123339037793143,-0.158054525514231,-0.0289319947705684,-0.0528406362895307,-0.103858870550949,-0.152513164107366
"NP63",0.0274276265851914,0.0274276265851914,-0.0873946645352136,-0.0181313340324738,0.00652579614465452,0.0213687615299287,-0.0303619211294062,-0.00389795793231009,-0.00416972379973856,-0.00416972379973856,-0.165793731585098,-0.0614079356501511,-0.110854257596143,-0.0871245448230415,-0.00130640919121605,-0.00134904354552997,0.0662075321010051,0.0683120167694989,-0.00671065484756262,-0.0189131887502078,0.018342420166582,-0.0916355552362221,-0.102429514564026
"ZEB1",0.0603850322669479,0.0603850322669479,-0.0119750853657907,0.0403035917433809,0.0447677327210908,-0.112937430931105,0.0823560397148963,-0.0496317567118104,0.0475384138777775,0.0475384138777775,0.0852306143626296,0.0210249935256028,0.174308762817255,0.117039636682086,-0.0134907128945145,-0.01436507515091,-0.0803708603679175,-0.107278872652188,-0.0472862390430836,0.00942416966400491,-0.0385246873016307,-0.0844844704559416,-0.0584747262843614
