"","miR200a","miR200b","miR200c","GSC","KLF8","SNAI2","GRHL2","CLDN7","TWIST2","miR34a","miR205","SNAI1","TWIST1","TCF3","OVOL2","FOXC2","NP63","miR141","ZEB1","miR101","TGFbeta","CDH1","ZEB2"
"miR200b",0.332914233948528,0.224078468379156,0.0114286201092227,0.270235563268305,0.105212756896787,0.106041093776571,0.314769298840103,0.305889755164789,-0.0220345270224558,0.175053370435478,0.170573479484987,0.106042012923147,-0.0310639308051814,0.0311216086081007,-0.109086402864811,-0.127819238421625,-0.1701931702616,-0.305889755164789,-0.30639305731794,-0.10444369238182,-0.270709383830072,-0.0504603406050711,-0.372324340555246
"miR200a",0.332914233948528,0.224078468379156,0.0114286201092227,0.270235563268305,0.105212756896787,0.106041093776571,0.314769298840103,0.305889755164789,-0.0220345270224558,0.175053370435478,0.170573479484987,0.106042012923147,-0.0310639308051814,0.0311216086081007,-0.109086402864811,-0.127819238421625,-0.1701931702616,-0.305889755164789,-0.30639305731794,-0.10444369238182,-0.270709383830072,-0.0504603406050711,-0.372324340555246
"GSC",0.175792075204891,0.147019454156852,0.0849490042411258,0.0777867177634371,-0.0243297302650054,0.0286370173325536,0.0929698241295015,0.0903484879722648,-0.0169007735324675,0.0602609211739209,0.0762787543011335,0.0191203243794031,-0.107310528271871,0.107548517027302,-0.0652380188045248,-0.0849055269435593,-0.0751312227392262,-0.0903484879722648,-0.0904527413659299,0.0252738802377235,-0.0774089925493622,-0.0563688468083224,-0.292812401672231
"miR200c",-0.028355309805599,0.0080742155263892,0.240571044979122,-0.190900763372573,-0.0701608501756442,-0.0608794156105369,-0.271375552734401,-0.260327075320756,0.0465616826934413,-0.146155857055886,-0.143503791491903,-0.0898049639201297,0.0337220187318616,-0.0338566002720068,0.0903139133941634,0.104504131639859,0.142355755238126,0.260327075320756,0.26026391145852,0.0692513008078261,0.190339450764628,-0.106819396896727,-0.213422792314132
"NP63",0.109467551735433,0.151128798399374,0.0465050323962448,0.132322854171234,0.0130568294504404,0.0057356398645601,-0.0734623607499395,0.0528899982663373,-0.00405070681513033,0.0328225929701255,-0.0915919570207914,0.0305088541641851,-0.0682001271531184,0.0685569093813244,-0.0971016534655848,-0.0105109467690502,-0.00744071709786722,-0.0528899982663373,-0.0529073017110799,-0.011919157428948,-0.132006198059771,-0.138282003820764,-0.21076059477978
"FOXC2",0.340264681628313,0.291347179441886,-0.227806523278215,0.221390416033915,0.0166302197023012,-0.0282389392167655,0.339892448558282,0.331554907026811,-0.174611505776027,0.275926077108433,0.179443299598751,0.15477347798377,-0.0307086309028685,0.0313564452336481,-0.108266764192264,-0.169684613461348,-0.179118008191866,-0.331554907026811,-0.332116468345822,-0.0153926933856109,-0.221969002892503,0.0484644816816787,-0.155151109174086
"miR34a",0.226209268307454,0.147332891848156,-0.154679180390043,0.171121914159686,0.0349305357645593,-0.00483959862360328,0.263962334124092,0.252088403848348,-0.175477842887109,0.121946058329623,0.180702765435572,0.0506111038785455,-0.07946283093368,0.0797612255861959,-0.128598256627778,-0.0826934750315146,-0.181484266750689,-0.252088403848348,-0.25239086230493,-0.0347471076760529,-0.171899689926148,-0.0349100219238852,-0.0871796561542483
"CDH1",0.0476325709555588,0.0224092212050059,0.01045547777572,0.0207940178898394,0.0259166989809919,0.0288163823605895,0.0369092803570305,0.0354746954642551,0.0237423879929675,0.0130819914772589,0.0281714417357795,0.0214222840111606,-0.0578239178439576,0.0582010758784861,-0.0230789087465427,-0.000887231493436681,-0.0272469425061955,-0.0354746954642551,-0.0352837792267489,-0.0246582472971253,-0.0202968515334754,-0.0942136882288377,-0.0607538939363249
"TCF3",0.0464797781398146,0.0212125995534018,0.0106062112746479,0.0182926584553641,0.0228620126451254,0.0281700451129177,0.0355360374910759,0.0343519218110349,0.0245705744050955,0.0119429186295767,0.0248188405797101,0.0205679693111976,-0.0582010758784861,0.0567973972724842,-0.0220280920919142,-0.00223139781161578,-0.0281714417357795,-0.0343519218110349,-0.0354746954642551,-0.0259166989809919,-0.0207940178898394,0.00564323669938788,-0.0602952089816367
"TGFbeta",-0.0581129859152028,0.0544036670645558,0.0270909801026685,-0.0494133152870136,-0.0456081891936823,-0.0770263013305072,-0.0903216205302088,-0.086719997410189,-0.0948272679396778,0.0140804318551418,-0.0785929665001154,-0.0244090968079617,0.0258958808863756,-0.0258868050349473,0.0716063688693734,0.0620536984900499,0.080391821774032,0.086719997410189,0.0870258602676651,0.0465367888155947,-0.0494133724624944,-0.0205949507688357,0.0364464877469055
"OVOL2",-0.144754389029102,-0.0706945912795837,0.113369989704928,-0.0882560096043449,0.0281608945873039,0.0350094006406088,-0.122531642279049,-0.146748774710319,0.0706048942919135,-0.103575987698098,-0.0872951484929485,-0.0876528679994969,0.0223604024004456,-0.0229341021342777,-0.0339107379704134,0.0881226666558929,0.0849236881271278,0.146748774710319,0.146348915469467,-0.030150300507267,0.086856786720747,0.0652017890572873,0.0402381382419958
"KLF8",-0.0464797781398146,-0.0212125995534018,-0.0106062112746479,-0.0182926584553641,-0.0228620126451254,-0.0281700451129177,-0.0355360374910759,-0.0343519218110349,-0.0245705744050955,-0.0119429186295767,-0.0248188405797101,-0.0205679693111976,0.0582010758784861,-0.0567973972724842,0.0220280920919142,0.00223139781161578,0.0281714417357795,0.0343519218110349,0.0354746954642551,0.0259166989809919,0.0207940178898394,-0.00564323669938788,0.0602952089816367
"CLDN7",-0.0464797781398146,-0.0212125995534018,-0.0106062112746479,-0.0182926584553641,-0.0228620126451254,-0.0281700451129177,-0.0355360374910759,-0.0343519218110349,-0.0245705744050955,-0.0119429186295767,-0.0248188405797101,-0.0205679693111976,0.0582010758784861,-0.0567973972724842,0.0220280920919142,0.00223139781161578,0.0281714417357795,0.0343519218110349,0.0354746954642551,0.0259166989809919,0.0207940178898394,-0.00564323669938788,0.0602952089816367
"SNAI2",-0.0477136958879547,-0.0222662926209023,-0.0107585306840955,-0.0202968515334754,-0.0246582472971253,-0.128487298841228,-0.0366368862840973,-0.0352837792267489,-0.0238827667905143,-0.0127047331187365,-0.0272469425061955,-0.0212339382921297,0.0579327317721404,-0.0578239178439576,0.0225183796716173,0.00185855022092004,0.0284324773533239,0.0352837792267489,0.035675758645687,0.0253748370789574,0.0212366339314072,0.0945255562546659,0.0611154560750601
"TWIST1",-0.00955053482514926,0.0320884093237506,-0.0961964116089257,0.0436880019685564,-0.0716807007852599,-0.107232625912911,0.093951097752323,0.0895784347608374,-0.134765859101933,0.0591960197467546,0.0732948026221626,0.0323371600324458,-0.104567130040961,0.00489962736546084,-0.0600710523148501,-0.0339369189976126,-0.072234232270996,-0.0895784347608374,-0.0894714461988649,0.0725341589339429,-0.0430948249147632,0.0789221965439895,0.106878092502208
