"","miR200c","miR200a","miR200b","GSC","SNAI2","miR141","CLDN7","NP63","GRHL2","FOXC2","TWIST1","TCF3","miR205","OVOL2","ZEB1","SNAI1","miR34a","miR101","KLF8","TWIST2","TGFbeta","ZEB2","CDH1"
"miR200a",0.140562175538923,0.140562175538923,0.0907262116628969,0.140967805149059,-0.0743523653501895,0.0418284416251459,0.0418284416251459,0.0779033896468735,0.0252546246858772,-0.0321058971492559,0.0873826158547323,0.087005491758721,-0.0772671714133565,-0.098098192053895,-0.0418733035909035,-0.201605451296698,-0.1589793687997,0.117673421103591,0.117214143700039,0.0972174827644875,-0.141401856598927,-0.239057510195794,-0.193967719736506
"TWIST2",0.143106789516283,0.143106789516283,0.0511065616256887,0.0446097329146307,-0.089074044356449,0.103024197105241,0.103024197105241,0.101627558027375,0.0911853286777148,-0.0521103472942494,0.370751032280906,0.37037059827267,-0.101194509399266,-0.108289241848178,-0.103132783618774,-0.304059133674265,-0.175416992239325,0.161046907054829,0.160783595939276,0.145881802878528,-0.0448938075435736,-0.1857393370248,-0.0691253838541291
"miR200c",0.108688032978139,0.108688032978139,0.101895197646746,0.114995443393004,-0.0363374425999382,0.0283543913599216,0.0283543913599216,-0.0262334377939525,0.0306411347459535,-0.0554872108835216,0.0652859982021449,0.0653643808573943,0.0261445804987685,0.0492808572800713,-0.0283255993520473,-0.207575692638321,-0.0429644931404528,0.093668369846274,0.0934414327762837,-0.00916610874856717,-0.115078390397822,-0.18304053477005,-0.0488046264147838
"NP63",0.0759945358968595,0.0759945358968595,0.11263473089064,-0.0815361701228544,-0.0103944697545389,0.024899291671336,0.024899291671336,0.0427247659559785,-0.0657823148516019,-0.0304152019590206,0.145237618953321,0.145078301102991,-0.142665651596563,-0.148437614289936,-0.0250210943509949,-0.092712374841047,-0.041695408624464,0.0338478863084459,0.0340617138209192,0.0177057015043914,0.0815652682520159,-0.168773052481331,-0.146108940456585
"miR101",0.130884170082996,0.130884170082996,-0.00652251120153101,0.0633537127735216,0.0941494450744301,0.11293277486272,0.11293277486272,0.106495628811918,0.100260459018646,-0.106906986975264,0.246664454584895,0.246248710883794,-0.106230564776646,-0.111655066737109,-0.113048130322329,-0.2697484061266,-0.16149402904556,0.127095891513583,0.226835371004239,0.0528213894217599,-0.0635289469081249,-0.156431317737001,-0.163305383389785
"TWIST1",0.0711842432908034,0.0711842432908034,0.0282554032316997,0.0169117443233592,5.00742521379151e-05,0.00489609581205547,0.00489609581205547,-0.0196924970557759,0.00515593157444958,-0.0259091787320834,0.224543780131209,0.324346895966088,0.019338973605387,0.0355250640056727,-0.00503023256737744,-0.268543028251664,-0.120873420594855,0.072674816640538,0.0726837794448999,0.0694777362380593,-0.0167478607527655,-0.119804204104227,-0.183606672540429
"TGFbeta",-0.0116647724654532,-0.0116647724654532,0.00974947479628087,-0.041088278669171,0.0122944466911753,-0.127486718895503,-0.127486718895503,-0.122083239543895,-0.119480134984225,0.0587300539813618,-0.159529896564574,-0.159150979767442,0.122320361375457,0.123527498447185,0.127718474767882,0.278282488875124,0.242705983917368,-0.139675584076002,-0.13953916787502,-0.11780446829911,-0.0589625460377181,-0.108280715747232,0.131386967213778
"SNAI1",-0.00930880486010186,-0.00930880486010186,0.0905785611721101,-0.0338737116632032,-0.0791995519330461,-0.104992550455224,-0.104992550455224,-0.101458668639738,-0.0977615122376839,0.12127282497857,-0.273892124469909,-0.273699501372509,0.101298168762257,0.10432935056199,0.105002047388024,0.191112465544959,0.235007351165149,-0.147955436148482,-0.147802880609219,-0.0543333513673697,0.0339812416925739,-0.0846804825886633,0.16209752431044
"FOXC2",0.0321171030261902,0.0321171030261902,0.0221024259205,0.0222692282042284,-0.0376067390500922,0.0129936589235381,0.0129936589235381,0.0556568231770138,-0.000673571418439282,0.0832576452427063,0.0210900842350372,0.0206563302918196,-0.0549655789373825,-0.0790001112551855,-0.0130638009505152,0.0320225063635887,-0.0178253340191733,0.0237753794187897,0.0235545759680939,0.105644393022095,-0.0226046566081754,-0.0710911117333484,-0.145257562968593
"CDH1",0.0511527377596797,0.0511527377596797,0.00139690553271035,0.0232297683299529,-0.0204954392509887,0.0561349199108793,0.0561349199108793,0.0663801031429385,0.0493737918117115,-0.0306962626415442,0.166939750426719,0.166296988142522,-0.0662260199380079,-0.0765366625710506,-0.0565344001053251,-0.121587461786656,-0.0814451762037154,0.0592161499367481,0.059510543518321,0.0545296674097008,-0.0232318142820367,-0.0483288005327092,-0.078677613611503
"GRHL2",-0.00941452772001603,-0.00941452772001603,0.0390515288278767,0.106389653910352,0.0124593919083842,0.000164659205502898,0.000164659205502898,-0.0439721566501332,0.0150854710216719,-0.0314623081888774,0.00282066415243581,0.00275996700231153,0.0436753692436386,0.177593412287221,-0.000171428252180934,-0.0937481975061071,-0.0126094867647247,0.00627536044790745,0.00627800140921737,-0.0217837550686026,-0.106252733673319,0.0297143381232252,0.105531298017446
"OVOL2",0.0957220180554559,0.0957220180554559,-0.0985110784259938,0.281034285296605,0.0816101047460143,0.112641216864605,0.112641216864605,-0.163190713350959,0.137087099242154,-0.00949393478352032,-0.00855517804565025,-0.00882494281077506,0.163448927030882,0.139190496495023,-0.112618526924672,-0.142388560261215,-0.154438478669965,-0.0538064572968589,-0.0540850179934799,-0.0572756771109668,-0.281198251345988,0.0299646236414343,0.105837481806789
"TCF3",-0.0513077172726619,-0.0513077172726619,-0.00121792998284126,-0.0215440695806326,0.0203058330243621,-0.056606704279822,-0.056606704279822,-0.0662260199380079,-0.0500198327817469,0.030666392278918,-0.166296988142522,-0.166442196274178,0.0642028985507246,0.0768139290497663,0.0561349199108793,0.120954940326106,0.081858421236828,-0.059510543518321,-0.0575287226272466,-0.0544945747651191,0.0232297683299529,0.0479324611058427,-0.0210712943751181
