"","ZEB2","SNAI1","miR141","GRHL2","ZEB1","miR101","GSC","miR200c","miR200a","miR205","TCF3","TWIST1","CDH1","NP63","miR34a","TGFbeta","miR200b","OVOL2","SNAI2","KLF8","CLDN7","TWIST2","FOXC2"
"ZEB2",-0.0837701278476298,-0.0660444318832938,-0.0459045883044615,-0.0457813573386881,-0.0457403516367229,-0.0316175438595146,-0.0158886230102188,-0.0124671332540855,-0.0124671332540855,-0.0121758239001375,-0.0095494810253402,-0.00839176917056565,-0.00415573047689993,0.0123075251706674,0.0153211043915082,0.0157710042059895,0.0201551974837765,0.0244478547416154,0.0310784020250911,0.032386185660503,0.0459045883044615,0.0521783062035386,0.0641276429863009
"miR101",-0.0663534415042804,0.0297128626226629,-0.194871259015776,-0.199493429135197,-0.195022869048405,0.00993304452836664,-0.104295439123522,-0.133087812181515,-0.133087812181515,-0.0392127639603718,0.00173792572493979,0.00219295229543617,0.0460058068821488,0.0393046178339808,0.107383457831638,0.104619077285995,0.114715743897039,0.0916951734997187,0.0705838046352039,-0.109614039823047,0.194871259015776,-0.0160339565786453,-0.0131082197123791
"ZEB1",-0.0606734932748089,-0.126858066538984,0.160546890026917,0.175637887952375,0.0605478898060567,0.0116651386308792,0.105641043454948,0.155108660704874,0.155108660704874,0.0490627412206309,0.101196189337672,0.101363850553847,0.0903246113255386,-0.0491834447497722,-0.190392567583247,-0.105921182403867,-0.173772314616999,-0.0527252481981551,0.0278993638186949,-0.0115769649286859,-0.160546890026917,0.144434495277731,0.124908981727514
"GRHL2",-0.0587571180545118,-0.10558819917356,0.101023363979609,0.142179852437701,0.101159399982203,0.0120376300744326,0.148508634576013,0.0849767814367402,0.0849767814367402,0.254306712584314,0.0330645568984176,0.033154157453363,0.0863792991757768,-0.254239024228446,-0.11859143764646,-0.148668836796671,-0.0934212040277511,0.0568282844874032,0.00938804383997032,-0.0120561168036021,-0.101023363979609,0.0460732913650311,0.105315020003881
"miR205",-0.0370543479211474,-0.100919378343788,0.182853466039722,0.192207820280154,0.183031724694894,0.0138140402303903,0.0661814091849788,0.0744618659590122,0.0744618659590122,0.0522698498687704,0.101808776065513,0.102249449843364,0.0682030199582424,-0.0521707516624479,-0.197219029639402,-0.0663210695563484,-0.0867955999999686,-0.0607167438468765,0.00950744922188658,-0.0134322891821395,-0.182853466039722,0.126187598504125,0.0992488756225651
"CDH1",-0.0328914283426905,-0.0398709496047462,-0.0437957770603584,-0.0447049346718094,-0.0437540642689705,0.022361793713939,-0.0285139850921051,-0.0386581471206768,-0.0386581471206768,-0.00897419787216218,-0.0284057198120289,-0.0269448964388549,-0.0828227899785478,0.00917964214540307,0.011980140135432,0.028225505848289,0.0261660640597087,0.0269627161478989,-0.0084676720669078,-0.0214268514603723,0.0437957770603584,-0.0197993772608581,0.033707321771979
"CLDN7",-0.0323882108681297,-0.0401461375129074,-0.0434702824182196,-0.0445393663830064,-0.0437957770603584,0.0214268514603723,-0.0295652810863049,-0.0386984842541927,-0.0386984842541927,-0.0100724637681159,-0.0255499598894732,-0.0284057198120289,0.017490838158918,0.00897419787216218,0.0122927229168889,0.0285139850921051,0.0260728784428347,0.0261914959423956,-0.0086447077149735,-0.0234086723514467,0.0434702824182196,-0.0196519881536149,0.0315745778804682
"OVOL2",0.000135578976920077,-0.0902626487168597,-0.10407356350541,-0.0303571325269382,-0.104129676949675,0.0986616076618333,-0.0491920488027782,-0.102598561420045,-0.102598561420045,0.0212234260486545,-0.0248138213809683,-0.0245620409335185,0.0291681424833724,-0.021326063285444,0.0726176652561454,0.0491686250814378,0.0880364414881843,-0.0275071410481262,-0.0822841389225071,-0.0984477520089155,0.10407356350541,-0.0984525765875866,0.08541546372601
"TWIST2",0.00181892380320401,0.134990605105386,-0.0909499794734665,-0.0959005601124596,-0.0908691583915402,-0.0742401718789923,-0.0313248383041179,-0.0415503088074084,-0.0415503088074084,-0.0191015353622229,-0.0115953646356872,-0.0113759382788772,0.0868921389852816,0.0191494616926064,0.097430543555093,0.0315532441296945,0.0169853705868202,0.060530870651984,0.0443848755154026,0.0744739365327339,0.0909499794734665,0.0303184861905137,-0.0972292488107965
"TGFbeta",0.00464241935241177,0.0974003392230394,0.157814864573142,0.160006608078309,0.157962220823603,-0.060745171502614,0.0513445085074541,0.0847476483447181,0.0847476483447181,0.0205471892618774,0.00583455885250936,0.00511075970110147,0.00514247432510374,-0.020495404034295,0.0181105390687843,-0.151155544853635,-0.128503824813128,-0.110160099994596,0.0134760169496554,0.0602902200099992,-0.157814864573142,0.0344866683781262,-0.0901770021462654
"miR200c",0.0156533903762726,-0.0506211445231078,-0.204254059404717,-0.208850774561592,-0.204413196626534,0.0781123500315782,0.0015054885439092,-0.0954981450420041,-0.0954981450420041,-0.0532464668948921,-0.0496071301946395,-0.0493187411800426,-0.0124485277946756,0.0530332093864507,0.114092456304409,-0.00144413048555087,0.126535146969304,0.0680004512399998,-0.0914782349407415,-0.0777881542173064,0.204254059404717,-0.0987952551739201,0.0557812100391079
"miR200a",0.0156533903762726,-0.0506211445231078,-0.204254059404717,-0.208850774561592,-0.204413196626534,0.0781123500315782,0.0015054885439092,-0.0954981450420041,-0.0954981450420041,-0.0532464668948921,-0.0496071301946395,-0.0493187411800426,-0.0124485277946756,0.0530332093864507,0.114092456304409,-0.00144413048555087,0.126535146969304,0.0680004512399998,-0.0914782349407415,-0.0777881542173064,0.204254059404717,-0.0987952551739201,0.0557812100391079
"miR141",0.0156533903762726,-0.0506211445231078,-0.204254059404717,-0.208850774561592,-0.204413196626534,0.0781123500315782,0.0015054885439092,-0.0954981450420041,-0.0954981450420041,-0.0532464668948921,-0.0496071301946395,-0.0493187411800426,-0.0124485277946756,0.0530332093864507,0.114092456304409,-0.00144413048555087,0.126535146969304,0.0680004512399998,-0.0914782349407415,-0.0777881542173064,0.204254059404717,-0.0987952551739201,0.0557812100391079
"miR200b",0.0210961264676702,0.159721420717607,-0.135015770832429,-0.146209503862748,-0.134999477680686,-0.0869517473791929,-0.153379793554955,-0.0533465866338753,-0.0533465866338753,-0.041944702994652,-0.0298742640328948,-0.0290090969891041,-0.0106206710580743,0.0422148291720111,0.169211600498635,0.154016099345337,0.0403749106758737,0.0402093033632027,0.0501242280964181,0.087612746622736,0.135015770832429,-0.0548055755118411,-0.142539690091148
"TCF3",0.0323882108681297,0.0401461375129074,0.0434702824182196,0.0445393663830064,0.0437957770603584,-0.0214268514603723,0.0295652810863049,0.0386984842541927,0.0386984842541927,0.0100724637681159,0.0255499598894732,0.0284057198120289,-0.017490838158918,-0.00897419787216218,-0.0122927229168889,-0.0285139850921051,-0.0260728784428347,-0.0261914959423956,0.0086447077149735,0.0234086723514467,-0.0434702824182196,0.0196519881536149,-0.0315745778804682
"KLF8",0.0323882108681297,0.0401461375129074,0.0434702824182196,0.0445393663830064,0.0437957770603584,-0.0214268514603723,0.0295652810863049,0.0386984842541927,0.0386984842541927,0.0100724637681159,0.0255499598894732,0.0284057198120289,-0.017490838158918,-0.00897419787216218,-0.0122927229168889,-0.0285139850921051,-0.0260728784428347,-0.0261914959423956,0.0086447077149735,0.0234086723514467,-0.0434702824182196,0.0196519881536149,-0.0315745778804682
"SNAI2",0.0327296768595722,0.0401225224918679,0.0437540642689705,0.0446906732020223,0.0439739635232326,-0.022151603293905,0.028225505848289,0.0388446412181386,0.0388446412181386,0.00917964214540307,0.0269448964388549,0.0272758721370776,0.0825811384535973,-0.00879983693122006,-0.012027441642158,-0.0281320015931991,-0.0262405934116905,-0.0267439485053471,-0.0915040561530783,0.022361793713939,-0.0437540642689705,0.0195839295876179,-0.0333343251964186
"GSC",0.0367444746510712,-0.0794471051487354,-0.174045835968417,-0.175361380836193,-0.174298988306275,0.0891686539910823,-0.0534923669308552,-0.0712755149387854,-0.0712755149387854,-0.0284492511903326,-0.00929854776252992,-0.00969626051489384,-0.0287175544115983,0.028278749839732,0.0580616266389873,0.0534911445191592,0.0549084866690929,0.104826669067148,0.00579819780546846,-0.0895174730728502,0.174045835968417,-0.0149105454516454,0.148082343795832
"miR34a",0.0398174705706868,-0.0360735771495546,0.192285605263085,0.196235030604838,0.192469793182356,0.0571626191369686,0.0807122815648688,0.170879283623089,0.170879283623089,0.0323364316745718,-0.0450390834622438,-0.0447517113034884,-0.049592708129211,-0.0324196908945843,-0.104795883009264,-0.0810924202249706,-0.0376070455645334,-0.105841601995731,-0.108727340735931,-0.0568898778954197,-0.192285605263085,-0.17530490926351,0.0189357124916528
"SNAI1",0.0429637063013212,-0.114112156953454,0.152880180447375,0.156222885717648,0.152971984131104,-0.0124142798911621,0.0687579501050327,0.109075697401041,0.109075697401041,0.0201999797200489,-0.0142936583923654,-0.0145649657258384,-0.108422365694173,-0.0200394798425679,-0.0275467085231845,-0.0688596255048551,-0.0465179485969094,-0.10747160529483,-0.0774797950784711,0.0121631404042354,-0.152880180447375,-0.0464390654068033,0.000907508907164827
"FOXC2",0.060597519434041,0.126786302077501,-0.160356868899288,-0.175473581382757,-0.160546890026917,-0.0115769649286859,-0.10521225957288,-0.155055256693639,-0.155055256693639,-0.0491034026464916,-0.101444048733796,-0.101196189337672,-0.0902764175058792,0.0490627412206309,0.190195050308129,0.105641043454948,0.173742391442612,0.0527126954834302,-0.0278664137841274,0.0117840751421292,0.160356868899288,-0.144362930392235,-0.12470291039305
"NP63",0.0763834124065114,-0.0235779374979719,-0.135671243519215,-0.249307220449108,-0.135753689344165,0.0173881762582703,-0.136527140556228,-0.063890590808017,-0.063890590808017,-0.338851548764196,-0.0408659018630434,-0.0397102864697976,-0.152194292122956,0.238824678600826,0.118864477888768,0.136424441276834,0.125637939800616,-0.0313698622762908,-0.0146612388423469,-0.0166397799646139,0.135671243519215,-0.0440666239934205,0.0183449469968759
"TWIST1",0.10277284891401,0.0295610540240113,-0.0406906927205909,-0.0442689639491648,-0.0406663827474553,-0.023416831183865,0.0181715627769499,0.0361754272111681,0.0361754272111681,-0.0152171085977996,0.0458620897128766,-0.0546779120844062,0.0437843559042697,0.0150835552943194,0.0357121102424622,-0.0181637289542638,-0.0250513191056511,0.0394583700980389,0.0205184295831261,0.0230871991567774,0.0406906927205909,0.0319605507558344,-0.138288217342528
