"","miR200a","CDH1","miR200b","miR101","ZEB1","CLDN7","GSC","miR34a","TCF3","TWIST1","SNAI1","NP63","miR205","FOXC2","OVOL2","TGFbeta","miR141","GRHL2","ZEB2","TWIST2","KLF8","SNAI2","miR200c"
"miR200b",0.0019651655273103,0.152522024426224,0.206422688561424,-0.00378932954947963,-0.199482687226582,-0.199492730950259,0.197398205007051,-0.209216340425481,0.191075119026354,0.190902085617596,0.141978844714715,0,0,-0.04916930438156,0.134436484210468,-0.197293669055774,0.199492730950259,0.199315119480569,-0.203680542951595,-0.139092373496972,0.00392261005090249,-0.115851472116917,-0.201093009196775
"miR205",0.00944874689784397,0.113209995998749,0.200195798006922,0.0145984760043825,-0.180587510736599,-0.180573225199773,0.0855038190107478,-0.200274323025644,0.143858103547326,0.143821037528629,0.123219258322705,0,0,0.0673123984791153,0.122182194331908,-0.0854260535766897,0.180573225199773,0.183361235722149,-0.195081289491482,-0.162103933957284,-0.0145646816492915,-0.0528197883589756,-0.186582323715811
"miR200c",0.0119769847906235,0.0659755226837753,0.128485822404255,0.0192727286453344,-0.171891144335719,-0.171860566776968,-0.0309845471950659,-0.0912245297190596,-0.0507822249073829,-0.0506624325474734,-0.049499051278363,0,0,0.0441058725407448,0.113662831734717,0.0309913647571057,0.171860566776968,0.175268731284561,-0.190266571895396,-0.0389655548554129,-0.0193573797746165,0.0451021302262722,-0.179928770645655
"NP63",-0.0225407524719198,0.143237444299926,0.199073773855167,0.0760951116995371,-0.119190264107216,-0.119160746466185,0.045892381693496,-0.0975947941601008,0.0602227440246685,0.0604942575442467,-0.0576327231021385,0.257988251503474,0.357896892948014,-0.0714438243456359,0.2338305455929,-0.0459094982400615,0.119160746466185,-0.0726634500768882,-0.155849811314665,-0.087538521600626,-0.0760978530779021,-0.0825247906976712,-0.134010250467378
"TWIST2",-0.0359613669677825,-0.0388070878574087,0.112456526123497,-0.0518992676686175,-0.203970562058671,-0.203951083209365,0.0803392493023225,-0.172319433378598,0.0599921434048614,0.060138902591559,0.129279121315259,0,0,0.0570809948690941,0.16421937278523,-0.0803324271450472,0.203951083209365,0.203641201366842,-0.132625444935644,-0.11299734290943,0.0518601620573968,-0.0373152066461752,-0.168635415921487
"TWIST1",0.165466922704101,0.128356585373855,0.00824413682048371,0.122419073596464,0.20424825009926,0.204251581922989,-0.0430179810896303,0.17186699074959,0.0362207442827737,-0.0636428256111049,-0.0746811823334124,0,0,-0.159410125782381,-0.163141555728756,0.0429512369203445,-0.204251581922989,-0.203891952668683,-0.10715449768381,-0.0579480369091567,-0.122423057065069,-0.129643053946647,0.0594945622193255
"miR101",0.00290793227524854,0.0448685618768829,0.120248190155826,0.105798699621305,-0.0955177001169473,-0.0955186888780296,0.0542203886070746,-0.0296650082498702,0.0202233414704989,0.0202593507674446,-0.00519565256623689,0,0,-0.0409869902948439,0.0965914989369983,-0.0542237423704163,0.0955186888780296,0.0959654801972754,-0.10065989365022,-0.0433566291369827,-0.205760153219413,-0.105924776578923,-0.0976419960065835
"SNAI1",0.00463426512396126,0.126388005644325,0.0437749907965219,-0.0943198207766001,-0.0889919914624671,-0.0889933040466752,0.0340680939226796,-0.109504790272107,0.0461706539279403,0.0461149618387716,-0.0590846464370076,0,0,0.035516559298037,0.092605440222038,-0.0340460414847143,0.0889933040466752,0.089733068440699,-0.0958263057125445,-0.0377771693175374,0.0943681768268779,0.0535417460039029,-0.0918654995161371
"CDH1",0.0115372581469976,0.116696033063417,0.0322748394784335,0.0601964441884473,-0.00212209493695788,-0.00207717346930936,0.0117876605473463,0.0179620955020531,0.049821623708524,0.0504643859927206,-0.0563631878713698,0,0,-0.0697982637876004,0.0147565816325862,-0.0119124636244583,0.00207717346930936,0.00191583927710238,-0.025887836268221,-0.0441658152779321,-0.0602708513574162,-0.0612624772871139,-0.0138695892262011
"TCF3",0.0114926749994274,0.216693190512322,0.0322733603416577,0.0602708513574162,-0.00207717346930936,-0.00222712043928339,0.0122408053724324,0.0180786517934438,0.051225302314526,0.049821623708524,-0.0560962145276313,0,0,-0.0704613858379021,0.0148521104193706,-0.0117876605473463,0.00222712043928339,0.00204894319555188,-0.0258833830162337,-0.044060537344187,-0.0595407068185994,-0.0614520835137405,-0.0139990926548574
