"","SNAI2","miR101","NP63","ZEB1","miR34a","TGFbeta","FOXC2","GSC","SNAI1","TCF3","TWIST1","OVOL2","miR141","CLDN7","miR205","GRHL2","KLF8","TWIST2","miR200c","miR200a","ZEB2","CDH1","miR200b"
"TWIST2",-0.0396814470385559,0.0825404194047517,0.137456356918067,0.144915325401398,-0.0187120771003598,-0.0179513858494812,0.133604198200868,0.017970760776143,-0.227086358557397,-0.0662179696982837,-0.0662607150924675,-0.125380750576408,-0.144927055758162,-0.144927055758162,-0.13755392123349,-0.15536064565334,-0.0825899531789646,0.0639046441042153,-0.0522354448446525,-0.0522354448446525,-0.260056147919105,-0.126883858717427,-0.119287413515966
"miR205",0.0908206405898953,0.0614557503598598,-0.0380830408188116,0.0200784219472886,0.0111773135009003,0.01996660545306,-0.0600238995504612,-0.01996660545306,0.0565058199058759,0.0700267933672985,0.0697796865759802,0.0511969996640213,-0.020194569572784,-0.020194569572784,0.0377461069173152,-0.0101132305332625,-0.0613168180111521,0.00729638736249043,-0.100566107915532,-0.100566107915532,-0.230322874194675,-0.07422968357325,-0.139258703481757
"TWIST1",0.153685102891879,0.163361271678652,0.0821372484470663,0.0728197606529367,-0.0446245865887933,-0.0207332147150573,0.172365969077474,0.0206714841922907,-0.199609951511282,-0.114843676490914,-0.214705612491307,-0.0825504313420195,-0.0727828637901572,-0.0727828637901572,-0.0820115512202614,-0.0792906440698539,-0.163441936917909,-0.125800549456948,-0.0636349596713951,-0.0636349596713951,-0.217244912418186,0.0557841405619986,-0.138610128999655
"miR200c",-0.0902602243120113,-0.0948839512897001,-0.0336562407290972,0.0261528138192513,0.0155406220660675,-0.0683927572853057,-0.087705875481423,0.0683029927184482,0.105738975578941,0.0450406029689454,0.0449237684450831,0.0485359559140629,-0.0262262445990237,-0.0262262445990237,0.033823292444043,-0.0166672248013042,0.0949740056825533,0.0634108377742127,-0.0860534254369794,-0.0860534254369794,-0.203899744656308,-0.0408679341424043,-0.0467721556910895
"CDH1",-0.331585343072878,-0.258721415409026,0.0547631220817355,0.059658388208673,0.017222587157725,0.20575618711269,0.0985365964926035,-0.205811427818952,-0.0591186962019082,0.147388183439672,0.14692603204525,-0.0497185179086006,-0.0595653365971154,-0.0595653365971154,-0.0545576778084946,-0.063142389527107,0.259028749367811,0.315982961233796,-0.0229742862205909,-0.0229742862205909,-0.114154479178311,0.106981165328617,0.186718915090332
"TCF3",-0.331722571888834,-0.259028749367811,0.0545576778084946,0.0595653365971154,0.0170000706014336,0.205811427818952,0.0980407484730085,-0.206337075816052,-0.0591515544595991,0.14733978072912,0.147388183439672,-0.0494319315482474,-0.0590350363374511,-0.0590350363374511,-0.0519565217391304,-0.0623794768237989,0.259431073909608,0.31616544298562,-0.022866012862206,-0.022866012862206,-0.113751459873464,0.207270158023261,0.187273591381249
"KLF8",-0.331722571888834,-0.259028749367811,0.0545576778084946,0.0595653365971154,0.0170000706014336,0.205811427818952,0.0980407484730085,-0.206337075816052,-0.0591515544595991,0.14733978072912,0.147388183439672,-0.0494319315482474,-0.0590350363374511,-0.0590350363374511,-0.0519565217391304,-0.0623794768237989,0.259431073909608,0.31616544298562,-0.022866012862206,-0.022866012862206,-0.113751459873464,0.207270158023261,0.187273591381249
"CLDN7",-0.331722571888834,-0.259028749367811,0.0545576778084946,0.0595653365971154,0.0170000706014336,0.205811427818952,0.0980407484730085,-0.206337075816052,-0.0591515544595991,0.14733978072912,0.147388183439672,-0.0494319315482474,-0.0590350363374511,-0.0590350363374511,-0.0519565217391304,-0.0623794768237989,0.259431073909608,0.31616544298562,-0.022866012862206,-0.022866012862206,-0.113751459873464,0.207270158023261,0.187273591381249
"TGFbeta",0.267806609950324,0.187046164117125,-0.0270315265281397,-0.0297371253359694,-0.114826514806964,-0.0963051873643475,0.0766049549767874,-0.00371262300302393,-0.0903917239481451,-0.0541815315568557,-0.0540295110454314,0.022982730855362,0.0296285380175272,0.0296285380175272,0.0270778606791346,0.0325405474568918,-0.187160421341297,-0.175678837452046,-0.0618147630142084,-0.0618147630142084,-0.0880787734154913,-0.0356156197592387,-0.171991633683306
"GRHL2",-0.0685902744335829,-0.0353418052185209,0.10829009372309,0.122765975641583,0.106258916656526,0.0828498314285974,0.0880574302583099,-0.0828991670605646,-0.093170779997315,-0.017223074684525,-0.0171912809392218,-0.247938300452272,-0.122651338560745,-0.122651338560745,-0.107909997570912,-0.072784582478171,0.035288105671886,0.0182824096689051,0.0877735481562593,0.0877735481562593,-0.0861449015682385,0.0202921038451524,-0.104414393059042
