"","miR200b","miR200c","SNAI2","miR200a","KLF8","CDH1","SNAI1","NP63","miR141","GRHL2","TCF3","TWIST1","miR34a","CLDN7","ZEB1","FOXC2","miR205","GSC","TGFbeta","OVOL2","ZEB2","TWIST2","miR101"
"TWIST1",0.0652260740998526,0.119341391327413,-0.0417782890498691,0.0665935561014195,0.0148369053953584,0.125907623728001,-0.00550621434177512,0.0877477100600812,0.0605257425158197,0.0536523953052413,-0.0190119860310752,-0.081144050796884,0.00391966702658711,-0.0605257425158197,-0.0605051345690499,-0.0981131491553514,-0.0881680101622102,0.00158948901250007,0.00140429744420011,-0.109250417981934,-0.207291110867669,0.0600277249614974,-0.0148428805982663
"miR141",0.0356740304615864,0.107636050517177,-0.115132058858913,0.0917452566805405,-0.0952216377894332,0.163591282239001,-0.0565025317879892,-0.0837632355636292,0.0133257777399337,0.0239222382131429,-0.0572479830086217,0.0559953394426546,0.00397343684219988,-0.0133257777399337,-0.0134286701091588,0.0317811958515365,0.0831128001628828,0.0464988130242328,0.0460715791364044,0.122777409010203,-0.200281408397066,0.0356330196206161,0.0947281397165972
"GSC",0.0648530065241191,0.076109819989962,0.0161111605172928,0.0937062969593644,0.108045068523562,0.0498448132134781,0.0930113247377128,-0.0504229819565495,-0.0264861855457183,-0.0209257621822453,-0.020478065792174,0.0187498521453557,0.0540888427056198,0.0264861855457183,0.0260175279288254,0.0315781831430808,0.0499191408867972,-0.0325101213705629,-0.0329422439051113,0.0697063463190278,-0.180595791519989,-0.0451469973838104,-0.10875829636673
"TCF3",-0.148119106546174,0.0826513989909177,-0.20976175808497,0.0608136535599177,-0.243925485469159,0.127145195336684,-0.10066824721743,0.0312645555834799,0.0195358340613632,0.0147721009566789,0.0950170841132602,-0.0909996591374616,-0.0551528046277636,-0.0195358340613632,-0.0177108697194841,0.0848421130316677,-0.032536231884058,-0.207481001360343,-0.207335995016316,-0.0424662317698038,-0.143581906532325,0.234607741936137,0.244983450004995
"miR101",0.0708760302743079,0.0832646596864172,-0.0768205514243913,0.0520415196397249,-0.186020195443335,0.00724335004506069,-0.00647043249250913,0.0856884050082617,0.0266411799088939,0.0144032110294507,0.0254545828051836,-0.0234347886037716,-0.0255055268509823,-0.0266411799088939,-0.0262034883364342,0.022535962830277,-0.0849693203977221,0.00681416048280346,0.0073574701441572,-0.121686673435721,-0.1424331619358,0.0672451994842506,0.0869679052553877
"miR200c",0.0926164509966768,0.0703149762928086,0.146673517361042,0.0743915662343605,0.112141126713804,0.0691478767732177,0.0416254795707729,-0.0862884652415031,-0.00264293549750128,0.00804809331555973,0.0234864829268317,-0.0245764455102057,0.0927791471217479,0.00264293549750128,0.00175573990602639,-0.0430425860925576,0.0876213246692621,-0.130259764351786,-0.129852983150077,0.120201855282277,-0.13486411655687,-0.129650303950778,-0.112384273574507
"TWIST2",0.0196233187343413,0.0638679978625932,-0.0846806636877704,0.0295415127448079,-0.092081763842131,0.121489430991571,-0.107234996624048,0.0700946004780085,0.0297880431814649,0.0215015780570669,0.0381133358016073,-0.0369321380756622,-0.0652753063997545,-0.0297880431814649,-0.0296110116504811,0.0819068896793791,-0.0694458833631736,-0.000373520656275708,4.91802085009479e-05,-0.0982533412952603,-0.098013004030886,0.115198687691153,0.0926640029425282
"TGFbeta",-0.112863068395572,0.0236297450673714,-0.191120997619385,0.0555738698414391,-0.109895745636403,0.149537562805007,-0.0388779624533423,-0.0475467769637944,-0.0395668516747547,-0.0367685173136756,-0.000802237870807942,0.00272178044789596,-0.0489889722379336,0.0395668516747547,0.039537860747714,0.0500984336326341,0.0491766488634946,-0.0314346443254781,-0.130466368499359,0.0574368115071619,-0.0912252246752348,0.182018679876917,0.110863123467732
"FOXC2",0.0217042016498474,0.0243001160348957,0.0271515074234914,0.0198405225305189,0.0322625775702908,-0.122738453147726,0.0513686624099758,0.0882185950191755,0.00334467930231929,-0.0152316121317626,0.0537306657712645,-0.0514999312061451,-0.00653928030566228,-0.00334467930231929,-0.00245833914324567,-0.0577787874617278,-0.0886794245122631,0.0415613623953771,0.0416340928260064,-0.127271823664779,-0.0656579782310139,0.0540217708668988,-0.0313673821849118
"GRHL2",0.112946319372145,0.00808600896530782,0.121881549419552,0.0113102350061382,0.121688233413534,-0.136968403156834,0.00606632261499299,0.200477542514829,-0.00236630450998206,-0.106155167850008,-0.0516388467441254,0.0526533562533456,0.00298105805039722,0.00236630450998206,0.00258487921077928,0.0293214754999435,-0.200364728588384,0.148600907496342,0.148803239020702,-0.177239695990847,-0.0384431831402325,-0.0712565308149891,-0.121252474797398
"OVOL2",0.00144078442203706,0.117363493462018,-0.106694125763372,-0.0891883314834591,-0.104294773689348,0.129340015910913,0.0549317209738369,-0.110791424910609,0.104485315251202,0.121855658985039,0.0952991893541469,-0.0946499554860798,-0.0839526364727668,-0.104485315251202,-0.104500940060138,-0.0513108498895096,0.111246269928381,-0.17721532839334,-0.176954222793692,0.0481985372308888,-0.0382261191995621,0.122131928876288,0.104615008820897
"SNAI1",0.0473349334391798,0.0294529900371196,0.082378205636823,0.0168951262601919,0.100804537162482,-0.114585811160162,-0.0718740981475368,0.0386803408768011,0.0280656159508454,0.0257179621755988,-0.00457909690350982,0.00619212374300931,0.0469256534000825,-0.0280656159508454,-0.0275162608543512,-0.0416317585682575,-0.0384132494776342,0.0105543344228442,0.0108503835236707,-0.0494703251863117,-0.0334748708642272,-0.074765649943226,-0.100065469529526
"NP63",0.123946297553568,0.00766435886763615,0.172688139098915,0.00323350241506238,0.210233108770382,-0.107193006245048,0.104552044261229,-0.190635043020625,0.00369370464152775,-0.0507770206345678,-0.0586793861486255,0.0584572387235161,0.0222770389727009,-0.00369370464152775,-0.00345315283128207,-0.0950825702888519,0.0903932115502895,-0.00170073432321314,-0.00186505317024256,0.126933610746274,-0.0306140016953273,-0.186191023197245,-0.210287936337683
"ZEB1",-0.0211777247702018,-0.0235801508463993,-0.0272534728031896,-0.020151551447802,-0.0313673821849118,0.122686560479605,-0.0514224857560883,-0.0888192387713309,-0.00245833914324567,0.0159677811069051,-0.0514999312061451,0.0520509897553648,0.0056513698305201,0.00245833914324567,-0.0970373177252825,0.0590145398247917,0.0882185950191755,-0.0416340928260064,-0.0418726111310857,0.126938241947941,0.0658692410374018,-0.0544630876607919,0.031606920742537
