"","miR200a","CDH1","SNAI2","miR141","ZEB1","GRHL2","GSC","TGFbeta","miR205","NP63","TWIST2","OVOL2","TCF3","SNAI1","TWIST1","FOXC2","KLF8","miR101","CLDN7","miR34a","ZEB2","miR200b","miR200c"
"miR141",0.142289270881673,0.026091026486084,0.115762948569661,0.0356915393964511,0.0356618546131389,0.0243438626205568,0.127362729024076,0.127670655576208,0.0273514312178832,0.028215124127071,0.00666893545501876,0.0356436524393334,0.0597565497042082,-0.0179382816933989,-0.0596515465245345,-0.0665719902901462,-0.0367035144364303,-0.0366296698342906,-0.0356915393964511,-0.115249010434764,-0.251708655344326,-0.106186066926268,-0.142289270881673
"miR205",0.131767716504435,0.100433915845215,0.00768591518577948,0.0192566141754302,0.0193063029991715,0.0177771419035575,0.0423950475322255,0.0422760188066264,0.00179114156316521,0.00147402730293332,0.0786130996868743,-0.0147703470346785,0.00208730065290353,-0.093292593458657,-0.00218614336943086,-0.101957220215101,0.012751381294522,0.0126374818014373,-0.0192566141754302,-0.0217059056850503,-0.249564127608285,-0.108830012728414,-0.131767716504435
"TWIST1",0.10444973307617,0.100611671650946,-0.0232119834553683,0.00119072425969666,0.00105066426218936,0.00124855745344682,0.0228942535821442,0.0226081623776469,-0.0112232724258666,-0.0121070810518388,-0.0402423383754516,-0.0230263559357918,-0.0729625490566408,-0.00529363671358593,-0.0267997194410758,0.108500974637939,-0.0327481046238017,-0.0328825466892302,-0.00119072425969666,-0.000654635419264226,-0.208952626705775,-0.054214685134827,-0.10444973307617
"NP63",0.0623685978895649,-0.0895631300017652,-0.000717899164465214,0.011052855275633,0.0109704094506828,-0.071873452939702,0.0982883599112922,0.0984184456651905,0.101592108648048,0.00197366496791084,-0.00329673750331927,0.0726748298142531,0.0648617560081281,-0.0213543239556998,-0.0645408763940812,-0.0543819137182295,0.00594358505854023,0.00591342989652477,-0.011052855275633,-0.0128116317653783,-0.1559851159121,-0.109428752171599,-0.0623685978895649
"miR101",0.086668037767716,0.0726898387594898,-0.0436823454139149,0.0335836209462348,0.0338426763498141,0.0255603326840521,0.0115785103071748,0.0120052766924048,0.0300462254684287,0.0312639453928461,-0.0420558510663675,0.0377411794096695,-0.00823617300837654,0.0112215015094423,0.0077222221337871,-0.00806250819648595,0.158655331023511,0.0588028706997213,-0.0335836209462348,-0.0252456740592651,-0.141236904234657,-0.0318446705272917,-0.086668037767716
"GSC",0.0378642435186607,-0.00218996723202016,0.0614003544498816,-0.0559296960804105,-0.0560925920080123,-0.0519053384089074,0.0150516699656254,0.0148408039480594,-0.0513548597338009,-0.0519544880791715,0.054455211588571,-0.0524486719815478,0.128980260075963,0.00287845033739537,-0.128664006562035,-0.180800253711827,-0.0752099464386893,-0.0753190741961138,0.0559296960804105,0.0391918164215567,-0.129598032210088,-0.103441664649251,-0.0378642435186607
"TWIST2",0.0763887323478753,-0.0660544265726244,-0.0753561171533978,0.0763362535773928,0.0764187965465506,0.0705873364748596,0.00310555703345599,0.00325919201529541,0.0601637591183742,0.0605865378185437,-0.110310378770533,0.056235557275967,-0.0257407196572411,-0.0756964711336137,0.0255668883875604,-0.0427066799339018,0.0754757027446173,0.0755304506003262,-0.0763362535773928,-0.0812738994406005,-0.0764709483934238,0.0273843162250339,-0.0763887323478753
"SNAI1",0.0733934986865526,-0.114057048259393,0.0541376670957283,0.0823127406864183,0.0824230749707317,0.0775511487126687,0.0202809697798257,0.0204993474619778,0.0724348768616609,0.0731258839677624,0.0418945563790383,0.0691060657554956,0.0146725227807442,-0.0948647219737679,-0.0148682114977313,0.0131717830100592,-0.077602629963698,-0.0775343075442732,-0.0823127406864183,0.00983087442070009,-0.0603650283596743,-0.0140221536272083,-0.0733934986865526
"TGFbeta",-0.0216579015652566,0.00660155722361871,0.0301467293957677,-0.0739470372822405,-0.0736675921926002,-0.069909809088401,0.188267654471333,0.08856348032938,-0.0683777559505254,-0.0674837793901547,0.0413072013014031,-0.0662465739677919,0.068120383955808,-0.0305699194893708,-0.068674010892935,-0.0897820478837061,-0.00276507716236688,-0.00264666513004248,0.0739470372822405,-0.0261025061603381,-0.0315310626992179,-0.108626124914867,0.0216579015652566
"SNAI2",0.0237618264781292,-0.0966242259405506,-0.100970149663385,0.0231657963594589,0.0232276698051242,0.0214965765953943,0.00410252091649474,0.00401074024214377,0.0189297716452568,0.0185472535366867,-0.0195378364101669,0.0175540728104665,0.0623570756654344,-0.0137972035634749,-0.0625520339534286,-0.0348784908292955,0.00570538956492367,0.00565752441976742,-0.0231657963594589,-0.0220632901565368,-0.0246091660455606,-0.00146641955401464,-0.0237618264781292
"TCF3",0.0239669254829986,0.00333520336695216,-0.000900570657018719,0.0234631201195635,0.0231449399637649,0.0216550864682851,0.00442798490696114,0.0037935821518406,0.0198550724637681,0.0177741476082768,-0.0195036759621164,0.0180209204537653,0.0627637638529875,-0.0140522988409857,-0.0625217503002285,-0.0347460375807138,0.0057935204560968,0.00568921409340868,-0.0234631201195635,-0.0222134383872801,-0.0245720778751683,-0.00131754927779291,-0.0239669254829986
"KLF8",0.0239669254829986,0.00333520336695216,-0.000900570657018719,0.0234631201195635,0.0231449399637649,0.0216550864682851,0.00442798490696114,0.0037935821518406,0.0198550724637681,0.0177741476082768,-0.0195036759621164,0.0180209204537653,0.0627637638529875,-0.0140522988409857,-0.0625217503002285,-0.0347460375807138,0.0057935204560968,0.00568921409340868,-0.0234631201195635,-0.0222134383872801,-0.0245720778751683,-0.00131754927779291,-0.0239669254829986
