"","miR200b","CDH1","TWIST2","miR200c","KLF8","TWIST1","TGFbeta","GSC","OVOL2","GRHL2","CLDN7","ZEB2","NP63","miR205","FOXC2","miR141","ZEB1","miR34a","SNAI1","TCF3","miR101","miR200a","SNAI2"
"SNAI1",0.0733402096017787,-0.0691660036536373,0.00218537575147422,0.132088746834852,0.203844140702505,-0.165497256158706,0.0542677478314355,0.0541961261966278,-0.0937372690081968,-0.0913301183631707,-0.0907846201141697,-0.193837876369651,0,0,0.050003765299442,0.0907846201141697,0.0907464007504642,0.179587770543457,0.050619552407334,0.165473242138605,-0.203875026179779,-0.132088746834852,-0.135479591875782
"miR200a",0.0426185246084577,0.0540761830693547,-0.0619288439650687,0.0844410197757207,0.0323708297269959,-0.121922085636582,-0.0652194463729547,-0.0664443350194414,-0.0540971100492579,0.00688053345535839,0.00902465892656172,-0.17440181111676,0,0,0.0521839693375871,-0.00902465892656172,-0.00965250325330861,0.086694219530956,0.107762013754628,0.12146214213125,-0.0320034078041545,-0.0844410197757207,0.0539465083007865
"miR141",0.102589204462027,0.149458294954324,0.0764467397933858,0.0640081294724716,-0.0141330556774589,0.21205808205756,0.108937914721603,0.10794936822583,-0.0496262207623194,0.0135751268595245,0.0165171382979642,-0.135749766936547,0,0,-0.128821681730203,-0.0165171382979642,-0.0169543750687062,-0.048007359275564,-0.237441469768888,-0.212568308775693,0.0142573307395965,-0.0640081294724716,-0.150029657682304
"miR205",0.105350594777514,0.103854643017914,-0.0127350257267056,0.069802223989396,0.0174400471845882,0.0659756652869287,0.0172241235364578,0.015678337153344,-0.0525283614738383,0.00579396520100524,0.00728117784240102,-0.1352817241596,0,0,-0.131161000142429,-0.00728117784240102,-0.00802216242644345,-0.0400006220641216,-0.15635977675831,-0.0666510905165321,-0.0170983487053342,-0.069802223989396,-0.071215459083787
"TWIST2",0.0545925901832892,0.0985557628037925,-0.0619011691628077,0.031502392552456,0.0445908419634369,-0.0241837853275536,-0.0207025374386271,-0.0205467193664596,0.0784534107623444,0.0652307507256453,0.0651018726401031,-0.126928720740181,0,0,0.0668139276563466,-0.0651018726401031,-0.0650447275076093,0.0231510384488348,0.106108422424135,0.0243091718171594,-0.0446160433573347,-0.031502392552456,0.0362605013177691
"CDH1",0.230414369370174,0.238267761772552,0.255319106273678,0.0268200609450096,0.24270503735253,0.139536825409599,-0.193679579071318,-0.192965541794071,-0.0218585283443061,-0.0167988693584007,-0.0163232655206322,-0.0370276052820467,0,0,0.0561716916756084,0.0163232655206322,0.0167548324776841,0.00861365014744143,-0.00116504064338393,-0.139648379194459,-0.243128834706223,-0.0268200609450096,-0.270282329088121
"FOXC2",-0.0156213158790828,-0.0769245245538934,0.0283564897813521,0.0118397827958316,0.00907211842738857,-0.0698267625748362,-0.0160870282875145,-0.0140451485858178,0.0551011253484765,-0.00240108243401967,-0.00406038113676338,-0.0247964497473421,0,0,0.135815088140669,0.00406038113676338,0.00492716654892218,0.0415283671401478,0.163067320150908,0.0711561902449579,-0.00944012417854822,-0.0118397827958316,0.0458453488486154
"OVOL2",0.0245824160528891,0.125551417034721,0.0927268449751921,0.0159897648189094,0.115007852913767,-0.0239294460937824,0.00215598922837507,0.00188179390209641,-0.0771763973641071,0.0238486964001529,-0.0124774601363772,-0.0223017866743603,-0.00906664885944927,0.00906556846748307,0.0736786355171325,0.0124774601363772,0.0124055860152727,0.0715482461852049,0.0885666504420217,0.0234996209013502,-0.11503965708779,-0.0159897648189094,-0.107210750082207
"ZEB2",-0.18710851854453,-0.185331137922536,-0.146157812137224,-0.131846081654681,-0.1194332272139,-0.0587344578034697,-0.0342133739991381,-0.0333395463383976,-0.0245578021107223,-0.0231364678013112,-0.0218520546638463,-0.0054782222520742,0,0,0.0191304681661323,0.0218520546638463,0.0221699716813673,0.0359694184066088,0.038895214596534,0.0595804155542937,0.119310920691879,0.131846081654681,0.154237241223486
"GSC",0.00390656347409294,0.106114936486731,0.0422597360750198,0.0224191902095372,-0.145441366896445,0.336325695502548,0.0255991616249555,0.0247013002342177,-0.0562192156651896,-0.0372504208293791,-0.0365310433918013,-0.000300090323738926,0,0,-0.128460401639956,0.0365310433918013,0.0361038940705343,-0.0843309927652794,-0.229839943288685,-0.336637157296568,0.145692750480513,-0.0224191902095372,-0.0213510266379944
