"","NP63","miR141","TWIST2","OVOL2","miR101","SNAI1","miR200c","ZEB2","miR200a","FOXC2","GSC","TGFbeta","CDH1","miR200b","TCF3","TWIST1","SNAI2","KLF8","miR205","CLDN7","ZEB1","GRHL2","miR34a"
"GSC",-0.0872686040392467,-0.0803966360180367,0.0172064149838796,-0.0855331436546658,0.115696678741067,0.11166140244463,0.0242429835669332,-0.128719344684821,-0.100791350441519,0.0700302936150805,0.0544855387710965,-0.0545160990634974,0.0495819711990809,0.0964252955835525,-0.00718715780688087,-0.0070673648091809,-0.0177660382979922,-0.115816524403239,0.0875597973571264,0.0803966360180367,0.0803469225942056,0.0894233800144368,-0.0180358885151162
"SNAI1",-0.141552296927192,-0.14586816509868,0.157859723459422,-0.131328281553456,0.244104572764625,0.0535055089741733,-0.0270373280203154,-0.100545831809915,-0.127510007357423,-0.162631242951403,0.0298491148235293,-0.0298461875087551,0.146357120145682,0.0200535198385596,0.114475775642817,0.114658180008259,-0.201907524109259,-0.244044361682666,0.14165398768926,0.14586816509868,0.145901442968896,0.155629367229022,-0.0580372609965108
"NP63",0.0108301723415948,0.0428495078028781,-0.204584739932132,-0.130136831048865,-0.177202646611826,0.16625627819264,0.0478627480688914,-0.071803468435786,0.00345204341603996,-0.168989539796475,0.00820927038713441,-0.00825719671751799,0.187465638146715,0.137602629795236,0.235894970343004,0.235547163768338,0.234165002788232,0.176599543371517,-0.110529226511844,-0.0428495078028781,-0.0430432385273495,-0.15685484179798,-0.0728120490769429
"miR200c",0.189033971910734,0.242104407129248,0.0260973036864385,0.157525253825261,0.000508550175577924,0.131084610367589,0.151049382294958,-0.061741834888149,0.0971994379995651,-0.0119225737726875,0.111094748449984,-0.110934535742049,0.00828956732322572,-0.0244361814429359,0.00693428810548017,0.00715464689099269,0.115721621506367,-0.000623819798430127,-0.188575468267585,-0.242104407129248,-0.242262205187908,-0.259587052674439,-0.238523821520758
"miR200b",0.189033971910734,0.242104407129248,0.0260973036864385,0.157525253825261,0.000508550175577924,0.131084610367589,0.151049382294958,-0.061741834888149,0.0971994379995651,-0.0119225737726875,0.111094748449984,-0.110934535742049,0.00828956732322572,-0.0244361814429359,0.00693428810548017,0.00715464689099269,0.115721621506367,-0.000623819798430127,-0.188575468267585,-0.242104407129248,-0.242262205187908,-0.259587052674439,-0.238523821520758
"TWIST2",-0.0477022528623358,-0.0307960177541878,-0.00100152040346589,-0.054396765160127,-0.0979979840943185,-0.191361525992502,0.0181494165720949,-0.0609695445431758,-0.04362722897772,0.21873434764818,0.0256173516530679,-0.0256323603990736,-0.147315357645232,0.0328368311234371,-0.259320334945425,-0.259532637069871,0.00208483457074594,0.098010150284476,0.0475841486910334,0.0307960177541878,0.0307679294687247,0.0366542802042406,0.090662856475713
"ZEB2",-0.11522910040055,-0.115083753141734,-0.108332401958314,-0.10704679966915,-0.0893976566672842,-0.074695134303048,-0.0724899782117298,-0.0586226043673546,-0.0303314070323534,-0.0101459273852325,-0.00573064284556371,0.00627316727763731,0.0150593236799071,0.0170896336087506,0.0195700013558874,0.01971126493424,0.0373814947854834,0.0897188355828331,0.114524111246537,0.115083753141734,0.115329003412393,0.12619726926153,0.137965387610068
"FOXC2",0.204940608840047,0.265412365278069,0.0773858725373297,0.163861287982421,-0.0968148924810501,-0.161944585123965,0.260755434824077,-0.0560086837744963,0.222561817117462,0.14481599815199,-0.0269805920515987,0.0270185855601364,-0.146843202787699,-0.193812320358283,-0.116317251884334,-0.116024327143459,0.0747553036657132,0.0968987635592213,-0.204249364600416,-0.265412365278069,-0.265547973196891,-0.290289423913255,-0.222904584902764
"miR101",0.224183872824789,0.265121065645838,-0.0546437274746987,0.189862565485632,-0.244756066979908,-0.212748147981183,0.152217664549923,-0.0337878497851143,0.124034707988418,0.229187361322857,-0.00641738912018903,0.00650123320373128,-0.0593677154236244,-0.0587563658024135,-0.191269205483741,-0.191130624250041,0.160648731429594,0.144773346401446,-0.223945052753405,-0.265121065645838,-0.26522686308165,-0.282116437084613,-0.0800921931498531
"miR141",0.22216809567373,0.282498687711226,0.0768969229664295,0.185861933156946,-0.0756300467714806,-0.22994916668928,0.155754851900905,-0.0195854085904247,0.138509976059316,0.0991673607402268,-0.121280993517727,0.121373030605264,-0.0951682223635937,-0.112811906739428,-0.111126698352192,-0.110654923502672,-0.0511046162128399,0.0757651283607605,-0.221659831945278,-0.282498687711226,-0.282574796817312,-0.298834237811324,-0.136510312179413
"OVOL2",0.11749659617456,-0.260440663796689,0.0573746077551796,0.0247985692110954,0.125559132573287,0.172826733839069,-0.232468973445364,-0.0135239643799319,-0.242037642149725,-0.031561473308444,0.23933951838884,-0.239327117595189,-0.0866065071737284,0.0691948328609281,0.0115694853944281,0.0110155684100385,-0.0844940158059368,-0.125513071355735,-0.118104856851534,0.260440663796689,0.260498407655799,0.0932102268883451,0.156647811021965
"CDH1",-0.00221422257555815,0.00683578306545183,0.165515060426239,-0.00669594581900434,0.0960167217776694,-0.217418647127527,0.0111574672858628,-0.0103369214017562,-0.000526255356094292,0.204856139200173,-0.194307689689195,0.19417061089958,-0.240007793038371,-0.191707825515092,-0.246378452879845,-0.24599067067533,-0.171250384966517,-0.0954764610290686,0.00265079165619502,-0.00683578306545183,-0.00676037917332753,-0.00464461551350466,0.076963472273663
"TCF3",-0.00265079165619502,0.00679555339058075,0.164946559584016,-0.00654915768321367,0.0954764610290686,-0.217656869495786,0.0110407018993694,-0.0102144569721065,-0.000456196124198235,0.205997187052494,-0.194905840858309,0.194307689689195,-0.140164133348588,-0.191626472992425,-0.248750185696883,-0.246378452879845,-0.170987450364952,-0.0951933437589152,0.00467391304347826,-0.00679555339058075,-0.00683578306545183,-0.00438165411364101,0.0772018828696895
"miR205",0.16686790688052,0.216704490045029,0.0609015133827718,0.135106387787296,-0.092967831877852,-0.165707872798223,0.113875061526304,-0.0101688653697116,0.10599558172856,0.129258393303085,-0.0273598981701082,0.0272392823948345,-0.105654275654927,-0.0896183145348867,-0.105668794671702,-0.105722334476488,0.0683883473454047,0.0930767247998121,-0.166530972979024,-0.216704490045029,-0.216739893331945,-0.238813420139941,-0.182299757482532
"miR34a",-0.167938210838811,-0.182303641943711,0.0687246010168903,-0.150023543774232,0.203961022156161,0.18746840834223,-0.150200766472802,0.00354400503689421,-0.14721498286511,-0.19455130048901,-0.00128542541957697,0.00126551339452403,0.068501677161255,-0.00438613384240295,0.103441496141965,0.103658009412261,-0.208080856454705,-0.203984070711785,0.167974163683817,0.182303641943711,0.18235361541018,0.193809161422726,0.017486225842441
"KLF8",0.00265079165619502,-0.00679555339058075,-0.164946559584016,0.00654915768321367,-0.0954764610290686,0.217656869495786,-0.0110407018993694,0.0102144569721065,0.000456196124198235,-0.205997187052494,0.194905840858309,-0.194307689689195,0.140164133348588,0.191626472992425,0.248750185696883,0.246378452879845,0.170987450364952,0.0951933437589152,-0.00467391304347826,0.00679555339058075,0.00683578306545183,0.00438165411364101,-0.0772018828696895
"CLDN7",0.00265079165619502,-0.00679555339058075,-0.164946559584016,0.00654915768321367,-0.0954764610290686,0.217656869495786,-0.0110407018993694,0.0102144569721065,0.000456196124198235,-0.205997187052494,0.194905840858309,-0.194307689689195,0.140164133348588,0.191626472992425,0.248750185696883,0.246378452879845,0.170987450364952,0.0951933437589152,-0.00467391304347826,0.00679555339058075,0.00683578306545183,0.00438165411364101,-0.0772018828696895
"SNAI2",0.00218980652607495,-0.00676037917332753,-0.165771045292354,0.00681591517137147,-0.0962713088540803,0.217461837516998,-0.0111649270497613,0.0104263604571276,0.000621367345799818,-0.204699557019989,0.19417061089958,-0.194188277602155,0.239972684787933,0.191722989495799,0.24599067067533,0.24611762025821,0.0713587224275306,0.0960167217776694,-0.00221422257555815,0.00676037917332753,0.00670433314359743,0.00462607560278146,-0.076950781625517
