"","miR101","ZEB2","TWIST1","miR34a","OVOL2","miR200b","miR200c","miR200a","miR141","CLDN7","GSC","NP63","miR205","CDH1","TGFbeta","GRHL2","ZEB1","SNAI1","TCF3","FOXC2","SNAI2","TWIST2","KLF8"
"ZEB2",-0.135517369117732,-0.0891041266117968,-0.0817840811944167,-0.0456079608341804,-0.0234535045398001,-0.0193052836091229,-0.0127862602262653,-0.0127862602262653,-0.0121234011981737,-0.0121234011981737,-0.0105724458373253,0,0,0.00950253263227614,0.0106937594731011,0.0110611712997928,0.012160471058904,0.0700562903456636,0.0821818924208119,0.0995491396602254,0.113962592497668,0.123604440083914,0.135532284547246
"TWIST1",-0.0708693357406828,-0.0818752193305841,-0.090807207728984,0.0283014358139892,0.0963390754992869,-0.0393721259815222,0.094330052154811,0.094330052154811,0.102405740612332,0.102405740612332,0.00579404659587716,0,0,0.0252166155880633,-0.00581316112323131,-0.104885342774061,-0.102504091112785,-0.00902330386775903,-0.0096919467311368,-0.0121451197952457,0.0940725095579019,0.0855145426128416,0.0708155589145114
"miR34a",-0.0199748939438585,-0.0777646291091208,0.0723594348681339,0.0442801910174728,0.109880645500863,-0.0220131654907329,0.142989728993512,0.142989728993512,0.12005626530225,0.12005626530225,0.00480181653048637,0,0,0.0151600951644983,-0.00479819616229492,-0.121273582450772,-0.120181198968422,0.0214239510887261,-0.072801121939536,0.0463502192423816,-0.0119452577035827,-0.158658810364929,0.0200421188977614
"NP63",-0.00877787510919538,-0.0769253405771447,-0.0809712932329456,-0.111842969501871,0.0034948187224366,-0.00328436779157453,-0.0553897641694867,-0.0553897641694867,-0.121422940801489,-0.121422940801489,-0.0602613526310628,0.0215802590359401,-0.12148890048048,-0.0650317976734957,0.0603760334930521,-0.0374044601288929,0.121384601796471,-0.0151309554031409,0.0806549014456686,0.0264452658149944,0.0181077871043549,0.0441710215860226,0.00879706475775068
"TGFbeta",-0.0668227405253544,-0.0616437299778937,-0.10984364434046,-0.0797108907928731,0.0439421984815065,-0.0744170677411081,0.0429456800329444,0.0429456800329444,0.0284826053543119,0.0284826053543119,-0.177100009267324,0,0,-0.0336001737366294,0.0770587413429267,-0.0274299974378172,-0.0286255014621513,0.0710957341483516,0.109110769337623,0.12871123135585,0.06828918304038,0.107599967876067,0.06677634516766
"SNAI1",-0.0686245708054339,-0.050283355859097,-0.0094652110419702,-0.0379475732763361,0.0378574069655987,-0.00218573993668679,0.0313363548985938,0.0313363548985938,0.0194391522519121,0.0194391522519121,0.0125439233105903,0,0,0.0348031030766903,-0.0124625439598687,-0.017976842706774,-0.0194555981599308,-0.106510109645915,0.00936353465899256,0.0684995416222461,0.0585941156883474,0.0562379996537854,0.068628002525131
"CLDN7",-0.00655348791202396,-0.0182917934637266,0.0715850955086708,0.0279288740796771,0.0684824720017195,-0.0140270552576544,0.0332644229741932,0.0332644229741932,0.0478321692513581,0.0478321692513581,-0.000264115869234699,0,0,-0.026348204909943,0.000862267038348347,-0.0475760169685944,-0.0480260031393733,0.00293493543028286,-0.0723595388774995,-0.0280699594142673,0.0101806562673903,0.00467126791421246,0.00680680336426654
"miR200c",0.109618712269807,-0.00515494163024032,0.13097045835247,0.00701088440475751,-0.0631978104406806,0.0687349334780301,0.0080813611616741,0.0080813611616741,0.00920520383767358,0.00920520383767358,0.124663445422407,0,0,0.000768287654864201,-0.124658900381047,-0.00858430222857993,-0.00925095857886914,-0.121177956323049,-0.131158280941464,-0.169668953886951,-0.104980332438108,-0.0299463968821948,-0.109607905742665
"OVOL2",-0.0897679649309718,-0.00367414908437558,-0.0766435549092512,-0.0680319579102105,-0.100085679247783,-0.00721908330867223,-0.00775424572577664,-0.00775424572577664,-0.0140572800603453,-0.0140572800603453,-0.00805859502132098,-0.0240834337367673,0.0241428552949085,0.0637784782577966,0.00798487919239681,0.0184403743503916,0.0140807852077008,0.0686837136144596,0.0768054137683261,0.0966831310035348,0.077334151177418,0.0936136396258328,0.0897153235394844
"miR200b",0.0998626444912722,-0.00114122857496467,0.127403066932394,0.106142161660804,0.0748797488416739,0.0258630759239331,0.0114774321435106,0.0114774321435106,0.0193015756455909,0.0193015756455909,0.11324269051295,0,0,-0.0564003493852909,-0.113146108384052,-0.0178720206646673,-0.0193433128973157,-0.0703950588941983,-0.127738781323746,-0.132623340985302,-0.11392551316529,-0.112748862006933,-0.0998824564576999
