"","SNAI2","TWIST2","FOXC2","ZEB2","miR141","GRHL2","OVOL2","CDH1","GSC","TGFbeta","NP63","miR205","miR200b","miR200c","miR200a","miR34a","CLDN7","ZEB1","SNAI1","TCF3","TWIST1","KLF8","miR101"
"GSC",0.0719833063865548,-0.010158821065353,-0.011352604667942,-0.126603007888516,-0.109191643299505,-0.108045948002058,-0.105368881667973,0.128012915397959,-0.053031639433285,-0.0530334730508291,0,0,-0.0138311147652718,0.11691858207663,0.11691858207663,0.126541102128464,0.109191643299505,0.109239426104934,-0.144484161587344,-0.0686411092202918,-0.0685852058213651,-0.179613282132077,-0.17960256422733
"TWIST2",0.181091626773539,0.174044431997887,0.129830233808205,-0.0984559987219485,0.20652358722761,0.205905442706454,0.164681063735306,-0.10578557144291,0.0104252369281599,0.010476266664579,0,0,0.0366792956440231,-0.0569268275242871,-0.0569268275242871,-0.0701097007424946,-0.20652358722761,-0.206502601726977,-0.0790295761562993,-0.247947654242193,-0.247927706391574,-0.147024401801249,-0.147034829964241
"GRHL2",0.0327700634202023,0.0935555229570212,0.146318220112152,-0.0971746041798755,0.314696606178405,0.313375936238371,-0.0586410988756601,-0.0189516091714507,-0.106043494655999,-0.106026310334752,-0.306281053357567,0.306185595419806,0.209108995986236,-0.243287744166681,-0.243287744166681,-0.26540951295854,-0.314696606178405,-0.314916927729958,-0.136786104814368,-0.105372439335324,-0.105944726750781,-0.0526465048463079,-0.0530664176945846
"TWIST1",-0.0257552249704015,-0.0867547168366063,0.0686433854489733,-0.0921955862117122,-0.0743215210488304,-0.0734983909459749,-0.0839363916358183,0.170904367848205,-0.0431984046245877,-0.0432306799740545,0,0,0.0162195690162009,0.0811586334721518,0.0811586334721518,0.0933222740183382,0.0743215210488304,0.0743512606606359,-0.15319044536879,0.017442020249718,-0.082480369809674,-0.0615970875112936,-0.0616040585813528
"ZEB2",-0.197233246748912,-0.173404623307958,-0.102111366923609,-0.0775975604320349,-0.0451364310141722,-0.0437572129108468,-0.0425724188275757,-0.0292273108301302,-0.00455170517099595,-0.00452768876594389,0,0,0.00731324739624656,0.00811291358971111,0.00811291358971111,0.0161559148551207,0.0451364310141722,0.0451489512982599,0.0741882669727852,0.097647510586255,0.097727072831534,0.189830135527826,0.190061821866287
"miR205",0.0184153113127608,0.141445309241136,0.149770180237387,-0.0577821819013473,0.261339316672332,0.252482729232409,0.172116825674395,-0.0505627735077412,0.00797798373272253,0.00808272901124975,0,0,0.140477968440613,-0.111551134285062,-0.111551134285062,-0.227324901984149,-0.261339316672332,-0.261366024415093,-0.144991764105633,-0.13752519510642,-0.137718762092953,-0.0463709062291749,-0.0464973221500711
"miR200b",0.164811330436069,0.157775132920677,0.176882311685395,-0.0461604850683317,0.255292258818118,0.248397750510476,0.172674519017701,-0.00700456509242893,-0.0810501614624315,-0.0809672144576138,0,0,0.0890091373449265,-0.111578328023847,-0.111578328023847,-0.13627938849092,-0.255292258818118,-0.255288910910226,-0.133022246880578,-0.179240822628754,-0.179419771709606,-0.153600970096719,-0.153691024489572
"miR200c",0.100765118048722,0.108399913988087,0.138639629123316,-0.0205671258676535,0.234709537064155,0.230525636185716,0.157300557904574,-0.0849134562235005,-0.0596736216865799,-0.0596895293313395,0,0,0.0531981294325208,-0.111329816823189,-0.111329816823189,-0.127712531042547,-0.234709537064155,-0.234753952642193,-0.111215845881727,-0.140061152176791,-0.140240101257643,-0.103441204790042,-0.103502441777182
"TCF3",0.368703543592941,0.340422752154458,-0.0019397198501086,-0.0201734913879886,-0.062254109772584,-0.060692191159382,-0.052233515030129,0.231025103301321,0.203568026394352,0.203676781152372,0,0,-0.270611934687487,0.0425642001780164,0.0425642001780164,0.021227370630879,0.062254109772584,0.0626893217098257,0.0521806234647711,-0.13362673440889,-0.133433123566683,-0.284304805625632,-0.28473693198534
"CDH1",0.368775824419666,0.340556104203868,-0.00241167157960259,-0.0200265340724089,-0.0626893217098257,-0.0610785171665891,-0.0525107815088448,0.131128382657768,0.203676781152372,0.203903881833674,0,0,-0.270882616717454,0.0428040999720847,0.0428040999720847,0.021391609041475,0.0626893217098257,0.0629043030192865,0.0522956273666892,-0.133433123566683,-0.133268448931888,-0.28473693198534,-0.284740167079643
