"","TWIST2","miR101","SNAI2","ZEB2","OVOL2","SNAI1","FOXC2","ZEB1","TCF3","miR200c","NP63","miR205","miR200a","GSC","TGFbeta","TWIST1","GRHL2","miR141","CLDN7","miR200b","miR34a","CDH1","KLF8"
"GSC",-0.0442141091208469,-0.0784144625890872,-0.00525766850807624,-0.116329167435083,-0.126493180561836,-0.0736065301639908,-0.109038670461986,-0.0850580947107983,-0.0763186845830544,-0.0985000329980708,0.0223719593058364,0.0222704247936809,-0.0162068387659463,0.0250403201973658,0.024908299734194,0.0755104811585719,0.084196899800972,0.0851370087379476,0.0851370087379476,0.101008993871212,0.0708299824661579,0.0151988303588368,0.0778824647716423
"SNAI2",0.252186288701,0.242933450646453,0.168754134543277,-0.0925011875614086,-0.0466898461141462,0.00120585118359255,-0.0367254549098393,-0.0331054350644669,0.162146760253504,-0.0618039824479009,0.00923510599513396,0.00928393809410034,-0.0301729825891254,-0.204723930149192,-0.204683856897011,-0.162271442879546,0.0332252574350129,0.0330788689035857,0.0330788689035857,-0.181694445120192,0.0181352268258196,-0.236226657640682,-0.242775981255866
"TCF3",0.251751131688967,0.242345713713567,0.268473522866214,-0.0923676331574398,-0.0464636391592666,0.00112296931304778,-0.0371855499842227,-0.0329761912632462,0.161476810173218,-0.0616472034606851,0.00961778503811678,0.0102536231884058,-0.0303775826253806,-0.204175201127669,-0.204664597538762,-0.161960837278736,0.0328404356811363,0.0327677284025506,0.0327677284025506,-0.181608898304989,0.0180457539820494,-0.336098977072549,-0.241764578264305
"ZEB2",-0.137888446848956,-0.136764965958091,-0.136121446273972,-0.0851333710901036,-0.0447498876829033,-0.0369319157980598,-0.0286805358996379,-0.0247077083986962,-0.0231603759859497,-0.00162648367388553,0.0117160418085338,0.0117935131441396,0.017287847205976,0.01884896376315,0.0189148549257288,0.0231555048280754,0.0244328302012303,0.0246706385379659,0.0246706385379659,0.0259318322403726,0.0392132069706038,0.0496223300797772,0.13681170097057
"TWIST1",0.15257310567771,0.166041917924115,0.220812097894918,-0.0660034548523715,-0.245765355901341,0.00665599592881527,0.180088843966111,-0.209835391837641,-0.0887743431444636,-0.153253579846073,0.0492974502251281,0.0497138222889194,0.0780186320846285,0.052442098030172,0.0525282700797194,-0.0107395735433075,0.203780017302606,0.209648686307924,0.209648686307924,0.026630153396482,0.107236581024044,-0.0994192907981319,-0.16551809180252
"miR101",0.0348568518979221,0.12631239984001,0.130777966679301,-0.0505459026531338,-0.235844186098078,0.0163690518994005,0.0995683883446533,-0.202605870990011,-0.0113228425670965,-0.122508529145213,0.0549219205319466,0.0552814628372164,0.080407460574892,0.0726281403920952,0.0727346223781938,0.0119633715764044,0.196371879145094,0.202428223582213,0.202428223582213,0.0894887743534433,0.101121495508633,0.00220444395634888,-0.225775408586056
"FOXC2",-0.184725852451747,-0.0965819001195405,-0.0834503936473086,-0.0400369442620407,-0.21131866045492,-0.139184520855035,-0.142513423949752,-0.160944051501561,-0.0292538703191978,-0.187527414945903,0.0723642209115075,0.072703066127013,0.162543171939443,0.128612226969272,0.128821734030637,0.0290736089401983,0.155249321733815,0.160799941518863,0.160799941518863,0.21906297898998,0.193653056997065,0.236188673423178,0.0966794644349642
"TWIST2",-0.197330465021792,-0.183455139018865,-0.207181490966183,-0.0373856445328415,-0.071004367785317,-0.136731626228897,-0.151274234301257,-0.0212869227700729,0.145677750136403,-0.028166675521524,0.0149461360554425,0.0146962344755852,-0.0134475754380353,0.0279610858111842,0.0280841575284304,-0.146078131995258,0.0240368162842389,0.0213866846115452,0.0213866846115452,0.089704258601898,0.0558994436066131,-0.00173703943990334,0.183223112392289
"TGFbeta",-0.232918448935423,-0.187529662187642,-0.254073392069919,-0.0326569739371172,0.0382068019229253,-0.110837813807815,-0.0940845145590406,0.0350616813318342,-0.0651577826794141,-0.000929013210368193,-0.00783044431501582,-0.00808937045292806,-0.040585293571757,0.196086011951909,0.0961985213457915,0.0648718933594223,-0.0334782096349064,-0.034966474441257,-0.034966474441257,0.148543794395419,0.0827487318286169,0.130227518980399,0.187303225143372
"miR200a",-0.172189272204477,-0.164206991509725,-0.170960421819258,-0.0140249784650431,-0.194059143586256,-0.151375962494246,-0.133715070559321,-0.163236282071532,-0.0393598263101887,-0.0851733748464408,0.0609970580057604,0.0611179039272106,0.0721175318270239,0.181757398932198,0.182019875070731,0.0393465160479765,0.161071256563624,0.16316731516895,0.16316731516895,0.144029898835068,0.185591836654382,0.119159095540023,0.164406912261859
