"","miR101","KLF8","ZEB2","TWIST2","SNAI1","OVOL2","CDH1","miR200c","TCF3","TWIST1","CLDN7","ZEB1","miR200b","GSC","TGFbeta","NP63","miR205","FOXC2","miR34a","GRHL2","miR141","miR200a","SNAI2"
"GSC",0.131590959187978,0.130786141976972,-0.131667557772304,0.0847218475372602,0.0812010943685681,-0.0943336038313233,0.0232190916292221,0.0180336655354353,0.0251081488996076,0.0252007888178289,-0.0925548520889445,-0.0923683060859279,0.0888299008592095,-0.014063351884439,-0.0142216541990755,0,0,0.051713374318842,0.0904979636697424,0.0931220365154762,0.0925548520889445,-0.0180336655354353,-0.081255997880402
"TGFbeta",0.0272186131647318,0.0261847584029754,-0.0859480067213421,-0.0306479487137114,0.0950456471849514,0.00291816226121435,-0.0761985127370144,0.045619988403009,-0.0224079790797409,-0.0224147859683122,0.00322827780928714,0.00341852004649468,0.106286281458823,0.0186848120781556,-0.081629258546467,0,0,-0.00200135986453963,0.0947413409016574,-0.00340249782789125,-0.00322827780928714,-0.045619988403009,0.0382743799922234
"ZEB2",-0.0943382200006369,-0.0941403419690759,-0.0847713975236096,-0.0763022859362965,-0.04400470248565,-0.0220144178825502,-0.020394960648694,-0.012212005915858,-0.0111881232073748,-0.0106311874904216,-0.00729490115199943,-0.00715472306937046,-0.00714127362566058,-0.00675210646536356,-0.00626377289597155,0,0,0.00389720407099337,0.00393841307819009,0.00648944421648718,0.00729490115199943,0.012212005915858,0.063169732200987
"TWIST2",0.0691973600486719,0.0686464054372513,-0.0622528625464773,0.107273420230935,0.0266501792878553,-0.0535840517074872,0.106800593844707,0.0213263561297465,0.188801397029906,0.188386766706324,-0.017746022826395,-0.0177822900762075,0.00120058594484851,0.00840605911551056,0.00790367545375857,0,0,0.0769176204794147,0.0205673941352368,0.0163698114609058,0.017746022826395,-0.0213263561297465,-0.0898989567314843
"SNAI1",0.0780406286454279,0.0790685846819788,-0.0201656076726957,0.0266231756510792,-0.0714910929849781,0.0969822704692003,-0.06991276986472,0.0660709815042666,0.0172018148537138,0.0172033476635074,0.0957687271979171,0.0955734609942581,-0.0288730892338108,0.04006760915713,0.0403683419615951,0,0,-0.0251697529534862,0.0106228415228104,-0.0959039157756198,-0.0957687271979171,-0.0660709815042666,-0.0373349033436267
"miR200c",0.0367812957557069,0.0374909243713908,-0.0177708038313878,-0.049449679607533,0.140127530776625,0.0815318020390901,0.00991411861643532,0.0178750114280044,-0.0185377504975702,-0.0179683670584942,0.0182647286986634,0.0183261070100233,0.0298261404628871,0.112896703791452,0.113580732516113,0,0,-0.016811961586316,-0.00843251118479004,-0.0156821970173701,-0.0182647286986634,-0.0178750114280044,0.0654026174448191
"FOXC2",-0.0318278570307815,-0.0326853960137163,-0.0145965642462974,0.0707447541890981,-0.107258567162177,-0.0805405061215822,0.00341589465644652,-0.00836374750481906,0.00791500762636187,0.00746998734695673,-0.019604435388711,-0.019619314000494,0.0118287865468768,-0.021751563356206,-0.0224213346352846,0,0,0.0901542804708692,0.00591542277302814,0.0156247523576997,0.019604435388711,0.00836374750481906,0.00556455448713079
"SNAI2",-0.0589650469830317,-0.0577337334663309,-0.0119551417292898,-0.0826871425089876,-0.0581823813783494,0.0104834453434929,-0.0874662877223306,0.00176488208843718,-0.125381901482596,-0.126071056361087,-0.00906204296653821,-0.00949378592950498,0.0255187252828532,-0.00649273393673786,-0.00664483993695331,0,0,-0.0028195113321129,-0.0166189645129597,0.010207255638833,0.00906204296653821,-0.00176488208843718,-0.0397536012842204
"KLF8",-0.0611273473901768,-0.0544964429050032,-0.0117344776474889,-0.0844302438573944,-0.0570652697278028,0.0106811866661566,-0.187446836101194,0.00186461953006361,-0.126254865258341,-0.126109657126686,-0.00876300197847546,-0.00989309011803586,0.0260783366921829,-0.00815253694778375,-0.00599556758037392,0,0,-0.00156732647458578,-0.0172830031585428,0.0099428507298793,0.00876300197847546,-0.00186461953006361,0.0592302893022232
"CLDN7",-0.0611273473901768,-0.0544964429050032,-0.0117344776474889,-0.0844302438573944,-0.0570652697278028,0.0106811866661566,-0.187446836101194,0.00186461953006361,-0.126254865258341,-0.126109657126686,-0.00876300197847546,-0.00989309011803586,0.0260783366921829,-0.00815253694778375,-0.00599556758037392,0,0,-0.00156732647458578,-0.0172830031585428,0.0099428507298793,0.00876300197847546,-0.00186461953006361,0.0592302893022232
"OVOL2",-0.119169614035512,-0.120068904473423,-0.0110221848144021,-0.0958367813536836,-0.128873714943151,-0.0806669792083606,-0.103046633164513,-0.00698380859204646,-0.0401440812219811,-0.0403760789199884,-0.0170979127908694,-0.0170219626326512,0.0714051116092667,-0.0406850353699858,-0.0411631548585219,-0.00906664885944927,0.00906556846748307,0.00835452052739678,0.00588686080218386,-0.0205870404050402,0.0170979127908694,0.00698380859204646,0.0950951013327562
"miR34a",-0.0481940482685357,-0.0479645230687816,-0.00807559412437544,0.00203960416665669,-0.0259912566134435,0.0558488425840209,0.0203691984928387,0.0555427146661119,0.0139626679610101,0.0145681177968536,0.020981174894931,0.0211334749832174,0.0180224501551378,0.0109301511980423,0.0114798437684434,0,0,0.0750954754351716,-0.022684276132315,-0.0190632001973648,-0.020981174894931,-0.0555427146661119,0.0620289233093543
"miR205",0.0446993891669221,0.0450811402151729,-0.00584514030501456,-0.0615479809683354,0.117246340765762,0.0820501466587124,0.00357597482210377,0.011950584378477,-0.00253577046309825,-0.00192212193132443,0.0171509071312206,0.0172968680509607,-0.00416058214675348,0.0157988824146111,0.0164352893341477,0,0,-0.0942928674743407,-0.00544213134080224,-0.0143976423155016,-0.0171509071312206,-0.011950584378477,-0.020620354397406
"miR200b",-0.015822541866841,-0.0168851837025097,-0.00416430679138298,0.0662863948437813,-0.125881867419077,-0.0735422622152349,0.0668118160236613,-0.00390107644387654,0.0227106204526757,0.0225553340602004,-0.0105469115851647,-0.0104141112387678,0.00573846827652039,-0.0999229760823257,-0.100396796644093,0,0,0.0152735983489469,0.00514859034249788,0.00936602072374487,0.0105469115851647,0.00390107644387654,-0.088682632942797
"miR200a",-0.015822541866841,-0.0168851837025097,-0.00416430679138298,0.0662863948437813,-0.125881867419077,-0.0735422622152349,0.0668118160236613,-0.00390107644387654,0.0227106204526757,0.0225553340602004,-0.0105469115851647,-0.0104141112387678,0.00573846827652039,-0.0999229760823257,-0.100396796644093,0,0,0.0152735983489469,0.00514859034249788,0.00936602072374487,0.0105469115851647,0.00390107644387654,-0.088682632942797
"miR141",-0.015822541866841,-0.0168851837025097,-0.00416430679138298,0.0662863948437813,-0.125881867419077,-0.0735422622152349,0.0668118160236613,-0.00390107644387654,0.0227106204526757,0.0225553340602004,-0.0105469115851647,-0.0104141112387678,0.00573846827652039,-0.0999229760823257,-0.100396796644093,0,0,0.0152735983489469,0.00514859034249788,0.00936602072374487,0.0105469115851647,0.00390107644387654,-0.088682632942797
"TCF3",0.0611273473901768,0.0544964429050032,0.0117344776474889,0.0844302438573944,0.0570652697278028,-0.0106811866661566,0.187446836101194,-0.00186461953006361,0.126254865258341,0.126109657126686,0.00876300197847546,0.00989309011803586,-0.0260783366921829,0.00815253694778375,0.00599556758037392,0,0,0.00156732647458578,0.0172830031585428,-0.0099428507298793,-0.00876300197847546,0.00186461953006361,-0.0592302893022232
