"","ZEB2","SNAI2","miR101","SNAI1","NP63","miR205","TCF3","miR200c","miR34a","GRHL2","miR141","miR200a","CDH1","miR200b","GSC","TGFbeta","CLDN7","ZEB1","FOXC2","TWIST1","OVOL2","KLF8","TWIST2"
"TWIST1",-0.0948036347737185,0.0949661674932214,0.0623683714107189,0.0204496417493844,0.0909495861416569,0.0915859283523569,-0.00223918448183191,0.0863039155128683,0.0568300572299028,0.0879817886040133,0.081084358621824,0.00948952400826107,-0.0371857643254921,0.0310497659624902,-0.00744682052195833,-0.00729484436184752,-0.081084358621824,-0.0810025438391391,-0.0187996846863786,-0.0974740672112902,-0.0917942073577815,-0.0621313550287042,-0.134714021471262
"ZEB2",-0.0864245008106476,-0.0840364214306121,-0.082526136449575,-0.0195677401517624,-0.0175575522699293,-0.0172864025953089,-0.0163112456293673,-0.00936686600376916,-0.00792991746988627,-0.00726942789309427,-0.00563276881664024,-0.00554038989367479,-0.00280086636150776,-0.0021366400350523,0.00134956983476243,0.00143639837610451,0.00563276881664024,0.0058191001033572,0.0158338727073065,0.0163226116644072,0.0216155488967704,0.082841349193318,0.0972426422157966
"TWIST2",-0.0738046926156992,-0.0974176581533777,-0.0660500447567363,0.00148768355028572,-0.0367422989964933,-0.0375211018652265,-0.170541747229778,0.0293596875972382,-0.0106910340523186,-0.0142433192040165,-0.012089412989311,0.0432487256201362,-0.102936879905206,0.0488349655770225,0.0215695083678081,0.0214147818408047,0.012089412989311,0.0120540066831143,-0.0601269249679988,0.170459106134356,0.0496392776795577,0.0659110025835072,0.112065220976721
"GSC",-0.0480405244215216,-0.0146777756296441,0.0437750029501638,-0.0111235026129413,-0.108159872257789,-0.108247996551358,0.102178693885974,-0.0241844386570471,-0.0337066568984406,-0.113482109508394,-0.104198345236202,0.0808158100784786,0.0230708211358091,-0.0150354994367025,0.0216904945385331,0.0216605454519803,0.104198345236202,0.104098918388539,-0.0545368281735049,-0.102373557162233,0.104295926815096,-0.0439659765256568,0.0212316843366352
"miR101",-0.0184815095715224,-0.10415954839151,-0.0957686097371812,-0.0198989590137072,-0.0463291155257548,-0.0470665709110162,-0.0104411033309153,-0.000195001088097124,-0.00770820460000894,-0.0172414846843797,-0.0130425019735718,0.0151452294194615,-0.0374301708691344,0.0191662317719979,0.0118372240315359,0.0117173269920705,0.0130425019735718,0.0131034755736509,-0.062306376281918,0.0103919997441711,0.059251751945574,-0.00421012328246418,0.083804565636056
"TGFbeta",-0.0106532653243299,0.016098850867395,0.0011961586473124,0.0211540501633339,-0.000671909710741002,-0.000576515870457547,0.067337642458457,0.00396227662886371,-0.0576202924144779,-0.00106951688244389,-0.00134108847149711,0.00553079776235027,-0.0592800369125246,-0.0690316543809275,0.0107461354117569,-0.08918392631637,0.00134108847149711,0.00158999873857388,-0.0447503996073697,-0.0669383049956113,0.0001787773930363,-0.000724587922090637,-0.0242326039546918
"KLF8",-0.00602116675682901,0.0223524263787146,0.0112961921926313,0.00351949293487339,0.0157774147608277,0.0139855072463768,0.063715571797843,0.00585138178988808,0.0042041277733431,0.00714338318654713,0.00642206886333554,-0.00125294002854281,0.0931049078918632,-0.000441976258970793,-0.00189449645756776,-0.00242014445466763,-0.00642206886333554,-0.0071937471722263,0.0278410263615664,-0.0652160558249485,-0.0189532681811582,-0.0130395985404185,-0.0293836013138883
"SNAI2",-0.0058360906728544,-0.0779867309319666,0.0117684639857146,0.00350000282582818,0.0153848267561431,0.0148015544629335,0.0645839177107387,0.00624643015831391,0.00445178914131398,0.00754334437745939,0.00676859756769565,-0.00125959126730185,-0.00690126494723049,-0.000380345507485245,-0.00212757330668391,-0.00229432974318074,-0.00676859756769565,-0.00697032899580676,0.027963245209325,-0.0649035586247756,-0.0191103873510604,-0.012192313314562,-0.0298502543768327
"CDH1",-0.00558252143608353,0.0216118097918362,0.012192313314562,0.00332234338872808,0.0148015544629335,0.0157774147608277,0.0652160558249485,0.0066772315234507,0.00470214101837621,0.00802966049719869,0.0071937471722263,-0.00132299926043887,-0.00692446513611699,-0.000310333085926582,-0.00242014445466763,-0.00212757330668391,-0.0071937471722263,-0.00676859756769565,0.0279186893043945,-0.0645839177107387,-0.0193190735354302,-0.0112961921926313,-0.0302398618416817
"GRHL2",-0.0054552250376323,0.00518196151010914,-0.00527115033810438,0.0713176179306512,0.296183549064508,0.296490750064213,0.00966085253774048,0.105638348672004,0.0990794340028502,0.159539514737721,0.107605240196389,-0.10419014331694,0.0112567832103868,0.102080750366861,0.0777573590094765,0.0777978253143486,-0.107605240196389,-0.107687560538248,-0.075845543981171,-0.00960593606858041,-0.136437743136499,0.00519104117837024,-0.0377358555824675
