"","miR200c","miR200b","SNAI2","KLF8","miR34a","GRHL2","miR141","CLDN7","OVOL2","FOXC2","ZEB1","miR205","NP63","SNAI1","TCF3","TWIST1","miR101","GSC","TGFbeta","TWIST2","CDH1","miR200a","ZEB2"
"miR200b",0.170736181970444,0.127139191047952,-0.0771232008000653,0.00807161097133599,0.00843109005600643,0.0171121296921014,0.00809634475478641,0.00809634475478641,0.0755712258244591,0.0284054322556032,-0.00813004702756948,-0.0633472777530594,-0.0634645693827022,0.0773599429761809,0.0813342237424353,0.0811256963011114,-0.00796174461205498,0.0627799033138103,0.0626651410194734,0.00621982184755844,-0.0951503868447512,-0.161607552105789,-0.355668326392514
"TWIST2",0.178971090760924,0.10888271270484,-0.0384093828854069,0.0435286070154526,-0.0183005313884044,0.0775535868064095,0.0713980932154257,0.0713980932154257,0.0833042795469246,0.150329059263032,-0.0714113302235175,-0.0814827057961029,-0.0816624295350413,0.10817391398082,0.219892141793239,0.219855095784946,-0.0435703196674214,-0.0246896443509196,-0.0248443708779231,0.0631052349788506,0.0146617066801522,-0.106891216871818,-0.301349259046817
"GSC",0.103906651919779,0.111191396071576,0.142300254621222,0.179005647048443,-0.0629754960141272,-0.0509595194092964,-0.046017032319998,-0.046017032319998,-0.0652702274346612,0.0390882745489477,0.0460225828479015,0.059826400916337,0.0598762102996585,0.101906450032719,0.187258268902936,0.186892500949958,-0.178884827031294,-0.0247892347334556,-0.0248888612866824,-0.0397914953923169,-0.102043828934458,-0.142115877225389,-0.274437862698243
"miR101",0.131604122762888,0.128527542446263,0.130526043797956,0.0279110951902196,0.000252855571676766,0.000156128098633989,0.00459865013699937,0.00459865013699937,-0.0496115651255269,0.117301800369043,-0.004586785004011,0.0339740016093017,0.0339976211768011,0.0220236907351117,0.0129374635501421,0.0125588203368034,-0.12778881005318,-0.0231874327492591,-0.0233131988745724,-0.0131131292851333,-0.0476910552267712,-0.126190029389004,-0.269972981362619
"miR141",0.129585011750363,0.143519738086972,0.0364363057460491,-0.05827872208999,0.116866765056633,0.0165970499398104,0.00751177109531548,0.00751177109531548,0.074432324522201,-0.0742949436946051,-0.00754413420494161,-0.0622470369692477,-0.0625989118581761,-0.145587064868183,-0.159773417023521,-0.159493901517065,0.0581022154799976,-0.11645464422092,-0.116542136267098,-0.0571776823502544,-0.0133203857326059,-0.121089496395562,-0.259279057309891
"TWIST1",0.0783349393430855,0.100992238775798,0.15254138038605,0.111044849401643,-0.0407784601139557,-0.0636149104478502,-0.0569042942168664,-0.0569042942168664,-0.0746297008863313,0.177432522373974,0.0569100940581729,0.0709497956860539,0.0709890760694304,-0.00538275446500445,0.0956887486886652,-0.00454571502664525,-0.110968167630991,-0.0112226415758472,-0.0112593038660182,-0.10932527217108,-0.126401310756966,-0.126998971277655,-0.230200218052309
"miR200c",0.112986121117905,0.110204929040722,0.11603157600742,0.00881308990027689,0.0148681283210625,0.00200811624245405,0.0115998725957283,0.0115998725957283,-0.0606743982266645,-0.0434107904166999,-0.0116058988299345,0.0467745746565169,0.0467496946138654,-0.103723281900196,-0.113315991832881,-0.113432826356743,-0.00882569751527635,-0.115891487138387,-0.115902849741787,-0.0420034942367754,-0.0600690418372929,-0.0997130785144908,-0.215337821872442
"TGFbeta",0.0905927350745916,0.00552857009623771,0.0346593335376601,0.0815891089401189,-0.106521162188337,0.003573173897272,0.00400844413527265,0.00400844413527265,0.00188654039417033,0.0799947863788141,-0.00402611316181222,-0.00230095296636828,-0.00253262372134239,0.118405034880231,0.131071587040146,0.131087469780146,-0.0817019812282409,-0.00422911831607363,-0.104412869179442,0.0455797781135721,-0.124731575646317,-0.0858846724718159,-0.189437182500269
"SNAI1",0.103740825785526,0.106422830118752,0.106062065785739,0.111006069929535,-0.0203075204256325,0.0840773186952748,0.0797139721528601,0.0797139721528601,0.0845489495043673,0.0996902608795097,-0.0797515738298794,-0.0841977385981963,-0.0843337346775886,-0.0875129796263567,-0.000563392605650697,-0.0004198194216471,-0.111079383941246,0.00630469070777114,0.00633337839255788,-0.0262212551812694,-0.0936961043426835,-0.0286213083786536,-0.138635553494461
"OVOL2",0.030780895740541,-0.0163695720912124,-0.101448622266557,-0.0833800481654381,-0.00436229857399851,0.0135005240226797,-4.56035415187858e-05,-4.56035415187858e-05,-0.0345742539098673,0.0473206059474475,7.88911779471447e-05,-0.0501592580153281,-0.0500847109696599,0.111366496158702,0.0997380731731165,0.0995941986317166,0.0834721706005412,-0.00575814808070639,-0.00585253189904854,0.103641551315089,0.0374550309843386,-0.0312957268069779,-0.0813478337861713
"CDH1",0.0358905546102273,0.0256478658570026,0.00534864123085566,0.0245919231921518,-0.0193701045982782,-0.00343284254071658,-0.00260288354116487,-0.00260288354116487,-0.0160892889424186,0.0809225272728098,0.00254191869221331,0.0121179944709726,0.0113989395146295,0.0502904300485535,0.0999862800743023,0.10075653239834,-0.0251904156382066,-0.0076238658463578,-0.00796963174852037,0.0176027105328378,-0.0303853965303761,-0.0387127449386506,-0.0765112018903607
