"","miR200c","miR200a","miR200b","CDH1","miR101","SNAI2","TGFbeta","GSC","FOXC2","SNAI1","ZEB1","miR141","CLDN7","NP63","miR34a","OVOL2","TCF3","TWIST1","miR205","GRHL2","TWIST2","KLF8","ZEB2"
"miR205",0.153181319883273,0.153181319883273,0.143645031117696,0.12441717604208,0.0359405541371357,0.0196702369101124,0.0228175941529751,0.0227699826627355,0.12183732847041,0.108148851259567,0.013391407295161,0.0134125250452511,0.0134125250452511,-0.000970487832904363,0.00452560512471651,-0.0152778049079679,-0.0939421765351132,-0.0940780852703383,0.00143624940261995,-0.0124913613407226,-0.0911546591562593,-0.0357891053606165,-0.346270863417986
"miR200b",0.140400022562414,0.140400022562414,0.0933459739751215,0.124527371314505,0.000581443797324277,-0.117298167916115,0.109744839465974,0.109699389052375,0.128427642353173,0.136429070741234,0.0118047017568504,0.0118205485208742,0.0118205485208742,-3.64629618533612e-05,-0.0960212225565096,-0.013467034810429,-0.0136821409362068,-0.0137841862798334,0.000352794932708168,-0.01335579577887,0.0154351219387591,-0.000460770910900877,-0.310052539197908
"miR141",0.140400022562414,0.140400022562414,0.0933459739751215,0.124527371314505,0.000581443797324277,-0.117298167916115,0.109744839465974,0.109699389052375,0.128427642353173,0.136429070741234,0.0118047017568504,0.0118205485208742,0.0118205485208742,-3.64629618533612e-05,-0.0960212225565096,-0.013467034810429,-0.0136821409362068,-0.0137841862798334,0.000352794932708168,-0.01335579577887,0.0154351219387591,-0.000460770910900877,-0.310052539197908
"miR200c",0.125510895592016,0.125510895592016,0.0528079520277951,0.12067303219993,-0.00713961460131359,-0.0982632014003356,0.12938727780861,0.129245245266114,0.0805295181206448,0.0748903727783693,0.00221594676438761,0.00217688783897676,0.00217688783897676,0.00834387409626848,0.00400914168239947,0.0203238073816729,0.0521133564246749,0.0521237088508399,-0.00855357731290256,0.00241960843076102,0.0748187593764067,0.00719724941273969,-0.264006021110354
"miR200a",0.120456742064834,0.120456742064834,0.12872300477489,0.0401227150020865,0.035850434100809,0.164566275651994,-0.0497740449491048,-0.0498933522848016,-0.107673868310001,-0.121838298575777,0.00734620090252814,0.00730580281396035,0.00730580281396035,0.0112369441507111,0.106600796970507,0.0222234237387184,0.00753459313961052,0.00755381907391698,-0.0114111044492716,-0.00190508920761682,-0.0467069403770705,-0.0358162134315248,-0.25903720251361
"TWIST2",0.168642478997473,0.168642478997473,0.0698514353457754,0.114027319944102,-0.117987788393367,-0.128080348676989,0.0167343752147953,0.0166047542265649,-0.14055247597941,-0.097840205746541,-0.120534425419688,-0.120554334740802,-0.120554334740802,-0.0891538693936248,-0.0111426596724847,-0.074893642647189,0.240551193335546,0.24051272248078,0.0892240472345436,0.114798882451256,0.119082651694492,0.11808598692821,-0.234092154042248
"TWIST1",0.12090626916093,0.12090626916093,0.0257095683261046,-0.0569410899130464,-0.132131894399689,-0.174264801175243,0.00278548024705986,0.00267800019980624,-0.216976935878315,-0.0143911756905482,-0.0674620499321941,-0.0674774750420517,-0.0674774750420517,-0.0547416942621775,0.00320025265663864,-0.0519597386626861,0.22830169396886,0.128284538087252,0.0549105999106966,0.063048309525848,0.153156397698733,0.132242435653486,-0.197067217655499
"TCF3",0.0684987156903078,0.0684987156903078,-0.163112455423792,0.124039545618308,-0.226788701917087,-0.224719157091359,-0.190561169500545,-0.190923685360614,-0.0793145169569263,-0.0325780579387939,-0.0387071145907648,-0.0387180863202751,-0.0387180863202751,-0.0289716846778923,-0.00931142419034646,-0.0243194998097825,0.148168137385982,0.148022929254327,0.0292028985507246,0.0368555162696676,0.223208059915851,0.227131422823062,-0.105107626552844
"CLDN7",0.0684987156903078,0.0684987156903078,-0.163112455423792,0.124039545618308,-0.226788701917087,-0.224719157091359,-0.190561169500545,-0.190923685360614,-0.0793145169569263,-0.0325780579387939,-0.0387071145907648,-0.0387180863202751,-0.0387180863202751,-0.0289716846778923,-0.00931142419034646,-0.0243194998097825,0.148168137385982,0.148022929254327,0.0292028985507246,0.0368555162696676,0.223208059915851,0.227131422823062,-0.105107626552844
"miR34a",0.153449923337357,0.153449923337357,0.0108612225884455,0.0290454986193581,-0.149027414331384,-0.172971304182691,-0.00430219570234987,-0.00443192556254332,-0.172563598874154,-0.110512306476545,-0.132519453303247,-0.13254467800537,-0.13254467800537,-0.0964391035272106,-0.0161898822301562,-0.0808935677036846,0.155684313095722,0.155672503280978,0.0964939789222189,0.123926387026165,0.245533952641859,0.149122489623333,-0.0820900662059923
