"","ZEB2","KLF8","FOXC2","SNAI2","OVOL2","miR34a","TGFbeta","miR200c","GRHL2","miR141","CDH1","ZEB1","CLDN7","miR200a","GSC","NP63","miR205","miR200b","TCF3","TWIST1","SNAI1","TWIST2","miR101"
"TWIST1",-0.102380291597619,-0.0202093911033708,-0.0528489793984763,-0.0201607225106191,-0.0796895645045792,-0.00526488384634383,0.0419130948809691,0.080044675852486,-0.0718385353780375,-0.0652449745389051,-0.167886045603604,0.0651754998441063,0.0652449745389051,-0.080044675852486,-0.0418632717686853,0.0771249345144518,0.0774431056198018,-0.0149836175665801,0.127169253042678,0.0283726155954728,0.022050530921322,0.0548237781163708,0.0211733905058506
"NP63",-0.10190091990038,-0.0316846478012415,0.0189584772027065,-0.0591295387383409,-0.129872210907506,0.0747689930772573,0.0306562894895394,0.0730985730947727,-0.184094179196498,-0.0542120799844114,0.063865261700859,0.0543603467560297,0.0542120799844114,-0.0730985730947727,-0.0304320627295305,0.259806168471936,0.35898931550547,-0.0880293759200146,-0.115639829568392,-0.115745293497485,-0.0367603009771276,0.0645711927303666,0.0314077685863723
"ZEB2",-0.0919374395474882,-0.0766719138174186,-0.0344796052106836,-0.0275357765588366,-0.0171648171382874,-0.0140853140824402,-0.00945181058696868,-0.00585687590470623,-0.00353709943374878,-0.00175789481877051,0.00127332753237921,0.00173309974636154,0.00175789481877051,0.00585687590470623,0.00964086280109648,0.0127937525023739,0.0134212703207811,0.0198216366655529,0.0489104064228578,0.0497076525949396,0.0539443572541605,0.0599132265814188,0.0778383004054644
"GSC",-0.0838921600908015,0.0447240007695439,-0.155278044952465,-0.0635847242467821,0.0448922562020872,0.0346883882029146,0.0345032806934656,0.0402619792977121,0.0162324730088422,0.0156231879942091,-0.0222833122980931,-0.0155488591857627,-0.0156231879942091,-0.0402619792977121,-0.0342844689998753,-0.0337502838953247,-0.0339112065183635,-0.0714395834406192,0.0417266456135807,0.0405846190355077,-0.0624771977596607,0.0373987370173544,-0.0453836390889764
"SNAI1",-0.0675553724598853,-0.0290505344949108,0.0559637332973739,0.11327338960268,0.108459224558306,-0.144422414893377,0.00166754254191089,-0.019096771424359,0.118215530902551,0.111182893889072,-0.165117294438648,-0.111189456810112,-0.111182893889072,0.019096771424359,-0.00159592090710317,-0.112532440550552,-0.112425849028866,-0.0271883086607039,0.0969287954118944,0.0963090293186689,-0.0139885047217187,-0.122304620029263,0.0285903720809767
"TWIST2",-0.00942159426073116,0.0967237260774771,0.00105218484310252,0.0676354386396498,-0.0948469862311308,0.108241148017324,0.00753488155104427,0.0484541681314967,-0.0926428308066017,-0.0861661942282645,-0.0471974648367047,0.086101731075037,0.0861661942282645,-0.0484541681314967,-0.00747457368073075,0.0946437455474569,0.0949193219471625,0.0487088902889945,-0.223095848554114,-0.222979011143345,-0.154288556621941,-0.0387447816350816,-0.0964299994865304
"miR205",-0.00716803184554764,-0.0131260087428245,-0.0768245969343976,-0.0522992981715829,-0.0798985426277375,0.0297007450296845,0.0165504882689511,0.0121834055334113,-0.0241750480882567,-0.0153932408808472,-0.0324875205703419,0.0152510066228877,0.0153932408808472,-0.0121834055334113,-0.0164901803813142,0.0689289424421732,0.0696226298864305,-0.00665786228811738,-0.13312706886183,-0.132179826161777,-0.124373616796975,0.130806175645669,0.0141761370362095
"CDH1",-0.00389971466524851,-0.0016088693760377,0.0310689947552603,-0.0164273968407754,0.0278603628665942,-0.00461434778464801,0.00113610248041988,-0.0101882327828719,0.0255537889359765,0.0233265403985446,0.0116399711214891,-0.0234725351684023,-0.0233265403985446,0.0101882327828719,-0.00088445037411221,-0.0274219425352386,-0.027036734522912,-0.0145447312812367,-0.0906339199039476,-0.0886950088813712,-0.0183591653467473,0.0196066734257777,0.00293202294596426
"KLF8",-0.00343434983257945,-0.00385890662831009,0.0284941694968817,-0.0169312675314239,0.0280630702922099,-0.00406335440716457,0.00088445037411221,-0.00999079312934669,0.0258232432099108,0.0236081481226421,0.1113945642103,-0.0233265403985446,-0.0236081481226421,0.00999079312934669,-0.00112008568315698,-0.027036734522912,-0.0272101449275362,-0.0147266651046574,-0.0869553139020115,-0.0906339199039476,-0.0171434098121845,0.018827616716064,0.0016088693760377
"miR200a",-0.00148432094763013,0.0193763518070041,-0.062838195136685,0.135044035018993,0.0844698311428261,-0.123798403231854,-0.125844743621277,-0.00912523862090269,0.0263077130807974,0.017580368138826,-0.0183685080156874,-0.0174872962994185,-0.017580368138826,0.00912523862090269,0.125931099407114,-0.0725133782960892,-0.0730287506081561,0.031262610543247,0.160159030296112,0.159072025548785,0.106749638285787,-0.134077426316856,-0.0205146393326696
