"","miR200b","CDH1","miR34a","miR200c","GRHL2","ZEB1","miR141","SNAI1","TWIST2","KLF8","FOXC2","TWIST1","NP63","miR205","SNAI2","TCF3","ZEB2","miR101","CLDN7","OVOL2","GSC","TGFbeta","miR200a"
"miR200a",0.0565495283551133,0.0992429934000767,-0.0750543239943553,0.113363272400002,0.016440620705804,0.0186800567161882,0.0186847437872375,-0.0546587178847029,0.0371172446227143,0.0410040922508277,-0.0202145544152174,-0.0228541905208247,0,0,0.13722259214072,0.0228763742911783,-0.255338528973332,-0.0409320487365451,-0.0186847437872375,0.0539945980699998,0.030231908336321,0.030417118771736,-0.134862524319292
"TWIST2",0.0682898692993458,-0.0116280345286605,-0.0488133306552783,0.113279823301666,-0.0468781446814749,-0.0452671753410662,-0.0452367194606599,-0.0416380742274334,-0.093218744069865,-0.058428384900915,0.00307231565513324,0.00936183028605547,0,0,-0.0678631595911556,-0.00906546221971462,-0.18196455895068,0.0587985846871376,0.0452367194606599,0.065371510379027,-0.0620570336752691,-0.0620218313437287,-0.0711673647463468
"TGFbeta",-0.0755292765829173,0.0307898206545859,-0.127355088833287,0.109408782022083,-0.0758755133653354,-0.0748146199125306,-0.0746672636620696,-0.081515566221386,0.0646995967461475,0.0122227490197038,-0.0183064083381733,-0.0324682811570671,0,0,0.109017554038868,0.0324183639742114,-0.15513108984064,-0.0122414456563866,0.0746672636620696,0.082480763659158,0.159924973075286,0.0603519874929959,-0.0383466797138343
"GSC",0.066469528176992,0.0388570347992318,0.0888070715503593,0.07693251028089,-0.0363947041789001,-0.0350578431387203,-0.0350822171960355,0.244927084640259,-0.027957418327245,0.108804803744775,-0.351115866862142,-0.30647529298647,0,0,-0.109082821793174,0.306539182585244,-0.134658300992342,-0.108752188576017,0.0350822171960355,0.0566111321285552,-0.0494466087942312,-0.0494123812667422,-0.051984064094573
"miR34a",0.00335143812653717,0.0705767628283517,-0.133042433465331,0.159121498248003,-0.114962505902936,-0.113184736526917,-0.113118819144956,-0.158871179838145,0.00309657219170492,-0.079605973594831,0.141259541418076,0.0753935186208245,0,0,-0.0264878495195834,-0.0753785595221495,-0.126734068662262,0.079955543355126,0.113118819144956,0.106528720656983,-0.0210456906538056,-0.0208906182162721,0.0571850364928646
"SNAI2",0.0332992200401845,-0.0594226204894281,-0.0368703908571696,0.0650403973657542,-0.0106881447529469,-0.00974755622098776,-0.00966271590075411,-0.0737183163589433,-0.0147443177273727,-0.0216700161552181,0.0405081051604006,-0.0142648135064859,0,0,-0.0874057185335857,0.0140721221753289,-0.12034585750275,0.0219135040675347,0.00966271590075411,0.0177692722018667,-0.0380678947231204,-0.0377770404734167,-0.056910220575833
"CDH1",0.0332092040696091,-0.0594803129945352,-0.0368577002090236,0.0650385324247796,-0.0106496387845218,-0.00966271590075411,-0.00961939877123589,-0.0734070783977078,-0.0145303714316464,-0.0225790776543608,0.0406723254957156,-0.0140721221753289,0,0,0.0126017452163379,0.0135037290810394,-0.120149852764383,0.0216700161552181,0.00961939877123589,0.017742052264775,-0.0386837263003449,-0.0380678947231204,-0.0569587090411731
"miR200c",0.123478682211654,0.0102908440140634,0.120442575691972,0.0465589718760432,0.0226152845219505,0.026394283172371,0.0264221824048074,0.0788194660534202,-0.0209841571519849,-0.0314096363387343,0.030507480094778,0.0281201237407331,0,0,-0.136445889004654,-0.0281659701994639,-0.110016349453671,0.0312691514858831,-0.0264221824048074,-0.0886952964081537,-0.157549257125383,-0.157578799894222,-0.0760116600465317
"OVOL2",-0.0233122885898942,0.0289338316794753,-0.00819647914810737,0.0191392409972312,0.0057195223428917,-0.00141664159442621,-0.00136378897985221,-0.126607685060576,0.0925059072571101,0.0742343067846636,0.0192886693100201,-0.0178899365367969,-0.0240834337367673,-0.0241428552949085,0.0963790276176777,0.0174762972302721,-0.0462210857142468,-0.074570992351052,0.00136378897985221,-0.0909278438060097,0.00786115402892067,0.00804923273262437,-0.0169704209052808
"ZEB2",-0.224527058047839,-0.139388488897938,-0.126328851540224,-0.124557920983852,-0.0972798693555304,-0.0971411638325829,-0.0969523775882017,-0.0804490500278616,-0.0727451445544197,-0.0635663037402223,-0.0255229423926173,-0.0145817062618333,0,0,0.00490362542768476,0.0147911660504251,0.0261532976536427,0.0637224185691423,0.0969523775882017,0.0984326616549964,0.191823834865698,0.19223580858313,0.206514790932127
"TWIST1",-0.0773702179798974,-0.0772400820207769,-0.113827204279046,0.00883767476977067,-0.0773662857672289,-0.078224470513344,-0.0782154622491872,-0.218229398715584,0.0714226354663741,-0.0248069660460364,0.310022166148101,0.119196816751159,0,0,0.113232385099177,-0.219076725579903,0.0472182995184944,0.0249623213216426,0.0782154622491872,0.0899474677758236,0.0391273536711384,0.0392141524265007,0.0647584619890812
"GRHL2",0.0561753884109023,-0.064643541760226,0.0125260974466266,-0.0238498424476271,0.0165877040344565,0.0118699078526155,0.0119351963996069,0.00673641670533529,-0.0104403462281758,-0.0273385925891531,0.0309909293518373,0.00951806364856209,-0.0255409753580788,-0.0256364332958402,-0.032987036207548,-0.00998629880666371,0.0519870740640646,0.0271915790762344,-0.0119351963996069,-0.0973895537210003,-0.093863340917832,-0.0937962666316742,0.00632475072988379
"FOXC2",-0.0177667980804361,-0.0706179364721183,-0.0150500185330187,-0.0223561985907096,-0.00686484431942149,-0.0083080081147181,-0.00827527516879548,-0.0890384470936782,0.0145229649711343,-0.0775124995270794,0.100110216019363,0.0143872772762297,0,0,-0.0720223689696844,-0.014595704495698,0.0830962848167092,0.077120530610728,0.00827527516879548,-0.0621110881862985,0.0109638630160706,0.0109041589312256,0.032871534551695
