"","miR200a","miR101","TWIST2","TGFbeta","GRHL2","miR205","CLDN7","TWIST1","FOXC2","miR34a","TCF3","OVOL2","miR141","ZEB1","NP63","SNAI1","GSC","ZEB2","SNAI2","KLF8","CDH1","miR200c","miR200b"
"NP63",0.0291792493257075,0.295528707873776,0.189937834581631,-0.0668746788687357,-0.222798614196872,-0.173537850457772,-0.131127516421313,-0.0246373653803221,0.125129591554402,0.172777825393687,0.017275085564323,-0.063781504807685,0.131127516421313,0.134896613826136,0.0821900430631026,-0.201764929911949,0.0605860596605472,-0.30118432248641,-0.258130560812026,-0.299531120286737,-0.0210566895540511,-0.0291792493257075,-0.285490892560235
"TWIST2",0.118668919510654,0.182704382655881,0.0848274278294183,0.0113714109314686,-0.00801217808218427,0.0238931248485557,-0.0106802187924539,0.0935248843947832,0.186126583398687,0.132690659762584,-0.0980872428006649,-0.037401428862164,0.0106802187924539,0.0128128837465602,-0.0188625718129362,-0.298287760677433,-0.0150168988930898,-0.259451749347901,-0.127833298197449,-0.185282745955699,-0.172141519013236,-0.118668919510654,-0.122381413411446
"miR101",0.0315805812374597,0.164321907205193,-0.0791931959881213,-0.0764331804058357,-0.182293088518254,-0.163088483372707,-0.172267646301382,0.258050758421049,0.293146784316393,0.201842643618585,-0.254498932313218,0.14865067598581,0.172267646301382,0.171341177167207,0.161117561684695,-0.25899524036722,0.0780681400349095,-0.257315650640341,0.0348179897114431,-0.261440231367141,-0.102036196993707,-0.0315805812374597,-0.186363569715452
"KLF8",0.0702592539322824,0.312196348761978,0.1991610438618,-0.230316311776774,-0.102998997362738,-0.0786594202898551,-0.0987401212602318,-0.00463843777788919,0.15404087904373,0.145877593989266,0.00415441067237128,0.0736575620720603,0.0987401212602318,0.100294449607524,0.0826478595962134,-0.226883781839172,0.227234926966188,-0.2527362287931,-0.244096711886604,-0.309737698784329,-0.0893808061711728,-0.0702592539322824,-0.328344514882167
"miR200c",0.0993148495966358,-0.0523296822958911,-0.0325392102337429,-0.0980321267920727,-0.0263671923248566,-0.0737040278973106,-0.0182217240279875,-0.068884141519359,-0.0212753030788886,0.0179152453852661,0.0731892718859828,0.0836285657854018,0.0182217240279875,0.0168430555579144,0.0703878736410462,0.0844431903827235,0.100531899540005,-0.220412106939811,0.0379074335499825,0.0552456435364804,-0.107830185027801,-0.0993148495966358,-0.0956899287383954
"GSC",0.0948634164931562,0.128390993401151,-0.0755642404429515,0.0300371699012459,0.00462888121202751,0.0282914510904133,0.00298601063323394,0.163444839782546,0.273199398693727,0.109189249633023,-0.169638936383619,-0.038228403218798,-0.00298601063323394,-0.000336719532178136,-0.0220997615944459,-0.258654866449435,-0.0345264768549348,-0.219004342133533,0.0826570876367751,-0.132211439265988,-0.104203144317204,-0.0948634164931562,-0.063387384759856
"OVOL2",-0.0956654835828767,0.143983180979161,0.121585802683689,-0.339252335158872,-0.218488458099115,-0.367748601360707,-0.170306233127598,-0.104720948171807,0.0264716132898005,0.13163487839748,0.107584051545665,0.23535666870985,0.170306233127598,0.169641974945973,0.366237132999986,0.0506993341865308,0.340435233086562,-0.12199743772899,-0.160037689537372,-0.141595674536074,0.112456548048177,0.0956654835828767,-0.187924592578924
"ZEB1",-0.0118358096219413,0.0915234849056209,-0.0215332221334639,-0.0795166560379935,-0.0768486639311948,-0.114129372607107,-0.0694234588076673,0.0373679969310607,0.114875372918387,0.0670517783547799,-0.0444812794251866,0.120851134231613,0.0694234588076673,-0.0277272615332028,0.120762318922776,-0.0648131898017566,0.0746312614537083,-0.0911392851626435,-0.107215108606604,-0.0958777962322677,-0.102029705897116,0.0118358096219413,-0.085352039907937
"FOXC2",-0.0136406674090373,0.0958777962322677,-0.0163741890545835,-0.0746312614537083,-0.0814133648365807,-0.123251085808517,-0.0734164531070335,0.0444812794251866,0.113497735374216,0.0713494607372174,-0.032995249682059,0.123621545079295,0.0734164531070335,0.0694234588076673,0.114129372607107,-0.0611914451699272,0.0815732182279509,-0.0896818999247899,-0.104341745774003,-0.0877868046707252,-0.102974979258336,0.0136406674090373,-0.0885452700889637
"TGFbeta",-0.0440779662545761,0.151648149695308,0.0800926101150247,-0.176282581535008,-0.140034297937112,-0.125326269000691,-0.133845705441081,0.0900434040539625,0.0930796489733485,0.190601882256838,-0.093573910259576,0.119534032483209,0.133845705441081,0.135731488050299,0.12965714934956,-0.148381020889192,0.0731544728657033,-0.0606353984340728,-0.158357493513117,-0.153467263197742,-0.023179982091834,0.0440779662545761,-0.182045147228511
"miR34a",-0.133865468717233,0.118281233879021,-0.0481060486713698,-0.151968364892711,-0.209253955169059,-0.179965699308378,-0.198054153219616,0.0865847934220188,0.186300217797185,0.173759874104083,-0.0854786074410563,0.160805922559977,0.198054153219616,0.198035829615244,0.179956238033376,-0.127052622919594,0.152086630253631,-0.0582784234191546,-0.110375026677282,-0.117144171801578,-0.0256483681072935,0.133865468717233,-0.15620349327938
"GRHL2",0.0182518939568771,-0.0409985812958945,0.00482268141972045,-0.0780586830383756,0.0441794045319682,0.010585822722529,0.0545584834697942,-0.048922061804871,-0.0451311207634342,-0.062054688499157,0.0399331029055127,0.139148557201218,-0.0545584834697942,-0.0511706847856095,-0.00289538413669499,0.0853658536167692,0.0722853054323178,0.0665844418196408,0.0278045050784771,0.0349305325261423,0.115503594467932,-0.0182518939568771,0.100875949124998
"ZEB2",-0.212341617729193,-0.164314361303162,-0.146801661303874,-0.0765390313442033,-0.0381467761598158,-0.0362126867055225,-0.0343000326512504,-0.0260555864789988,-0.0216566543352753,0.013730905783759,0.0248913797470586,0.0341229610785707,0.0343000326512504,0.0345835802614719,0.0368556987910509,0.0690905563077946,0.076090109311307,0.0983066733337764,0.162080918038035,0.163320993697487,0.172570935570365,0.212341617729193,0.215037759897533
"SNAI1",0.0210314301076004,-0.167162019544748,0.109651912841453,0.0849928884090423,0.198402909475712,0.174523654389366,0.188721633345515,-0.270452093082638,-0.304266167857496,-0.284234976301313,0.269587077422431,-0.158699428745264,-0.188721633345515,-0.188604195664311,-0.174421963627298,0.164856808286069,-0.0851726255361755,0.176804396771547,-0.0363324291773143,0.166169004654204,0.176850985579185,-0.0210314301076004,0.110077105444757
"miR141",-0.108968881468979,-0.0945655938815927,-0.072128480991811,-0.147300429175079,-0.0424594834432301,-0.0883549773936929,-0.0347625203034519,-0.0789602848497745,-0.029866255121169,0.0241678633569044,0.0839043078025822,0.0959717224122765,0.0347625203034519,0.0330075469862778,0.0841715759364333,0.108927488461556,0.150442189015093,0.177145926995076,0.0898094677390717,0.0977769335307408,0.014776503906915,0.108968881468979,0.0760413391752357
"TWIST1",-0.0372380639781037,-0.029925858950461,0.136488764320382,0.0294530796560523,0.11495744594663,0.113505254654904,0.10812734223138,-0.215925438933906,-0.135388527253374,-0.13153024753091,0.112179738116142,-0.109244160894349,-0.10812734223138,-0.106826573567306,-0.110614218438391,0.201211991709697,-0.0316894793564869,0.20317101193747,-0.0910155522780132,0.027226063103227,0.168651572709877,0.0372380639781037,0.0647222108130032
"miR200b",-0.0993148495966358,0.0523296822958911,0.0325392102337429,0.0980321267920727,0.0263671923248566,0.0737040278973106,0.0182217240279875,0.068884141519359,0.0212753030788886,-0.0179152453852661,-0.0731892718859828,-0.0836285657854018,-0.0182217240279875,-0.0168430555579144,-0.0703878736410462,-0.0844431903827235,-0.100531899540005,0.220412106939811,-0.0379074335499825,-0.0552456435364804,0.107830185027801,0.0993148495966358,0.0956899287383954
"miR200a",-0.0993148495966358,0.0523296822958911,0.0325392102337429,0.0980321267920727,0.0263671923248566,0.0737040278973106,0.0182217240279875,0.068884141519359,0.0212753030788886,-0.0179152453852661,-0.0731892718859828,-0.0836285657854018,-0.0182217240279875,-0.0168430555579144,-0.0703878736410462,-0.0844431903827235,-0.100531899540005,0.220412106939811,-0.0379074335499825,-0.0552456435364804,0.107830185027801,0.0993148495966358,0.0956899287383954
"miR205",-0.0984774466645919,-0.111238319687758,0.00278069287832754,0.0161589869308005,0.0493612379687625,0.0971428595043765,0.040710690575949,-0.0695918858668275,-0.115630093169982,-0.0486187879756283,0.0616391656328997,-0.104505677910426,-0.040710690575949,-0.0380554440572723,-0.0910780492774416,0.0912148801209733,-0.0207852367324193,0.249838241496398,0.116008643112577,0.105527073677369,0.118559952061047,0.0984774466645919,0.161215197931314
"TCF3",-0.0702592539322824,-0.312196348761978,-0.1991610438618,0.230316311776774,0.102998997362738,0.0786594202898551,0.0987401212602318,0.00463843777788919,-0.15404087904373,-0.145877593989266,-0.00415441067237128,-0.0736575620720603,-0.0987401212602318,-0.100294449607524,-0.0826478595962134,0.226883781839172,-0.227234926966188,0.2527362287931,0.244096711886604,0.309737698784329,0.0893808061711728,0.0702592539322824,0.328344514882167
"CLDN7",-0.0702592539322824,-0.312196348761978,-0.1991610438618,0.230316311776774,0.102998997362738,0.0786594202898551,0.0987401212602318,0.00463843777788919,-0.15404087904373,-0.145877593989266,-0.00415441067237128,-0.0736575620720603,-0.0987401212602318,-0.100294449607524,-0.0826478595962134,0.226883781839172,-0.227234926966188,0.2527362287931,0.244096711886604,0.309737698784329,0.0893808061711728,0.0702592539322824,0.328344514882167
"CDH1",-0.0704397095295904,-0.313525972520511,-0.199168062390716,0.232266104112637,0.104826741413642,0.0826478595962134,0.100294449607524,0.00458000484296223,-0.155600111972818,-0.147424613856815,-0.00463843777788919,-0.0744567419224762,-0.100294449607524,-0.101409464608085,-0.0853956767508103,0.227709345563655,-0.230316311776774,0.254332719630534,0.244720003073581,0.312196348761978,-0.00982043697117271,0.0704397095295904,0.330100250235015
"SNAI2",-0.0704602238803112,-0.314217589183131,-0.199176319967043,0.23303525201741,0.106123109017288,0.0853956767508103,0.101409464608085,0.00451199613784798,-0.15655870044175,-0.148458324833072,-0.00458000484296223,-0.0750465072261297,-0.101409464608085,-0.101820983009865,-0.086624617908131,0.228054423417672,-0.232266104112637,0.25511959302194,0.145048181895982,0.313525972520511,-0.00930325753926937,0.0704602238803112,0.331203349171923
