"","miR200c","miR200b","GSC","miR200a","miR34a","ZEB1","CLDN7","KLF8","miR101","TWIST1","NP63","miR205","TCF3","OVOL2","GRHL2","miR141","SNAI2","TWIST2","SNAI1","FOXC2","ZEB2","TGFbeta","CDH1"
"miR101",0.138263052145883,0.104271001976962,0.0934262668805327,0.107625664775662,-0.0117105565756702,0.0257803753933046,0.026212793573325,0.0949455264268234,-0.00389542314384939,-0.0459424839896627,0,0,0.0451666473191041,-0.0709294598811459,-0.023238150181435,-0.026212793573325,0.11262101733412,0.0420815235846099,0.0110869120282951,0.0116417411773766,-0.255211036411465,-0.0924771518548345,0.0181646534606478
"miR141",0.120139932126548,0.111113496770137,-0.025310414985273,0.121410735647537,-0.0971736074902435,-0.00109513522412339,-0.00135560245814885,0.0744206971426062,0.0735813902012136,0.0116176780227412,0,0,-0.0110808307801838,0.0692680972751773,0.000898876064142986,0.00135560245814885,-0.0777491312771107,0.0173420268278345,0.066692778888775,0.0720147501193611,-0.249136255431107,0.0247741001048075,-0.069092182020384
"miR200c",0.120394517264909,0.088940326088006,0.181489902220006,0.0928135658089471,0.129480975600952,0.023957512096725,0.0244201929674489,-0.0748170962962277,-0.07339783906486,-0.00669319700228314,0,0,0.00587831317129389,-0.0862067692866814,-0.0209729906601856,-0.0244201929674489,0.0550049752371881,-0.0451737326926271,-0.111394580385046,-0.124722462300487,-0.214710074974574,-0.180586575249731,-0.0913465591996303
"NP63",0.0183132505307452,0.0905745567984651,0.117030587685282,0.121997958690602,-0.0726780925267683,-0.0758787878577398,-0.0754014163527812,-0.00129886186157962,-0.000158448461722172,0.0738324107078351,0.257988251503474,-0.357896892948014,-0.0746200243059502,-0.103619714285468,0.201224795215305,0.0754014163527812,-0.0174103705081762,0.0088852215067413,-0.0472508137744789,-0.0177174858462315,-0.191976697367284,-0.115745135038208,-0.0973486158919801
"miR200b",0.0939841529644558,0.0403101020976275,0.14525149051183,0.0781207628488385,0.016603077656373,0.0143338851799736,0.014334554761552,-0.0816251023577477,-0.0820015297198744,-0.0109169051020254,0,0,0.0108119019223517,0.053679009257607,-0.0120729002645413,-0.014334554761552,0.0587628964994721,0.0396105367242443,-0.127495306487307,-0.122281570266688,-0.167138655498468,-0.145210585139592,-0.0646406154329091
"TGFbeta",0.0360416223823708,0.0933884231066137,0.0125419771569601,0.111748373407753,-0.134274439878633,-0.0787373942252584,-0.0785320561207161,0.0502091570952221,0.0505865521690045,0.00492022243822079,0,0,-0.00528552545821035,0.0834580303342578,0.078550235419041,0.0785320561207161,-0.00563135496612106,0.00515773150483714,0.0904108486278967,0.0898508028527352,-0.154800394804768,-0.111915139105327,-0.00479160352860374
"SNAI1",0.047671785973363,-0.00809820726410311,0.0157814885103443,0.0867038305989207,-0.0875491381034693,-0.0495361493228336,-0.0497630719691577,0.00775397213417671,0.0072064568552247,-0.0617790964626735,0,0,0.0621914222971607,0.0613251275492269,0.048929939764021,0.0497630719691577,0.116295376341864,0.107816471087017,-0.0662410318064174,0.0246426937442908,-0.143408039814632,-0.0163866620513218,0.123387524903003
"miR34a",-0.0328572767196205,0.0150694157265113,-0.00263281956647834,0.118209309386828,-0.0381981507680249,-0.0592995803769566,-0.0591425209109112,0.0236252548463366,0.0236886383743022,0.0707079553644855,0,0,-0.0711701127814428,0.0732174248178081,0.0599203166906983,0.0591425209109112,-0.0310371846568617,-0.13806991697216,0.0103461766154966,0.0751976797913871,-0.106261668615194,0.00291581168010963,-0.0355999591959966
"OVOL2",0.143165428717453,0.142587191007488,-0.140413465972576,-0.072721720077366,0.073906870938633,0.113001064784338,0.113134351197955,0.137171201796906,0.137686648755221,0.0436180484627971,-0.300276143134155,0.300216721576014,-0.0438032869348494,0.143019900877365,-0.159893794710163,-0.113134351197955,-0.12141494359191,-0.131710556405794,0.113239904231814,0.122578408806623,-0.0917407292045872,0.140620145866756,-0.22330174894282
"ZEB1",0.0263005054602239,0.0132418511541558,0.0303763565935382,0.0148114433519784,0.0154869514480175,-0.0906738830196595,0.00904463370800886,0.0134931074210272,0.0125599357394812,0.00636501944561149,0,0,-0.00572141671255338,-0.072115443854545,-0.00737250694882322,-0.00904463370800886,-0.00703547592858646,-0.0867489354502574,0.037852925716294,0.0525821334584225,-0.0627236244793609,-0.0306875966829082,-0.025196329634407
